F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Albert Park Grand Prix Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-22 01:44:58.868,7466,86,2,23,False,8,car,0 days 00:00:00.204000,0 days 00:29:58.085000
2024-03-22 01:44:59.108,7737,89,2,30,False,8,car,0 days 00:00:00.444000,0 days 00:29:58.325000
2024-03-22 01:44:59.348,7755,96,2,34,False,8,car,0 days 00:00:00.684000,0 days 00:29:58.565000
2024-03-22 01:44:59.628,9020,100,2,42,False,8,car,0 days 00:00:00.964000,0 days 00:29:58.845000
2024-03-22 01:44:59.828,9359,106,2,45,False,8,car,0 days 00:00:01.164000,0 days 00:29:59.045000
2024-03-22 01:45:00.228,10256,117,2,54,False,8,car,0 days 00:00:01.564000,0 days 00:29:59.445000
2024-03-22 01:45:00.468,10614,127,2,56,False,8,car,0 days 00:00:01.804000,0 days 00:29:59.685000
2024-03-22 01:45:00.628,9543,127,2,58,False,8,car,0 days 00:00:01.964000,0 days 00:29:59.845000
2024-03-22 01:45:00.988,10568,144,3,67,False,8,car,0 days 00:00:02.324000,0 days 00:30:00.205000
2024-03-22 01:45:01.228,10148,144,3,75,False,8,car,0 days 00:00:02.564000,0 days 00:30:00.445000
2024-03-22 01:45:01.388,9829,154,3,77,False,8,car,0 days 00:00:02.724000,0 days 00:30:00.605000
2024-03-22 01:45:01.668,10294,169,4,100,False,8,car,0 days 00:00:03.004000,0 days 00:30:00.885000
2024-03-22 01:45:01.948,11008,178,4,100,False,8,car,0 days 00:00:03.284000,0 days 00:30:01.165000
2024-03-22 01:45:02.228,9964,184,5,100,False,8,car,0 days 00:00:03.564000,0 days 00:30:01.445000
2024-03-22 01:45:02.428,9957,189,5,100,False,8,car,0 days 00:00:03.764000,0 days 00:30:01.645000
2024-03-22 01:45:02.588,9677,194,5,100,True,8,car,0 days 00:00:03.924000,0 days 00:30:01.805000
2024-03-22 01:45:02.827,9627,185,5,0,True,8,car,0 days 00:00:04.163000,0 days 00:30:02.044000
2024-03-22 01:45:03.027,9294,179,5,0,True,8,car,0 days 00:00:04.363000,0 days 00:30:02.244000
2024-03-22 01:45:03.267,8400,154,5,0,True,8,car,0 days 00:00:04.603000,0 days 00:30:02.484000
2024-03-22 01:45:03.507,8076,148,5,0,False,8,car,0 days 00:00:04.843000,0 days 00:30:02.724000
2024-03-22 01:45:03.667,8916,146,5,0,False,8,car,0 days 00:00:05.003000,0 days 00:30:02.884000
2024-03-22 01:45:03.867,8722,144,4,0,False,8,car,0 days 00:00:05.203000,0 days 00:30:03.084000
2024-03-22 01:45:04.027,8697,143,4,10,False,8,car,0 days 00:00:05.363000,0 days 00:30:03.244000
2024-03-22 01:45:04.227,8623,142,4,23,False,8,car,0 days 00:00:05.563000,0 days 00:30:03.444000
2024-03-22 01:45:04.467,8782,141,4,25,False,8,car,0 days 00:00:05.803000,0 days 00:30:03.684000
