F1 for AiM
Racer,Nico Hulkenberg
Vehicle,Haas F1 Team
Track,Albert Park Grand Prix Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-22 01:35:49.466,7616,88,2,34,False,8,car,0 days 00:00:00.225000,0 days 00:20:48.683000
2024-03-22 01:35:49.626,8335,90,2,39,False,8,car,0 days 00:00:00.385000,0 days 00:20:48.843000
2024-03-22 01:35:49.906,8532,98,2,44,False,8,car,0 days 00:00:00.665000,0 days 00:20:49.123000
2024-03-22 01:35:50.066,9362,103,2,46,False,8,car,0 days 00:00:00.825000,0 days 00:20:49.283000
2024-03-22 01:35:50.346,9783,106,2,51,False,8,car,0 days 00:00:01.105000,0 days 00:20:49.563000
2024-03-22 01:35:50.706,8770,118,2,51,False,8,car,0 days 00:00:01.465000,0 days 00:20:49.923000
2024-03-22 01:35:50.906,9147,125,3,57,False,8,car,0 days 00:00:01.665000,0 days 00:20:50.123000
2024-03-22 01:35:51.106,9603,127,3,57,False,8,car,0 days 00:00:01.865000,0 days 00:20:50.323000
2024-03-22 01:35:51.345,9081,135,3,61,False,8,car,0 days 00:00:02.104000,0 days 00:20:50.562000
2024-03-22 01:35:51.745,9205,145,4,61,False,8,car,0 days 00:00:02.504000,0 days 00:20:50.962000
2024-03-22 01:35:52.065,9696,155,4,64,False,8,car,0 days 00:00:02.824000,0 days 00:20:51.282000
2024-03-22 01:35:52.385,10147,162,4,64,False,8,car,0 days 00:00:03.144000,0 days 00:20:51.602000
2024-03-22 01:35:52.826,9067,168,5,64,False,8,car,0 days 00:00:03.585000,0 days 00:20:52.043000
2024-03-22 01:35:53.146,9419,176,5,65,False,8,car,0 days 00:00:03.905000,0 days 00:20:52.363000
2024-03-22 01:35:53.426,9496,183,5,67,False,8,car,0 days 00:00:04.185000,0 days 00:20:52.643000
2024-03-22 01:35:53.586,8808,185,5,63,False,8,car,0 days 00:00:04.345000,0 days 00:20:52.803000
2024-03-22 01:35:53.826,8620,189,6,67,False,8,car,0 days 00:00:04.585000,0 days 00:20:53.043000
2024-03-22 01:35:53.986,8488,190,6,37,False,8,car,0 days 00:00:04.745000,0 days 00:20:53.203000
2024-03-22 01:35:54.226,8349,189,6,0,True,8,car,0 days 00:00:04.985000,0 days 00:20:53.443000
2024-03-22 01:35:54.586,7971,181,6,0,True,8,car,0 days 00:00:05.345000,0 days 00:20:53.803000
2024-03-22 01:35:54.786,7724,175,6,0,True,8,car,0 days 00:00:05.545000,0 days 00:20:54.003000
2024-03-22 01:35:55.066,8454,161,5,0,True,8,car,0 days 00:00:05.825000,0 days 00:20:54.283000
2024-03-22 01:35:55.346,9259,152,5,0,True,8,car,0 days 00:00:06.105000,0 days 00:20:54.563000
