F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Albert Park Grand Prix Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-22 01:30:31.265,4500,14,1,0,False,8,car,0 days 00:00:00.122000,0 days 00:15:30.482000
2024-03-22 01:30:31.545,4312,14,1,0,False,8,car,0 days 00:00:00.402000,0 days 00:15:30.762000
2024-03-22 01:30:31.825,4290,14,1,0,False,8,car,0 days 00:00:00.682000,0 days 00:15:31.042000
2024-03-22 01:30:32.065,4289,13,1,0,False,8,car,0 days 00:00:00.922000,0 days 00:15:31.282000
2024-03-22 01:30:32.425,3881,14,1,0,False,8,car,0 days 00:00:01.282000,0 days 00:15:31.642000
2024-03-22 01:30:32.665,3668,13,1,0,False,8,car,0 days 00:00:01.522000,0 days 00:15:31.882000
2024-03-22 01:30:32.905,3657,13,1,0,True,8,car,0 days 00:00:01.762000,0 days 00:15:32.122000
2024-03-22 01:30:33.265,3801,11,1,0,True,8,car,0 days 00:00:02.122000,0 days 00:15:32.482000
2024-03-22 01:30:33.465,3885,9,1,0,True,8,car,0 days 00:00:02.322000,0 days 00:15:32.682000
2024-03-22 01:30:33.625,3848,9,1,0,True,8,car,0 days 00:00:02.482000,0 days 00:15:32.842000
2024-03-22 01:30:34.025,3929,4,1,0,True,8,car,0 days 00:00:02.882000,0 days 00:15:33.242000
2024-03-22 01:30:34.185,3950,2,0,0,True,8,car,0 days 00:00:03.042000,0 days 00:15:33.402000
2024-03-22 01:30:34.585,3795,0,0,0,True,8,car,0 days 00:00:03.442000,0 days 00:15:33.802000
2024-03-22 01:30:34.745,4058,0,0,0,False,8,car,0 days 00:00:03.602000,0 days 00:15:33.962000
2024-03-22 01:30:34.945,4067,0,0,0,False,8,car,0 days 00:00:03.802000,0 days 00:15:34.162000
2024-03-22 01:30:35.264,4079,0,0,0,False,8,car,0 days 00:00:04.121000,0 days 00:15:34.481000
2024-03-22 01:30:35.704,4070,0,0,0,False,8,car,0 days 00:00:04.561000,0 days 00:15:34.921000
2024-03-22 01:30:35.984,3943,0,0,0,False,8,car,0 days 00:00:04.841000,0 days 00:15:35.201000
2024-03-22 01:30:36.304,3994,0,0,0,False,8,car,0 days 00:00:05.161000,0 days 00:15:35.521000
2024-03-22 01:30:36.464,4043,0,0,0,False,8,car,0 days 00:00:05.321000,0 days 00:15:35.681000
2024-03-22 01:30:36.665,4017,0,0,0,False,8,car,0 days 00:00:05.522000,0 days 00:15:35.882000
2024-03-22 01:30:37.065,3980,0,0,0,False,8,car,0 days 00:00:05.922000,0 days 00:15:36.282000
2024-03-22 01:30:37.345,3940,0,0,0,False,8,car,0 days 00:00:06.202000,0 days 00:15:36.562000
2024-03-22 01:30:37.665,3928,0,0,0,True,8,car,0 days 00:00:06.522000,0 days 00:15:36.882000
2024-03-22 01:30:37.825,3993,0,0,0,True,8,car,0 days 00:00:06.682000,0 days 00:15:37.042000
2024-03-22 01:30:38.105,4024,0,0,0,True,8,car,0 days 00:00:06.962000,0 days 00:15:37.322000
2024-03-22 01:30:38.545,3948,0,0,0,True,8,car,0 days 00:00:07.402000,0 days 00:15:37.762000
2024-03-22 01:30:38.785,3980,0,1,0,True,8,car,0 days 00:00:07.642000,0 days 00:15:38.002000
2024-03-22 01:30:39.025,3959,0,1,0,True,8,car,0 days 00:00:07.882000,0 days 00:15:38.242000
2024-03-22 01:30:39.225,4087,0,1,0,True,8,car,0 days 00:00:08.082000,0 days 00:15:38.442000
2024-03-22 01:30:39.465,3950,0,1,0,True,8,car,0 days 00:00:08.322000,0 days 00:15:38.682000
2024-03-22 01:30:39.745,3982,0,1,0,True,8,car,0 days 00:00:08.602000,0 days 00:15:38.962000
2024-03-22 01:30:39.905,4046,0,1,0,True,8,car,0 days 00:00:08.762000,0 days 00:15:39.122000
2024-03-22 01:30:40.345,4008,0,1,0,False,8,car,0 days 00:00:09.202000,0 days 00:15:39.562000
2024-03-22 01:30:40.825,3989,0,1,3,False,8,car,0 days 00:00:09.682000,0 days 00:15:40.042000
2024-03-22 01:30:40.985,4095,0,1,1,False,8,car,0 days 00:00:09.842000,0 days 00:15:40.202000
2024-03-22 01:30:41.225,4403,0,1,8,False,8,car,0 days 00:00:10.082000,0 days 00:15:40.442000
2024-03-22 01:30:41.385,5383,0,1,10,False,8,car,0 days 00:00:10.242000,0 days 00:15:40.602000
2024-03-22 01:30:41.745,7903,0,1,12,False,8,car,0 days 00:00:10.602000,0 days 00:15:40.962000
2024-03-22 01:30:41.905,8711,0,1,14,False,8,car,0 days 00:00:10.762000,0 days 00:15:41.122000
2024-03-22 01:30:42.224,9098,0,1,18,False,8,car,0 days 00:00:11.081000,0 days 00:15:41.441000
2024-03-22 01:30:42.424,9302,0,1,20,False,8,car,0 days 00:00:11.281000,0 days 00:15:41.641000
2024-03-22 01:30:42.664,9385,0,1,20,False,8,car,0 days 00:00:11.521000,0 days 00:15:41.881000
2024-03-22 01:30:42.824,9417,0,1,21,False,8,car,0 days 00:00:11.681000,0 days 00:15:42.041000
2024-03-22 01:30:43.064,9412,0,1,21,False,8,car,0 days 00:00:11.921000,0 days 00:15:42.281000
2024-03-22 01:30:43.505,9655,0,1,22,False,8,car,0 days 00:00:12.362000,0 days 00:15:42.722000
2024-03-22 01:30:43.865,9582,0,1,22,False,8,car,0 days 00:00:12.722000,0 days 00:15:43.082000
2024-03-22 01:30:44.105,9653,0,1,22,False,8,car,0 days 00:00:12.962000,0 days 00:15:43.322000
2024-03-22 01:30:44.385,9617,0,1,22,False,8,car,0 days 00:00:13.242000,0 days 00:15:43.602000
2024-03-22 01:30:44.705,9672,0,1,22,False,8,car,0 days 00:00:13.562000,0 days 00:15:43.922000
2024-03-22 01:30:44.905,9628,0,1,22,False,8,car,0 days 00:00:13.762000,0 days 00:15:44.122000
2024-03-22 01:30:45.305,9343,0,1,20,False,8,car,0 days 00:00:14.162000,0 days 00:15:44.522000
2024-03-22 01:30:45.585,7383,8,1,20,False,8,car,0 days 00:00:14.442000,0 days 00:15:44.802000
2024-03-22 01:30:45.905,5233,13,1,20,False,8,car,0 days 00:00:14.762000,0 days 00:15:45.122000
2024-03-22 01:30:46.105,4944,20,1,20,False,8,car,0 days 00:00:14.962000,0 days 00:15:45.322000
2024-03-22 01:30:46.545,4640,36,1,35,False,8,car,0 days 00:00:15.402000,0 days 00:15:45.762000
2024-03-22 01:30:46.745,5359,43,1,43,False,8,car,0 days 00:00:15.602000,0 days 00:15:45.962000
2024-03-22 01:30:46.905,5980,47,1,48,False,8,car,0 days 00:00:15.762000,0 days 00:15:46.122000
2024-03-22 01:30:47.305,8780,57,1,51,False,8,car,0 days 00:00:16.162000,0 days 00:15:46.522000
2024-03-22 01:30:47.705,9540,74,1,53,False,8,car,0 days 00:00:16.562000,0 days 00:15:46.922000
2024-03-22 01:30:47.945,9783,85,1,56,False,8,car,0 days 00:00:16.802000,0 days 00:15:47.162000
2024-03-22 01:30:48.145,11022,89,1,64,False,8,car,0 days 00:00:17.002000,0 days 00:15:47.362000
2024-03-22 01:30:48.305,12133,93,1,67,False,8,car,0 days 00:00:17.162000,0 days 00:15:47.522000
2024-03-22 01:30:48.465,11870,105,1,68,False,8,car,0 days 00:00:17.322000,0 days 00:15:47.682000
2024-03-22 01:30:48.744,10341,113,2,75,False,8,car,0 days 00:00:17.601000,0 days 00:15:47.961000
2024-03-22 01:30:49.104,12170,122,2,88,False,8,car,0 days 00:00:17.961000,0 days 00:15:48.321000
2024-03-22 01:30:49.344,11020,146,3,97,False,8,car,0 days 00:00:18.201000,0 days 00:15:48.561000
2024-03-22 01:30:49.544,11101,151,3,98,False,8,car,0 days 00:00:18.401000,0 days 00:15:48.761000
2024-03-22 01:30:49.704,11706,160,3,98,False,8,car,0 days 00:00:18.561000,0 days 00:15:48.921000
2024-03-22 01:30:49.945,11411,169,3,98,False,8,car,0 days 00:00:18.802000,0 days 00:15:49.162000
2024-03-22 01:30:50.145,10769,176,4,98,False,8,car,0 days 00:00:19.002000,0 days 00:15:49.362000
2024-03-22 01:30:50.345,11276,183,4,98,False,8,car,0 days 00:00:19.202000,0 days 00:15:49.562000
2024-03-22 01:30:50.665,11749,193,4,98,False,8,car,0 days 00:00:19.522000,0 days 00:15:49.882000
2024-03-22 01:30:50.945,10761,202,5,98,False,8,car,0 days 00:00:19.802000,0 days 00:15:50.162000
2024-03-22 01:30:51.185,11034,210,5,98,False,8,car,0 days 00:00:20.042000,0 days 00:15:50.402000
2024-03-22 01:30:51.425,10590,209,5,0,True,8,car,0 days 00:00:20.282000,0 days 00:15:50.642000
2024-03-22 01:30:51.585,10636,202,5,0,True,8,car,0 days 00:00:20.442000,0 days 00:15:50.802000
2024-03-22 01:30:51.785,10051,193,5,0,True,8,car,0 days 00:00:20.642000,0 days 00:15:51.002000
2024-03-22 01:30:51.945,9691,189,5,0,True,8,car,0 days 00:00:20.802000,0 days 00:15:51.162000
2024-03-22 01:30:52.185,10333,174,5,0,True,8,car,0 days 00:00:21.042000,0 days 00:15:51.402000
2024-03-22 01:30:52.385,11048,166,5,0,True,8,car,0 days 00:00:21.242000,0 days 00:15:51.602000
2024-03-22 01:30:52.705,10745,153,3,0,True,8,car,0 days 00:00:21.562000,0 days 00:15:51.922000
2024-03-22 01:30:52.905,10432,148,3,0,True,8,car,0 days 00:00:21.762000,0 days 00:15:52.122000
2024-03-22 01:30:53.105,10012,138,3,0,True,8,car,0 days 00:00:21.962000,0 days 00:15:52.322000
2024-03-22 01:30:53.265,11132,126,3,0,True,8,car,0 days 00:00:22.122000,0 days 00:15:52.482000
2024-03-22 01:30:53.545,10305,121,2,0,True,8,car,0 days 00:00:22.402000,0 days 00:15:52.762000
2024-03-22 01:30:53.705,9817,121,2,0,True,8,car,0 days 00:00:22.562000,0 days 00:15:52.922000
2024-03-22 01:30:54.065,9346,107,2,0,True,8,car,0 days 00:00:22.922000,0 days 00:15:53.282000
2024-03-22 01:30:54.305,8719,102,2,0,True,8,car,0 days 00:00:23.162000,0 days 00:15:53.522000
2024-03-22 01:30:54.505,8481,99,2,0,False,8,car,0 days 00:00:23.362000,0 days 00:15:53.722000
2024-03-22 01:30:54.665,8403,96,2,0,False,8,car,0 days 00:00:23.522000,0 days 00:15:53.882000
2024-03-22 01:30:54.825,8212,95,2,0,False,8,car,0 days 00:00:23.682000,0 days 00:15:54.042000
2024-03-22 01:30:55.185,8003,93,2,0,False,8,car,0 days 00:00:24.042000,0 days 00:15:54.402000
2024-03-22 01:30:55.464,7823,89,2,6,False,8,car,0 days 00:00:24.321000,0 days 00:15:54.681000
2024-03-22 01:30:55.704,7888,89,2,20,False,8,car,0 days 00:00:24.561000,0 days 00:15:54.921000
2024-03-22 01:30:56.064,8016,92,2,31,False,8,car,0 days 00:00:24.921000,0 days 00:15:55.281000
2024-03-22 01:30:56.465,8485,97,2,39,False,8,car,0 days 00:00:25.322000,0 days 00:15:55.682000
2024-03-22 01:30:56.825,9057,102,2,39,False,8,car,0 days 00:00:25.682000,0 days 00:15:56.042000
2024-03-22 01:30:57.145,9417,107,2,35,False,8,car,0 days 00:00:26.002000,0 days 00:15:56.362000
2024-03-22 01:30:57.385,9509,109,2,28,False,8,car,0 days 00:00:26.242000,0 days 00:15:56.602000
2024-03-22 01:30:57.665,9498,108,2,23,False,8,car,0 days 00:00:26.522000,0 days 00:15:56.882000
2024-03-22 01:30:57.865,9471,108,2,23,False,8,car,0 days 00:00:26.722000,0 days 00:15:57.082000
2024-03-22 01:30:58.025,9600,108,2,27,False,8,car,0 days 00:00:26.882000,0 days 00:15:57.242000
2024-03-22 01:30:58.465,9734,111,2,37,False,8,car,0 days 00:00:27.322000,0 days 00:15:57.682000
2024-03-22 01:30:58.745,10284,116,2,46,False,8,car,0 days 00:00:27.602000,0 days 00:15:57.962000
2024-03-22 01:30:59.065,10645,119,2,52,False,8,car,0 days 00:00:27.922000,0 days 00:15:58.282000
2024-03-22 01:30:59.505,11547,127,2,56,False,8,car,0 days 00:00:28.362000,0 days 00:15:58.722000
2024-03-22 01:30:59.665,11547,134,2,56,False,8,car,0 days 00:00:28.522000,0 days 00:15:58.882000
2024-03-22 01:30:59.865,12103,136,2,61,False,8,car,0 days 00:00:28.722000,0 days 00:15:59.082000
2024-03-22 01:31:00.105,10423,139,3,69,False,8,car,0 days 00:00:28.962000,0 days 00:15:59.322000
2024-03-22 01:31:00.305,10872,147,3,74,False,8,car,0 days 00:00:29.162000,0 days 00:15:59.522000
2024-03-22 01:31:00.665,11348,161,3,80,False,8,car,0 days 00:00:29.522000,0 days 00:15:59.882000
2024-03-22 01:31:00.825,12200,164,3,90,False,8,car,0 days 00:00:29.682000,0 days 00:16:00.042000
2024-03-22 01:31:01.065,10800,177,3,98,False,8,car,0 days 00:00:29.922000,0 days 00:16:00.282000
2024-03-22 01:31:01.305,11127,180,4,98,False,8,car,0 days 00:00:30.162000,0 days 00:16:00.522000
2024-03-22 01:31:01.505,11401,182,4,98,False,8,car,0 days 00:00:30.362000,0 days 00:16:00.722000
2024-03-22 01:31:01.905,10348,193,5,98,False,8,car,0 days 00:00:30.762000,0 days 00:16:01.122000
2024-03-22 01:31:02.344,10763,206,5,98,False,8,car,0 days 00:00:31.201000,0 days 00:16:01.561000
2024-03-22 01:31:02.584,11077,210,5,98,False,8,car,0 days 00:00:31.441000,0 days 00:16:01.801000
2024-03-22 01:31:02.784,11235,213,5,98,False,8,car,0 days 00:00:31.641000,0 days 00:16:02.001000
2024-03-22 01:31:02.985,11405,217,5,98,False,8,car,0 days 00:00:31.842000,0 days 00:16:02.202000
2024-03-22 01:31:03.185,11502,220,5,98,False,8,car,0 days 00:00:32.042000,0 days 00:16:02.402000
2024-03-22 01:31:03.625,10618,226,5,98,False,8,car,0 days 00:00:32.482000,0 days 00:16:02.842000
2024-03-22 01:31:04.825,10996,241,6,98,False,8,car,0 days 00:00:33.682000,0 days 00:16:04.042000
2024-03-22 01:31:05.105,11088,244,6,98,False,8,car,0 days 00:00:33.962000,0 days 00:16:04.322000
2024-03-22 01:31:05.385,11238,247,6,98,False,8,car,0 days 00:00:34.242000,0 days 00:16:04.602000
2024-03-22 01:31:05.585,11339,247,6,98,False,8,car,0 days 00:00:34.442000,0 days 00:16:04.802000
2024-03-22 01:31:05.825,11377,250,6,98,False,8,car,0 days 00:00:34.682000,0 days 00:16:05.042000
2024-03-22 01:31:06.105,11448,251,6,98,False,8,car,0 days 00:00:34.962000,0 days 00:16:05.322000
2024-03-22 01:31:06.265,11448,254,6,98,False,8,car,0 days 00:00:35.122000,0 days 00:16:05.482000
2024-03-22 01:31:06.625,10590,242,6,0,True,8,car,0 days 00:00:35.482000,0 days 00:16:05.842000
2024-03-22 01:31:06.985,10431,211,6,0,True,8,car,0 days 00:00:35.842000,0 days 00:16:06.202000
