F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Albert Park Grand Prix Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-22 01:38:18.187,10709,300,8,100,False,12,car,0 days 00:00:00.113000,0 days 00:23:17.404000
2024-03-22 01:38:18.507,10590,300,8,16,False,8,car,0 days 00:00:00.433000,0 days 00:23:17.724000
2024-03-22 01:38:18.947,9913,286,8,0,True,8,car,0 days 00:00:00.873000,0 days 00:23:18.164000
2024-03-22 01:38:19.346,9413,268,8,0,True,8,car,0 days 00:00:01.272000,0 days 00:23:18.563000
2024-03-22 01:38:19.586,9204,262,8,0,True,8,car,0 days 00:00:01.512000,0 days 00:23:18.803000
2024-03-22 01:38:19.986,9174,243,8,0,True,8,car,0 days 00:00:01.912000,0 days 00:23:19.203000
2024-03-22 01:38:20.186,9903,243,7,0,True,8,car,0 days 00:00:02.112000,0 days 00:23:19.403000
2024-03-22 01:38:20.346,9914,218,6,0,True,8,car,0 days 00:00:02.272000,0 days 00:23:19.563000
2024-03-22 01:38:20.506,9684,215,6,0,True,8,car,0 days 00:00:02.432000,0 days 00:23:19.723000
2024-03-22 01:38:20.666,9456,210,6,0,True,8,car,0 days 00:00:02.592000,0 days 00:23:19.883000
2024-03-22 01:38:20.986,9755,201,6,0,True,8,car,0 days 00:00:02.912000,0 days 00:23:20.203000
2024-03-22 01:38:21.306,10037,192,5,0,True,8,car,0 days 00:00:03.232000,0 days 00:23:20.523000
2024-03-22 01:38:21.626,9476,182,5,0,True,8,car,0 days 00:00:03.552000,0 days 00:23:20.843000
2024-03-22 01:38:21.786,9145,175,5,0,True,8,car,0 days 00:00:03.712000,0 days 00:23:21.003000
2024-03-22 01:38:21.946,9137,169,5,0,True,8,car,0 days 00:00:03.872000,0 days 00:23:21.163000
2024-03-22 01:38:22.106,9905,167,5,0,True,8,car,0 days 00:00:04.032000,0 days 00:23:21.323000
2024-03-22 01:38:22.306,10036,162,4,0,True,8,car,0 days 00:00:04.232000,0 days 00:23:21.523000
2024-03-22 01:38:22.546,9470,153,4,0,True,8,car,0 days 00:00:04.472000,0 days 00:23:21.763000
2024-03-22 01:38:22.866,9548,144,4,0,True,8,car,0 days 00:00:04.792000,0 days 00:23:22.083000
2024-03-22 01:38:23.026,10217,144,4,0,True,8,car,0 days 00:00:04.952000,0 days 00:23:22.243000
2024-03-22 01:38:23.306,9623,132,3,0,True,8,car,0 days 00:00:05.232000,0 days 00:23:22.523000
2024-03-22 01:38:23.546,9151,126,3,0,True,8,car,0 days 00:00:05.472000,0 days 00:23:22.763000
2024-03-22 01:38:23.707,8979,124,3,0,True,8,car,0 days 00:00:05.633000,0 days 00:23:22.924000
2024-03-22 01:38:24.027,8627,119,3,0,True,8,car,0 days 00:00:05.953000,0 days 00:23:23.244000
2024-03-22 01:38:24.307,8362,113,3,0,False,8,car,0 days 00:00:06.233000,0 days 00:23:23.524000
2024-03-22 01:38:24.467,8230,111,3,0,False,8,car,0 days 00:00:06.393000,0 days 00:23:23.684000
2024-03-22 01:38:24.667,8037,110,3,0,False,8,car,0 days 00:00:06.593000,0 days 00:23:23.884000
2024-03-22 01:38:24.867,7910,108,3,2,False,8,car,0 days 00:00:06.793000,0 days 00:23:24.084000
2024-03-22 01:38:25.267,7811,106,3,27,False,8,car,0 days 00:00:07.193000,0 days 00:23:24.484000
2024-03-22 01:38:25.507,7837,106,3,31,False,8,car,0 days 00:00:07.433000,0 days 00:23:24.724000
2024-03-22 01:38:25.747,7925,106,3,36,False,8,car,0 days 00:00:07.673000,0 days 00:23:24.964000
2024-03-22 01:38:26.106,7977,108,3,36,False,8,car,0 days 00:00:08.032000,0 days 00:23:25.323000
2024-03-22 01:38:26.346,8036,109,3,36,False,8,car,0 days 00:00:08.272000,0 days 00:23:25.563000
2024-03-22 01:38:26.506,8128,109,3,36,False,8,car,0 days 00:00:08.432000,0 days 00:23:25.723000
2024-03-22 01:38:26.666,8165,111,3,36,False,8,car,0 days 00:00:08.592000,0 days 00:23:25.883000
2024-03-22 01:38:26.906,8297,111,3,35,False,8,car,0 days 00:00:08.832000,0 days 00:23:26.123000
2024-03-22 01:38:27.146,8302,113,3,35,False,8,car,0 days 00:00:09.072000,0 days 00:23:26.363000
2024-03-22 01:38:27.386,8306,113,3,35,False,8,car,0 days 00:00:09.312000,0 days 00:23:26.603000
2024-03-22 01:38:27.546,8416,113,3,34,False,8,car,0 days 00:00:09.472000,0 days 00:23:26.763000
2024-03-22 01:38:27.946,8386,113,3,26,False,8,car,0 days 00:00:09.872000,0 days 00:23:27.163000
2024-03-22 01:38:28.306,8327,112,3,2,False,8,car,0 days 00:00:10.232000,0 days 00:23:27.523000
2024-03-22 01:38:28.586,8033,110,3,0,False,8,car,0 days 00:00:10.512000,0 days 00:23:27.803000
2024-03-22 01:38:29.026,8606,108,3,0,True,8,car,0 days 00:00:10.952000,0 days 00:23:28.243000
2024-03-22 01:38:29.386,8962,103,2,0,True,8,car,0 days 00:00:11.312000,0 days 00:23:28.603000
2024-03-22 01:38:29.546,8652,100,2,0,True,8,car,0 days 00:00:11.472000,0 days 00:23:28.763000
2024-03-22 01:38:29.987,8178,95,2,0,True,8,car,0 days 00:00:11.913000,0 days 00:23:29.204000
2024-03-22 01:38:30.186,7968,93,2,0,True,8,car,0 days 00:00:12.112000,0 days 00:23:29.403000
2024-03-22 01:38:30.667,7737,89,2,0,False,8,car,0 days 00:00:12.593000,0 days 00:23:29.884000
2024-03-22 01:38:30.987,7481,87,2,0,False,8,car,0 days 00:00:12.913000,0 days 00:23:30.204000
2024-03-22 01:38:31.147,7427,86,2,14,False,8,car,0 days 00:00:13.073000,0 days 00:23:30.364000
2024-03-22 01:38:31.427,7453,86,2,20,False,8,car,0 days 00:00:13.353000,0 days 00:23:30.644000
2024-03-22 01:38:31.627,7533,86,2,24,False,8,car,0 days 00:00:13.553000,0 days 00:23:30.844000
2024-03-22 01:38:31.787,7561,87,2,26,False,8,car,0 days 00:00:13.713000,0 days 00:23:31.004000
2024-03-22 01:38:32.067,7723,88,2,32,False,8,car,0 days 00:00:13.993000,0 days 00:23:31.284000
2024-03-22 01:38:32.307,7758,90,2,34,False,8,car,0 days 00:00:14.233000,0 days 00:23:31.524000
2024-03-22 01:38:32.547,7893,92,2,35,False,8,car,0 days 00:00:14.473000,0 days 00:23:31.764000
2024-03-22 01:38:32.866,8135,93,2,36,False,8,car,0 days 00:00:14.792000,0 days 00:23:32.083000
2024-03-22 01:38:33.066,8254,95,2,37,False,8,car,0 days 00:00:14.992000,0 days 00:23:32.283000
2024-03-22 01:38:33.226,8256,95,2,37,False,8,car,0 days 00:00:15.152000,0 days 00:23:32.443000
2024-03-22 01:38:33.506,8447,97,2,39,False,8,car,0 days 00:00:15.432000,0 days 00:23:32.723000
2024-03-22 01:38:33.986,8696,100,2,38,False,8,car,0 days 00:00:15.912000,0 days 00:23:33.203000
2024-03-22 01:38:34.346,8827,101,2,35,False,8,car,0 days 00:00:16.272000,0 days 00:23:33.563000
2024-03-22 01:38:34.506,8841,102,2,34,False,8,car,0 days 00:00:16.432000,0 days 00:23:33.723000
2024-03-22 01:38:34.826,8872,102,2,34,False,8,car,0 days 00:00:16.752000,0 days 00:23:34.043000
2024-03-22 01:38:35.186,8930,103,2,32,False,8,car,0 days 00:00:17.112000,0 days 00:23:34.403000
2024-03-22 01:38:35.546,8927,103,2,32,False,8,car,0 days 00:00:17.472000,0 days 00:23:34.763000
2024-03-22 01:38:35.706,8927,102,2,32,False,8,car,0 days 00:00:17.632000,0 days 00:23:34.923000
2024-03-22 01:38:35.946,9084,104,2,40,False,8,car,0 days 00:00:17.872000,0 days 00:23:35.163000
2024-03-22 01:38:36.266,9169,105,2,41,False,8,car,0 days 00:00:18.192000,0 days 00:23:35.483000
2024-03-22 01:38:36.506,9257,106,2,41,False,8,car,0 days 00:00:18.432000,0 days 00:23:35.723000
2024-03-22 01:38:36.867,9429,108,2,42,False,8,car,0 days 00:00:18.793000,0 days 00:23:36.084000
2024-03-22 01:38:37.027,9485,109,2,43,False,8,car,0 days 00:00:18.953000,0 days 00:23:36.244000
2024-03-22 01:38:37.187,9527,110,2,44,False,8,car,0 days 00:00:19.113000,0 days 00:23:36.404000
