F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Albert Park Grand Prix Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-22 01:30:21.105,6523,75,2,12,False,8,car,0 days 00:00:00.042000,0 days 00:15:20.322000
2024-03-22 01:30:21.265,6612,76,2,14,False,8,car,0 days 00:00:00.202000,0 days 00:15:20.482000
2024-03-22 01:30:21.545,6931,79,2,27,False,8,car,0 days 00:00:00.482000,0 days 00:15:20.762000
2024-03-22 01:30:21.784,7236,85,2,34,False,8,car,0 days 00:00:00.721000,0 days 00:15:21.001000
2024-03-22 01:30:22.104,7819,90,2,37,False,8,car,0 days 00:00:01.041000,0 days 00:15:21.321000
2024-03-22 01:30:22.304,8067,93,2,38,False,8,car,0 days 00:00:01.241000,0 days 00:15:21.521000
2024-03-22 01:30:22.544,8393,97,2,37,False,8,car,0 days 00:00:01.481000,0 days 00:15:21.761000
2024-03-22 01:30:22.944,9078,102,2,45,False,8,car,0 days 00:00:01.881000,0 days 00:15:22.161000
2024-03-22 01:30:23.304,9218,109,2,45,False,8,car,0 days 00:00:02.241000,0 days 00:15:22.521000
2024-03-22 01:30:23.464,9098,111,2,44,False,8,car,0 days 00:00:02.401000,0 days 00:15:22.681000
2024-03-22 01:30:23.745,8638,116,3,45,False,8,car,0 days 00:00:02.682000,0 days 00:15:22.962000
2024-03-22 01:30:24.185,9083,126,3,51,False,8,car,0 days 00:00:03.122000,0 days 00:15:23.402000
2024-03-22 01:30:24.425,9551,127,3,54,False,8,car,0 days 00:00:03.362000,0 days 00:15:23.642000
2024-03-22 01:30:24.665,9816,132,3,56,False,8,car,0 days 00:00:03.602000,0 days 00:15:23.882000
2024-03-22 01:30:24.825,10091,136,3,56,False,8,car,0 days 00:00:03.762000,0 days 00:15:24.042000
2024-03-22 01:30:25.065,10285,140,3,56,False,8,car,0 days 00:00:04.002000,0 days 00:15:24.282000
2024-03-22 01:30:25.265,9025,143,4,59,False,8,car,0 days 00:00:04.202000,0 days 00:15:24.482000
2024-03-22 01:30:25.465,9228,147,4,61,False,8,car,0 days 00:00:04.402000,0 days 00:15:24.682000
2024-03-22 01:30:25.625,9468,148,4,61,False,8,car,0 days 00:00:04.562000,0 days 00:15:24.842000
