F1 for AiM
Racer,Esteban Ocon
Vehicle,Alpine
Track,Albert Park Grand Prix Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-23 01:49:12.679,7646,80,2,14,False,8,car,0 days 00:00:00.056000,0 days 00:34:10.579000
2024-03-23 01:49:13.159,7233,81,2,15,False,8,car,0 days 00:00:00.536000,0 days 00:34:11.059000
2024-03-23 01:49:13.519,7699,83,2,25,False,8,car,0 days 00:00:00.896000,0 days 00:34:11.419000
2024-03-23 01:49:13.719,7837,86,2,27,False,8,car,0 days 00:00:01.096000,0 days 00:34:11.619000
2024-03-23 01:49:14.159,7950,90,2,30,False,8,car,0 days 00:00:01.536000,0 days 00:34:12.059000
2024-03-23 01:49:14.439,8349,93,2,32,False,8,car,0 days 00:00:01.816000,0 days 00:34:12.339000
2024-03-23 01:49:14.760,8285,96,2,38,False,8,car,0 days 00:00:02.137000,0 days 00:34:12.660000
2024-03-23 01:49:15.199,9176,98,2,40,False,8,car,0 days 00:00:02.576000,0 days 00:34:13.099000
2024-03-23 01:49:15.599,9742,106,2,43,False,8,car,0 days 00:00:02.976000,0 days 00:34:13.499000
2024-03-23 01:49:15.839,10143,111,2,46,False,8,car,0 days 00:00:03.216000,0 days 00:34:13.739000
2024-03-23 01:49:16.119,10412,114,2,46,False,8,car,0 days 00:00:03.496000,0 days 00:34:14.019000
2024-03-23 01:49:16.359,10898,119,2,47,False,8,car,0 days 00:00:03.736000,0 days 00:34:14.259000
2024-03-23 01:49:16.519,10374,120,2,47,False,8,car,0 days 00:00:03.896000,0 days 00:34:14.419000
2024-03-23 01:49:16.799,8873,123,3,47,False,8,car,0 days 00:00:04.176000,0 days 00:34:14.699000
2024-03-23 01:49:17.199,9297,128,3,50,False,8,car,0 days 00:00:04.576000,0 days 00:34:15.099000
2024-03-23 01:49:17.479,9525,131,3,56,False,8,car,0 days 00:00:04.856000,0 days 00:34:15.379000
2024-03-23 01:49:17.639,9636,135,3,57,False,8,car,0 days 00:00:05.016000,0 days 00:34:15.539000
2024-03-23 01:49:17.839,10164,141,3,59,False,8,car,0 days 00:00:05.216000,0 days 00:34:15.739000
2024-03-23 01:49:17.999,10381,143,3,59,False,8,car,0 days 00:00:05.376000,0 days 00:34:15.899000
2024-03-23 01:49:18.279,10764,149,3,61,False,8,car,0 days 00:00:05.656000,0 days 00:34:16.179000
2024-03-23 01:49:18.519,10913,153,3,61,False,8,car,0 days 00:00:05.896000,0 days 00:34:16.419000
2024-03-23 01:49:18.919,10938,158,3,61,False,8,car,0 days 00:00:06.296000,0 days 00:34:16.819000
2024-03-23 01:49:19.279,9851,162,4,56,False,8,car,0 days 00:00:06.656000,0 days 00:34:17.179000
2024-03-23 01:49:19.559,10134,162,4,0,False,8,car,0 days 00:00:06.936000,0 days 00:34:17.459000
2024-03-23 01:49:19.759,9551,156,4,0,True,8,car,0 days 00:00:07.136000,0 days 00:34:17.659000
2024-03-23 01:49:19.999,8944,153,4,0,True,8,car,0 days 00:00:07.376000,0 days 00:34:17.899000
2024-03-23 01:49:20.199,8594,143,4,0,True,8,car,0 days 00:00:07.576000,0 days 00:34:18.099000
2024-03-23 01:49:20.599,9376,128,3,0,True,8,car,0 days 00:00:07.976000,0 days 00:34:18.499000
2024-03-23 01:49:20.799,8803,123,3,0,True,8,car,0 days 00:00:08.176000,0 days 00:34:18.699000
2024-03-23 01:49:21.120,8221,115,3,0,True,8,car,0 days 00:00:08.497000,0 days 00:34:19.020000
2024-03-23 01:49:21.360,7653,107,3,0,True,8,car,0 days 00:00:08.737000,0 days 00:34:19.260000
2024-03-23 01:49:21.759,6959,96,3,0,True,8,car,0 days 00:00:09.136000,0 days 00:34:19.659000
2024-03-23 01:49:21.919,6730,92,3,0,True,8,car,0 days 00:00:09.296000,0 days 00:34:19.819000
2024-03-23 01:49:22.759,5716,80,3,0,False,8,car,0 days 00:00:10.136000,0 days 00:34:20.659000
2024-03-23 01:49:22.919,5749,79,3,0,False,8,car,0 days 00:00:10.296000,0 days 00:34:20.819000
2024-03-23 01:49:23.199,5561,76,3,0,False,8,car,0 days 00:00:10.576000,0 days 00:34:21.099000
2024-03-23 01:49:23.439,5903,78,3,16,False,8,car,0 days 00:00:10.816000,0 days 00:34:21.339000
2024-03-23 01:49:23.719,5580,80,3,26,False,8,car,0 days 00:00:11.096000,0 days 00:34:21.619000
2024-03-23 01:49:24.039,5996,85,3,37,False,8,car,0 days 00:00:11.416000,0 days 00:34:21.939000
2024-03-23 01:49:24.439,6688,93,3,49,False,8,car,0 days 00:00:11.816000,0 days 00:34:22.339000
2024-03-23 01:49:24.639,6838,99,3,51,False,8,car,0 days 00:00:12.016000,0 days 00:34:22.539000
2024-03-23 01:49:24.919,7620,104,3,53,False,8,car,0 days 00:00:12.296000,0 days 00:34:22.819000
2024-03-23 01:49:25.079,7807,106,3,53,False,8,car,0 days 00:00:12.456000,0 days 00:34:22.979000
2024-03-23 01:49:25.359,8270,114,3,55,False,8,car,0 days 00:00:12.736000,0 days 00:34:23.259000
2024-03-23 01:49:25.679,8880,120,3,59,False,8,car,0 days 00:00:13.056000,0 days 00:34:23.579000
2024-03-23 01:49:25.879,8983,125,3,59,False,8,car,0 days 00:00:13.256000,0 days 00:34:23.779000
2024-03-23 01:49:26.119,9318,128,3,59,False,8,car,0 days 00:00:13.496000,0 days 00:34:24.019000
2024-03-23 01:49:26.519,9915,134,3,59,False,8,car,0 days 00:00:13.896000,0 days 00:34:24.419000
2024-03-23 01:49:26.799,10177,142,3,59,False,8,car,0 days 00:00:14.176000,0 days 00:34:24.699000
2024-03-23 01:49:27.239,10832,152,3,68,False,8,car,0 days 00:00:14.616000,0 days 00:34:25.139000
2024-03-23 01:49:27.399,11169,152,3,68,False,8,car,0 days 00:00:14.776000,0 days 00:34:25.299000
2024-03-23 01:49:27.760,9800,160,4,72,False,8,car,0 days 00:00:15.137000,0 days 00:34:25.660000
2024-03-23 01:49:27.960,10008,165,4,74,False,8,car,0 days 00:00:15.337000,0 days 00:34:25.860000
2024-03-23 01:49:28.200,10368,170,4,77,False,8,car,0 days 00:00:15.577000,0 days 00:34:26.100000
2024-03-23 01:49:28.439,10754,177,4,83,False,8,car,0 days 00:00:15.816000,0 days 00:34:26.339000
2024-03-23 01:49:28.799,11342,180,4,87,False,10,car,0 days 00:00:16.176000,0 days 00:34:26.699000
2024-03-23 01:49:28.999,11544,185,4,87,False,10,car,0 days 00:00:16.376000,0 days 00:34:26.899000
2024-03-23 01:49:29.159,11857,194,4,91,False,14,car,0 days 00:00:16.536000,0 days 00:34:27.059000
2024-03-23 01:49:29.319,11857,197,4,100,False,14,car,0 days 00:00:16.696000,0 days 00:34:27.219000
2024-03-23 01:49:29.559,10769,206,4,100,False,12,car,0 days 00:00:16.936000,0 days 00:34:27.459000
2024-03-23 01:49:29.759,11039,212,5,100,False,12,car,0 days 00:00:17.136000,0 days 00:34:27.659000
2024-03-23 01:49:30.079,11080,219,5,100,False,12,car,0 days 00:00:17.456000,0 days 00:34:27.979000
2024-03-23 01:49:30.239,10336,219,5,100,False,12,car,0 days 00:00:17.616000,0 days 00:34:28.139000
2024-03-23 01:49:30.399,10105,221,6,100,False,12,car,0 days 00:00:17.776000,0 days 00:34:28.299000
2024-03-23 01:49:30.719,10428,232,6,100,False,12,car,0 days 00:00:18.096000,0 days 00:34:28.619000
2024-03-23 01:49:31.039,10720,241,6,100,False,12,car,0 days 00:00:18.416000,0 days 00:34:28.939000
2024-03-23 01:49:31.359,11117,248,6,100,False,12,car,0 days 00:00:18.736000,0 days 00:34:29.259000
2024-03-23 01:49:31.639,11282,254,6,100,False,12,car,0 days 00:00:19.016000,0 days 00:34:29.539000
2024-03-23 01:49:31.919,11507,254,6,100,False,12,car,0 days 00:00:19.296000,0 days 00:34:29.819000
2024-03-23 01:49:32.239,10195,260,6,100,False,12,car,0 days 00:00:19.616000,0 days 00:34:30.139000
2024-03-23 01:49:32.559,10457,264,7,100,False,12,car,0 days 00:00:19.936000,0 days 00:34:30.459000
2024-03-23 01:49:32.799,10564,267,7,100,False,12,car,0 days 00:00:20.176000,0 days 00:34:30.699000
2024-03-23 01:49:32.999,10145,270,7,100,False,12,car,0 days 00:00:20.376000,0 days 00:34:30.899000
2024-03-23 01:49:33.439,9707,272,8,100,False,12,car,0 days 00:00:20.816000,0 days 00:34:31.339000
2024-03-23 01:49:33.719,9222,274,8,100,True,12,car,0 days 00:00:21.096000,0 days 00:34:31.619000
2024-03-23 01:49:33.879,9393,266,8,0,True,8,car,0 days 00:00:21.256000,0 days 00:34:31.779000
2024-03-23 01:49:34.239,8468,238,8,0,True,8,car,0 days 00:00:21.616000,0 days 00:34:32.139000
2024-03-23 01:49:34.640,9172,206,8,0,True,8,car,0 days 00:00:22.017000,0 days 00:34:32.540000
2024-03-23 01:49:34.840,9559,196,6,0,True,8,car,0 days 00:00:22.217000,0 days 00:34:32.740000
2024-03-23 01:49:35.199,9591,185,5,0,True,8,car,0 days 00:00:22.576000,0 days 00:34:33.099000
2024-03-23 01:49:35.399,10013,174,5,0,True,8,car,0 days 00:00:22.776000,0 days 00:34:33.299000
2024-03-23 01:49:35.679,9315,153,4,0,True,8,car,0 days 00:00:23.056000,0 days 00:34:33.579000
2024-03-23 01:49:35.919,8599,147,4,0,True,8,car,0 days 00:00:23.296000,0 days 00:34:33.819000
2024-03-23 01:49:36.079,8047,138,4,0,True,8,car,0 days 00:00:23.456000,0 days 00:34:33.979000
2024-03-23 01:49:36.279,8516,125,4,0,True,8,car,0 days 00:00:23.656000,0 days 00:34:34.179000
2024-03-23 01:49:36.559,8035,117,3,0,True,8,car,0 days 00:00:23.936000,0 days 00:34:34.459000
2024-03-23 01:49:36.879,7493,107,3,0,True,8,car,0 days 00:00:24.256000,0 days 00:34:34.779000
2024-03-23 01:49:37.079,6910,100,3,0,True,8,car,0 days 00:00:24.456000,0 days 00:34:34.979000
2024-03-23 01:49:37.279,6569,94,3,0,True,8,car,0 days 00:00:24.656000,0 days 00:34:35.179000
2024-03-23 01:49:37.519,6295,90,3,0,True,8,car,0 days 00:00:24.896000,0 days 00:34:35.419000
2024-03-23 01:49:37.719,6186,86,3,0,True,8,car,0 days 00:00:25.096000,0 days 00:34:35.619000
2024-03-23 01:49:38.279,5816,80,3,2,False,8,car,0 days 00:00:25.656000,0 days 00:34:36.179000
2024-03-23 01:49:38.519,5869,80,3,9,False,8,car,0 days 00:00:25.896000,0 days 00:34:36.419000
