F1 for AiM
Racer,Oscar Piastri
Vehicle,McLaren
Track,Red Bull Ring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-29 14:01:19.210,3886,22,1,0,False,8,car,0 days 00:00:00.300000,0 days 00:14:38.082000
2024-06-29 14:01:19.410,3907,22,1,0,False,8,car,0 days 00:00:00.500000,0 days 00:14:38.282000
2024-06-29 14:01:19.850,3902,21,1,0,False,8,car,0 days 00:00:00.940000,0 days 00:14:38.722000
2024-06-29 14:01:20.050,3916,21,1,0,False,8,car,0 days 00:00:01.140000,0 days 00:14:38.922000
2024-06-29 14:01:20.330,4035,21,1,0,False,8,car,0 days 00:00:01.420000,0 days 00:14:39.202000
2024-06-29 14:01:20.690,4043,20,1,0,False,8,car,0 days 00:00:01.780000,0 days 00:14:39.562000
2024-06-29 14:01:21.090,4029,20,1,0,False,8,car,0 days 00:00:02.180000,0 days 00:14:39.962000
2024-06-29 14:01:21.530,4056,19,1,0,False,8,car,0 days 00:00:02.620000,0 days 00:14:40.402000
2024-06-29 14:01:21.930,4002,18,1,0,False,8,car,0 days 00:00:03.020000,0 days 00:14:40.802000
2024-06-29 14:01:22.290,4046,18,1,0,False,8,car,0 days 00:00:03.380000,0 days 00:14:41.162000
2024-06-29 14:01:22.490,4004,18,1,0,False,8,car,0 days 00:00:03.580000,0 days 00:14:41.362000
2024-06-29 14:01:22.650,3997,17,1,0,False,8,car,0 days 00:00:03.740000,0 days 00:14:41.522000
2024-06-29 14:01:22.970,3988,17,1,0,False,8,car,0 days 00:00:04.060000,0 days 00:14:41.842000
2024-06-29 14:01:23.210,3963,17,1,0,False,8,car,0 days 00:00:04.300000,0 days 00:14:42.082000
2024-06-29 14:01:23.530,3794,17,1,0,False,8,car,0 days 00:00:04.620000,0 days 00:14:42.402000
2024-06-29 14:01:23.809,3858,17,1,0,False,8,car,0 days 00:00:04.899000,0 days 00:14:42.681000
2024-06-29 14:01:24.129,3888,17,1,0,False,8,car,0 days 00:00:05.219000,0 days 00:14:43.001000
2024-06-29 14:01:24.329,3900,17,1,0,False,8,car,0 days 00:00:05.419000,0 days 00:14:43.201000
2024-06-29 14:01:24.609,3976,18,1,0,False,8,car,0 days 00:00:05.699000,0 days 00:14:43.481000
2024-06-29 14:01:24.769,4003,18,1,0,False,8,car,0 days 00:00:05.859000,0 days 00:14:43.641000
2024-06-29 14:01:25.049,3877,18,1,0,False,8,car,0 days 00:00:06.139000,0 days 00:14:43.921000
