F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Red Bull Ring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-28 14:34:12.415,4348,36,1,0,False,8,car,0 days 00:00:00.214000,0 days 00:14:55.292000
2024-06-28 14:34:12.615,4347,35,1,0,False,8,car,0 days 00:00:00.414000,0 days 00:14:55.492000
2024-06-28 14:34:12.775,4354,35,1,0,False,8,car,0 days 00:00:00.574000,0 days 00:14:55.652000
2024-06-28 14:34:12.975,4280,34,1,0,False,8,car,0 days 00:00:00.774000,0 days 00:14:55.852000
2024-06-28 14:34:13.455,4159,32,1,0,True,8,car,0 days 00:00:01.254000,0 days 00:14:56.332000
2024-06-28 14:34:13.695,3943,31,1,0,False,8,car,0 days 00:00:01.494000,0 days 00:14:56.572000
2024-06-28 14:34:13.935,4043,30,1,0,True,8,car,0 days 00:00:01.734000,0 days 00:14:56.812000
2024-06-28 14:34:14.175,4059,29,1,0,True,8,car,0 days 00:00:01.974000,0 days 00:14:57.052000
2024-06-28 14:34:14.335,3949,29,1,0,True,8,car,0 days 00:00:02.134000,0 days 00:14:57.212000
2024-06-28 14:34:14.655,3988,27,1,0,True,8,car,0 days 00:00:02.454000,0 days 00:14:57.532000
2024-06-28 14:34:15.055,4089,26,1,0,True,8,car,0 days 00:00:02.854000,0 days 00:14:57.932000
2024-06-28 14:34:15.215,3927,25,1,0,True,8,car,0 days 00:00:03.014000,0 days 00:14:58.092000
2024-06-28 14:34:15.455,4003,24,1,0,False,8,car,0 days 00:00:03.254000,0 days 00:14:58.332000
2024-06-28 14:34:15.655,3889,23,1,0,True,8,car,0 days 00:00:03.454000,0 days 00:14:58.532000
2024-06-28 14:34:15.815,3919,22,1,0,True,8,car,0 days 00:00:03.614000,0 days 00:14:58.692000
2024-06-28 14:34:16.095,3975,21,1,0,False,8,car,0 days 00:00:03.894000,0 days 00:14:58.972000
2024-06-28 14:34:16.255,3938,21,1,0,False,8,car,0 days 00:00:04.054000,0 days 00:14:59.132000
2024-06-28 14:34:16.535,4065,20,1,0,True,8,car,0 days 00:00:04.334000,0 days 00:14:59.412000
2024-06-28 14:34:16.774,3896,19,1,0,True,8,car,0 days 00:00:04.573000,0 days 00:14:59.651000
2024-06-28 14:34:16.974,3968,18,1,0,True,8,car,0 days 00:00:04.773000,0 days 00:14:59.851000
2024-06-28 14:34:17.215,4061,17,1,0,True,8,car,0 days 00:00:05.014000,0 days 00:15:00.092000
2024-06-28 14:34:17.495,3996,15,1,0,True,8,car,0 days 00:00:05.294000,0 days 00:15:00.372000
2024-06-28 14:34:17.735,4048,15,1,0,False,8,car,0 days 00:00:05.534000,0 days 00:15:00.612000
2024-06-28 14:34:18.095,3959,14,1,0,False,8,car,0 days 00:00:05.894000,0 days 00:15:00.972000
2024-06-28 14:34:18.255,4003,13,1,0,False,8,car,0 days 00:00:06.054000,0 days 00:15:01.132000
2024-06-28 14:34:18.495,4092,12,1,0,False,8,car,0 days 00:00:06.294000,0 days 00:15:01.372000
2024-06-28 14:34:18.775,3991,12,1,0,False,8,car,0 days 00:00:06.574000,0 days 00:15:01.652000
2024-06-28 14:34:19.095,4022,11,1,0,False,8,car,0 days 00:00:06.894000,0 days 00:15:01.972000
2024-06-28 14:34:19.295,4036,10,1,0,False,8,car,0 days 00:00:07.094000,0 days 00:15:02.172000
2024-06-28 14:34:19.535,3986,10,1,0,False,8,car,0 days 00:00:07.334000,0 days 00:15:02.412000
2024-06-28 14:34:19.695,4051,10,1,0,False,8,car,0 days 00:00:07.494000,0 days 00:15:02.572000
2024-06-28 14:34:19.935,4003,9,1,0,False,8,car,0 days 00:00:07.734000,0 days 00:15:02.812000
2024-06-28 14:34:20.375,4032,7,1,0,False,8,car,0 days 00:00:08.174000,0 days 00:15:03.252000
2024-06-28 14:34:20.535,3984,7,1,0,False,8,car,0 days 00:00:08.334000,0 days 00:15:03.412000
2024-06-28 14:34:20.735,4040,7,1,0,False,8,car,0 days 00:00:08.534000,0 days 00:15:03.612000
2024-06-28 14:34:21.015,3915,6,1,0,False,8,car,0 days 00:00:08.814000,0 days 00:15:03.892000
