F1 for AiM
Racer,Logan Sargeant
Vehicle,Williams
Track,Red Bull Ring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-28 14:35:42.295,3900,22,1,0,False,8,car,0 days 00:00:00.144000,0 days 00:16:25.172000
2024-06-28 14:35:42.616,3979,23,1,0,False,8,car,0 days 00:00:00.465000,0 days 00:16:25.493000
2024-06-28 14:35:42.856,3947,25,1,0,False,8,car,0 days 00:00:00.705000,0 days 00:16:25.733000
2024-06-28 14:35:43.136,3953,26,1,0,False,8,car,0 days 00:00:00.985000,0 days 00:16:26.013000
2024-06-28 14:35:43.416,3995,27,1,0,False,8,car,0 days 00:00:01.265000,0 days 00:16:26.293000
2024-06-28 14:35:43.656,4009,28,1,0,False,8,car,0 days 00:00:01.505000,0 days 00:16:26.533000
2024-06-28 14:35:43.856,3990,29,1,0,False,8,car,0 days 00:00:01.705000,0 days 00:16:26.733000
2024-06-28 14:35:44.056,3967,30,1,0,False,8,car,0 days 00:00:01.905000,0 days 00:16:26.933000
2024-06-28 14:35:44.255,4003,31,1,0,False,8,car,0 days 00:00:02.104000,0 days 00:16:27.132000
2024-06-28 14:35:44.575,3958,33,1,0,False,8,car,0 days 00:00:02.424000,0 days 00:16:27.452000
2024-06-28 14:35:44.775,4579,34,1,0,False,8,car,0 days 00:00:02.624000,0 days 00:16:27.652000
2024-06-28 14:35:45.055,4443,33,1,0,False,8,car,0 days 00:00:02.904000,0 days 00:16:27.932000
2024-06-28 14:35:45.295,4316,32,1,0,False,8,car,0 days 00:00:03.144000,0 days 00:16:28.172000
2024-06-28 14:35:45.575,4229,31,1,0,False,8,car,0 days 00:00:03.424000,0 days 00:16:28.452000
2024-06-28 14:35:45.735,4040,31,1,0,False,8,car,0 days 00:00:03.584000,0 days 00:16:28.612000
2024-06-28 14:35:45.975,3596,31,1,0,False,8,car,0 days 00:00:03.824000,0 days 00:16:28.852000
