F1 for AiM
Racer,Oliver Bearman
Vehicle,Haas F1 Team
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-13 09:31:25.047,4674,41,1,7,False,8,car,0 days 00:00:00.175000,0 days 00:16:24.923000
2024-09-13 09:31:25.407,4916,42,1,8,False,8,car,0 days 00:00:00.535000,0 days 00:16:25.283000
2024-09-13 09:31:25.567,4996,43,1,10,False,8,car,0 days 00:00:00.695000,0 days 00:16:25.443000
2024-09-13 09:31:25.727,5233,44,1,10,False,8,car,0 days 00:00:00.855000,0 days 00:16:25.603000
2024-09-13 09:31:26.047,5540,47,1,13,False,8,car,0 days 00:00:01.175000,0 days 00:16:25.923000
2024-09-13 09:31:26.206,5802,48,1,16,False,8,car,0 days 00:00:01.334000,0 days 00:16:26.082000
2024-09-13 09:31:26.446,6112,52,1,19,False,8,car,0 days 00:00:01.574000,0 days 00:16:26.322000
2024-09-13 09:31:26.766,6751,57,1,22,False,8,car,0 days 00:00:01.894000,0 days 00:16:26.642000
2024-09-13 09:31:27.086,7045,61,1,23,False,8,car,0 days 00:00:02.214000,0 days 00:16:26.962000
2024-09-13 09:31:27.446,8388,73,1,30,False,8,car,0 days 00:00:02.574000,0 days 00:16:27.322000
2024-09-13 09:31:27.646,7271,76,1,34,False,8,car,0 days 00:00:02.774000,0 days 00:16:27.522000
2024-09-13 09:31:27.966,7609,83,2,36,False,8,car,0 days 00:00:03.094000,0 days 00:16:27.842000
2024-09-13 09:31:28.326,8145,92,2,40,False,8,car,0 days 00:00:03.454000,0 days 00:16:28.202000
2024-09-13 09:31:28.606,8937,95,2,42,False,8,car,0 days 00:00:03.734000,0 days 00:16:28.482000
2024-09-13 09:31:28.886,9200,104,2,46,False,8,car,0 days 00:00:04.014000,0 days 00:16:28.762000
2024-09-13 09:31:29.246,8812,113,2,50,False,8,car,0 days 00:00:04.374000,0 days 00:16:29.122000
2024-09-13 09:31:29.526,9133,122,3,52,False,8,car,0 days 00:00:04.654000,0 days 00:16:29.402000
2024-09-13 09:31:29.727,9512,126,3,52,False,8,car,0 days 00:00:04.855000,0 days 00:16:29.603000
2024-09-13 09:31:29.967,9949,129,3,55,False,8,car,0 days 00:00:05.095000,0 days 00:16:29.843000
2024-09-13 09:31:30.287,10637,139,3,62,False,8,car,0 days 00:00:05.415000,0 days 00:16:30.163000
2024-09-13 09:31:30.487,9825,144,3,61,False,8,car,0 days 00:00:05.615000,0 days 00:16:30.363000
