F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-13 09:31:01.326,4440,53,2,6,False,8,car,0 days 00:00:00.170000,0 days 00:16:01.202000
2024-09-13 09:31:01.486,4580,52,2,6,False,8,car,0 days 00:00:00.330000,0 days 00:16:01.362000
2024-09-13 09:31:01.686,4594,52,2,20,False,8,car,0 days 00:00:00.530000,0 days 00:16:01.562000
2024-09-13 09:31:01.926,4905,53,2,27,False,8,car,0 days 00:00:00.770000,0 days 00:16:01.802000
2024-09-13 09:31:02.086,5008,55,2,27,False,8,car,0 days 00:00:00.930000,0 days 00:16:01.962000
2024-09-13 09:31:02.246,5342,56,2,31,False,8,car,0 days 00:00:01.090000,0 days 00:16:02.122000
2024-09-13 09:31:02.486,5507,60,2,34,False,8,car,0 days 00:00:01.330000,0 days 00:16:02.362000
2024-09-13 09:31:02.806,5959,65,2,35,False,8,car,0 days 00:00:01.650000,0 days 00:16:02.682000
2024-09-13 09:31:03.166,6434,71,2,38,False,8,car,0 days 00:00:02.010000,0 days 00:16:03.042000
2024-09-13 09:31:03.527,7187,77,2,45,False,8,car,0 days 00:00:02.371000,0 days 00:16:03.403000
2024-09-13 09:31:03.807,7867,84,2,47,False,8,car,0 days 00:00:02.651000,0 days 00:16:03.683000
2024-09-13 09:31:04.127,8903,92,2,55,False,8,car,0 days 00:00:02.971000,0 days 00:16:04.003000
2024-09-13 09:31:04.487,9901,101,2,58,False,8,car,0 days 00:00:03.331000,0 days 00:16:04.363000
2024-09-13 09:31:04.647,9690,107,2,55,False,8,car,0 days 00:00:03.491000,0 days 00:16:04.523000
2024-09-13 09:31:05.047,9319,118,3,60,False,8,car,0 days 00:00:03.891000,0 days 00:16:04.923000
2024-09-13 09:31:05.527,10158,132,3,67,False,8,car,0 days 00:00:04.371000,0 days 00:16:05.403000
2024-09-13 09:31:05.847,10763,142,3,69,False,8,car,0 days 00:00:04.691000,0 days 00:16:05.723000
2024-09-13 09:31:06.126,11222,151,3,70,False,8,car,0 days 00:00:04.970000,0 days 00:16:06.002000
2024-09-13 09:31:06.486,9997,158,4,55,False,8,car,0 days 00:00:05.330000,0 days 00:16:06.362000
2024-09-13 09:31:06.806,10544,164,4,68,False,8,car,0 days 00:00:05.650000,0 days 00:16:06.682000
2024-09-13 09:31:07.086,10902,171,4,67,False,8,car,0 days 00:00:05.930000,0 days 00:16:06.962000
2024-09-13 09:31:07.286,10854,173,4,67,False,8,car,0 days 00:00:06.130000,0 days 00:16:07.162000
2024-09-13 09:31:07.526,10809,174,4,19,True,8,car,0 days 00:00:06.370000,0 days 00:16:07.402000
2024-09-13 09:31:07.686,10260,169,4,15,True,8,car,0 days 00:00:06.530000,0 days 00:16:07.562000
2024-09-13 09:31:07.966,9739,157,4,8,True,8,car,0 days 00:00:06.810000,0 days 00:16:07.842000
2024-09-13 09:31:08.406,8781,146,4,0,True,8,car,0 days 00:00:07.250000,0 days 00:16:08.282000
2024-09-13 09:31:08.846,8359,137,4,0,True,8,car,0 days 00:00:07.690000,0 days 00:16:08.722000
2024-09-13 09:31:09.006,8024,133,4,0,True,8,car,0 days 00:00:07.850000,0 days 00:16:08.882000
2024-09-13 09:31:09.446,8951,126,4,0,True,8,car,0 days 00:00:08.290000,0 days 00:16:09.322000
2024-09-13 09:31:09.886,8063,111,3,0,True,8,car,0 days 00:00:08.730000,0 days 00:16:09.762000
2024-09-13 09:31:10.167,8937,106,3,0,True,8,car,0 days 00:00:09.011000,0 days 00:16:10.043000
2024-09-13 09:31:10.367,8427,99,2,0,True,8,car,0 days 00:00:09.211000,0 days 00:16:10.243000
2024-09-13 09:31:10.727,7553,91,2,0,True,8,car,0 days 00:00:09.571000,0 days 00:16:10.603000
2024-09-13 09:31:11.007,7014,84,2,0,True,8,car,0 days 00:00:09.851000,0 days 00:16:10.883000
2024-09-13 09:31:11.207,6891,81,2,0,True,8,car,0 days 00:00:10.051000,0 days 00:16:11.083000
2024-09-13 09:31:11.407,6422,77,2,0,True,8,car,0 days 00:00:10.251000,0 days 00:16:11.283000
2024-09-13 09:31:11.727,6278,74,2,0,False,8,car,0 days 00:00:10.571000,0 days 00:16:11.603000
2024-09-13 09:31:11.967,6202,72,2,0,False,8,car,0 days 00:00:10.811000,0 days 00:16:11.843000
2024-09-13 09:31:12.167,6170,71,2,0,False,8,car,0 days 00:00:11.011000,0 days 00:16:12.043000
2024-09-13 09:31:12.367,6006,69,2,7,False,8,car,0 days 00:00:11.211000,0 days 00:16:12.243000
2024-09-13 09:31:12.607,6212,69,2,26,False,8,car,0 days 00:00:11.451000,0 days 00:16:12.483000
2024-09-13 09:31:12.966,6589,74,2,34,False,8,car,0 days 00:00:11.810000,0 days 00:16:12.842000
2024-09-13 09:31:13.326,6965,77,2,40,False,8,car,0 days 00:00:12.170000,0 days 00:16:13.202000
2024-09-13 09:31:13.526,7436,83,2,45,False,8,car,0 days 00:00:12.370000,0 days 00:16:13.402000
2024-09-13 09:31:13.766,8002,89,2,50,False,8,car,0 days 00:00:12.610000,0 days 00:16:13.642000
2024-09-13 09:31:13.926,8002,92,2,50,False,8,car,0 days 00:00:12.770000,0 days 00:16:13.802000
2024-09-13 09:31:14.286,9599,100,2,56,False,8,car,0 days 00:00:13.130000,0 days 00:16:14.162000
2024-09-13 09:31:14.446,10080,100,2,58,False,8,car,0 days 00:00:13.290000,0 days 00:16:14.322000
2024-09-13 09:31:14.806,10388,115,2,57,False,8,car,0 days 00:00:13.650000,0 days 00:16:14.682000
2024-09-13 09:31:15.126,9776,126,2,64,False,8,car,0 days 00:00:13.970000,0 days 00:16:15.002000
2024-09-13 09:31:15.446,10368,131,3,67,False,8,car,0 days 00:00:14.290000,0 days 00:16:15.322000
2024-09-13 09:31:15.926,9899,149,3,62,False,8,car,0 days 00:00:14.770000,0 days 00:16:15.802000
2024-09-13 09:31:16.126,9941,154,4,74,False,8,car,0 days 00:00:14.970000,0 days 00:16:16.002000
2024-09-13 09:31:16.526,10743,166,4,75,False,8,car,0 days 00:00:15.370000,0 days 00:16:16.402000
2024-09-13 09:31:16.767,10928,175,4,70,False,8,car,0 days 00:00:15.611000,0 days 00:16:16.643000
2024-09-13 09:31:17.087,11466,181,4,70,False,8,car,0 days 00:00:15.931000,0 days 00:16:16.963000
2024-09-13 09:31:17.247,11046,184,4,67,False,8,car,0 days 00:00:16.091000,0 days 00:16:17.123000
2024-09-13 09:31:17.527,10262,189,5,75,False,8,car,0 days 00:00:16.371000,0 days 00:16:17.403000
2024-09-13 09:31:17.687,10248,193,5,71,False,8,car,0 days 00:00:16.531000,0 days 00:16:17.563000
2024-09-13 09:31:17.887,10440,197,5,71,False,8,car,0 days 00:00:16.731000,0 days 00:16:17.763000
2024-09-13 09:31:18.167,10680,202,5,63,False,8,car,0 days 00:00:17.011000,0 days 00:16:18.043000
2024-09-13 09:31:18.567,10633,202,5,85,False,8,car,0 days 00:00:17.411000,0 days 00:16:18.443000
2024-09-13 09:31:18.807,10652,202,5,87,False,8,car,0 days 00:00:17.651000,0 days 00:16:18.683000
2024-09-13 09:31:18.967,9952,201,5,89,False,8,car,0 days 00:00:17.811000,0 days 00:16:18.843000
2024-09-13 09:31:19.127,8989,201,6,92,False,8,car,0 days 00:00:17.971000,0 days 00:16:19.003000
2024-09-13 09:31:19.287,9111,200,6,92,False,8,car,0 days 00:00:18.131000,0 days 00:16:19.163000
2024-09-13 09:31:19.646,9051,199,6,95,False,8,car,0 days 00:00:18.490000,0 days 00:16:19.522000
2024-09-13 09:31:19.886,9058,199,6,96,False,8,car,0 days 00:00:18.730000,0 days 00:16:19.762000
2024-09-13 09:31:20.246,9058,199,6,98,False,8,car,0 days 00:00:19.090000,0 days 00:16:20.122000
2024-09-13 09:31:20.606,9109,200,6,100,False,8,car,0 days 00:00:19.450000,0 days 00:16:20.482000
2024-09-13 09:31:20.766,9136,200,6,100,False,8,car,0 days 00:00:19.610000,0 days 00:16:20.642000
2024-09-13 09:31:20.966,9123,200,6,100,False,8,car,0 days 00:00:19.810000,0 days 00:16:20.842000
2024-09-13 09:31:21.166,9100,200,6,100,False,8,car,0 days 00:00:20.010000,0 days 00:16:21.042000
2024-09-13 09:31:21.326,9094,199,6,100,False,8,car,0 days 00:00:20.170000,0 days 00:16:21.202000
2024-09-13 09:31:21.686,9093,200,6,100,False,8,car,0 days 00:00:20.530000,0 days 00:16:21.562000
2024-09-13 09:31:21.926,9101,200,6,100,False,8,car,0 days 00:00:20.770000,0 days 00:16:21.802000
2024-09-13 09:31:22.326,9082,200,6,100,False,8,car,0 days 00:00:21.170000,0 days 00:16:22.202000
2024-09-13 09:31:22.486,9088,200,6,100,False,8,car,0 days 00:00:21.330000,0 days 00:16:22.362000
2024-09-13 09:31:22.646,9115,199,6,100,False,8,car,0 days 00:00:21.490000,0 days 00:16:22.522000
2024-09-13 09:31:22.806,8926,200,6,100,False,8,car,0 days 00:00:21.650000,0 days 00:16:22.682000
2024-09-13 09:31:23.006,9267,201,6,94,False,8,car,0 days 00:00:21.850000,0 days 00:16:22.882000
2024-09-13 09:31:23.247,9458,205,6,96,False,8,car,0 days 00:00:22.091000,0 days 00:16:23.123000
2024-09-13 09:31:23.487,9614,209,6,100,False,8,car,0 days 00:00:22.331000,0 days 00:16:23.363000
2024-09-13 09:31:23.727,9749,212,6,100,False,8,car,0 days 00:00:22.571000,0 days 00:16:23.603000
2024-09-13 09:31:24.087,9928,219,6,100,False,8,car,0 days 00:00:22.931000,0 days 00:16:23.963000
2024-09-13 09:31:24.367,10257,225,6,100,False,8,car,0 days 00:00:23.211000,0 days 00:16:24.243000
2024-09-13 09:31:24.567,10454,228,6,100,False,8,car,0 days 00:00:23.411000,0 days 00:16:24.443000
2024-09-13 09:31:24.807,10652,228,6,99,False,8,car,0 days 00:00:23.651000,0 days 00:16:24.683000
2024-09-13 09:31:25.047,10980,237,6,100,False,14,car,0 days 00:00:23.891000,0 days 00:16:24.923000
2024-09-13 09:31:25.407,11330,244,6,100,False,12,car,0 days 00:00:24.251000,0 days 00:16:25.283000
2024-09-13 09:31:25.567,11412,249,6,100,False,12,car,0 days 00:00:24.411000,0 days 00:16:25.443000
2024-09-13 09:31:25.727,11642,251,6,86,True,12,car,0 days 00:00:24.571000,0 days 00:16:25.603000
2024-09-13 09:31:26.047,11116,251,6,23,True,8,car,0 days 00:00:24.891000,0 days 00:16:25.923000
2024-09-13 09:31:26.206,10605,240,6,16,True,8,car,0 days 00:00:25.050000,0 days 00:16:26.082000
2024-09-13 09:31:26.446,9940,227,6,9,True,8,car,0 days 00:00:25.290000,0 days 00:16:26.322000
2024-09-13 09:31:26.766,9152,203,6,0,True,8,car,0 days 00:00:25.610000,0 days 00:16:26.642000
2024-09-13 09:31:27.086,8728,188,6,0,True,8,car,0 days 00:00:25.930000,0 days 00:16:26.962000
2024-09-13 09:31:27.446,8805,171,6,0,True,8,car,0 days 00:00:26.290000,0 days 00:16:27.322000
2024-09-13 09:31:27.646,8513,166,5,0,True,8,car,0 days 00:00:26.490000,0 days 00:16:27.522000
2024-09-13 09:31:27.966,8862,153,5,0,True,8,car,0 days 00:00:26.810000,0 days 00:16:27.842000
2024-09-13 09:31:28.326,8327,140,4,0,True,8,car,0 days 00:00:27.170000,0 days 00:16:28.202000
2024-09-13 09:31:28.606,7828,130,4,0,True,8,car,0 days 00:00:27.450000,0 days 00:16:28.482000
2024-09-13 09:31:28.886,8630,120,4,0,True,8,car,0 days 00:00:27.730000,0 days 00:16:28.762000
2024-09-13 09:31:29.246,7516,109,3,0,True,8,car,0 days 00:00:28.090000,0 days 00:16:29.122000
2024-09-13 09:31:29.526,6875,97,3,0,True,8,car,0 days 00:00:28.370000,0 days 00:16:29.402000
2024-09-13 09:31:29.727,6544,92,3,0,True,8,car,0 days 00:00:28.571000,0 days 00:16:29.603000
2024-09-13 09:31:29.967,6145,87,3,0,True,8,car,0 days 00:00:28.811000,0 days 00:16:29.843000
2024-09-13 09:31:30.287,5979,82,3,0,False,8,car,0 days 00:00:29.131000,0 days 00:16:30.163000
2024-09-13 09:31:30.487,5928,81,3,0,False,8,car,0 days 00:00:29.331000,0 days 00:16:30.363000
2024-09-13 09:31:31.007,5858,78,3,10,False,8,car,0 days 00:00:29.851000,0 days 00:16:30.883000
2024-09-13 09:31:31.407,6245,80,3,28,False,8,car,0 days 00:00:30.251000,0 days 00:16:31.283000
2024-09-13 09:31:31.687,6169,82,3,31,False,8,car,0 days 00:00:30.531000,0 days 00:16:31.563000
2024-09-13 09:31:31.847,6471,84,3,42,False,8,car,0 days 00:00:30.691000,0 days 00:16:31.723000
2024-09-13 09:31:32.207,7007,91,3,47,False,8,car,0 days 00:00:31.051000,0 days 00:16:32.083000
2024-09-13 09:31:32.407,7397,95,3,51,False,8,car,0 days 00:00:31.251000,0 days 00:16:32.283000
2024-09-13 09:31:32.647,7787,100,3,56,False,8,car,0 days 00:00:31.491000,0 days 00:16:32.523000
2024-09-13 09:31:32.846,7926,106,3,57,False,8,car,0 days 00:00:31.690000,0 days 00:16:32.722000
2024-09-13 09:31:33.246,9296,118,3,64,False,8,car,0 days 00:00:32.090000,0 days 00:16:33.122000
2024-09-13 09:31:33.566,10086,132,3,69,False,8,car,0 days 00:00:32.410000,0 days 00:16:33.442000
2024-09-13 09:31:33.726,10487,136,3,70,False,8,car,0 days 00:00:32.570000,0 days 00:16:33.602000
2024-09-13 09:31:34.046,11367,145,3,69,False,8,car,0 days 00:00:32.890000,0 days 00:16:33.922000
2024-09-13 09:31:34.486,9959,158,4,61,False,8,car,0 days 00:00:33.330000,0 days 00:16:34.362000
2024-09-13 09:31:34.766,9947,158,4,23,True,8,car,0 days 00:00:33.610000,0 days 00:16:34.642000
2024-09-13 09:31:34.926,9307,158,4,7,True,8,car,0 days 00:00:33.770000,0 days 00:16:34.802000
2024-09-13 09:31:35.206,8774,144,4,3,True,8,car,0 days 00:00:34.050000,0 days 00:16:35.082000
2024-09-13 09:31:35.446,8098,137,4,2,True,8,car,0 days 00:00:34.290000,0 days 00:16:35.322000
2024-09-13 09:31:35.726,7224,122,4,2,True,8,car,0 days 00:00:34.570000,0 days 00:16:35.602000
2024-09-13 09:31:36.006,6511,113,4,1,True,8,car,0 days 00:00:34.850000,0 days 00:16:35.882000
2024-09-13 09:31:36.327,7094,99,3,0,True,8,car,0 days 00:00:35.171000,0 days 00:16:36.203000
2024-09-13 09:31:36.527,6931,95,3,0,True,8,car,0 days 00:00:35.371000,0 days 00:16:36.403000
2024-09-13 09:31:36.847,6274,89,3,0,True,8,car,0 days 00:00:35.691000,0 days 00:16:36.723000
2024-09-13 09:31:37.047,5955,86,3,0,True,8,car,0 days 00:00:35.891000,0 days 00:16:36.923000
2024-09-13 09:31:37.247,6279,79,3,0,True,8,car,0 days 00:00:36.091000,0 days 00:16:37.123000
2024-09-13 09:31:37.487,6731,77,3,0,True,8,car,0 days 00:00:36.331000,0 days 00:16:37.363000
2024-09-13 09:31:37.767,6363,75,2,0,False,8,car,0 days 00:00:36.611000,0 days 00:16:37.643000
2024-09-13 09:31:37.967,6416,73,2,0,False,8,car,0 days 00:00:36.811000,0 days 00:16:37.843000
2024-09-13 09:31:38.127,6141,72,2,0,False,8,car,0 days 00:00:36.971000,0 days 00:16:38.003000
2024-09-13 09:31:38.527,6018,70,2,4,False,8,car,0 days 00:00:37.371000,0 days 00:16:38.403000
2024-09-13 09:31:38.807,6127,69,2,16,False,8,car,0 days 00:00:37.651000,0 days 00:16:38.683000
2024-09-13 09:31:39.167,6386,73,2,29,False,8,car,0 days 00:00:38.011000,0 days 00:16:39.043000
2024-09-13 09:31:39.327,6762,74,2,34,False,8,car,0 days 00:00:38.171000,0 days 00:16:39.203000
2024-09-13 09:31:39.527,7178,77,2,38,False,8,car,0 days 00:00:38.371000,0 days 00:16:39.403000
2024-09-13 09:31:39.766,7334,81,2,41,False,8,car,0 days 00:00:38.610000,0 days 00:16:39.642000
2024-09-13 09:31:40.006,7514,85,2,43,False,8,car,0 days 00:00:38.850000,0 days 00:16:39.882000
2024-09-13 09:31:40.166,8052,90,2,50,False,8,car,0 days 00:00:39.010000,0 days 00:16:40.042000
2024-09-13 09:31:40.406,8753,95,2,51,False,8,car,0 days 00:00:39.250000,0 days 00:16:40.282000
2024-09-13 09:31:40.606,9118,101,2,53,False,8,car,0 days 00:00:39.450000,0 days 00:16:40.482000
2024-09-13 09:31:40.766,9510,106,2,55,False,8,car,0 days 00:00:39.610000,0 days 00:16:40.642000
2024-09-13 09:31:41.006,10132,112,2,57,False,8,car,0 days 00:00:39.850000,0 days 00:16:40.882000
2024-09-13 09:31:41.206,10216,114,2,59,False,8,car,0 days 00:00:40.050000,0 days 00:16:41.082000
2024-09-13 09:31:41.446,9469,122,2,62,False,8,car,0 days 00:00:40.290000,0 days 00:16:41.322000
2024-09-13 09:31:41.646,9868,128,3,62,False,8,car,0 days 00:00:40.490000,0 days 00:16:41.522000
2024-09-13 09:31:41.926,10697,137,3,71,False,8,car,0 days 00:00:40.770000,0 days 00:16:41.802000
2024-09-13 09:31:42.246,11268,148,3,76,False,8,car,0 days 00:00:41.090000,0 days 00:16:42.122000
2024-09-13 09:31:42.526,10451,155,3,82,False,8,car,0 days 00:00:41.370000,0 days 00:16:42.402000
2024-09-13 09:31:42.686,10500,163,4,75,False,8,car,0 days 00:00:41.530000,0 days 00:16:42.562000
2024-09-13 09:31:42.927,11065,169,4,85,False,8,car,0 days 00:00:41.771000,0 days 00:16:42.803000
2024-09-13 09:31:43.167,11346,181,4,94,False,8,car,0 days 00:00:42.011000,0 days 00:16:43.043000
2024-09-13 09:31:43.327,11942,185,4,100,False,8,car,0 days 00:00:42.171000,0 days 00:16:43.203000
2024-09-13 09:31:43.807,10765,199,5,100,False,8,car,0 days 00:00:42.651000,0 days 00:16:43.683000
2024-09-13 09:31:44.207,11121,207,5,41,True,8,car,0 days 00:00:43.051000,0 days 00:16:44.083000
2024-09-13 09:31:44.367,10561,203,5,15,True,8,car,0 days 00:00:43.211000,0 days 00:16:44.243000
2024-09-13 09:31:44.567,10130,198,5,7,True,8,car,0 days 00:00:43.411000,0 days 00:16:44.443000
2024-09-13 09:31:44.767,9625,184,5,4,True,8,car,0 days 00:00:43.611000,0 days 00:16:44.643000
2024-09-13 09:31:44.927,9086,179,5,3,True,8,car,0 days 00:00:43.771000,0 days 00:16:44.803000
2024-09-13 09:31:45.207,8365,164,5,2,True,8,car,0 days 00:00:44.051000,0 days 00:16:45.083000
2024-09-13 09:31:45.487,7707,148,5,2,True,8,car,0 days 00:00:44.331000,0 days 00:16:45.363000
2024-09-13 09:31:45.727,8308,140,5,0,True,8,car,0 days 00:00:44.571000,0 days 00:16:45.603000
2024-09-13 09:31:45.927,8156,132,4,0,True,8,car,0 days 00:00:44.771000,0 days 00:16:45.803000
2024-09-13 09:31:46.087,8993,128,4,0,True,8,car,0 days 00:00:44.931000,0 days 00:16:45.963000
2024-09-13 09:31:46.446,8239,113,3,0,True,8,car,0 days 00:00:45.290000,0 days 00:16:46.322000
2024-09-13 09:31:46.686,7437,104,3,0,True,8,car,0 days 00:00:45.530000,0 days 00:16:46.562000
2024-09-13 09:31:47.086,6613,95,3,0,True,8,car,0 days 00:00:45.930000,0 days 00:16:46.962000
2024-09-13 09:31:47.406,6485,90,3,0,False,8,car,0 days 00:00:46.250000,0 days 00:16:47.282000
2024-09-13 09:31:47.686,6394,88,3,0,False,8,car,0 days 00:00:46.530000,0 days 00:16:47.562000
2024-09-13 09:31:47.926,6270,87,3,0,False,8,car,0 days 00:00:46.770000,0 days 00:16:47.802000
2024-09-13 09:31:48.126,6156,85,3,0,False,8,car,0 days 00:00:46.970000,0 days 00:16:48.002000
2024-09-13 09:31:48.326,6131,84,3,0,False,8,car,0 days 00:00:47.170000,0 days 00:16:48.202000
2024-09-13 09:31:48.646,5946,83,3,0,False,8,car,0 days 00:00:47.490000,0 days 00:16:48.522000
2024-09-13 09:31:49.006,5804,80,3,0,False,8,car,0 days 00:00:47.850000,0 days 00:16:48.882000
2024-09-13 09:31:49.166,5816,79,3,0,False,8,car,0 days 00:00:48.010000,0 days 00:16:49.042000
2024-09-13 09:31:49.447,6948,78,3,0,False,8,car,0 days 00:00:48.291000,0 days 00:16:49.323000
2024-09-13 09:31:49.727,6382,76,2,0,False,8,car,0 days 00:00:48.571000,0 days 00:16:49.603000
2024-09-13 09:31:50.047,6554,74,2,0,False,8,car,0 days 00:00:48.891000,0 days 00:16:49.923000
2024-09-13 09:31:50.487,6023,71,2,8,False,8,car,0 days 00:00:49.331000,0 days 00:16:50.363000
2024-09-13 09:31:50.647,6140,70,2,22,False,8,car,0 days 00:00:49.491000,0 days 00:16:50.523000
2024-09-13 09:31:50.927,6333,72,2,27,False,8,car,0 days 00:00:49.771000,0 days 00:16:50.803000
2024-09-13 09:31:51.287,6560,75,2,34,False,8,car,0 days 00:00:50.131000,0 days 00:16:51.163000
2024-09-13 09:31:51.527,7018,78,2,36,False,8,car,0 days 00:00:50.371000,0 days 00:16:51.403000
2024-09-13 09:31:51.727,7412,81,2,41,False,8,car,0 days 00:00:50.571000,0 days 00:16:51.603000
2024-09-13 09:31:51.887,7412,85,2,41,False,8,car,0 days 00:00:50.731000,0 days 00:16:51.763000
2024-09-13 09:31:52.047,7959,86,2,48,False,8,car,0 days 00:00:50.891000,0 days 00:16:51.923000
2024-09-13 09:31:52.327,8679,94,2,58,False,8,car,0 days 00:00:51.171000,0 days 00:16:52.203000
2024-09-13 09:31:52.567,9590,104,2,62,False,8,car,0 days 00:00:51.411000,0 days 00:16:52.443000
2024-09-13 09:31:52.727,10336,107,2,67,False,8,car,0 days 00:00:51.571000,0 days 00:16:52.603000
2024-09-13 09:31:52.887,11063,115,2,68,False,8,car,0 days 00:00:51.731000,0 days 00:16:52.763000
2024-09-13 09:31:53.086,11286,122,2,68,False,8,car,0 days 00:00:51.930000,0 days 00:16:52.962000
2024-09-13 09:31:53.286,11378,130,2,68,False,8,car,0 days 00:00:52.130000,0 days 00:16:53.162000
2024-09-13 09:31:53.486,10769,137,2,71,False,8,car,0 days 00:00:52.330000,0 days 00:16:53.362000
2024-09-13 09:31:53.806,11519,148,3,78,False,8,car,0 days 00:00:52.650000,0 days 00:16:53.682000
2024-09-13 09:31:53.966,12149,157,3,99,False,8,car,0 days 00:00:52.810000,0 days 00:16:53.842000
2024-09-13 09:31:54.126,11323,157,3,100,False,8,car,0 days 00:00:52.970000,0 days 00:16:54.002000
2024-09-13 09:31:54.406,11282,174,4,100,False,8,car,0 days 00:00:53.250000,0 days 00:16:54.282000
2024-09-13 09:31:54.566,11403,178,4,100,False,8,car,0 days 00:00:53.410000,0 days 00:16:54.442000
2024-09-13 09:31:54.886,11708,193,4,98,False,8,car,0 days 00:00:53.730000,0 days 00:16:54.762000
2024-09-13 09:31:55.246,11045,203,5,96,False,8,car,0 days 00:00:54.090000,0 days 00:16:55.122000
