F1 for AiM
Racer,Franco Colapinto
Vehicle,Williams
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-13 13:12:54.086,5228,62,2,2,False,8,car,0 days 00:00:00.052000,0 days 00:26:54.010000
2024-09-13 13:12:54.326,5152,60,2,2,False,8,car,0 days 00:00:00.292000,0 days 00:26:54.250000
2024-09-13 13:12:54.486,5166,59,2,5,False,8,car,0 days 00:00:00.452000,0 days 00:26:54.410000
2024-09-13 13:12:54.646,5034,59,2,10,False,8,car,0 days 00:00:00.612000,0 days 00:26:54.570000
2024-09-13 13:12:54.926,5148,60,2,12,False,8,car,0 days 00:00:00.892000,0 days 00:26:54.850000
2024-09-13 13:12:55.086,5427,62,2,18,False,8,car,0 days 00:00:01.052000,0 days 00:26:55.010000
2024-09-13 13:12:55.366,5510,64,2,19,False,8,car,0 days 00:00:01.332000,0 days 00:26:55.290000
2024-09-13 13:12:55.566,5844,66,2,21,False,8,car,0 days 00:00:01.532000,0 days 00:26:55.490000
2024-09-13 13:12:55.926,6273,71,2,26,False,8,car,0 days 00:00:01.892000,0 days 00:26:55.850000
2024-09-13 13:12:56.246,6731,76,2,32,False,8,car,0 days 00:00:02.212000,0 days 00:26:56.170000
2024-09-13 13:12:56.406,7122,80,2,35,False,8,car,0 days 00:00:02.372000,0 days 00:26:56.330000
2024-09-13 13:12:56.846,7905,89,2,34,False,8,car,0 days 00:00:02.812000,0 days 00:26:56.770000
2024-09-13 13:12:57.046,8229,93,2,36,False,8,car,0 days 00:00:03.012000,0 days 00:26:56.970000
2024-09-13 13:12:57.407,8574,100,2,37,False,8,car,0 days 00:00:03.373000,0 days 00:26:57.331000
2024-09-13 13:12:57.607,9058,104,2,39,False,8,car,0 days 00:00:03.573000,0 days 00:26:57.531000
2024-09-13 13:12:57.887,9353,111,2,42,False,8,car,0 days 00:00:03.853000,0 days 00:26:57.811000
2024-09-13 13:12:58.287,10267,119,2,46,False,8,car,0 days 00:00:04.253000,0 days 00:26:58.211000
2024-09-13 13:12:58.487,10158,123,2,48,False,8,car,0 days 00:00:04.453000,0 days 00:26:58.411000
2024-09-13 13:12:58.926,9539,133,3,51,False,8,car,0 days 00:00:04.892000,0 days 00:26:58.850000
2024-09-13 13:12:59.286,10417,142,3,53,False,8,car,0 days 00:00:05.252000,0 days 00:26:59.210000
2024-09-13 13:12:59.726,11004,151,3,53,False,8,car,0 days 00:00:05.692000,0 days 00:26:59.650000
2024-09-13 13:13:00.086,11673,159,3,55,False,8,car,0 days 00:00:06.052000,0 days 00:27:00.010000
2024-09-13 13:13:00.326,10351,163,3,55,False,8,car,0 days 00:00:06.292000,0 days 00:27:00.250000
2024-09-13 13:13:00.526,10416,167,4,55,False,8,car,0 days 00:00:06.492000,0 days 00:27:00.450000
2024-09-13 13:13:00.886,10738,175,4,41,False,8,car,0 days 00:00:06.852000,0 days 00:27:00.810000
2024-09-13 13:13:01.166,10681,174,4,0,False,8,car,0 days 00:00:07.132000,0 days 00:27:01.090000
2024-09-13 13:13:01.326,10459,173,4,0,False,8,car,0 days 00:00:07.292000,0 days 00:27:01.250000
2024-09-13 13:13:01.606,10224,167,4,0,True,8,car,0 days 00:00:07.572000,0 days 00:27:01.530000
2024-09-13 13:13:01.966,9432,158,4,0,True,8,car,0 days 00:00:07.932000,0 days 00:27:01.890000
2024-09-13 13:13:02.326,8482,141,4,0,True,8,car,0 days 00:00:08.292000,0 days 00:27:02.250000
2024-09-13 13:13:02.566,7810,132,4,0,True,8,car,0 days 00:00:08.532000,0 days 00:27:02.490000
2024-09-13 13:13:02.766,7477,124,4,0,True,8,car,0 days 00:00:08.732000,0 days 00:27:02.690000
2024-09-13 13:13:02.926,8177,116,4,0,True,8,car,0 days 00:00:08.892000,0 days 00:27:02.850000
2024-09-13 13:13:03.126,7861,108,3,0,True,8,car,0 days 00:00:09.092000,0 days 00:27:03.050000
2024-09-13 13:13:03.286,8029,105,3,0,True,8,car,0 days 00:00:09.252000,0 days 00:27:03.210000
2024-09-13 13:13:03.606,7657,94,2,0,True,8,car,0 days 00:00:09.572000,0 days 00:27:03.530000
2024-09-13 13:13:03.766,7307,89,2,0,True,8,car,0 days 00:00:09.732000,0 days 00:27:03.690000
2024-09-13 13:13:03.967,6848,84,2,0,True,8,car,0 days 00:00:09.933000,0 days 00:27:03.891000
2024-09-13 13:13:04.167,6331,78,2,0,True,8,car,0 days 00:00:10.133000,0 days 00:27:04.091000
2024-09-13 13:13:04.447,5981,72,2,0,True,8,car,0 days 00:00:10.413000,0 days 00:27:04.371000
2024-09-13 13:13:04.807,5457,64,2,0,True,8,car,0 days 00:00:10.773000,0 days 00:27:04.731000
