F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:55:38.694,5040,45,1,4,False,8,car,0 days 00:00:00.143000,0 days 00:40:04.106000
2024-09-14 08:55:38.854,5141,44,1,6,False,8,car,0 days 00:00:00.303000,0 days 00:40:04.266000
2024-09-14 08:55:39.094,5194,45,1,9,False,8,car,0 days 00:00:00.543000,0 days 00:40:04.506000
2024-09-14 08:55:39.294,5262,47,1,10,False,8,car,0 days 00:00:00.743000,0 days 00:40:04.706000
2024-09-14 08:55:39.614,5586,49,1,11,False,8,car,0 days 00:00:01.063000,0 days 00:40:05.026000
2024-09-14 08:55:40.014,5939,52,1,14,False,8,car,0 days 00:00:01.463000,0 days 00:40:05.426000
2024-09-14 08:55:40.174,6210,54,1,15,False,8,car,0 days 00:00:01.623000,0 days 00:40:05.586000
2024-09-14 08:55:40.334,6325,55,1,16,False,8,car,0 days 00:00:01.783000,0 days 00:40:05.746000
2024-09-14 08:55:40.654,6823,59,1,16,False,8,car,0 days 00:00:02.103000,0 days 00:40:06.066000
2024-09-14 08:55:40.894,7001,62,1,17,False,8,car,0 days 00:00:02.343000,0 days 00:40:06.306000
2024-09-14 08:55:41.094,7251,64,1,17,False,8,car,0 days 00:00:02.543000,0 days 00:40:06.506000
2024-09-14 08:55:41.454,7573,66,1,16,False,8,car,0 days 00:00:02.903000,0 days 00:40:06.866000
2024-09-14 08:55:41.895,7739,69,1,17,False,8,car,0 days 00:00:03.344000,0 days 00:40:07.307000
2024-09-14 08:55:42.255,8050,71,1,18,False,8,car,0 days 00:00:03.704000,0 days 00:40:07.667000
2024-09-14 08:55:42.415,8165,72,1,22,False,8,car,0 days 00:00:03.864000,0 days 00:40:07.827000
2024-09-14 08:55:42.575,8514,73,1,23,False,8,car,0 days 00:00:04.024000,0 days 00:40:07.987000
2024-09-14 08:55:42.895,8863,78,1,27,False,8,car,0 days 00:00:04.344000,0 days 00:40:08.307000
2024-09-14 08:55:43.135,9177,81,1,30,False,8,car,0 days 00:00:04.584000,0 days 00:40:08.547000
2024-09-14 08:55:43.535,10037,87,1,35,False,8,car,0 days 00:00:04.984000,0 days 00:40:08.947000
2024-09-14 08:55:43.814,10443,92,1,37,False,8,car,0 days 00:00:05.263000,0 days 00:40:09.226000
2024-09-14 08:55:44.134,10911,96,1,37,False,8,car,0 days 00:00:05.583000,0 days 00:40:09.546000
2024-09-14 08:55:44.294,11100,99,1,37,False,8,car,0 days 00:00:05.743000,0 days 00:40:09.706000
2024-09-14 08:55:44.614,9140,105,2,37,False,8,car,0 days 00:00:06.063000,0 days 00:40:10.026000
2024-09-14 08:55:44.894,9738,112,2,43,False,8,car,0 days 00:00:06.343000,0 days 00:40:10.306000
2024-09-14 08:55:45.054,10050,114,2,44,False,8,car,0 days 00:00:06.503000,0 days 00:40:10.466000
2024-09-14 08:55:45.214,10378,119,2,47,False,8,car,0 days 00:00:06.663000,0 days 00:40:10.626000
2024-09-14 08:55:45.494,10935,126,2,50,False,8,car,0 days 00:00:06.943000,0 days 00:40:10.906000
2024-09-14 08:55:45.814,9641,133,2,51,False,8,car,0 days 00:00:07.263000,0 days 00:40:11.226000
2024-09-14 08:55:45.974,10180,139,3,54,False,8,car,0 days 00:00:07.423000,0 days 00:40:11.386000
