F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:43:12.132,6609,52,1,12,False,8,car,0 days 00:00:00.126000,0 days 00:27:37.544000
2024-09-14 08:43:12.372,6659,52,1,12,False,8,car,0 days 00:00:00.366000,0 days 00:27:37.784000
2024-09-14 08:43:12.772,7369,56,1,22,False,8,car,0 days 00:00:00.766000,0 days 00:27:38.184000
2024-09-14 08:43:13.012,7673,59,1,26,False,8,car,0 days 00:00:01.006000,0 days 00:27:38.424000
2024-09-14 08:43:13.212,7953,62,1,27,False,8,car,0 days 00:00:01.206000,0 days 00:27:38.624000
2024-09-14 08:43:13.612,8807,68,1,38,False,8,car,0 days 00:00:01.606000,0 days 00:27:39.024000
2024-09-14 08:43:13.772,9195,72,1,43,False,8,car,0 days 00:00:01.766000,0 days 00:27:39.184000
2024-09-14 08:43:14.012,9984,76,1,47,False,8,car,0 days 00:00:02.006000,0 days 00:27:39.424000
2024-09-14 08:43:14.172,9409,81,1,50,False,8,car,0 days 00:00:02.166000,0 days 00:27:39.584000
2024-09-14 08:43:14.372,8137,83,2,54,False,8,car,0 days 00:00:02.366000,0 days 00:27:39.784000
2024-09-14 08:43:14.612,8857,89,2,58,False,8,car,0 days 00:00:02.606000,0 days 00:27:40.024000
2024-09-14 08:43:14.852,9349,99,2,62,False,8,car,0 days 00:00:02.846000,0 days 00:27:40.264000
2024-09-14 08:43:15.172,9969,105,2,62,False,8,car,0 days 00:00:03.166000,0 days 00:27:40.584000
2024-09-14 08:43:15.412,10866,111,2,68,False,8,car,0 days 00:00:03.406000,0 days 00:27:40.824000
2024-09-14 08:43:15.572,11269,120,2,72,False,8,car,0 days 00:00:03.566000,0 days 00:27:40.984000
2024-09-14 08:43:15.852,10303,126,2,72,False,8,car,0 days 00:00:03.846000,0 days 00:27:41.264000
2024-09-14 08:43:16.292,10616,139,3,87,False,8,car,0 days 00:00:04.286000,0 days 00:27:41.704000
2024-09-14 08:43:16.612,10965,148,3,82,False,8,car,0 days 00:00:04.606000,0 days 00:27:42.024000
2024-09-14 08:43:16.812,11656,155,3,85,False,8,car,0 days 00:00:04.806000,0 days 00:27:42.224000
2024-09-14 08:43:17.012,10622,162,3,100,False,8,car,0 days 00:00:05.006000,0 days 00:27:42.424000
2024-09-14 08:43:17.212,10326,168,4,91,False,8,car,0 days 00:00:05.206000,0 days 00:27:42.624000
2024-09-14 08:43:17.652,11672,184,4,100,False,8,car,0 days 00:00:05.646000,0 days 00:27:43.064000
2024-09-14 08:43:17.852,11223,192,4,100,False,8,car,0 days 00:00:05.846000,0 days 00:27:43.264000
2024-09-14 08:43:18.052,10374,197,4,100,False,8,car,0 days 00:00:06.046000,0 days 00:27:43.464000
2024-09-14 08:43:18.452,9359,181,5,0,True,8,car,0 days 00:00:06.446000,0 days 00:27:43.864000
2024-09-14 08:43:18.612,9308,177,5,0,True,8,car,0 days 00:00:06.606000,0 days 00:27:44.024000
2024-09-14 08:43:18.812,9888,169,5,0,True,8,car,0 days 00:00:06.806000,0 days 00:27:44.224000
2024-09-14 08:43:19.052,11148,162,4,0,True,8,car,0 days 00:00:07.046000,0 days 00:27:44.464000
2024-09-14 08:43:19.292,10994,155,3,0,True,8,car,0 days 00:00:07.286000,0 days 00:27:44.704000
2024-09-14 08:43:19.492,10480,149,3,0,True,8,car,0 days 00:00:07.486000,0 days 00:27:44.904000
2024-09-14 08:43:19.692,9768,145,3,0,True,8,car,0 days 00:00:07.686000,0 days 00:27:45.104000
2024-09-14 08:43:19.852,9664,134,3,0,True,8,car,0 days 00:00:07.846000,0 days 00:27:45.264000
2024-09-14 08:43:20.172,10939,126,2,0,True,8,car,0 days 00:00:08.166000,0 days 00:27:45.584000
2024-09-14 08:43:20.372,10155,114,2,0,True,8,car,0 days 00:00:08.366000,0 days 00:27:45.784000
2024-09-14 08:43:20.532,9572,110,2,0,True,8,car,0 days 00:00:08.526000,0 days 00:27:45.944000
2024-09-14 08:43:20.732,8770,103,2,0,True,8,car,0 days 00:00:08.726000,0 days 00:27:46.144000
2024-09-14 08:43:21.092,7759,89,2,0,True,8,car,0 days 00:00:09.086000,0 days 00:27:46.504000
2024-09-14 08:43:21.412,6938,82,2,0,True,8,car,0 days 00:00:09.406000,0 days 00:27:46.824000
2024-09-14 08:43:21.772,6504,74,2,0,True,8,car,0 days 00:00:09.766000,0 days 00:27:47.184000
2024-09-14 08:43:22.172,6176,68,2,0,False,8,car,0 days 00:00:10.166000,0 days 00:27:47.584000
2024-09-14 08:43:22.452,5993,67,2,0,False,8,car,0 days 00:00:10.446000,0 days 00:27:47.864000
2024-09-14 08:43:22.692,6404,65,2,16,False,8,car,0 days 00:00:10.686000,0 days 00:27:48.104000
2024-09-14 08:43:23.012,6826,69,2,29,False,8,car,0 days 00:00:11.006000,0 days 00:27:48.424000
2024-09-14 08:43:23.292,7081,74,2,38,False,8,car,0 days 00:00:11.286000,0 days 00:27:48.704000
2024-09-14 08:43:23.532,7420,77,2,42,False,8,car,0 days 00:00:11.526000,0 days 00:27:48.944000
2024-09-14 08:43:23.852,8245,87,2,49,False,8,car,0 days 00:00:11.846000,0 days 00:27:49.264000
2024-09-14 08:43:24.252,9228,98,2,59,False,8,car,0 days 00:00:12.246000,0 days 00:27:49.664000
2024-09-14 08:43:24.452,9933,105,2,64,False,8,car,0 days 00:00:12.446000,0 days 00:27:49.864000
2024-09-14 08:43:24.692,10577,111,2,71,False,8,car,0 days 00:00:12.686000,0 days 00:27:50.104000
2024-09-14 08:43:24.852,11078,118,2,72,False,8,car,0 days 00:00:12.846000,0 days 00:27:50.264000
2024-09-14 08:43:25.093,9761,121,2,88,False,8,car,0 days 00:00:13.087000,0 days 00:27:50.505000
2024-09-14 08:43:25.292,9742,127,3,83,False,8,car,0 days 00:00:13.286000,0 days 00:27:50.704000
2024-09-14 08:43:25.652,10770,144,3,85,False,8,car,0 days 00:00:13.646000,0 days 00:27:51.064000
