F1 for AiM
Racer,Lewis Hamilton
Vehicle,Mercedes
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:54:19.534,4355,23,1,0,False,8,car,0 days 00:00:00.228000,0 days 00:38:44.946000
2024-09-14 08:54:19.694,4337,23,1,0,False,8,car,0 days 00:00:00.388000,0 days 00:38:45.106000
2024-09-14 08:54:20.054,3729,23,1,0,False,8,car,0 days 00:00:00.748000,0 days 00:38:45.466000
2024-09-14 08:54:20.254,3498,24,1,0,False,8,car,0 days 00:00:00.948000,0 days 00:38:45.666000
2024-09-14 08:54:20.534,3536,27,1,0,False,8,car,0 days 00:00:01.228000,0 days 00:38:45.946000
2024-09-14 08:54:20.854,3713,31,1,1,False,8,car,0 days 00:00:01.548000,0 days 00:38:46.266000
2024-09-14 08:54:21.094,3963,34,1,3,False,8,car,0 days 00:00:01.788000,0 days 00:38:46.506000
2024-09-14 08:54:21.494,4529,39,1,16,False,8,car,0 days 00:00:02.188000,0 days 00:38:46.906000
2024-09-14 08:54:21.774,4970,43,1,24,False,8,car,0 days 00:00:02.468000,0 days 00:38:47.186000
2024-09-14 08:54:22.214,5759,50,1,36,False,8,car,0 days 00:00:02.908000,0 days 00:38:47.626000
2024-09-14 08:54:22.494,6607,56,1,35,False,8,car,0 days 00:00:03.188000,0 days 00:38:47.906000
2024-09-14 08:54:22.695,7260,59,1,36,False,8,car,0 days 00:00:03.389000,0 days 00:38:48.107000
2024-09-14 08:54:22.935,7581,69,1,34,False,8,car,0 days 00:00:03.629000,0 days 00:38:48.347000
2024-09-14 08:54:23.094,6461,69,1,32,False,8,car,0 days 00:00:03.788000,0 days 00:38:48.506000
2024-09-14 08:54:23.334,6364,74,2,26,False,8,car,0 days 00:00:04.028000,0 days 00:38:48.746000
2024-09-14 08:54:23.614,6727,77,2,25,False,8,car,0 days 00:00:04.308000,0 days 00:38:49.026000
2024-09-14 08:54:23.774,7103,79,2,36,False,8,car,0 days 00:00:04.468000,0 days 00:38:49.186000
2024-09-14 08:54:24.054,7882,86,2,43,False,8,car,0 days 00:00:04.748000,0 days 00:38:49.466000
2024-09-14 08:54:24.254,8019,90,2,45,False,8,car,0 days 00:00:04.948000,0 days 00:38:49.666000
2024-09-14 08:54:24.414,8469,95,2,48,False,8,car,0 days 00:00:05.108000,0 days 00:38:49.826000
2024-09-14 08:54:24.814,7874,109,3,58,False,8,car,0 days 00:00:05.508000,0 days 00:38:50.226000
2024-09-14 08:54:24.974,7996,109,3,61,False,8,car,0 days 00:00:05.668000,0 days 00:38:50.386000
2024-09-14 08:54:25.254,9117,122,3,71,False,8,car,0 days 00:00:05.948000,0 days 00:38:50.666000
2024-09-14 08:54:25.654,9619,131,3,71,False,8,car,0 days 00:00:06.348000,0 days 00:38:51.066000
2024-09-14 08:54:25.814,8699,137,3,80,False,8,car,0 days 00:00:06.508000,0 days 00:38:51.226000
2024-09-14 08:54:26.094,9548,144,4,95,False,8,car,0 days 00:00:06.788000,0 days 00:38:51.506000
2024-09-14 08:54:26.254,9981,151,4,100,False,8,car,0 days 00:00:06.948000,0 days 00:38:51.666000
2024-09-14 08:54:26.494,10216,161,4,94,False,8,car,0 days 00:00:07.188000,0 days 00:38:51.906000
2024-09-14 08:54:26.694,10809,168,4,91,False,8,car,0 days 00:00:07.388000,0 days 00:38:52.106000
2024-09-14 08:54:26.974,10104,178,4,100,False,8,car,0 days 00:00:07.668000,0 days 00:38:52.386000
2024-09-14 08:54:27.214,10323,189,5,100,False,8,car,0 days 00:00:07.908000,0 days 00:38:52.626000
2024-09-14 08:54:27.414,10440,191,5,63,True,8,car,0 days 00:00:08.108000,0 days 00:38:52.826000
2024-09-14 08:54:27.574,9625,187,5,0,True,8,car,0 days 00:00:08.268000,0 days 00:38:52.986000
2024-09-14 08:54:27.814,9395,176,5,0,True,8,car,0 days 00:00:08.508000,0 days 00:38:53.226000
2024-09-14 08:54:28.014,8889,162,5,0,True,8,car,0 days 00:00:08.708000,0 days 00:38:53.426000
2024-09-14 08:54:28.254,8255,157,5,0,True,8,car,0 days 00:00:08.948000,0 days 00:38:53.666000
2024-09-14 08:54:28.454,7710,148,5,0,True,8,car,0 days 00:00:09.148000,0 days 00:38:53.866000
2024-09-14 08:54:28.734,7298,137,5,0,True,8,car,0 days 00:00:09.428000,0 days 00:38:54.146000
2024-09-14 08:54:28.974,8000,131,5,0,True,8,car,0 days 00:00:09.668000,0 days 00:38:54.386000
2024-09-14 08:54:29.174,7525,126,4,0,True,8,car,0 days 00:00:09.868000,0 days 00:38:54.586000
2024-09-14 08:54:29.375,7049,119,4,0,True,8,car,0 days 00:00:10.069000,0 days 00:38:54.787000
2024-09-14 08:54:29.735,7763,108,4,0,True,8,car,0 days 00:00:10.429000,0 days 00:38:55.147000
2024-09-14 08:54:30.134,7009,99,3,0,True,8,car,0 days 00:00:10.828000,0 days 00:38:55.546000
2024-09-14 08:54:30.334,6609,93,3,0,True,8,car,0 days 00:00:11.028000,0 days 00:38:55.746000
2024-09-14 08:54:30.574,7361,89,3,0,True,8,car,0 days 00:00:11.268000,0 days 00:38:55.986000
2024-09-14 08:54:30.734,6980,82,2,0,True,8,car,0 days 00:00:11.428000,0 days 00:38:56.146000
2024-09-14 08:54:31.134,6155,76,2,0,True,8,car,0 days 00:00:11.828000,0 days 00:38:56.546000
2024-09-14 08:54:31.414,5897,69,2,4,True,8,car,0 days 00:00:12.108000,0 days 00:38:56.826000
