F1 for AiM
Racer,Nico Hulkenberg
Vehicle,Haas F1 Team
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:57:42.095,6148,53,1,12,False,8,car,0 days 00:00:00.299000,0 days 00:42:07.507000
2024-09-14 08:57:42.415,6611,56,1,15,False,8,car,0 days 00:00:00.619000,0 days 00:42:07.827000
2024-09-14 08:57:42.775,7082,59,1,20,False,8,car,0 days 00:00:00.979000,0 days 00:42:08.187000
2024-09-14 08:57:43.055,7744,64,1,22,False,8,car,0 days 00:00:01.259000,0 days 00:42:08.467000
2024-09-14 08:57:43.455,8507,71,1,23,False,8,car,0 days 00:00:01.659000,0 days 00:42:08.867000
2024-09-14 08:57:44.255,9071,86,1,29,False,8,car,0 days 00:00:02.459000,0 days 00:42:09.667000
2024-09-14 08:57:44.614,8312,94,2,34,False,8,car,0 days 00:00:02.818000,0 days 00:42:10.026000
2024-09-14 08:57:44.814,8587,98,2,34,False,8,car,0 days 00:00:03.018000,0 days 00:42:10.226000
2024-09-14 08:57:45.054,8713,101,2,38,False,8,car,0 days 00:00:03.258000,0 days 00:42:10.466000
2024-09-14 08:57:45.494,8142,110,3,40,False,8,car,0 days 00:00:03.698000,0 days 00:42:10.906000
2024-09-14 08:57:45.774,8582,114,3,42,False,8,car,0 days 00:00:03.978000,0 days 00:42:11.186000
2024-09-14 08:57:46.094,9093,122,3,45,False,8,car,0 days 00:00:04.298000,0 days 00:42:11.506000
2024-09-14 08:57:46.414,9521,128,3,46,False,8,car,0 days 00:00:04.618000,0 days 00:42:11.826000
2024-09-14 08:57:46.615,8868,130,3,46,False,8,car,0 days 00:00:04.819000,0 days 00:42:12.027000
2024-09-14 08:57:46.775,8345,130,3,45,False,8,car,0 days 00:00:04.979000,0 days 00:42:12.187000
2024-09-14 08:57:47.055,8677,136,4,45,False,8,car,0 days 00:00:05.259000,0 days 00:42:12.467000
2024-09-14 08:57:47.215,8433,140,4,7,False,8,car,0 days 00:00:05.419000,0 days 00:42:12.627000
2024-09-14 08:57:47.495,8351,136,4,0,True,8,car,0 days 00:00:05.699000,0 days 00:42:12.907000
2024-09-14 08:57:47.735,7912,131,4,0,True,8,car,0 days 00:00:05.939000,0 days 00:42:13.147000
2024-09-14 08:57:47.975,7502,126,4,0,True,8,car,0 days 00:00:06.179000,0 days 00:42:13.387000
2024-09-14 08:57:48.295,8305,115,4,0,True,8,car,0 days 00:00:06.499000,0 days 00:42:13.707000
2024-09-14 08:57:48.575,7727,109,3,0,True,8,car,0 days 00:00:06.779000,0 days 00:42:13.987000
2024-09-14 08:57:48.935,7269,101,3,0,True,8,car,0 days 00:00:07.139000,0 days 00:42:14.347000
2024-09-14 08:57:49.135,7114,99,3,0,False,8,car,0 days 00:00:07.339000,0 days 00:42:14.547000
2024-09-14 08:57:49.415,7096,97,3,0,False,8,car,0 days 00:00:07.619000,0 days 00:42:14.827000
2024-09-14 08:57:49.735,7029,96,3,0,False,8,car,0 days 00:00:07.939000,0 days 00:42:15.147000
2024-09-14 08:57:50.055,6898,94,3,0,False,8,car,0 days 00:00:08.259000,0 days 00:42:15.467000
2024-09-14 08:57:50.415,6645,92,3,0,False,8,car,0 days 00:00:08.619000,0 days 00:42:15.827000
2024-09-14 08:57:50.815,6757,91,3,13,False,8,car,0 days 00:00:09.019000,0 days 00:42:16.227000
2024-09-14 08:57:50.975,6909,91,3,14,False,8,car,0 days 00:00:09.179000,0 days 00:42:16.387000
2024-09-14 08:57:51.254,6939,93,3,15,False,8,car,0 days 00:00:09.458000,0 days 00:42:16.666000
2024-09-14 08:57:51.454,7058,95,3,16,False,8,car,0 days 00:00:09.658000,0 days 00:42:16.866000
2024-09-14 08:57:51.734,7003,96,3,11,False,8,car,0 days 00:00:09.938000,0 days 00:42:17.146000
2024-09-14 08:57:51.934,7127,97,3,0,False,8,car,0 days 00:00:10.138000,0 days 00:42:17.346000
2024-09-14 08:57:52.294,6807,92,3,0,True,8,car,0 days 00:00:10.498000,0 days 00:42:17.706000
2024-09-14 08:57:52.534,7199,89,3,0,True,8,car,0 days 00:00:10.738000,0 days 00:42:17.946000
2024-09-14 08:57:52.854,6940,82,2,0,True,8,car,0 days 00:00:11.058000,0 days 00:42:18.266000
2024-09-14 08:57:53.054,6674,79,2,0,True,8,car,0 days 00:00:11.258000,0 days 00:42:18.466000
2024-09-14 08:57:53.495,6249,73,2,0,True,8,car,0 days 00:00:11.699000,0 days 00:42:18.907000
2024-09-14 08:57:53.895,6012,70,2,0,False,8,car,0 days 00:00:12.099000,0 days 00:42:19.307000
2024-09-14 08:57:54.255,5755,69,2,1,False,8,car,0 days 00:00:12.459000,0 days 00:42:19.667000
2024-09-14 08:57:54.535,5880,66,2,7,False,8,car,0 days 00:00:12.739000,0 days 00:42:19.947000
2024-09-14 08:57:54.815,6073,67,2,17,False,8,car,0 days 00:00:13.019000,0 days 00:42:20.227000
2024-09-14 08:57:55.135,6438,71,2,21,False,8,car,0 days 00:00:13.339000,0 days 00:42:20.547000
2024-09-14 08:57:55.295,6605,74,2,23,False,8,car,0 days 00:00:13.499000,0 days 00:42:20.707000
2024-09-14 08:57:55.535,7064,78,2,29,False,8,car,0 days 00:00:13.739000,0 days 00:42:20.947000
2024-09-14 08:57:55.775,7484,81,2,37,False,8,car,0 days 00:00:13.979000,0 days 00:42:21.187000
2024-09-14 08:57:56.135,8348,91,2,44,False,8,car,0 days 00:00:14.339000,0 days 00:42:21.547000
2024-09-14 08:57:56.575,9207,100,2,49,False,8,car,0 days 00:00:14.779000,0 days 00:42:21.987000
2024-09-14 08:57:56.935,10142,115,2,52,False,8,car,0 days 00:00:15.139000,0 days 00:42:22.347000
2024-09-14 08:57:57.255,9283,122,3,57,False,8,car,0 days 00:00:15.459000,0 days 00:42:22.667000
2024-09-14 08:57:57.415,9578,124,3,58,False,8,car,0 days 00:00:15.619000,0 days 00:42:22.827000
2024-09-14 08:57:57.655,9692,134,3,63,False,8,car,0 days 00:00:15.859000,0 days 00:42:23.067000
2024-09-14 08:57:57.855,8761,138,3,65,False,8,car,0 days 00:00:16.059000,0 days 00:42:23.267000
2024-09-14 08:57:58.214,9526,150,4,72,False,8,car,0 days 00:00:16.418000,0 days 00:42:23.626000
2024-09-14 08:57:58.454,10050,157,4,77,False,8,car,0 days 00:00:16.658000,0 days 00:42:23.866000
2024-09-14 08:57:58.614,10316,163,4,79,False,8,car,0 days 00:00:16.818000,0 days 00:42:24.026000
2024-09-14 08:57:58.774,10221,163,4,92,False,8,car,0 days 00:00:16.978000,0 days 00:42:24.186000
2024-09-14 08:57:59.054,9587,175,5,100,False,8,car,0 days 00:00:17.258000,0 days 00:42:24.466000
2024-09-14 08:57:59.214,9697,182,5,100,False,8,car,0 days 00:00:17.418000,0 days 00:42:24.626000
2024-09-14 08:57:59.614,10596,197,5,100,False,8,car,0 days 00:00:17.818000,0 days 00:42:25.026000
2024-09-14 08:57:59.855,10983,200,5,100,False,8,car,0 days 00:00:18.059000,0 days 00:42:25.267000
2024-09-14 08:58:00.135,10398,212,5,100,False,14,car,0 days 00:00:18.339000,0 days 00:42:25.547000
2024-09-14 08:58:00.295,9929,218,5,100,False,12,car,0 days 00:00:18.499000,0 days 00:42:25.707000
2024-09-14 08:58:00.455,10213,220,6,100,False,12,car,0 days 00:00:18.659000,0 days 00:42:25.867000
2024-09-14 08:58:00.775,10574,226,6,100,False,12,car,0 days 00:00:18.979000,0 days 00:42:26.187000
2024-09-14 08:58:01.055,10876,234,6,100,False,12,car,0 days 00:00:19.259000,0 days 00:42:26.467000
2024-09-14 08:58:01.415,10050,241,6,100,False,12,car,0 days 00:00:19.619000,0 days 00:42:26.827000
2024-09-14 08:58:01.615,10050,245,7,100,False,12,car,0 days 00:00:19.819000,0 days 00:42:27.027000
2024-09-14 08:58:01.815,9826,248,7,100,False,12,car,0 days 00:00:20.019000,0 days 00:42:27.227000
2024-09-14 08:58:02.055,10094,251,7,100,False,12,car,0 days 00:00:20.259000,0 days 00:42:27.467000
2024-09-14 08:58:02.255,10255,254,7,100,False,12,car,0 days 00:00:20.459000,0 days 00:42:27.667000
2024-09-14 08:58:02.415,10291,256,7,100,False,12,car,0 days 00:00:20.619000,0 days 00:42:27.827000
2024-09-14 08:58:02.695,10444,259,7,100,False,12,car,0 days 00:00:20.899000,0 days 00:42:28.107000
2024-09-14 08:58:02.895,10024,262,7,100,False,12,car,0 days 00:00:21.099000,0 days 00:42:28.307000
2024-09-14 08:58:03.095,9264,264,7,100,False,12,car,0 days 00:00:21.299000,0 days 00:42:28.507000
2024-09-14 08:58:03.335,9483,265,8,100,False,12,car,0 days 00:00:21.539000,0 days 00:42:28.747000
2024-09-14 08:58:03.655,9609,269,8,100,False,12,car,0 days 00:00:21.859000,0 days 00:42:29.067000
2024-09-14 08:58:04.055,9712,270,8,100,False,12,car,0 days 00:00:22.259000,0 days 00:42:29.467000
2024-09-14 08:58:04.455,9820,276,8,100,False,12,car,0 days 00:00:22.659000,0 days 00:42:29.867000
2024-09-14 08:58:04.734,9912,279,8,100,False,12,car,0 days 00:00:22.938000,0 days 00:42:30.146000
2024-09-14 08:58:05.054,9986,281,8,100,False,12,car,0 days 00:00:23.258000,0 days 00:42:30.466000
2024-09-14 08:58:05.374,10064,282,8,100,False,12,car,0 days 00:00:23.578000,0 days 00:42:30.786000
2024-09-14 08:58:05.614,10105,284,8,62,False,12,car,0 days 00:00:23.818000,0 days 00:42:31.026000
2024-09-14 08:58:05.774,10209,284,8,0,True,8,car,0 days 00:00:23.978000,0 days 00:42:31.186000
2024-09-14 08:58:05.974,9508,278,8,0,True,8,car,0 days 00:00:24.178000,0 days 00:42:31.386000
2024-09-14 08:58:06.214,9152,259,8,0,True,8,car,0 days 00:00:24.418000,0 days 00:42:31.626000
2024-09-14 08:58:06.415,8688,252,8,0,True,8,car,0 days 00:00:24.619000,0 days 00:42:31.827000
2024-09-14 08:58:06.695,8114,230,8,0,True,8,car,0 days 00:00:24.899000,0 days 00:42:32.107000
2024-09-14 08:58:06.935,7662,230,8,0,True,8,car,0 days 00:00:25.139000,0 days 00:42:32.347000
2024-09-14 08:58:07.175,7476,214,8,0,True,8,car,0 days 00:00:25.379000,0 days 00:42:32.587000
2024-09-14 08:58:07.375,8145,208,8,0,True,8,car,0 days 00:00:25.579000,0 days 00:42:32.787000
2024-09-14 08:58:07.615,8214,197,7,0,True,8,car,0 days 00:00:25.819000,0 days 00:42:33.027000
2024-09-14 08:58:07.975,8879,187,6,0,True,8,car,0 days 00:00:26.179000,0 days 00:42:33.387000
2024-09-14 08:58:08.375,9279,170,5,0,True,8,car,0 days 00:00:26.579000,0 days 00:42:33.787000
2024-09-14 08:58:08.695,9336,152,4,0,True,8,car,0 days 00:00:26.899000,0 days 00:42:34.107000
2024-09-14 08:58:08.975,8652,142,4,0,True,8,car,0 days 00:00:27.179000,0 days 00:42:34.387000
2024-09-14 08:58:09.135,8420,136,4,0,True,8,car,0 days 00:00:27.339000,0 days 00:42:34.547000
2024-09-14 08:58:09.375,9379,132,4,0,True,8,car,0 days 00:00:27.579000,0 days 00:42:34.787000
2024-09-14 08:58:09.655,8880,123,3,0,True,8,car,0 days 00:00:27.859000,0 days 00:42:35.067000
2024-09-14 08:58:09.855,8452,117,3,0,True,8,car,0 days 00:00:28.059000,0 days 00:42:35.267000
2024-09-14 08:58:10.215,7677,111,3,0,True,8,car,0 days 00:00:28.419000,0 days 00:42:35.627000
2024-09-14 08:58:10.655,6555,98,3,0,True,8,car,0 days 00:00:28.859000,0 days 00:42:36.067000
2024-09-14 08:58:11.015,6049,83,3,0,True,8,car,0 days 00:00:29.219000,0 days 00:42:36.427000
2024-09-14 08:58:11.215,5846,80,3,0,False,8,car,0 days 00:00:29.419000,0 days 00:42:36.627000
2024-09-14 08:58:11.415,5866,79,3,0,False,8,car,0 days 00:00:29.619000,0 days 00:42:36.827000
2024-09-14 08:58:11.774,5637,77,3,12,False,8,car,0 days 00:00:29.978000,0 days 00:42:37.186000
2024-09-14 08:58:12.094,6153,79,3,18,False,8,car,0 days 00:00:30.298000,0 days 00:42:37.506000
2024-09-14 08:58:12.374,6228,82,3,25,False,8,car,0 days 00:00:30.578000,0 days 00:42:37.786000
2024-09-14 08:58:12.694,6592,87,3,32,False,8,car,0 days 00:00:30.898000,0 days 00:42:38.106000
2024-09-14 08:58:12.935,6884,91,3,35,False,8,car,0 days 00:00:31.139000,0 days 00:42:38.347000
2024-09-14 08:58:13.255,7480,97,3,45,False,8,car,0 days 00:00:31.459000,0 days 00:42:38.667000
2024-09-14 08:58:13.455,7642,102,3,46,False,8,car,0 days 00:00:31.659000,0 days 00:42:38.867000
2024-09-14 08:58:13.735,8328,107,3,48,False,8,car,0 days 00:00:31.939000,0 days 00:42:39.147000
2024-09-14 08:58:14.015,8871,115,3,52,False,8,car,0 days 00:00:32.219000,0 days 00:42:39.427000
2024-09-14 08:58:14.215,9238,123,3,53,False,8,car,0 days 00:00:32.419000,0 days 00:42:39.627000
2024-09-14 08:58:14.455,9598,128,3,51,False,8,car,0 days 00:00:32.659000,0 days 00:42:39.867000
2024-09-14 08:58:14.935,10415,139,3,53,False,8,car,0 days 00:00:33.139000,0 days 00:42:40.347000
2024-09-14 08:58:15.335,10974,148,3,48,False,8,car,0 days 00:00:33.539000,0 days 00:42:40.747000
2024-09-14 08:58:15.615,10974,153,3,48,False,8,car,0 days 00:00:33.819000,0 days 00:42:41.027000
2024-09-14 08:58:15.895,9261,156,4,0,True,8,car,0 days 00:00:34.099000,0 days 00:42:41.307000
2024-09-14 08:58:16.175,9113,149,4,0,True,8,car,0 days 00:00:34.379000,0 days 00:42:41.587000
2024-09-14 08:58:16.375,8425,141,4,0,True,8,car,0 days 00:00:34.579000,0 days 00:42:41.787000
2024-09-14 08:58:16.615,7968,129,4,0,True,8,car,0 days 00:00:34.819000,0 days 00:42:42.027000
2024-09-14 08:58:16.855,8891,122,4,0,True,8,car,0 days 00:00:35.059000,0 days 00:42:42.267000
2024-09-14 08:58:17.135,8098,112,3,0,True,8,car,0 days 00:00:35.339000,0 days 00:42:42.547000
2024-09-14 08:58:17.295,7709,105,3,0,True,8,car,0 days 00:00:35.499000,0 days 00:42:42.707000
2024-09-14 08:58:17.495,8129,99,3,0,True,8,car,0 days 00:00:35.699000,0 days 00:42:42.907000
