F1 for AiM
Racer,Esteban Ocon
Vehicle,Alpine
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:42:30.732,5086,57,2,0,False,8,car,0 days 00:00:00.130000,0 days 00:26:56.144000
2024-09-14 08:42:31.092,5351,56,2,7,False,8,car,0 days 00:00:00.490000,0 days 00:26:56.504000
2024-09-14 08:42:31.292,5366,57,2,14,False,8,car,0 days 00:00:00.690000,0 days 00:26:56.704000
2024-09-14 08:42:31.651,5808,60,2,19,False,8,car,0 days 00:00:01.049000,0 days 00:26:57.063000
2024-09-14 08:42:32.612,7028,75,2,42,False,8,car,0 days 00:00:02.010000,0 days 00:26:58.024000
2024-09-14 08:42:32.852,7750,79,2,47,False,8,car,0 days 00:00:02.250000,0 days 00:26:58.264000
2024-09-14 08:42:33.092,8039,89,2,49,False,8,car,0 days 00:00:02.490000,0 days 00:26:58.504000
2024-09-14 08:42:33.372,8873,94,2,54,False,8,car,0 days 00:00:02.770000,0 days 00:26:58.784000
2024-09-14 08:42:33.772,9257,105,2,55,False,8,car,0 days 00:00:03.170000,0 days 00:26:59.184000
2024-09-14 08:42:33.932,10084,107,2,60,False,8,car,0 days 00:00:03.330000,0 days 00:26:59.344000
2024-09-14 08:42:34.172,10570,115,2,62,False,8,car,0 days 00:00:03.570000,0 days 00:26:59.584000
2024-09-14 08:42:34.532,8953,123,3,69,False,8,car,0 days 00:00:03.930000,0 days 00:26:59.944000
2024-09-14 08:42:34.972,10012,138,3,71,False,8,car,0 days 00:00:04.370000,0 days 00:27:00.384000
2024-09-14 08:42:35.412,10518,147,3,75,False,8,car,0 days 00:00:04.810000,0 days 00:27:00.824000
2024-09-14 08:42:35.572,9480,152,3,83,False,8,car,0 days 00:00:04.970000,0 days 00:27:00.984000
2024-09-14 08:42:35.732,9509,152,3,81,False,8,car,0 days 00:00:05.130000,0 days 00:27:01.144000
2024-09-14 08:42:36.052,10088,161,4,82,False,8,car,0 days 00:00:05.450000,0 days 00:27:01.464000
2024-09-14 08:42:36.372,10847,171,4,100,False,8,car,0 days 00:00:05.770000,0 days 00:27:01.784000
2024-09-14 08:42:36.572,11290,179,4,100,False,8,car,0 days 00:00:05.970000,0 days 00:27:01.984000
2024-09-14 08:42:36.732,11010,185,4,100,False,8,car,0 days 00:00:06.130000,0 days 00:27:02.144000
2024-09-14 08:42:37.052,9736,188,5,0,True,8,car,0 days 00:00:06.450000,0 days 00:27:02.464000
2024-09-14 08:42:37.292,9231,176,5,6,True,8,car,0 days 00:00:06.690000,0 days 00:27:02.704000
2024-09-14 08:42:37.572,8707,169,5,3,True,8,car,0 days 00:00:06.970000,0 days 00:27:02.984000
2024-09-14 08:42:37.812,8245,163,5,0,True,8,car,0 days 00:00:07.210000,0 days 00:27:03.224000
2024-09-14 08:42:38.052,8902,154,5,0,True,8,car,0 days 00:00:07.450000,0 days 00:27:03.464000
2024-09-14 08:42:38.211,8434,143,5,0,True,8,car,0 days 00:00:07.609000,0 days 00:27:03.623000
2024-09-14 08:42:38.531,8184,132,4,0,True,8,car,0 days 00:00:07.929000,0 days 00:27:03.943000
2024-09-14 08:42:38.691,8932,122,4,0,True,8,car,0 days 00:00:08.089000,0 days 00:27:04.103000
2024-09-14 08:42:39.052,7753,113,3,0,True,8,car,0 days 00:00:08.450000,0 days 00:27:04.464000
2024-09-14 08:42:39.252,7306,106,3,0,True,8,car,0 days 00:00:08.650000,0 days 00:27:04.664000
2024-09-14 08:42:39.412,6864,98,3,0,True,8,car,0 days 00:00:08.810000,0 days 00:27:04.824000
2024-09-14 08:42:39.572,6617,95,3,0,True,8,car,0 days 00:00:08.970000,0 days 00:27:04.984000
2024-09-14 08:42:39.892,6013,85,3,0,True,8,car,0 days 00:00:09.290000,0 days 00:27:05.304000
2024-09-14 08:42:40.132,5987,81,3,0,True,8,car,0 days 00:00:09.530000,0 days 00:27:05.544000
2024-09-14 08:42:40.292,7004,79,3,0,True,8,car,0 days 00:00:09.690000,0 days 00:27:05.704000
2024-09-14 08:42:40.532,6620,76,2,0,False,8,car,0 days 00:00:09.930000,0 days 00:27:05.944000
2024-09-14 08:42:41.012,6022,71,2,0,False,8,car,0 days 00:00:10.410000,0 days 00:27:06.424000
2024-09-14 08:42:41.292,6054,66,2,0,False,8,car,0 days 00:00:10.690000,0 days 00:27:06.704000
2024-09-14 08:42:41.572,6330,64,2,12,False,8,car,0 days 00:00:10.970000,0 days 00:27:06.984000
2024-09-14 08:42:41.772,6133,65,2,17,False,8,car,0 days 00:00:11.170000,0 days 00:27:07.184000
2024-09-14 08:42:42.012,6418,67,2,20,False,8,car,0 days 00:00:11.410000,0 days 00:27:07.424000
2024-09-14 08:42:42.332,6669,71,2,29,False,8,car,0 days 00:00:11.730000,0 days 00:27:07.744000
2024-09-14 08:42:42.492,7029,74,2,34,False,8,car,0 days 00:00:11.890000,0 days 00:27:07.904000
2024-09-14 08:42:42.812,7542,79,2,42,False,8,car,0 days 00:00:12.210000,0 days 00:27:08.224000
2024-09-14 08:42:43.092,7956,83,2,48,False,8,car,0 days 00:00:12.490000,0 days 00:27:08.504000
2024-09-14 08:42:43.372,7600,91,2,56,False,8,car,0 days 00:00:12.770000,0 days 00:27:08.784000
2024-09-14 08:42:43.852,7612,101,3,59,False,8,car,0 days 00:00:13.250000,0 days 00:27:09.264000
2024-09-14 08:42:44.132,8109,110,3,55,False,8,car,0 days 00:00:13.530000,0 days 00:27:09.544000
2024-09-14 08:42:44.412,8240,115,3,36,False,8,car,0 days 00:00:13.810000,0 days 00:27:09.824000
