F1 for AiM
Racer,Oscar Piastri
Vehicle,McLaren
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:43:57.292,5283,48,1,0,False,8,car,0 days 00:00:00.121000,0 days 00:28:22.704000
2024-09-14 08:43:57.612,4871,44,1,0,False,8,car,0 days 00:00:00.441000,0 days 00:28:23.024000
2024-09-14 08:43:58.013,5228,42,1,8,False,8,car,0 days 00:00:00.842000,0 days 00:28:23.425000
2024-09-14 08:43:58.293,5032,44,1,10,False,8,car,0 days 00:00:01.122000,0 days 00:28:23.705000
2024-09-14 08:43:58.573,5661,47,1,10,False,8,car,0 days 00:00:01.402000,0 days 00:28:23.985000
2024-09-14 08:43:58.852,5752,48,1,9,False,8,car,0 days 00:00:01.681000,0 days 00:28:24.264000
2024-09-14 08:43:59.052,5914,49,1,9,False,8,car,0 days 00:00:01.881000,0 days 00:28:24.464000
2024-09-14 08:43:59.292,5921,51,1,6,False,8,car,0 days 00:00:02.121000,0 days 00:28:24.704000
2024-09-14 08:43:59.532,5574,50,1,0,False,8,car,0 days 00:00:02.361000,0 days 00:28:24.944000
2024-09-14 08:43:59.852,5294,47,1,0,False,8,car,0 days 00:00:02.681000,0 days 00:28:25.264000
2024-09-14 08:44:00.092,5073,44,1,0,True,8,car,0 days 00:00:02.921000,0 days 00:28:25.504000
2024-09-14 08:44:00.332,4797,42,1,0,False,8,car,0 days 00:00:03.161000,0 days 00:28:25.744000
2024-09-14 08:44:00.532,4766,41,1,0,False,8,car,0 days 00:00:03.361000,0 days 00:28:25.944000
2024-09-14 08:44:00.852,4491,39,1,0,False,8,car,0 days 00:00:03.681000,0 days 00:28:26.264000
2024-09-14 08:44:01.092,5778,40,1,53,False,8,car,0 days 00:00:03.921000,0 days 00:28:26.504000
2024-09-14 08:44:01.332,7458,46,1,75,False,8,car,0 days 00:00:04.161000,0 days 00:28:26.744000
2024-09-14 08:44:01.732,10258,57,1,74,False,8,car,0 days 00:00:04.561000,0 days 00:28:27.144000
2024-09-14 08:44:02.092,12778,71,1,74,False,8,car,0 days 00:00:04.921000,0 days 00:28:27.504000
2024-09-14 08:44:02.292,12648,77,1,80,False,8,car,0 days 00:00:05.121000,0 days 00:28:27.704000
2024-09-14 08:44:02.572,10952,84,1,0,True,8,car,0 days 00:00:05.401000,0 days 00:28:27.984000
2024-09-14 08:44:02.732,9832,81,1,0,True,8,car,0 days 00:00:05.561000,0 days 00:28:28.144000
