F1 for AiM
Racer,Daniel Ricciardo
Vehicle,RB
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:39:06.611,5544,50,1,5,False,8,car,0 days 00:00:00.284000,0 days 00:23:32.023000
2024-09-14 08:39:06.891,5896,51,1,7,False,8,car,0 days 00:00:00.564000,0 days 00:23:32.303000
2024-09-14 08:39:07.091,5988,53,1,11,False,8,car,0 days 00:00:00.764000,0 days 00:23:32.503000
2024-09-14 08:39:07.251,6133,55,1,14,False,8,car,0 days 00:00:00.924000,0 days 00:23:32.663000
2024-09-14 08:39:07.651,6747,60,1,23,False,8,car,0 days 00:00:01.324000,0 days 00:23:33.063000
2024-09-14 08:39:07.931,7046,60,1,25,False,8,car,0 days 00:00:01.604000,0 days 00:23:33.343000
2024-09-14 08:39:08.091,7289,65,1,27,False,8,car,0 days 00:00:01.764000,0 days 00:23:33.503000
2024-09-14 08:39:08.251,7530,66,1,31,False,8,car,0 days 00:00:01.924000,0 days 00:23:33.663000
2024-09-14 08:39:08.452,8051,72,1,32,False,8,car,0 days 00:00:02.125000,0 days 00:23:33.864000
2024-09-14 08:39:08.772,8378,76,1,37,False,8,car,0 days 00:00:02.445000,0 days 00:23:34.184000
2024-09-14 08:39:09.052,8942,81,1,41,False,8,car,0 days 00:00:02.725000,0 days 00:23:34.464000
2024-09-14 08:39:09.252,9350,83,1,44,False,8,car,0 days 00:00:02.925000,0 days 00:23:34.664000
2024-09-14 08:39:09.452,9720,89,1,44,False,8,car,0 days 00:00:03.125000,0 days 00:23:34.864000
2024-09-14 08:39:09.692,10096,93,1,40,False,8,car,0 days 00:00:03.365000,0 days 00:23:35.104000
2024-09-14 08:39:09.932,10930,94,1,49,False,8,car,0 days 00:00:03.605000,0 days 00:23:35.344000
2024-09-14 08:39:10.171,10147,102,1,49,False,8,car,0 days 00:00:03.844000,0 days 00:23:35.583000
2024-09-14 08:39:10.371,9667,105,2,50,False,8,car,0 days 00:00:04.044000,0 days 00:23:35.783000
2024-09-14 08:39:10.691,9983,111,2,54,False,8,car,0 days 00:00:04.364000,0 days 00:23:36.103000
2024-09-14 08:39:11.011,10575,118,2,55,False,8,car,0 days 00:00:04.684000,0 days 00:23:36.423000
2024-09-14 08:39:11.411,11364,125,2,59,False,8,car,0 days 00:00:05.084000,0 days 00:23:36.823000
2024-09-14 08:39:11.571,10384,128,2,60,False,8,car,0 days 00:00:05.244000,0 days 00:23:36.983000
2024-09-14 08:39:11.811,9907,134,3,63,False,8,car,0 days 00:00:05.484000,0 days 00:23:37.223000
2024-09-14 08:39:12.051,10308,141,3,67,False,8,car,0 days 00:00:05.724000,0 days 00:23:37.463000
2024-09-14 08:39:12.251,10636,144,3,69,False,8,car,0 days 00:00:05.924000,0 days 00:23:37.663000
2024-09-14 08:39:12.451,10869,151,3,70,False,8,car,0 days 00:00:06.124000,0 days 00:23:37.863000
2024-09-14 08:39:12.651,11053,153,3,72,False,8,car,0 days 00:00:06.324000,0 days 00:23:38.063000
2024-09-14 08:39:12.811,9933,156,3,75,False,8,car,0 days 00:00:06.484000,0 days 00:23:38.223000
2024-09-14 08:39:13.051,9903,164,4,96,False,8,car,0 days 00:00:06.724000,0 days 00:23:38.463000
2024-09-14 08:39:13.531,9654,165,4,0,True,8,car,0 days 00:00:07.204000,0 days 00:23:38.943000
2024-09-14 08:39:13.691,9449,158,4,0,True,8,car,0 days 00:00:07.364000,0 days 00:23:39.103000
2024-09-14 08:39:13.851,8888,150,4,0,True,8,car,0 days 00:00:07.524000,0 days 00:23:39.263000
2024-09-14 08:39:14.131,9912,142,4,0,True,8,car,0 days 00:00:07.804000,0 days 00:23:39.543000
2024-09-14 08:39:14.371,9061,129,3,0,True,8,car,0 days 00:00:08.044000,0 days 00:23:39.783000
2024-09-14 08:39:14.691,8724,122,3,0,False,8,car,0 days 00:00:08.364000,0 days 00:23:40.103000
2024-09-14 08:39:15.132,8227,118,3,0,True,8,car,0 days 00:00:08.805000,0 days 00:23:40.544000
2024-09-14 08:39:15.332,8045,115,3,0,True,8,car,0 days 00:00:09.005000,0 days 00:23:40.744000
2024-09-14 08:39:15.732,7409,106,3,0,True,8,car,0 days 00:00:09.405000,0 days 00:23:41.144000
2024-09-14 08:39:16.212,7950,93,2,0,True,8,car,0 days 00:00:09.885000,0 days 00:23:41.624000
2024-09-14 08:39:16.412,7585,89,2,0,True,8,car,0 days 00:00:10.085000,0 days 00:23:41.824000
2024-09-14 08:39:16.771,6946,81,2,0,False,8,car,0 days 00:00:10.444000,0 days 00:23:42.183000
2024-09-14 08:39:16.971,6897,79,2,0,False,8,car,0 days 00:00:10.644000,0 days 00:23:42.383000
2024-09-14 08:39:17.251,6693,78,2,0,False,8,car,0 days 00:00:10.924000,0 days 00:23:42.663000
2024-09-14 08:39:17.611,6458,75,2,0,False,8,car,0 days 00:00:11.284000,0 days 00:23:43.023000
2024-09-14 08:39:17.771,6560,74,2,7,False,8,car,0 days 00:00:11.444000,0 days 00:23:43.183000
2024-09-14 08:39:17.931,6363,73,2,7,False,8,car,0 days 00:00:11.604000,0 days 00:23:43.343000
2024-09-14 08:39:18.131,6539,73,2,12,False,8,car,0 days 00:00:11.804000,0 days 00:23:43.543000
2024-09-14 08:39:18.331,6752,73,2,23,False,8,car,0 days 00:00:12.004000,0 days 00:23:43.743000
2024-09-14 08:39:18.571,7325,79,2,36,False,8,car,0 days 00:00:12.244000,0 days 00:23:43.983000
2024-09-14 08:39:19.011,7660,85,2,40,False,8,car,0 days 00:00:12.684000,0 days 00:23:44.423000
