F1 for AiM
Racer,George Russell
Vehicle,Mercedes
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 08:54:07.294,4605,41,1,0,False,8,car,0 days 00:00:00.126000,0 days 00:38:32.706000
2024-09-14 08:54:07.574,4536,41,1,0,False,8,car,0 days 00:00:00.406000,0 days 00:38:32.986000
2024-09-14 08:54:07.894,4374,40,1,0,False,8,car,0 days 00:00:00.726000,0 days 00:38:33.306000
2024-09-14 08:54:08.094,4445,40,1,0,False,8,car,0 days 00:00:00.926000,0 days 00:38:33.506000
2024-09-14 08:54:08.294,4195,39,1,0,False,8,car,0 days 00:00:01.126000,0 days 00:38:33.706000
2024-09-14 08:54:08.534,4244,38,1,0,False,8,car,0 days 00:00:01.366000,0 days 00:38:33.946000
2024-09-14 08:54:08.694,4088,37,1,3,False,8,car,0 days 00:00:01.526000,0 days 00:38:34.106000
2024-09-14 08:54:08.974,4039,36,1,6,False,8,car,0 days 00:00:01.806000,0 days 00:38:34.386000
2024-09-14 08:54:09.174,3863,36,1,7,False,8,car,0 days 00:00:02.006000,0 days 00:38:34.586000
2024-09-14 08:54:09.454,4456,38,1,9,False,8,car,0 days 00:00:02.286000,0 days 00:38:34.866000
2024-09-14 08:54:09.614,4755,41,1,8,False,8,car,0 days 00:00:02.446000,0 days 00:38:35.026000
2024-09-14 08:54:09.934,4970,44,1,7,False,8,car,0 days 00:00:02.766000,0 days 00:38:35.346000
2024-09-14 08:54:10.374,5347,47,1,12,False,8,car,0 days 00:00:03.206000,0 days 00:38:35.786000
2024-09-14 08:54:10.734,6065,51,1,19,False,8,car,0 days 00:00:03.566000,0 days 00:38:36.146000
2024-09-14 08:54:10.894,6230,55,1,23,False,8,car,0 days 00:00:03.726000,0 days 00:38:36.306000
2024-09-14 08:54:11.094,6879,59,1,27,False,8,car,0 days 00:00:03.926000,0 days 00:38:36.506000
2024-09-14 08:54:11.334,7521,63,1,30,False,8,car,0 days 00:00:04.166000,0 days 00:38:36.746000
2024-09-14 08:54:11.614,8291,67,1,37,False,8,car,0 days 00:00:04.446000,0 days 00:38:37.026000
2024-09-14 08:54:11.934,8828,76,1,40,False,8,car,0 days 00:00:04.766000,0 days 00:38:37.346000
2024-09-14 08:54:12.174,8183,83,1,34,False,8,car,0 days 00:00:05.006000,0 days 00:38:37.586000
2024-09-14 08:54:12.374,7495,87,2,35,False,8,car,0 days 00:00:05.206000,0 days 00:38:37.786000
2024-09-14 08:54:12.614,7869,91,2,40,False,8,car,0 days 00:00:05.446000,0 days 00:38:38.026000
2024-09-14 08:54:12.894,8553,95,2,47,False,8,car,0 days 00:00:05.726000,0 days 00:38:38.306000
2024-09-14 08:54:13.094,9125,103,2,50,False,8,car,0 days 00:00:05.926000,0 days 00:38:38.506000
2024-09-14 08:54:13.374,9518,110,2,51,False,8,car,0 days 00:00:06.206000,0 days 00:38:38.786000
2024-09-14 08:54:13.694,10265,117,2,53,False,8,car,0 days 00:00:06.526000,0 days 00:38:39.106000
2024-09-14 08:54:13.934,10760,122,2,53,False,8,car,0 days 00:00:06.766000,0 days 00:38:39.346000
2024-09-14 08:54:14.214,9757,128,2,54,False,8,car,0 days 00:00:07.046000,0 days 00:38:39.626000
2024-09-14 08:54:14.374,9853,133,3,63,False,8,car,0 days 00:00:07.206000,0 days 00:38:39.786000
2024-09-14 08:54:14.534,10347,136,3,67,False,8,car,0 days 00:00:07.366000,0 days 00:38:39.946000
2024-09-14 08:54:14.854,10906,145,3,71,False,8,car,0 days 00:00:07.686000,0 days 00:38:40.266000
2024-09-14 08:54:15.054,11301,151,3,74,False,8,car,0 days 00:00:07.886000,0 days 00:38:40.466000
2024-09-14 08:54:15.454,10367,162,3,72,False,8,car,0 days 00:00:08.286000,0 days 00:38:40.866000
2024-09-14 08:54:15.694,9949,169,4,0,True,8,car,0 days 00:00:08.526000,0 days 00:38:41.106000
2024-09-14 08:54:16.014,9381,156,4,0,True,8,car,0 days 00:00:08.846000,0 days 00:38:41.426000
2024-09-14 08:54:16.374,8618,140,4,0,True,8,car,0 days 00:00:09.206000,0 days 00:38:41.786000
2024-09-14 08:54:16.654,8300,137,4,0,True,8,car,0 days 00:00:09.486000,0 days 00:38:42.066000
2024-09-14 08:54:16.934,9371,127,3,0,True,8,car,0 days 00:00:09.766000,0 days 00:38:42.346000
2024-09-14 08:54:17.214,8655,121,3,0,True,8,car,0 days 00:00:10.046000,0 days 00:38:42.626000
2024-09-14 08:54:17.494,8312,116,3,0,True,8,car,0 days 00:00:10.326000,0 days 00:38:42.906000
2024-09-14 08:54:17.734,7875,112,3,0,True,8,car,0 days 00:00:10.566000,0 days 00:38:43.146000
2024-09-14 08:54:18.014,7638,106,3,0,True,8,car,0 days 00:00:10.846000,0 days 00:38:43.426000
2024-09-14 08:54:18.174,7638,103,3,0,True,8,car,0 days 00:00:11.006000,0 days 00:38:43.586000
2024-09-14 08:54:18.494,8102,96,2,0,True,8,car,0 days 00:00:11.326000,0 days 00:38:43.906000
2024-09-14 08:54:18.654,7861,94,2,0,True,8,car,0 days 00:00:11.486000,0 days 00:38:44.066000
2024-09-14 08:54:18.894,7477,88,2,0,True,8,car,0 days 00:00:11.726000,0 days 00:38:44.306000
2024-09-14 08:54:19.094,7137,85,2,0,True,8,car,0 days 00:00:11.926000,0 days 00:38:44.506000
2024-09-14 08:54:19.254,6814,83,2,0,True,8,car,0 days 00:00:12.086000,0 days 00:38:44.666000
2024-09-14 08:54:19.534,6779,79,2,0,False,8,car,0 days 00:00:12.366000,0 days 00:38:44.946000
2024-09-14 08:54:19.694,6524,76,2,0,False,8,car,0 days 00:00:12.526000,0 days 00:38:45.106000
2024-09-14 08:54:20.054,6292,75,2,0,False,8,car,0 days 00:00:12.886000,0 days 00:38:45.466000
2024-09-14 08:54:20.254,6264,74,2,0,False,8,car,0 days 00:00:13.086000,0 days 00:38:45.666000
2024-09-14 08:54:20.534,6486,74,2,10,False,8,car,0 days 00:00:13.366000,0 days 00:38:45.946000
2024-09-14 08:54:20.854,6540,74,2,14,False,8,car,0 days 00:00:13.686000,0 days 00:38:46.266000
2024-09-14 08:54:21.094,6745,76,2,25,False,8,car,0 days 00:00:13.926000,0 days 00:38:46.506000
2024-09-14 08:54:21.494,7569,83,2,39,False,8,car,0 days 00:00:14.326000,0 days 00:38:46.906000
2024-09-14 08:54:21.774,8143,91,2,50,False,8,car,0 days 00:00:14.606000,0 days 00:38:47.186000
2024-09-14 08:54:22.214,9340,103,2,59,False,8,car,0 days 00:00:15.046000,0 days 00:38:47.626000
2024-09-14 08:54:22.494,10560,114,2,70,False,8,car,0 days 00:00:15.326000,0 days 00:38:47.906000
2024-09-14 08:54:22.695,11456,117,2,76,False,8,car,0 days 00:00:15.527000,0 days 00:38:48.107000
2024-09-14 08:54:22.935,12210,130,2,78,False,8,car,0 days 00:00:15.767000,0 days 00:38:48.347000
2024-09-14 08:54:23.094,11510,130,2,77,False,8,car,0 days 00:00:15.926000,0 days 00:38:48.506000
2024-09-14 08:54:23.334,10333,145,3,77,False,8,car,0 days 00:00:16.166000,0 days 00:38:48.746000
2024-09-14 08:54:23.614,11873,158,3,89,False,14,car,0 days 00:00:16.446000,0 days 00:38:49.026000
2024-09-14 08:54:23.774,12221,167,3,88,False,14,car,0 days 00:00:16.606000,0 days 00:38:49.186000
2024-09-14 08:54:24.054,11288,175,4,89,False,12,car,0 days 00:00:16.886000,0 days 00:38:49.466000
2024-09-14 08:54:24.254,10168,183,4,98,False,12,car,0 days 00:00:17.086000,0 days 00:38:49.666000
2024-09-14 08:54:24.414,10495,190,5,100,False,12,car,0 days 00:00:17.246000,0 days 00:38:49.826000
2024-09-14 08:54:24.814,11275,201,5,100,False,12,car,0 days 00:00:17.646000,0 days 00:38:50.226000
2024-09-14 08:54:24.974,11458,211,5,100,False,12,car,0 days 00:00:17.806000,0 days 00:38:50.386000
