F1 for AiM
Racer,Esteban Ocon
Vehicle,Alpine
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 12:00:18.666,3813,23,1,0,False,8,car,0 days 00:00:00.006000,0 days 00:13:13.116000
2024-09-14 12:00:18.866,3915,23,1,0,False,8,car,0 days 00:00:00.206000,0 days 00:13:13.316000
2024-09-14 12:00:19.186,3901,22,1,0,False,8,car,0 days 00:00:00.526000,0 days 00:13:13.636000
2024-09-14 12:00:19.346,3945,22,1,0,False,8,car,0 days 00:00:00.686000,0 days 00:13:13.796000
2024-09-14 12:00:19.706,4156,22,1,0,False,8,car,0 days 00:00:01.046000,0 days 00:13:14.156000
2024-09-14 12:00:19.946,3982,22,1,0,False,8,car,0 days 00:00:01.286000,0 days 00:13:14.396000
2024-09-14 12:00:20.426,4112,21,1,0,False,8,car,0 days 00:00:01.766000,0 days 00:13:14.876000
2024-09-14 12:00:20.866,4253,21,1,0,False,8,car,0 days 00:00:02.206000,0 days 00:13:15.316000
2024-09-14 12:00:21.226,4073,20,1,0,False,8,car,0 days 00:00:02.566000,0 days 00:13:15.676000
2024-09-14 12:00:21.586,3582,21,1,0,False,8,car,0 days 00:00:02.926000,0 days 00:13:16.036000
2024-09-14 12:00:21.826,3655,22,1,0,False,8,car,0 days 00:00:03.166000,0 days 00:13:16.276000
2024-09-14 12:00:21.986,3830,23,1,0,False,8,car,0 days 00:00:03.326000,0 days 00:13:16.436000
2024-09-14 12:00:22.226,4084,24,1,0,False,8,car,0 days 00:00:03.566000,0 days 00:13:16.676000
2024-09-14 12:00:22.426,4006,25,1,0,False,8,car,0 days 00:00:03.766000,0 days 00:13:16.876000
2024-09-14 12:00:22.586,3957,26,1,0,False,8,car,0 days 00:00:03.926000,0 days 00:13:17.036000
2024-09-14 12:00:22.906,4364,28,1,0,False,8,car,0 days 00:00:04.246000,0 days 00:13:17.356000
2024-09-14 12:00:23.186,4381,28,1,0,False,8,car,0 days 00:00:04.526000,0 days 00:13:17.636000
2024-09-14 12:00:23.466,4282,27,1,0,False,8,car,0 days 00:00:04.806000,0 days 00:13:17.916000
2024-09-14 12:00:23.626,4330,27,1,0,False,8,car,0 days 00:00:04.966000,0 days 00:13:18.076000
2024-09-14 12:00:23.906,4285,27,1,0,False,8,car,0 days 00:00:05.246000,0 days 00:13:18.356000
2024-09-14 12:00:24.306,4164,26,1,0,False,8,car,0 days 00:00:05.646000,0 days 00:13:18.756000
2024-09-14 12:00:24.507,4085,26,1,0,False,8,car,0 days 00:00:05.847000,0 days 00:13:18.957000
2024-09-14 12:00:24.707,4090,25,1,0,False,8,car,0 days 00:00:06.047000,0 days 00:13:19.157000
2024-09-14 12:00:24.947,3652,25,1,0,False,8,car,0 days 00:00:06.287000,0 days 00:13:19.397000
2024-09-14 12:00:25.106,3392,26,1,0,False,8,car,0 days 00:00:06.446000,0 days 00:13:19.556000
2024-09-14 12:00:25.266,3532,26,1,0,False,8,car,0 days 00:00:06.606000,0 days 00:13:19.716000
2024-09-14 12:00:25.426,3852,27,1,0,False,8,car,0 days 00:00:06.766000,0 days 00:13:19.876000
2024-09-14 12:00:25.626,3998,28,1,0,False,8,car,0 days 00:00:06.966000,0 days 00:13:20.076000
2024-09-14 12:00:25.826,3892,28,1,0,False,8,car,0 days 00:00:07.166000,0 days 00:13:20.276000
2024-09-14 12:00:26.186,3977,29,1,0,False,8,car,0 days 00:00:07.526000,0 days 00:13:20.636000
2024-09-14 12:00:26.426,4003,30,1,0,False,8,car,0 days 00:00:07.766000,0 days 00:13:20.876000
2024-09-14 12:00:26.586,4029,31,1,0,False,8,car,0 days 00:00:07.926000,0 days 00:13:21.036000
2024-09-14 12:00:26.746,4097,31,1,0,False,8,car,0 days 00:00:08.086000,0 days 00:13:21.196000
2024-09-14 12:00:26.986,4027,32,1,0,False,8,car,0 days 00:00:08.326000,0 days 00:13:21.436000
2024-09-14 12:00:27.266,4035,32,1,0,False,8,car,0 days 00:00:08.606000,0 days 00:13:21.716000
2024-09-14 12:00:27.666,4197,33,1,2,False,8,car,0 days 00:00:09.006000,0 days 00:13:22.116000
2024-09-14 12:00:28.066,4251,34,1,0,False,8,car,0 days 00:00:09.406000,0 days 00:13:22.516000
2024-09-14 12:00:28.386,4234,34,1,2,False,8,car,0 days 00:00:09.726000,0 days 00:13:22.836000
2024-09-14 12:00:28.626,4759,36,1,9,False,8,car,0 days 00:00:09.966000,0 days 00:13:23.076000
2024-09-14 12:00:28.906,5179,39,1,10,False,8,car,0 days 00:00:10.246000,0 days 00:13:23.356000
2024-09-14 12:00:29.226,5722,45,1,17,False,8,car,0 days 00:00:10.566000,0 days 00:13:23.676000
2024-09-14 12:00:29.546,6128,49,1,10,False,8,car,0 days 00:00:10.886000,0 days 00:13:23.996000
