F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-14 12:00:28.906,3669,9,1,0,False,8,car,0 days 00:00:00.094000,0 days 00:13:23.356000
2024-09-14 12:00:29.226,3600,9,1,0,False,8,car,0 days 00:00:00.414000,0 days 00:13:23.676000
2024-09-14 12:00:29.546,3619,9,1,0,False,8,car,0 days 00:00:00.734000,0 days 00:13:23.996000
2024-09-14 12:00:29.786,3752,9,1,0,False,8,car,0 days 00:00:00.974000,0 days 00:13:24.236000
2024-09-14 12:00:29.946,3591,9,1,0,False,8,car,0 days 00:00:01.134000,0 days 00:13:24.396000
2024-09-14 12:00:30.186,3623,9,1,0,False,8,car,0 days 00:00:01.374000,0 days 00:13:24.636000
2024-09-14 12:00:30.466,3507,8,1,0,False,8,car,0 days 00:00:01.654000,0 days 00:13:24.916000
2024-09-14 12:00:30.666,3473,9,1,0,False,8,car,0 days 00:00:01.854000,0 days 00:13:25.116000
2024-09-14 12:00:30.826,3619,8,1,0,False,8,car,0 days 00:00:02.014000,0 days 00:13:25.276000
2024-09-14 12:00:31.027,3597,8,1,0,False,8,car,0 days 00:00:02.215000,0 days 00:13:25.477000
2024-09-14 12:00:31.347,3498,8,1,0,False,8,car,0 days 00:00:02.535000,0 days 00:13:25.797000
2024-09-14 12:00:31.587,3463,8,1,0,False,8,car,0 days 00:00:02.775000,0 days 00:13:26.037000
2024-09-14 12:00:31.906,3519,8,1,0,False,8,car,0 days 00:00:03.094000,0 days 00:13:26.356000
2024-09-14 12:00:32.066,3525,8,1,0,False,8,car,0 days 00:00:03.254000,0 days 00:13:26.516000
2024-09-14 12:00:32.306,3607,8,1,0,False,8,car,0 days 00:00:03.494000,0 days 00:13:26.756000
2024-09-14 12:00:32.546,3421,7,1,0,False,8,car,0 days 00:00:03.734000,0 days 00:13:26.996000
2024-09-14 12:00:32.866,3657,7,1,0,False,8,car,0 days 00:00:04.054000,0 days 00:13:27.316000
2024-09-14 12:00:33.186,3702,7,1,0,False,8,car,0 days 00:00:04.374000,0 days 00:13:27.636000
2024-09-14 12:00:33.506,3583,7,1,0,False,8,car,0 days 00:00:04.694000,0 days 00:13:27.956000
2024-09-14 12:00:33.706,3614,7,1,0,False,8,car,0 days 00:00:04.894000,0 days 00:13:28.156000
2024-09-14 12:00:33.986,3653,7,1,0,False,8,car,0 days 00:00:05.174000,0 days 00:13:28.436000
2024-09-14 12:00:34.186,3593,6,1,0,False,8,car,0 days 00:00:05.374000,0 days 00:13:28.636000
2024-09-14 12:00:34.586,3641,6,1,0,False,8,car,0 days 00:00:05.774000,0 days 00:13:29.036000
2024-09-14 12:00:34.746,3510,6,1,0,False,8,car,0 days 00:00:05.934000,0 days 00:13:29.196000
2024-09-14 12:00:34.946,3507,6,1,0,False,8,car,0 days 00:00:06.134000,0 days 00:13:29.396000
2024-09-14 12:00:35.186,3478,6,1,0,False,8,car,0 days 00:00:06.374000,0 days 00:13:29.636000
