F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Baku City Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-15 11:04:11.129,9435,0,1,18,False,1,car,0 days 00:00:00.284000,0 days 00:56:15.354000
2024-09-15 11:04:11.489,6915,10,1,18,False,1,car,0 days 00:00:00.644000,0 days 00:56:15.714000
2024-09-15 11:04:11.689,5515,13,1,18,False,1,car,0 days 00:00:00.844000,0 days 00:56:15.914000
2024-09-15 11:04:11.929,3835,13,1,28,False,1,car,0 days 00:00:01.084000,0 days 00:56:16.154000
2024-09-15 11:04:12.329,4921,37,1,46,False,1,car,0 days 00:00:01.484000,0 days 00:56:16.554000
2024-09-15 11:04:12.689,6717,48,1,51,False,1,car,0 days 00:00:01.844000,0 days 00:56:16.914000
2024-09-15 11:04:12.889,7561,59,1,51,False,1,car,0 days 00:00:02.044000,0 days 00:56:17.114000
2024-09-15 11:04:13.049,8323,63,1,56,False,1,car,0 days 00:00:02.204000,0 days 00:56:17.274000
2024-09-15 11:04:13.209,8771,71,1,58,False,1,car,0 days 00:00:02.364000,0 days 00:56:17.434000
2024-09-15 11:04:13.449,10134,79,1,62,False,1,car,0 days 00:00:02.604000,0 days 00:56:17.674000
2024-09-15 11:04:13.689,11797,91,1,69,False,1,car,0 days 00:00:02.844000,0 days 00:56:17.914000
2024-09-15 11:04:14.009,9837,104,2,75,False,1,car,0 days 00:00:03.164000,0 days 00:56:18.234000
2024-09-15 11:04:14.209,10860,113,2,85,False,1,car,0 days 00:00:03.364000,0 days 00:56:18.434000
2024-09-15 11:04:14.569,10227,126,3,97,False,1,car,0 days 00:00:03.724000,0 days 00:56:18.794000
2024-09-15 11:04:14.809,11358,136,3,99,False,1,car,0 days 00:00:03.964000,0 days 00:56:19.034000
2024-09-15 11:04:15.009,11214,151,3,99,False,1,car,0 days 00:00:04.164000,0 days 00:56:19.234000
2024-09-15 11:04:15.169,11289,156,3,99,False,1,car,0 days 00:00:04.324000,0 days 00:56:19.394000
2024-09-15 11:04:15.329,10429,165,4,99,False,1,car,0 days 00:00:04.484000,0 days 00:56:19.554000
2024-09-15 11:04:15.609,10993,177,4,99,False,1,car,0 days 00:00:04.764000,0 days 00:56:19.834000
2024-09-15 11:04:15.769,11370,181,4,99,False,1,car,0 days 00:00:04.924000,0 days 00:56:19.994000
2024-09-15 11:04:15.929,11223,189,4,99,False,1,car,0 days 00:00:05.084000,0 days 00:56:20.154000
2024-09-15 11:04:16.169,10562,192,5,99,False,1,car,0 days 00:00:05.324000,0 days 00:56:20.394000
2024-09-15 11:04:16.489,10822,207,5,72,False,1,car,0 days 00:00:05.644000,0 days 00:56:20.714000
2024-09-15 11:04:16.730,11289,207,5,7,False,1,car,0 days 00:00:05.885000,0 days 00:56:20.955000
2024-09-15 11:04:17.050,11991,202,4,0,False,1,car,0 days 00:00:06.205000,0 days 00:56:21.275000
2024-09-15 11:04:17.289,11943,193,4,0,True,1,car,0 days 00:00:06.444000,0 days 00:56:21.514000
2024-09-15 11:04:17.489,11004,180,4,0,True,1,car,0 days 00:00:06.644000,0 days 00:56:21.714000
2024-09-15 11:04:17.649,10973,175,4,0,True,1,car,0 days 00:00:06.804000,0 days 00:56:21.874000
2024-09-15 11:04:18.129,10761,156,3,0,True,1,car,0 days 00:00:07.284000,0 days 00:56:22.354000
2024-09-15 11:04:18.489,11236,138,3,0,True,1,car,0 days 00:00:07.644000,0 days 00:56:22.714000
2024-09-15 11:04:18.809,10882,133,2,0,True,1,car,0 days 00:00:07.964000,0 days 00:56:23.034000
2024-09-15 11:04:19.169,10139,121,2,0,True,1,car,0 days 00:00:08.324000,0 days 00:56:23.394000
2024-09-15 11:04:19.329,9739,114,2,0,True,1,car,0 days 00:00:08.484000,0 days 00:56:23.554000
2024-09-15 11:04:19.529,9193,108,2,0,True,1,car,0 days 00:00:08.684000,0 days 00:56:23.754000
2024-09-15 11:04:19.969,8180,99,2,0,True,1,car,0 days 00:00:09.124000,0 days 00:56:24.194000
2024-09-15 11:04:20.329,8044,92,2,3,False,1,car,0 days 00:00:09.484000,0 days 00:56:24.554000
2024-09-15 11:04:20.489,8001,90,2,6,False,1,car,0 days 00:00:09.644000,0 days 00:56:24.714000
2024-09-15 11:04:20.809,7754,88,2,5,False,1,car,0 days 00:00:09.964000,0 days 00:56:25.034000
2024-09-15 11:04:21.169,7697,87,2,3,False,1,car,0 days 00:00:10.324000,0 days 00:56:25.394000
2024-09-15 11:04:21.449,8302,86,2,35,False,1,car,0 days 00:00:10.604000,0 days 00:56:25.674000
2024-09-15 11:04:21.689,8660,90,2,47,False,1,car,0 days 00:00:10.844000,0 days 00:56:25.914000
2024-09-15 11:04:22.049,9272,98,2,63,False,1,car,0 days 00:00:11.204000,0 days 00:56:26.274000
2024-09-15 11:04:22.289,9889,107,2,65,False,1,car,0 days 00:00:11.444000,0 days 00:56:26.514000
