F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Bahrain International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-02-29 11:30:36.694,6377,49,1,17,False,8,car,0 days 00:00:00.115000,0 days 00:15:36.628000
2024-02-29 11:30:37.014,7007,55,1,25,False,8,car,0 days 00:00:00.435000,0 days 00:15:36.948000
2024-02-29 11:30:37.334,7656,60,1,31,False,8,car,0 days 00:00:00.755000,0 days 00:15:37.268000
2024-02-29 11:30:37.534,8193,60,1,35,False,8,car,0 days 00:00:00.955000,0 days 00:15:37.468000
2024-02-29 11:30:37.734,8593,67,1,37,False,8,car,0 days 00:00:01.155000,0 days 00:15:37.668000
2024-02-29 11:30:37.894,8722,70,1,38,False,8,car,0 days 00:00:01.315000,0 days 00:15:37.828000
2024-02-29 11:30:38.334,10028,78,1,44,False,8,car,0 days 00:00:01.755000,0 days 00:15:38.268000
2024-02-29 11:30:38.654,10107,84,1,46,False,8,car,0 days 00:00:02.075000,0 days 00:15:38.588000
2024-02-29 11:30:38.854,8707,87,1,48,False,8,car,0 days 00:00:02.275000,0 days 00:15:38.788000
2024-02-29 11:30:39.054,8258,92,2,47,False,8,car,0 days 00:00:02.475000,0 days 00:15:38.988000
2024-02-29 11:30:39.334,9056,98,2,51,False,8,car,0 days 00:00:02.755000,0 days 00:15:39.268000
2024-02-29 11:30:39.534,9634,102,2,53,False,8,car,0 days 00:00:02.955000,0 days 00:15:39.468000
2024-02-29 11:30:39.773,10286,110,2,57,False,8,car,0 days 00:00:03.194000,0 days 00:15:39.707000
2024-02-29 11:30:39.933,10566,113,2,57,False,8,car,0 days 00:00:03.354000,0 days 00:15:39.867000
2024-02-29 11:30:40.213,10826,120,2,62,False,8,car,0 days 00:00:03.634000,0 days 00:15:40.147000
2024-02-29 11:30:40.453,11436,126,2,62,False,8,car,0 days 00:00:03.874000,0 days 00:15:40.387000
2024-02-29 11:30:40.734,9896,127,2,61,False,8,car,0 days 00:00:04.155000,0 days 00:15:40.668000
2024-02-29 11:30:40.974,9347,131,3,57,False,8,car,0 days 00:00:04.395000,0 days 00:15:40.908000
2024-02-29 11:30:41.294,9661,132,3,0,False,8,car,0 days 00:00:04.715000,0 days 00:15:41.228000
2024-02-29 11:30:41.614,8976,129,3,0,True,8,car,0 days 00:00:05.035000,0 days 00:15:41.548000
2024-02-29 11:30:42.014,8615,121,3,0,True,8,car,0 days 00:00:05.435000,0 days 00:15:41.948000
2024-02-29 11:30:42.214,9729,115,3,0,True,8,car,0 days 00:00:05.635000,0 days 00:15:42.148000
2024-02-29 11:30:42.534,9224,105,2,0,True,8,car,0 days 00:00:05.955000,0 days 00:15:42.468000
2024-02-29 11:30:42.894,8609,95,2,0,True,8,car,0 days 00:00:06.315000,0 days 00:15:42.828000
2024-02-29 11:30:43.294,8235,92,2,0,False,8,car,0 days 00:00:06.715000,0 days 00:15:43.228000
2024-02-29 11:30:43.494,8071,90,2,0,False,8,car,0 days 00:00:06.915000,0 days 00:15:43.428000
2024-02-29 11:30:43.654,7908,88,2,1,False,8,car,0 days 00:00:07.075000,0 days 00:15:43.588000
2024-02-29 11:30:43.854,7826,86,2,0,False,8,car,0 days 00:00:07.275000,0 days 00:15:43.788000
2024-02-29 11:30:44.054,7686,84,2,0,False,8,car,0 days 00:00:07.475000,0 days 00:15:43.988000
2024-02-29 11:30:44.294,7406,84,2,0,False,8,car,0 days 00:00:07.715000,0 days 00:15:44.228000
2024-02-29 11:30:44.614,7251,80,2,0,False,8,car,0 days 00:00:08.035000,0 days 00:15:44.548000
2024-02-29 11:30:44.814,6999,79,2,1,False,8,car,0 days 00:00:08.235000,0 days 00:15:44.748000
2024-02-29 11:30:45.054,6907,77,2,7,False,8,car,0 days 00:00:08.475000,0 days 00:15:44.988000
2024-02-29 11:30:45.254,7047,77,2,10,False,8,car,0 days 00:00:08.675000,0 days 00:15:45.188000
2024-02-29 11:30:45.574,7104,78,2,11,False,8,car,0 days 00:00:08.995000,0 days 00:15:45.508000
2024-02-29 11:30:45.814,6973,78,2,7,False,8,car,0 days 00:00:09.235000,0 days 00:15:45.748000
2024-02-29 11:30:46.094,7239,77,2,7,False,8,car,0 days 00:00:09.515000,0 days 00:15:46.028000
2024-02-29 11:30:46.413,6629,75,2,0,False,8,car,0 days 00:00:09.834000,0 days 00:15:46.347000
2024-02-29 11:30:46.733,6565,73,2,0,False,8,car,0 days 00:00:10.154000,0 days 00:15:46.667000
2024-02-29 11:30:47.053,6270,70,2,0,False,8,car,0 days 00:00:10.474000,0 days 00:15:46.987000
2024-02-29 11:30:47.214,6399,70,2,0,False,8,car,0 days 00:00:10.635000,0 days 00:15:47.148000
2024-02-29 11:30:47.414,6070,69,2,0,False,8,car,0 days 00:00:10.835000,0 days 00:15:47.348000
2024-02-29 11:30:47.614,6007,67,2,0,False,8,car,0 days 00:00:11.035000,0 days 00:15:47.548000
2024-02-29 11:30:47.774,5971,65,2,0,False,8,car,0 days 00:00:11.195000,0 days 00:15:47.708000
2024-02-29 11:30:48.014,5829,64,2,2,False,8,car,0 days 00:00:11.435000,0 days 00:15:47.948000
2024-02-29 11:30:48.254,5805,63,2,7,False,8,car,0 days 00:00:11.675000,0 days 00:15:48.188000
2024-02-29 11:30:48.494,5744,64,2,9,False,8,car,0 days 00:00:11.915000,0 days 00:15:48.428000
2024-02-29 11:30:48.654,5950,65,2,9,False,8,car,0 days 00:00:12.075000,0 days 00:15:48.588000
2024-02-29 11:30:48.854,6043,66,2,9,False,8,car,0 days 00:00:12.275000,0 days 00:15:48.788000
2024-02-29 11:30:49.214,6241,66,2,8,False,8,car,0 days 00:00:12.635000,0 days 00:15:49.148000
2024-02-29 11:30:49.414,6187,67,2,0,False,8,car,0 days 00:00:12.835000,0 days 00:15:49.348000
2024-02-29 11:30:49.694,5931,65,2,0,False,8,car,0 days 00:00:13.115000,0 days 00:15:49.628000
2024-02-29 11:30:49.974,6841,62,2,0,True,8,car,0 days 00:00:13.395000,0 days 00:15:49.908000
2024-02-29 11:30:50.214,7132,59,1,0,True,8,car,0 days 00:00:13.635000,0 days 00:15:50.148000
2024-02-29 11:30:50.454,6819,54,1,0,True,8,car,0 days 00:00:13.875000,0 days 00:15:50.388000
2024-02-29 11:30:50.694,6427,53,1,0,False,8,car,0 days 00:00:14.115000,0 days 00:15:50.628000
2024-02-29 11:30:50.894,6246,51,1,0,False,8,car,0 days 00:00:14.315000,0 days 00:15:50.828000
2024-02-29 11:30:51.134,6204,50,1,0,False,8,car,0 days 00:00:14.555000,0 days 00:15:51.068000
2024-02-29 11:30:51.374,5758,48,1,0,False,8,car,0 days 00:00:14.795000,0 days 00:15:51.308000
2024-02-29 11:30:51.534,5569,47,1,0,False,8,car,0 days 00:00:14.955000,0 days 00:15:51.468000
2024-02-29 11:30:51.854,5275,44,1,0,False,8,car,0 days 00:00:15.275000,0 days 00:15:51.788000
2024-02-29 11:30:52.214,5144,42,1,0,False,8,car,0 days 00:00:15.635000,0 days 00:15:52.148000
2024-02-29 11:30:52.374,5096,42,1,2,False,8,car,0 days 00:00:15.795000,0 days 00:15:52.308000
2024-02-29 11:30:52.654,5336,43,1,6,False,8,car,0 days 00:00:16.075000,0 days 00:15:52.588000
2024-02-29 11:30:52.854,5765,44,1,10,False,8,car,0 days 00:00:16.275000,0 days 00:15:52.788000
2024-02-29 11:30:53.173,5968,47,1,12,False,8,car,0 days 00:00:16.594000,0 days 00:15:53.107000
2024-02-29 11:30:53.453,6698,51,1,19,False,8,car,0 days 00:00:16.874000,0 days 00:15:53.387000
2024-02-29 11:30:53.693,7200,55,1,20,False,8,car,0 days 00:00:17.114000,0 days 00:15:53.627000
2024-02-29 11:30:53.854,7373,58,1,23,False,8,car,0 days 00:00:17.275000,0 days 00:15:53.788000
2024-02-29 11:30:54.014,7463,59,1,28,False,8,car,0 days 00:00:17.435000,0 days 00:15:53.948000
2024-02-29 11:30:54.174,7919,63,1,29,False,8,car,0 days 00:00:17.595000,0 days 00:15:54.108000
2024-02-29 11:30:54.454,8635,68,1,36,False,8,car,0 days 00:00:17.875000,0 days 00:15:54.388000
2024-02-29 11:30:54.654,8763,72,1,38,False,8,car,0 days 00:00:18.075000,0 days 00:15:54.588000
2024-02-29 11:30:54.934,9463,76,1,42,False,8,car,0 days 00:00:18.355000,0 days 00:15:54.868000
2024-02-29 11:30:55.174,8903,83,1,41,False,8,car,0 days 00:00:18.595000,0 days 00:15:55.108000
2024-02-29 11:30:55.374,8166,87,1,40,False,8,car,0 days 00:00:18.795000,0 days 00:15:55.308000
2024-02-29 11:30:55.654,8584,93,2,43,False,8,car,0 days 00:00:19.075000,0 days 00:15:55.588000
2024-02-29 11:30:55.854,9010,97,2,44,False,8,car,0 days 00:00:19.275000,0 days 00:15:55.788000
2024-02-29 11:30:56.214,9479,102,2,45,False,8,car,0 days 00:00:19.635000,0 days 00:15:56.148000
2024-02-29 11:30:56.374,9667,105,2,43,False,8,car,0 days 00:00:19.795000,0 days 00:15:56.308000
2024-02-29 11:30:56.734,9910,108,2,41,False,8,car,0 days 00:00:20.155000,0 days 00:15:56.668000
2024-02-29 11:30:56.974,8483,108,2,43,False,8,car,0 days 00:00:20.395000,0 days 00:15:56.908000
2024-02-29 11:30:57.174,8253,112,3,44,False,8,car,0 days 00:00:20.595000,0 days 00:15:57.108000
2024-02-29 11:30:57.414,8494,114,3,46,False,8,car,0 days 00:00:20.835000,0 days 00:15:57.348000
2024-02-29 11:30:57.814,8947,121,3,50,False,8,car,0 days 00:00:21.235000,0 days 00:15:57.748000
2024-02-29 11:30:57.974,9249,126,3,50,False,8,car,0 days 00:00:21.395000,0 days 00:15:57.908000
2024-02-29 11:30:58.254,9553,131,3,54,False,8,car,0 days 00:00:21.675000,0 days 00:15:58.188000
2024-02-29 11:30:58.574,9980,135,3,55,False,8,car,0 days 00:00:21.995000,0 days 00:15:58.508000
2024-02-29 11:30:58.814,10085,140,3,55,False,8,car,0 days 00:00:22.235000,0 days 00:15:58.748000
2024-02-29 11:30:58.974,10280,143,3,55,False,8,car,0 days 00:00:22.395000,0 days 00:15:58.908000
2024-02-29 11:30:59.294,10032,148,3,56,False,8,car,0 days 00:00:22.715000,0 days 00:15:59.228000
2024-02-29 11:30:59.534,9025,149,3,58,False,8,car,0 days 00:00:22.955000,0 days 00:15:59.468000
2024-02-29 11:30:59.774,9311,153,4,56,False,8,car,0 days 00:00:23.195000,0 days 00:15:59.708000
2024-02-29 11:31:00.093,9655,158,4,61,False,8,car,0 days 00:00:23.514000,0 days 00:16:00.027000
2024-02-29 11:31:00.253,9920,161,4,67,False,8,car,0 days 00:00:23.674000,0 days 00:16:00.187000
2024-02-29 11:31:00.614,10278,165,4,75,False,8,car,0 days 00:00:24.035000,0 days 00:16:00.548000
2024-02-29 11:31:00.934,10606,173,4,76,False,8,car,0 days 00:00:24.355000,0 days 00:16:00.868000
2024-02-29 11:31:01.254,10750,179,4,75,False,8,car,0 days 00:00:24.675000,0 days 00:16:01.188000
2024-02-29 11:31:01.494,9512,181,4,75,False,8,car,0 days 00:00:24.915000,0 days 00:16:01.428000
2024-02-29 11:31:01.774,9636,185,5,71,False,8,car,0 days 00:00:25.195000,0 days 00:16:01.708000
2024-02-29 11:31:01.934,9784,187,5,65,False,8,car,0 days 00:00:25.355000,0 days 00:16:01.868000
2024-02-29 11:31:02.174,9925,190,5,68,False,8,car,0 days 00:00:25.595000,0 days 00:16:02.108000
2024-02-29 11:31:02.334,10013,191,5,70,False,8,car,0 days 00:00:25.755000,0 days 00:16:02.268000
2024-02-29 11:31:02.494,10074,194,5,71,False,8,car,0 days 00:00:25.915000,0 days 00:16:02.428000
2024-02-29 11:31:02.654,10204,195,5,70,False,8,car,0 days 00:00:26.075000,0 days 00:16:02.588000
2024-02-29 11:31:02.894,10327,198,5,70,False,8,car,0 days 00:00:26.315000,0 days 00:16:02.828000
2024-02-29 11:31:03.054,10374,200,5,69,False,8,car,0 days 00:00:26.475000,0 days 00:16:02.988000
2024-02-29 11:31:03.334,10588,203,5,76,False,8,car,0 days 00:00:26.755000,0 days 00:16:03.268000
2024-02-29 11:31:03.774,10844,209,5,76,False,8,car,0 days 00:00:27.195000,0 days 00:16:03.708000
2024-02-29 11:31:03.934,10974,210,5,75,False,8,car,0 days 00:00:27.355000,0 days 00:16:03.868000
2024-02-29 11:31:04.094,11057,213,5,77,False,8,car,0 days 00:00:27.515000,0 days 00:16:04.028000
2024-02-29 11:31:04.454,9624,215,6,78,False,8,car,0 days 00:00:27.875000,0 days 00:16:04.388000
2024-02-29 11:31:04.734,9715,217,6,76,False,8,car,0 days 00:00:28.155000,0 days 00:16:04.668000
2024-02-29 11:31:04.974,9817,220,6,77,False,8,car,0 days 00:00:28.395000,0 days 00:16:04.908000
2024-02-29 11:31:05.254,9908,223,6,78,False,8,car,0 days 00:00:28.675000,0 days 00:16:05.188000
2024-02-29 11:31:05.414,9952,224,6,69,False,8,car,0 days 00:00:28.835000,0 days 00:16:05.348000
2024-02-29 11:31:05.654,10099,226,6,71,False,8,car,0 days 00:00:29.075000,0 days 00:16:05.588000
2024-02-29 11:31:05.814,10128,226,6,72,False,8,car,0 days 00:00:29.235000,0 days 00:16:05.748000
2024-02-29 11:31:06.054,10189,228,6,71,False,8,car,0 days 00:00:29.475000,0 days 00:16:05.988000
2024-02-29 11:31:06.254,10233,229,6,69,False,8,car,0 days 00:00:29.675000,0 days 00:16:06.188000
2024-02-29 11:31:06.534,10229,230,6,70,False,8,car,0 days 00:00:29.955000,0 days 00:16:06.468000
2024-02-29 11:31:06.813,10410,231,6,76,False,8,car,0 days 00:00:30.234000,0 days 00:16:06.747000
2024-02-29 11:31:06.974,10330,232,6,76,False,8,car,0 days 00:00:30.395000,0 days 00:16:06.908000
2024-02-29 11:31:07.134,10369,233,6,74,False,8,car,0 days 00:00:30.555000,0 days 00:16:07.068000
2024-02-29 11:31:07.374,10417,233,6,72,False,8,car,0 days 00:00:30.795000,0 days 00:16:07.308000
2024-02-29 11:31:07.654,10090,225,6,0,True,8,car,0 days 00:00:31.075000,0 days 00:16:07.588000
2024-02-29 11:31:07.894,9371,211,6,0,True,8,car,0 days 00:00:31.315000,0 days 00:16:07.828000
2024-02-29 11:31:08.094,8818,197,6,0,True,8,car,0 days 00:00:31.515000,0 days 00:16:08.028000
2024-02-29 11:31:08.494,9291,170,5,0,True,8,car,0 days 00:00:31.915000,0 days 00:16:08.428000
2024-02-29 11:31:08.814,10617,151,4,0,True,8,car,0 days 00:00:32.235000,0 days 00:16:08.748000
2024-02-29 11:31:09.054,10171,140,3,0,True,8,car,0 days 00:00:32.475000,0 days 00:16:08.988000
2024-02-29 11:31:09.294,9051,126,3,0,True,8,car,0 days 00:00:32.715000,0 days 00:16:09.228000
2024-02-29 11:31:09.654,10121,113,3,0,True,8,car,0 days 00:00:33.075000,0 days 00:16:09.588000
2024-02-29 11:31:09.854,9638,107,2,0,True,8,car,0 days 00:00:33.275000,0 days 00:16:09.788000
2024-02-29 11:31:10.094,9176,105,2,0,True,8,car,0 days 00:00:33.515000,0 days 00:16:10.028000
2024-02-29 11:31:10.334,8743,99,2,0,True,8,car,0 days 00:00:33.755000,0 days 00:16:10.268000
2024-02-29 11:31:10.534,8418,96,2,0,True,8,car,0 days 00:00:33.955000,0 days 00:16:10.468000
2024-02-29 11:31:10.734,8251,93,2,0,True,8,car,0 days 00:00:34.155000,0 days 00:16:10.668000
2024-02-29 11:31:10.934,8030,90,2,0,False,8,car,0 days 00:00:34.355000,0 days 00:16:10.868000
2024-02-29 11:31:11.174,7694,86,2,2,False,8,car,0 days 00:00:34.595000,0 days 00:16:11.108000
2024-02-29 11:31:11.374,7674,84,2,2,False,8,car,0 days 00:00:34.795000,0 days 00:16:11.308000
2024-02-29 11:31:11.534,7563,84,2,6,False,8,car,0 days 00:00:34.955000,0 days 00:16:11.468000
2024-02-29 11:31:11.694,7983,83,2,11,False,8,car,0 days 00:00:35.115000,0 days 00:16:11.628000
2024-02-29 11:31:11.934,7908,85,2,19,False,8,car,0 days 00:00:35.355000,0 days 00:16:11.868000
2024-02-29 11:31:12.094,8049,86,2,21,False,8,car,0 days 00:00:35.515000,0 days 00:16:12.028000
2024-02-29 11:31:12.294,8018,88,2,22,False,8,car,0 days 00:00:35.715000,0 days 00:16:12.228000
2024-02-29 11:31:12.494,8264,89,2,23,False,8,car,0 days 00:00:35.915000,0 days 00:16:12.428000
2024-02-29 11:31:12.854,8653,93,2,27,False,8,car,0 days 00:00:36.275000,0 days 00:16:12.788000
2024-02-29 11:31:13.054,7691,94,2,28,False,8,car,0 days 00:00:36.475000,0 days 00:16:12.988000
2024-02-29 11:31:13.453,7119,99,3,31,False,8,car,0 days 00:00:36.874000,0 days 00:16:13.387000
2024-02-29 11:31:13.894,7578,104,3,37,False,8,car,0 days 00:00:37.315000,0 days 00:16:13.828000
2024-02-29 11:31:14.054,7802,107,3,38,False,8,car,0 days 00:00:37.475000,0 days 00:16:13.988000
2024-02-29 11:31:14.294,7987,109,3,38,False,8,car,0 days 00:00:37.715000,0 days 00:16:14.228000
2024-02-29 11:31:14.654,8427,115,3,44,False,8,car,0 days 00:00:38.075000,0 days 00:16:14.588000
