F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Bahrain International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-02-29 15:01:27.213,5038,43,1,14,False,8,car,0 days 00:00:00.242000,0 days 00:16:26.162000
2024-02-29 15:01:27.493,5304,45,1,17,False,8,car,0 days 00:00:00.522000,0 days 00:16:26.442000
2024-02-29 15:01:27.813,5578,47,1,18,False,8,car,0 days 00:00:00.842000,0 days 00:16:26.762000
2024-02-29 15:01:28.093,5863,50,1,18,False,8,car,0 days 00:00:01.122000,0 days 00:16:27.042000
2024-02-29 15:01:28.493,6364,55,1,20,False,8,car,0 days 00:00:01.522000,0 days 00:16:27.442000
2024-02-29 15:01:28.733,6654,57,1,21,False,8,car,0 days 00:00:01.762000,0 days 00:16:27.682000
2024-02-29 15:01:29.053,7200,61,1,25,False,8,car,0 days 00:00:02.082000,0 days 00:16:28.002000
2024-02-29 15:01:29.333,7239,64,1,27,False,8,car,0 days 00:00:02.362000,0 days 00:16:28.282000
2024-02-29 15:01:29.573,7659,68,1,31,False,8,car,0 days 00:00:02.602000,0 days 00:16:28.522000
2024-02-29 15:01:29.733,8097,69,1,32,False,8,car,0 days 00:00:02.762000,0 days 00:16:28.682000
2024-02-29 15:01:29.893,8239,71,1,32,False,8,car,0 days 00:00:02.922000,0 days 00:16:28.842000
2024-02-29 15:01:30.053,8381,74,1,34,False,8,car,0 days 00:00:03.082000,0 days 00:16:29.002000
2024-02-29 15:01:30.373,8830,77,1,38,False,8,car,0 days 00:00:03.402000,0 days 00:16:29.322000
2024-02-29 15:01:30.693,9236,80,1,40,False,8,car,0 days 00:00:03.722000,0 days 00:16:29.642000
2024-02-29 15:01:30.973,9731,84,1,45,False,8,car,0 days 00:00:04.002000,0 days 00:16:29.922000
2024-02-29 15:01:31.253,10005,88,1,46,False,8,car,0 days 00:00:04.282000,0 days 00:16:30.202000
2024-02-29 15:01:31.613,8605,94,2,46,False,8,car,0 days 00:00:04.642000,0 days 00:16:30.562000
2024-02-29 15:01:31.853,8639,99,2,46,False,8,car,0 days 00:00:04.882000,0 days 00:16:30.802000
2024-02-29 15:01:32.053,8965,102,2,48,False,8,car,0 days 00:00:05.082000,0 days 00:16:31.002000
2024-02-29 15:01:32.293,9250,105,2,50,False,8,car,0 days 00:00:05.322000,0 days 00:16:31.242000
2024-02-29 15:01:32.693,9790,110,2,51,False,8,car,0 days 00:00:05.722000,0 days 00:16:31.642000
2024-02-29 15:01:32.933,10039,115,2,51,False,8,car,0 days 00:00:05.962000,0 days 00:16:31.882000
2024-02-29 15:01:33.173,10000,118,2,52,False,8,car,0 days 00:00:06.202000,0 days 00:16:32.122000
2024-02-29 15:01:33.493,10619,122,2,55,False,8,car,0 days 00:00:06.522000,0 days 00:16:32.442000
2024-02-29 15:01:33.693,10858,124,2,55,False,8,car,0 days 00:00:06.722000,0 days 00:16:32.642000
2024-02-29 15:01:33.893,10847,127,2,56,False,8,car,0 days 00:00:06.922000,0 days 00:16:32.842000
2024-02-29 15:01:34.173,9727,131,2,55,False,8,car,0 days 00:00:07.202000,0 days 00:16:33.122000
2024-02-29 15:01:34.373,9956,134,3,56,False,8,car,0 days 00:00:07.402000,0 days 00:16:33.322000
2024-02-29 15:01:34.693,10328,138,3,57,False,8,car,0 days 00:00:07.722000,0 days 00:16:33.642000
2024-02-29 15:01:34.933,10503,141,3,57,False,8,car,0 days 00:00:07.962000,0 days 00:16:33.882000
2024-02-29 15:01:35.293,10686,145,3,51,False,8,car,0 days 00:00:08.322000,0 days 00:16:34.242000
2024-02-29 15:01:35.533,10501,145,3,42,False,8,car,0 days 00:00:08.562000,0 days 00:16:34.482000
2024-02-29 15:01:35.733,10480,144,3,14,True,8,car,0 days 00:00:08.762000,0 days 00:16:34.682000
2024-02-29 15:01:35.933,10352,141,3,0,True,8,car,0 days 00:00:08.962000,0 days 00:16:34.882000
2024-02-29 15:01:36.173,9865,137,3,0,True,8,car,0 days 00:00:09.202000,0 days 00:16:35.122000
2024-02-29 15:01:36.533,9527,132,3,0,True,8,car,0 days 00:00:09.562000,0 days 00:16:35.482000
2024-02-29 15:01:36.734,9063,127,3,0,True,8,car,0 days 00:00:09.763000,0 days 00:16:35.683000
2024-02-29 15:01:36.974,8586,117,3,0,True,8,car,0 days 00:00:10.003000,0 days 00:16:35.923000
2024-02-29 15:01:37.253,7935,109,3,0,True,8,car,0 days 00:00:10.282000,0 days 00:16:36.202000
2024-02-29 15:01:37.533,8287,104,3,0,True,8,car,0 days 00:00:10.562000,0 days 00:16:36.482000
2024-02-29 15:01:37.853,7994,93,2,0,True,8,car,0 days 00:00:10.882000,0 days 00:16:36.802000
2024-02-29 15:01:38.133,7737,88,2,0,True,8,car,0 days 00:00:11.162000,0 days 00:16:37.082000
2024-02-29 15:01:38.333,7396,84,2,0,True,8,car,0 days 00:00:11.362000,0 days 00:16:37.282000
2024-02-29 15:01:38.613,6540,77,2,0,True,8,car,0 days 00:00:11.642000,0 days 00:16:37.562000
2024-02-29 15:01:38.893,6004,71,2,0,True,8,car,0 days 00:00:11.922000,0 days 00:16:37.842000
2024-02-29 15:01:39.253,6636,63,2,0,True,8,car,0 days 00:00:12.282000,0 days 00:16:38.202000
2024-02-29 15:01:39.533,6689,59,1,0,True,8,car,0 days 00:00:12.562000,0 days 00:16:38.482000
2024-02-29 15:01:39.773,6047,54,1,0,True,8,car,0 days 00:00:12.802000,0 days 00:16:38.722000
2024-02-29 15:01:39.933,5691,52,1,0,True,8,car,0 days 00:00:12.962000,0 days 00:16:38.882000
2024-02-29 15:01:40.293,5083,46,1,0,True,8,car,0 days 00:00:13.322000,0 days 00:16:39.242000
2024-02-29 15:01:40.573,4738,43,1,0,False,8,car,0 days 00:00:13.602000,0 days 00:16:39.522000
2024-02-29 15:01:40.733,4792,42,1,0,False,8,car,0 days 00:00:13.762000,0 days 00:16:39.682000
2024-02-29 15:01:40.933,4549,41,1,0,False,8,car,0 days 00:00:13.962000,0 days 00:16:39.882000
2024-02-29 15:01:41.173,4445,39,1,0,False,8,car,0 days 00:00:14.202000,0 days 00:16:40.122000
2024-02-29 15:01:41.493,4681,38,1,13,False,8,car,0 days 00:00:14.522000,0 days 00:16:40.442000
2024-02-29 15:01:41.893,4493,39,1,14,False,8,car,0 days 00:00:14.922000,0 days 00:16:40.842000
2024-02-29 15:01:42.253,4836,42,1,17,False,8,car,0 days 00:00:15.282000,0 days 00:16:41.202000
2024-02-29 15:01:42.613,5202,45,1,19,False,8,car,0 days 00:00:15.642000,0 days 00:16:41.562000
2024-02-29 15:01:42.893,5688,49,1,21,False,8,car,0 days 00:00:15.922000,0 days 00:16:41.842000
2024-02-29 15:01:43.173,6000,52,1,24,False,8,car,0 days 00:00:16.202000,0 days 00:16:42.122000
2024-02-29 15:01:43.574,6521,58,1,26,False,8,car,0 days 00:00:16.603000,0 days 00:16:42.523000
2024-02-29 15:01:44.013,7603,65,1,34,False,8,car,0 days 00:00:17.042000,0 days 00:16:42.962000
2024-02-29 15:01:44.293,8156,70,1,37,False,8,car,0 days 00:00:17.322000,0 days 00:16:43.242000
2024-02-29 15:01:44.493,8330,73,1,39,False,8,car,0 days 00:00:17.522000,0 days 00:16:43.442000
2024-02-29 15:01:44.693,8330,77,1,39,False,8,car,0 days 00:00:17.722000,0 days 00:16:43.642000
2024-02-29 15:01:44.853,8610,80,1,39,False,8,car,0 days 00:00:17.882000,0 days 00:16:43.802000
2024-02-29 15:01:45.133,8533,81,1,40,False,8,car,0 days 00:00:18.162000,0 days 00:16:44.082000
2024-02-29 15:01:45.293,7685,85,1,38,False,8,car,0 days 00:00:18.322000,0 days 00:16:44.242000
2024-02-29 15:01:45.573,7703,89,2,38,False,8,car,0 days 00:00:18.602000,0 days 00:16:44.522000
2024-02-29 15:01:45.813,8086,93,2,37,False,8,car,0 days 00:00:18.842000,0 days 00:16:44.762000
2024-02-29 15:01:46.293,8589,98,2,38,False,8,car,0 days 00:00:19.322000,0 days 00:16:45.242000
2024-02-29 15:01:46.573,8656,100,2,39,False,8,car,0 days 00:00:19.602000,0 days 00:16:45.522000
2024-02-29 15:01:46.893,9005,103,2,42,False,8,car,0 days 00:00:19.922000,0 days 00:16:45.842000
2024-02-29 15:01:47.213,9354,106,2,45,False,8,car,0 days 00:00:20.242000,0 days 00:16:46.162000
2024-02-29 15:01:47.453,9569,109,2,47,False,8,car,0 days 00:00:20.482000,0 days 00:16:46.402000
2024-02-29 15:01:47.653,9923,112,2,49,False,8,car,0 days 00:00:20.682000,0 days 00:16:46.602000
2024-02-29 15:01:47.893,10059,115,2,52,False,8,car,0 days 00:00:20.922000,0 days 00:16:46.842000
2024-02-29 15:01:48.053,10214,117,2,52,False,8,car,0 days 00:00:21.082000,0 days 00:16:47.002000
2024-02-29 15:01:48.213,10445,119,2,53,False,8,car,0 days 00:00:21.242000,0 days 00:16:47.162000
2024-02-29 15:01:48.453,10445,124,2,53,False,8,car,0 days 00:00:21.482000,0 days 00:16:47.402000
2024-02-29 15:01:48.613,9745,125,2,55,False,8,car,0 days 00:00:21.642000,0 days 00:16:47.562000
2024-02-29 15:01:48.893,9751,132,3,57,False,8,car,0 days 00:00:21.922000,0 days 00:16:47.842000
2024-02-29 15:01:49.133,10018,135,3,59,False,8,car,0 days 00:00:22.162000,0 days 00:16:48.082000
2024-02-29 15:01:49.373,10438,140,3,61,False,8,car,0 days 00:00:22.402000,0 days 00:16:48.322000
2024-02-29 15:01:49.533,10742,142,3,62,False,8,car,0 days 00:00:22.562000,0 days 00:16:48.482000
2024-02-29 15:01:49.733,10971,146,3,63,False,8,car,0 days 00:00:22.762000,0 days 00:16:48.682000
2024-02-29 15:01:49.894,10971,150,3,64,False,8,car,0 days 00:00:22.923000,0 days 00:16:48.843000
2024-02-29 15:01:50.254,10386,158,3,67,False,8,car,0 days 00:00:23.283000,0 days 00:16:49.203000
2024-02-29 15:01:50.414,9869,159,3,71,False,8,car,0 days 00:00:23.443000,0 days 00:16:49.363000
2024-02-29 15:01:50.573,10285,164,4,72,False,8,car,0 days 00:00:23.602000,0 days 00:16:49.522000
2024-02-29 15:01:50.813,10619,168,4,74,False,8,car,0 days 00:00:23.842000,0 days 00:16:49.762000
2024-02-29 15:01:51.053,11011,174,4,75,False,8,car,0 days 00:00:24.082000,0 days 00:16:50.002000
2024-02-29 15:01:51.293,11280,174,4,77,False,8,car,0 days 00:00:24.322000,0 days 00:16:50.242000
