F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Bahrain International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-01 12:46:17.109,4230,49,0,0,True,8,car,0 days 00:00:00.168000,0 days 00:31:16.305000
2024-03-01 12:46:17.309,4146,45,0,0,True,8,car,0 days 00:00:00.368000,0 days 00:31:16.505000
2024-03-01 12:46:17.749,4024,38,0,0,True,8,car,0 days 00:00:00.808000,0 days 00:31:16.945000
2024-03-01 12:46:18.109,3989,28,0,1,True,8,car,0 days 00:00:01.168000,0 days 00:31:17.305000
2024-03-01 12:46:18.548,4050,21,0,1,True,8,car,0 days 00:00:01.607000,0 days 00:31:17.744000
2024-03-01 12:46:18.909,4113,13,0,1,True,8,car,0 days 00:00:01.968000,0 days 00:31:18.105000
2024-03-01 12:46:19.069,4113,13,0,1,True,8,car,0 days 00:00:02.128000,0 days 00:31:18.265000
2024-03-01 12:46:19.229,4058,10,0,1,True,8,car,0 days 00:00:02.288000,0 days 00:31:18.425000
2024-03-01 12:46:19.589,4050,4,0,1,True,8,car,0 days 00:00:02.648000,0 days 00:31:18.785000
2024-03-01 12:46:19.789,4075,2,0,0,True,8,car,0 days 00:00:02.848000,0 days 00:31:18.985000
2024-03-01 12:46:20.149,3971,0,0,0,True,8,car,0 days 00:00:03.208000,0 days 00:31:19.345000
2024-03-01 12:46:20.349,3975,0,0,0,True,8,car,0 days 00:00:03.408000,0 days 00:31:19.545000
2024-03-01 12:46:20.589,3898,0,0,0,True,8,car,0 days 00:00:03.648000,0 days 00:31:19.785000
2024-03-01 12:46:21.029,4136,0,0,0,False,8,car,0 days 00:00:04.088000,0 days 00:31:20.225000
2024-03-01 12:46:21.349,4185,0,0,0,True,8,car,0 days 00:00:04.408000,0 days 00:31:20.545000
2024-03-01 12:46:21.829,4256,0,0,0,True,8,car,0 days 00:00:04.888000,0 days 00:31:21.025000
2024-03-01 12:46:22.269,4065,0,0,0,True,8,car,0 days 00:00:05.328000,0 days 00:31:21.465000
2024-03-01 12:46:22.469,3929,0,0,0,True,8,car,0 days 00:00:05.528000,0 days 00:31:21.665000
2024-03-01 12:46:22.749,3638,0,0,0,True,8,car,0 days 00:00:05.808000,0 days 00:31:21.945000
2024-03-01 12:46:22.949,3783,0,0,0,True,8,car,0 days 00:00:06.008000,0 days 00:31:22.145000
2024-03-01 12:46:23.149,3786,0,1,0,True,8,car,0 days 00:00:06.208000,0 days 00:31:22.345000
2024-03-01 12:46:23.389,3962,0,1,0,True,8,car,0 days 00:00:06.448000,0 days 00:31:22.585000
2024-03-01 12:46:23.669,3902,0,1,0,True,8,car,0 days 00:00:06.728000,0 days 00:31:22.865000
2024-03-01 12:46:23.949,4032,0,1,0,True,8,car,0 days 00:00:07.008000,0 days 00:31:23.145000
2024-03-01 12:46:24.149,3926,0,1,0,True,8,car,0 days 00:00:07.208000,0 days 00:31:23.345000
2024-03-01 12:46:24.309,3905,0,1,0,True,8,car,0 days 00:00:07.368000,0 days 00:31:23.505000
2024-03-01 12:46:24.629,3878,0,1,1,True,8,car,0 days 00:00:07.688000,0 days 00:31:23.825000
2024-03-01 12:46:24.989,3967,0,1,2,False,8,car,0 days 00:00:08.048000,0 days 00:31:24.185000
2024-03-01 12:46:25.268,4025,0,1,5,False,8,car,0 days 00:00:08.327000,0 days 00:31:24.464000
2024-03-01 12:46:25.549,4057,0,1,0,True,8,car,0 days 00:00:08.608000,0 days 00:31:24.745000
2024-03-01 12:46:25.789,3971,0,1,0,True,8,car,0 days 00:00:08.848000,0 days 00:31:24.985000
2024-03-01 12:46:25.949,3959,0,1,0,True,8,car,0 days 00:00:09.008000,0 days 00:31:25.145000
2024-03-01 12:46:26.109,3867,0,1,0,True,8,car,0 days 00:00:09.168000,0 days 00:31:25.305000
2024-03-01 12:46:26.469,4002,0,1,0,True,8,car,0 days 00:00:09.528000,0 days 00:31:25.665000
2024-03-01 12:46:27.029,5238,0,1,15,True,8,car,0 days 00:00:10.088000,0 days 00:31:26.225000
2024-03-01 12:46:27.269,6918,0,1,15,False,8,car,0 days 00:00:10.328000,0 days 00:31:26.465000
2024-03-01 12:46:27.429,8038,0,1,16,False,8,car,0 days 00:00:10.488000,0 days 00:31:26.625000
2024-03-01 12:46:27.669,9435,0,1,16,False,8,car,0 days 00:00:10.728000,0 days 00:31:26.865000
2024-03-01 12:46:27.949,9370,0,1,16,False,8,car,0 days 00:00:11.008000,0 days 00:31:27.145000
2024-03-01 12:46:28.229,9335,0,1,17,False,8,car,0 days 00:00:11.288000,0 days 00:31:27.425000
2024-03-01 12:46:28.429,9294,0,1,17,False,8,car,0 days 00:00:11.488000,0 days 00:31:27.625000
2024-03-01 12:46:28.749,9464,0,1,18,False,8,car,0 days 00:00:11.808000,0 days 00:31:27.945000
2024-03-01 12:46:28.909,9462,0,1,18,False,8,car,0 days 00:00:11.968000,0 days 00:31:28.105000
2024-03-01 12:46:29.189,9406,0,1,18,False,8,car,0 days 00:00:12.248000,0 days 00:31:28.385000
2024-03-01 12:46:29.589,9462,0,1,18,False,8,car,0 days 00:00:12.648000,0 days 00:31:28.785000
2024-03-01 12:46:29.829,9394,0,1,18,False,8,car,0 days 00:00:12.888000,0 days 00:31:29.025000
2024-03-01 12:46:30.189,9397,0,1,18,False,8,car,0 days 00:00:13.248000,0 days 00:31:29.385000
2024-03-01 12:46:30.589,9396,0,1,18,False,8,car,0 days 00:00:13.648000,0 days 00:31:29.785000
2024-03-01 12:46:30.829,9440,0,1,18,False,8,car,0 days 00:00:13.888000,0 days 00:31:30.025000
2024-03-01 12:46:31.029,9386,0,1,18,False,8,car,0 days 00:00:14.088000,0 days 00:31:30.225000
2024-03-01 12:46:31.189,9487,0,1,18,False,8,car,0 days 00:00:14.248000,0 days 00:31:30.385000
2024-03-01 12:46:31.509,9435,0,1,18,False,8,car,0 days 00:00:14.568000,0 days 00:31:30.705000
2024-03-01 12:46:31.709,9455,0,1,18,False,8,car,0 days 00:00:14.768000,0 days 00:31:30.905000
2024-03-01 12:46:32.069,9497,0,1,18,False,8,car,0 days 00:00:15.128000,0 days 00:31:31.265000
2024-03-01 12:46:32.269,9389,0,1,18,False,8,car,0 days 00:00:15.328000,0 days 00:31:31.465000
2024-03-01 12:46:32.549,8336,0,1,17,False,8,car,0 days 00:00:15.608000,0 days 00:31:31.745000
2024-03-01 12:46:32.749,6936,8,1,17,False,8,car,0 days 00:00:15.808000,0 days 00:31:31.945000
2024-03-01 12:46:33.029,4991,15,1,17,False,8,car,0 days 00:00:16.088000,0 days 00:31:32.225000
2024-03-01 12:46:33.229,4926,20,1,17,False,8,car,0 days 00:00:16.288000,0 days 00:31:32.425000
2024-03-01 12:46:33.709,4974,35,1,36,False,8,car,0 days 00:00:16.768000,0 days 00:31:32.905000
2024-03-01 12:46:33.909,5660,41,1,38,False,8,car,0 days 00:00:16.968000,0 days 00:31:33.105000
2024-03-01 12:46:34.229,6980,51,1,44,False,8,car,0 days 00:00:17.288000,0 days 00:31:33.425000
2024-03-01 12:46:34.509,8940,59,1,50,False,8,car,0 days 00:00:17.568000,0 days 00:31:33.705000
2024-03-01 12:46:34.669,9673,62,1,45,False,8,car,0 days 00:00:17.728000,0 days 00:31:33.865000
2024-03-01 12:46:34.909,9765,72,1,50,False,8,car,0 days 00:00:17.968000,0 days 00:31:34.105000
2024-03-01 12:46:35.349,11078,87,1,61,False,8,car,0 days 00:00:18.408000,0 days 00:31:34.545000
2024-03-01 12:46:35.549,11931,95,1,68,False,8,car,0 days 00:00:18.608000,0 days 00:31:34.745000
2024-03-01 12:46:35.749,12043,104,1,78,False,8,car,0 days 00:00:18.808000,0 days 00:31:34.945000
2024-03-01 12:46:35.909,10923,114,2,83,False,8,car,0 days 00:00:18.968000,0 days 00:31:35.105000
2024-03-01 12:46:36.069,11084,119,2,87,False,8,car,0 days 00:00:19.128000,0 days 00:31:35.265000
2024-03-01 12:46:36.269,11134,131,2,98,False,8,car,0 days 00:00:19.328000,0 days 00:31:35.465000
2024-03-01 12:46:36.429,10014,141,3,98,False,8,car,0 days 00:00:19.488000,0 days 00:31:35.625000
2024-03-01 12:46:36.709,11287,156,3,98,False,8,car,0 days 00:00:19.768000,0 days 00:31:35.905000
2024-03-01 12:46:36.869,10867,161,3,98,False,8,car,0 days 00:00:19.928000,0 days 00:31:36.065000
2024-03-01 12:46:37.189,10627,174,4,98,False,8,car,0 days 00:00:20.248000,0 days 00:31:36.385000
2024-03-01 12:46:37.629,11730,185,4,98,False,8,car,0 days 00:00:20.688000,0 days 00:31:36.825000
2024-03-01 12:46:37.989,11209,201,4,98,False,8,car,0 days 00:00:21.048000,0 days 00:31:37.185000
2024-03-01 12:46:38.469,10224,204,5,0,True,8,car,0 days 00:00:21.528000,0 days 00:31:37.665000
2024-03-01 12:46:38.869,9480,175,5,0,True,8,car,0 days 00:00:21.928000,0 days 00:31:38.065000
2024-03-01 12:46:39.029,9812,154,5,0,True,8,car,0 days 00:00:22.088000,0 days 00:31:38.225000
2024-03-01 12:46:39.189,10357,140,5,0,True,8,car,0 days 00:00:22.248000,0 days 00:31:38.385000
2024-03-01 12:46:39.389,9314,128,4,0,True,8,car,0 days 00:00:22.448000,0 days 00:31:38.585000
2024-03-01 12:46:39.549,10426,122,3,0,True,8,car,0 days 00:00:22.608000,0 days 00:31:38.745000
2024-03-01 12:46:39.709,10146,111,2,0,True,8,car,0 days 00:00:22.768000,0 days 00:31:38.905000
2024-03-01 12:46:39.989,8796,101,2,0,True,8,car,0 days 00:00:23.048000,0 days 00:31:39.185000
2024-03-01 12:46:40.229,7658,88,2,0,True,8,car,0 days 00:00:23.288000,0 days 00:31:39.425000
2024-03-01 12:46:41.109,6457,68,2,14,False,8,car,0 days 00:00:24.168000,0 days 00:31:40.305000
2024-03-01 12:46:41.349,6080,70,2,22,False,8,car,0 days 00:00:24.408000,0 days 00:31:40.545000
2024-03-01 12:46:41.589,6486,72,2,29,False,8,car,0 days 00:00:24.648000,0 days 00:31:40.785000
2024-03-01 12:46:41.789,6698,75,2,32,False,8,car,0 days 00:00:24.848000,0 days 00:31:40.985000
2024-03-01 12:46:42.109,7396,81,2,35,False,8,car,0 days 00:00:25.168000,0 days 00:31:41.305000
2024-03-01 12:46:42.349,7666,86,2,30,False,8,car,0 days 00:00:25.408000,0 days 00:31:41.545000
2024-03-01 12:46:42.789,7256,85,2,0,True,8,car,0 days 00:00:25.848000,0 days 00:31:41.985000
2024-03-01 12:46:42.949,7021,81,2,0,True,8,car,0 days 00:00:26.008000,0 days 00:31:42.145000
2024-03-01 12:46:43.149,6600,77,2,0,True,8,car,0 days 00:00:26.208000,0 days 00:31:42.345000
2024-03-01 12:46:43.309,6287,72,2,0,True,8,car,0 days 00:00:26.368000,0 days 00:31:42.505000
2024-03-01 12:46:43.709,5434,64,2,0,True,8,car,0 days 00:00:26.768000,0 days 00:31:42.905000
2024-03-01 12:46:43.949,5031,60,2,0,True,8,car,0 days 00:00:27.008000,0 days 00:31:43.145000
2024-03-01 12:46:44.109,4791,58,2,0,False,8,car,0 days 00:00:27.168000,0 days 00:31:43.305000
2024-03-01 12:46:44.429,4617,54,2,0,False,8,car,0 days 00:00:27.488000,0 days 00:31:43.625000
2024-03-01 12:46:44.669,4538,53,2,0,False,8,car,0 days 00:00:27.728000,0 days 00:31:43.865000
2024-03-01 12:46:45.029,4391,50,2,0,False,8,car,0 days 00:00:28.088000,0 days 00:31:44.225000
2024-03-01 12:46:45.350,3986,49,2,6,False,8,car,0 days 00:00:28.409000,0 days 00:31:44.546000
2024-03-01 12:46:45.549,4376,49,2,10,False,8,car,0 days 00:00:28.608000,0 days 00:31:44.745000
2024-03-01 12:46:45.709,4659,51,2,14,False,8,car,0 days 00:00:28.768000,0 days 00:31:44.905000
2024-03-01 12:46:45.989,4862,53,2,17,False,8,car,0 days 00:00:29.048000,0 days 00:31:45.185000
2024-03-01 12:46:46.269,5063,57,2,23,False,8,car,0 days 00:00:29.328000,0 days 00:31:45.465000
2024-03-01 12:46:46.429,5264,60,2,26,False,8,car,0 days 00:00:29.488000,0 days 00:31:45.625000
2024-03-01 12:46:46.629,5548,62,2,29,False,8,car,0 days 00:00:29.688000,0 days 00:31:45.825000
2024-03-01 12:46:47.109,6364,72,2,35,False,8,car,0 days 00:00:30.168000,0 days 00:31:46.305000
2024-03-01 12:46:47.389,6815,78,2,35,False,8,car,0 days 00:00:30.448000,0 days 00:31:46.585000
2024-03-01 12:46:47.589,7204,83,2,35,False,8,car,0 days 00:00:30.648000,0 days 00:31:46.785000
2024-03-01 12:46:47.789,7457,87,2,32,False,8,car,0 days 00:00:30.848000,0 days 00:31:46.985000
2024-03-01 12:46:48.029,7898,90,2,20,False,8,car,0 days 00:00:31.088000,0 days 00:31:47.225000
2024-03-01 12:46:48.349,8216,93,2,15,False,8,car,0 days 00:00:31.408000,0 days 00:31:47.545000
2024-03-01 12:46:48.669,8423,95,2,15,False,8,car,0 days 00:00:31.728000,0 days 00:31:47.865000
2024-03-01 12:46:48.949,8624,97,2,16,False,8,car,0 days 00:00:32.008000,0 days 00:31:48.145000
2024-03-01 12:46:49.149,8827,98,2,20,False,8,car,0 days 00:00:32.208000,0 days 00:31:48.345000
2024-03-01 12:46:49.349,9015,101,2,22,False,8,car,0 days 00:00:32.408000,0 days 00:31:48.545000
2024-03-01 12:46:49.589,9118,103,2,23,False,8,car,0 days 00:00:32.648000,0 days 00:31:48.785000
2024-03-01 12:46:49.749,9443,105,2,25,False,8,car,0 days 00:00:32.808000,0 days 00:31:48.945000
2024-03-01 12:46:49.989,9539,107,2,27,False,8,car,0 days 00:00:33.048000,0 days 00:31:49.185000
2024-03-01 12:46:50.149,9732,109,2,29,False,8,car,0 days 00:00:33.208000,0 days 00:31:49.345000
2024-03-01 12:46:50.309,9912,111,2,31,False,8,car,0 days 00:00:33.368000,0 days 00:31:49.505000
2024-03-01 12:46:50.589,10201,116,2,38,False,8,car,0 days 00:00:33.648000,0 days 00:31:49.785000
2024-03-01 12:46:50.989,10835,121,2,46,False,8,car,0 days 00:00:34.048000,0 days 00:31:50.185000
2024-03-01 12:46:51.149,10949,125,2,46,False,8,car,0 days 00:00:34.208000,0 days 00:31:50.345000
2024-03-01 12:46:51.349,9829,129,2,51,False,8,car,0 days 00:00:34.408000,0 days 00:31:50.545000
2024-03-01 12:46:51.509,9563,133,3,52,False,8,car,0 days 00:00:34.568000,0 days 00:31:50.705000
2024-03-01 12:46:51.790,9824,138,3,53,False,8,car,0 days 00:00:34.849000,0 days 00:31:50.986000
2024-03-01 12:46:52.070,10373,144,3,53,False,8,car,0 days 00:00:35.129000,0 days 00:31:51.266000
2024-03-01 12:46:52.469,10960,150,3,52,False,8,car,0 days 00:00:35.528000,0 days 00:31:51.665000
2024-03-01 12:46:52.629,11117,155,3,52,False,8,car,0 days 00:00:35.688000,0 days 00:31:51.825000
2024-03-01 12:46:52.989,11544,162,3,52,False,8,car,0 days 00:00:36.048000,0 days 00:31:52.185000
2024-03-01 12:46:53.149,11785,164,3,53,False,8,car,0 days 00:00:36.208000,0 days 00:31:52.345000
2024-03-01 12:46:53.429,10365,168,4,55,False,8,car,0 days 00:00:36.488000,0 days 00:31:52.625000
2024-03-01 12:46:53.629,10413,171,4,55,False,8,car,0 days 00:00:36.688000,0 days 00:31:52.825000
2024-03-01 12:46:53.789,10531,171,4,55,False,8,car,0 days 00:00:36.848000,0 days 00:31:52.985000
2024-03-01 12:46:53.949,10715,176,4,56,False,8,car,0 days 00:00:37.008000,0 days 00:31:53.145000
2024-03-01 12:46:54.309,11108,182,4,59,False,8,car,0 days 00:00:37.368000,0 days 00:31:53.505000
2024-03-01 12:46:54.509,11302,185,4,61,False,8,car,0 days 00:00:37.568000,0 days 00:31:53.705000
