F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Bahrain International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-01 12:41:52.068,7269,80,2,53,False,8,car,0 days 00:00:00.037000,0 days 00:26:51.264000
2024-03-01 12:41:52.268,7722,86,2,52,False,8,car,0 days 00:00:00.237000,0 days 00:26:51.464000
2024-03-01 12:41:52.468,8005,91,2,51,False,8,car,0 days 00:00:00.437000,0 days 00:26:51.664000
2024-03-01 12:41:52.628,8231,93,2,44,False,8,car,0 days 00:00:00.597000,0 days 00:26:51.824000
2024-03-01 12:41:52.948,8826,99,2,52,False,8,car,0 days 00:00:00.917000,0 days 00:26:52.144000
2024-03-01 12:41:53.188,9216,104,2,58,False,8,car,0 days 00:00:01.157000,0 days 00:26:52.384000
2024-03-01 12:41:53.588,10140,114,2,61,False,8,car,0 days 00:00:01.557000,0 days 00:26:52.784000
2024-03-01 12:41:53.788,9372,118,2,67,False,8,car,0 days 00:00:01.757000,0 days 00:26:52.984000
2024-03-01 12:41:53.948,9112,121,2,69,False,8,car,0 days 00:00:01.917000,0 days 00:26:53.144000
2024-03-01 12:41:54.348,9892,132,3,72,False,8,car,0 days 00:00:02.317000,0 days 00:26:53.544000
2024-03-01 12:41:54.508,10361,138,3,73,False,8,car,0 days 00:00:02.477000,0 days 00:26:53.704000
2024-03-01 12:41:54.708,10722,145,3,76,False,8,car,0 days 00:00:02.677000,0 days 00:26:53.904000
2024-03-01 12:41:55.028,10789,153,3,75,False,8,car,0 days 00:00:02.997000,0 days 00:26:54.224000
2024-03-01 12:41:55.308,10060,157,3,78,False,8,car,0 days 00:00:03.277000,0 days 00:26:54.504000
2024-03-01 12:41:55.588,10544,164,4,83,False,8,car,0 days 00:00:03.557000,0 days 00:26:54.784000
2024-03-01 12:41:55.829,10864,170,4,77,False,8,car,0 days 00:00:03.798000,0 days 00:26:55.025000
2024-03-01 12:41:56.029,10933,174,4,80,False,8,car,0 days 00:00:03.998000,0 days 00:26:55.225000
2024-03-01 12:41:56.469,11586,184,4,85,False,8,car,0 days 00:00:04.438000,0 days 00:26:55.665000
2024-03-01 12:41:56.828,10286,189,4,98,False,8,car,0 days 00:00:04.797000,0 days 00:26:56.024000
2024-03-01 12:41:57.108,10656,200,5,100,False,8,car,0 days 00:00:05.077000,0 days 00:26:56.304000
