F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Bahrain International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-01 16:05:40.600,3582,3,1,1,False,8,car,0 days 00:00:00.108000,0 days 00:19:04.927000
2024-03-01 16:05:40.960,3797,2,1,0,False,8,car,0 days 00:00:00.468000,0 days 00:19:05.287000
2024-03-01 16:05:41.240,3445,2,1,0,False,8,car,0 days 00:00:00.748000,0 days 00:19:05.567000
2024-03-01 16:05:41.520,3367,2,1,0,False,8,car,0 days 00:00:01.028000,0 days 00:19:05.847000
2024-03-01 16:05:41.760,3600,2,1,0,False,8,car,0 days 00:00:01.268000,0 days 00:19:06.087000
2024-03-01 16:05:42.040,3784,0,1,0,False,8,car,0 days 00:00:01.548000,0 days 00:19:06.367000
2024-03-01 16:05:42.200,3760,0,1,0,False,8,car,0 days 00:00:01.708000,0 days 00:19:06.527000
2024-03-01 16:05:42.480,3728,0,1,0,False,8,car,0 days 00:00:01.988000,0 days 00:19:06.807000
2024-03-01 16:05:42.680,3719,0,1,0,False,8,car,0 days 00:00:02.188000,0 days 00:19:07.007000
2024-03-01 16:05:42.920,3426,0,1,0,False,8,car,0 days 00:00:02.428000,0 days 00:19:07.247000
2024-03-01 16:05:43.159,3611,0,1,0,False,8,car,0 days 00:00:02.667000,0 days 00:19:07.486000
2024-03-01 16:05:43.519,3219,0,1,0,False,8,car,0 days 00:00:03.027000,0 days 00:19:07.846000
2024-03-01 16:05:43.679,3419,0,1,0,False,8,car,0 days 00:00:03.187000,0 days 00:19:08.006000
2024-03-01 16:05:43.999,3547,0,1,0,False,8,car,0 days 00:00:03.507000,0 days 00:19:08.326000
2024-03-01 16:05:44.279,3730,0,1,0,False,8,car,0 days 00:00:03.787000,0 days 00:19:08.606000
2024-03-01 16:05:44.519,3696,0,1,0,False,8,car,0 days 00:00:04.027000,0 days 00:19:08.846000
2024-03-01 16:05:45.039,3592,0,1,0,False,8,car,0 days 00:00:04.547000,0 days 00:19:09.366000
2024-03-01 16:05:45.239,3745,0,1,0,False,8,car,0 days 00:00:04.747000,0 days 00:19:09.566000
2024-03-01 16:05:45.559,3319,0,1,0,False,8,car,0 days 00:00:05.067000,0 days 00:19:09.886000
2024-03-01 16:05:45.799,3319,0,1,0,False,8,car,0 days 00:00:05.307000,0 days 00:19:10.126000
2024-03-01 16:05:45.999,3714,0,1,0,False,8,car,0 days 00:00:05.507000,0 days 00:19:10.326000
2024-03-01 16:05:46.439,3793,0,1,5,False,8,car,0 days 00:00:05.947000,0 days 00:19:10.766000
2024-03-01 16:05:46.800,3923,0,1,5,False,8,car,0 days 00:00:06.308000,0 days 00:19:11.127000
2024-03-01 16:05:47.160,4464,0,1,9,False,8,car,0 days 00:00:06.668000,0 days 00:19:11.487000
2024-03-01 16:05:47.360,4261,0,1,9,False,8,car,0 days 00:00:06.868000,0 days 00:19:11.687000
2024-03-01 16:05:47.640,4236,3,1,9,False,8,car,0 days 00:00:07.148000,0 days 00:19:11.967000
2024-03-01 16:05:47.920,4435,4,1,11,False,8,car,0 days 00:00:07.428000,0 days 00:19:12.247000
2024-03-01 16:05:48.360,3988,10,1,11,False,8,car,0 days 00:00:07.868000,0 days 00:19:12.687000
2024-03-01 16:05:48.720,4185,14,1,11,False,8,car,0 days 00:00:08.228000,0 days 00:19:13.047000
2024-03-01 16:05:49.160,3633,18,1,8,False,8,car,0 days 00:00:08.668000,0 days 00:19:13.487000
2024-03-01 16:05:49.360,3721,21,1,7,False,8,car,0 days 00:00:08.868000,0 days 00:19:13.687000
2024-03-01 16:05:49.680,3391,25,1,7,False,8,car,0 days 00:00:09.188000,0 days 00:19:14.007000
2024-03-01 16:05:49.959,3305,27,1,3,False,8,car,0 days 00:00:09.467000,0 days 00:19:14.286000
2024-03-01 16:05:50.159,3305,27,1,3,False,8,car,0 days 00:00:09.667000,0 days 00:19:14.486000
2024-03-01 16:05:50.799,3379,29,1,0,False,8,car,0 days 00:00:10.307000,0 days 00:19:15.126000
2024-03-01 16:05:50.999,3354,29,1,0,False,8,car,0 days 00:00:10.507000,0 days 00:19:15.326000
2024-03-01 16:05:51.199,3445,30,1,0,False,8,car,0 days 00:00:10.707000,0 days 00:19:15.526000
2024-03-01 16:05:51.439,3491,31,1,0,False,8,car,0 days 00:00:10.947000,0 days 00:19:15.766000
2024-03-01 16:05:51.759,4077,31,1,0,False,8,car,0 days 00:00:11.267000,0 days 00:19:16.086000
2024-03-01 16:05:51.999,4107,31,1,0,True,8,car,0 days 00:00:11.507000,0 days 00:19:16.326000
2024-03-01 16:05:52.159,4118,30,1,0,True,8,car,0 days 00:00:11.667000,0 days 00:19:16.486000
2024-03-01 16:05:52.319,4010,29,1,0,True,8,car,0 days 00:00:11.827000,0 days 00:19:16.646000
2024-03-01 16:05:52.479,4099,28,1,0,True,8,car,0 days 00:00:11.987000,0 days 00:19:16.806000
2024-03-01 16:05:52.839,3558,22,1,0,True,8,car,0 days 00:00:12.347000,0 days 00:19:17.166000
2024-03-01 16:05:53.119,3660,20,1,0,True,8,car,0 days 00:00:12.627000,0 days 00:19:17.446000
2024-03-01 16:05:53.440,3507,18,1,0,True,8,car,0 days 00:00:12.948000,0 days 00:19:17.767000
2024-03-01 16:05:53.680,3482,17,1,0,True,8,car,0 days 00:00:13.188000,0 days 00:19:18.007000
2024-03-01 16:05:54.000,3640,16,1,0,True,8,car,0 days 00:00:13.508000,0 days 00:19:18.327000
2024-03-01 16:05:54.160,3650,15,1,0,True,8,car,0 days 00:00:13.668000,0 days 00:19:18.487000
2024-03-01 16:05:54.480,3559,14,1,0,True,8,car,0 days 00:00:13.988000,0 days 00:19:18.807000
2024-03-01 16:05:54.680,3524,13,1,0,True,8,car,0 days 00:00:14.188000,0 days 00:19:19.007000
2024-03-01 16:05:54.920,3504,13,1,0,False,8,car,0 days 00:00:14.428000,0 days 00:19:19.247000
2024-03-01 16:05:55.080,3537,13,1,0,False,8,car,0 days 00:00:14.588000,0 days 00:19:19.407000
2024-03-01 16:05:55.440,3584,12,1,0,False,8,car,0 days 00:00:14.948000,0 days 00:19:19.767000
2024-03-01 16:05:55.720,3437,12,1,0,False,8,car,0 days 00:00:15.228000,0 days 00:19:20.047000
2024-03-01 16:05:55.920,3569,12,1,0,False,8,car,0 days 00:00:15.428000,0 days 00:19:20.247000
2024-03-01 16:05:56.160,3530,11,1,0,False,8,car,0 days 00:00:15.668000,0 days 00:19:20.487000
2024-03-01 16:05:56.399,3520,11,1,0,False,8,car,0 days 00:00:15.907000,0 days 00:19:20.726000
