F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Circuit de Spa-Francorchamps
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-27 10:31:25.576,7008,64,1,0,True,8,car,0 days 00:00:00.116000,0 days 00:15:41.599000
2024-07-27 10:31:25.776,6736,61,1,0,True,8,car,0 days 00:00:00.316000,0 days 00:15:41.799000
2024-07-27 10:31:25.977,6460,59,1,0,True,8,car,0 days 00:00:00.517000,0 days 00:15:42
2024-07-27 10:31:26.377,5916,56,1,0,True,8,car,0 days 00:00:00.917000,0 days 00:15:42.400000
2024-07-27 10:31:26.537,5838,54,1,0,True,8,car,0 days 00:00:01.077000,0 days 00:15:42.560000
2024-07-27 10:31:26.897,5631,51,1,0,False,8,car,0 days 00:00:01.437000,0 days 00:15:42.920000
2024-07-27 10:31:27.057,5545,51,1,1,False,8,car,0 days 00:00:01.597000,0 days 00:15:43.080000
2024-07-27 10:31:27.257,5343,50,1,3,False,8,car,0 days 00:00:01.797000,0 days 00:15:43.280000
2024-07-27 10:31:27.617,5230,50,1,1,False,8,car,0 days 00:00:02.157000,0 days 00:15:43.640000
2024-07-27 10:31:27.897,5199,49,1,1,False,8,car,0 days 00:00:02.437000,0 days 00:15:43.920000
2024-07-27 10:31:28.177,5199,47,1,2,False,8,car,0 days 00:00:02.717000,0 days 00:15:44.200000
2024-07-27 10:31:28.457,5214,47,1,3,False,8,car,0 days 00:00:02.997000,0 days 00:15:44.480000
2024-07-27 10:31:28.657,5196,47,1,5,False,8,car,0 days 00:00:03.197000,0 days 00:15:44.680000
2024-07-27 10:31:28.937,5374,48,1,6,False,8,car,0 days 00:00:03.477000,0 days 00:15:44.960000
2024-07-27 10:31:29.217,5578,50,1,9,False,8,car,0 days 00:00:03.757000,0 days 00:15:45.240000
2024-07-27 10:31:29.537,6144,52,1,11,False,8,car,0 days 00:00:04.077000,0 days 00:15:45.560000
2024-07-27 10:31:29.737,6378,56,1,13,False,8,car,0 days 00:00:04.277000,0 days 00:15:45.760000
2024-07-27 10:31:29.976,7181,61,1,17,False,8,car,0 days 00:00:04.516000,0 days 00:15:45.999000
2024-07-27 10:31:30.256,7625,62,1,20,False,8,car,0 days 00:00:04.796000,0 days 00:15:46.279000
