F1 for AiM
Racer,Lewis Hamilton
Vehicle,Mercedes
Track,Circuit de Spa-Francorchamps
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-27 10:36:04.538,5612,69,2,0,True,9,car,0 days 00:00:00.223000,0 days 00:20:20.561000
2024-07-27 10:36:04.698,5546,67,2,0,False,9,car,0 days 00:00:00.383000,0 days 00:20:20.721000
2024-07-27 10:36:04.978,7243,64,2,0,False,9,car,0 days 00:00:00.663000,0 days 00:20:21.001000
2024-07-27 10:36:05.338,6686,64,1,0,False,9,car,0 days 00:00:01.023000,0 days 00:20:21.361000
2024-07-27 10:36:05.577,6709,62,1,0,True,9,car,0 days 00:00:01.262000,0 days 00:20:21.600000
2024-07-27 10:36:05.737,6505,60,1,1,False,9,car,0 days 00:00:01.422000,0 days 00:20:21.760000
2024-07-27 10:36:06.137,5685,57,1,3,False,9,car,0 days 00:00:01.822000,0 days 00:20:22.160000
2024-07-27 10:36:06.377,5685,56,1,3,False,9,car,0 days 00:00:02.062000,0 days 00:20:22.400000
2024-07-27 10:36:06.537,5928,54,1,10,False,9,car,0 days 00:00:02.222000,0 days 00:20:22.560000
2024-07-27 10:36:06.857,6118,55,1,5,False,9,car,0 days 00:00:02.542000,0 days 00:20:22.880000
2024-07-27 10:36:07.057,6353,54,1,9,False,9,car,0 days 00:00:02.742000,0 days 00:20:23.080000
2024-07-27 10:36:07.217,6017,55,1,4,False,9,car,0 days 00:00:02.902000,0 days 00:20:23.240000
2024-07-27 10:36:07.457,6310,55,1,9,False,9,car,0 days 00:00:03.142000,0 days 00:20:23.480000
2024-07-27 10:36:07.737,6570,57,1,15,False,9,car,0 days 00:00:03.422000,0 days 00:20:23.760000
2024-07-27 10:36:07.937,6933,60,1,16,False,9,car,0 days 00:00:03.622000,0 days 00:20:23.960000
2024-07-27 10:36:08.137,7303,63,1,21,False,9,car,0 days 00:00:03.822000,0 days 00:20:24.160000
2024-07-27 10:36:08.337,7618,66,1,25,False,9,car,0 days 00:00:04.022000,0 days 00:20:24.360000
2024-07-27 10:36:08.537,7997,69,1,28,False,9,car,0 days 00:00:04.222000,0 days 00:20:24.560000
2024-07-27 10:36:08.778,8241,73,1,30,False,9,car,0 days 00:00:04.463000,0 days 00:20:24.801000
2024-07-27 10:36:09.018,9103,79,1,37,False,9,car,0 days 00:00:04.703000,0 days 00:20:25.041000
2024-07-27 10:36:09.218,9575,83,1,40,False,9,car,0 days 00:00:04.903000,0 days 00:20:25.241000
2024-07-27 10:36:09.498,9251,88,1,46,False,9,car,0 days 00:00:05.183000,0 days 00:20:25.521000
2024-07-27 10:36:09.778,8961,96,2,46,False,9,car,0 days 00:00:05.463000,0 days 00:20:25.801000
2024-07-27 10:36:09.978,8901,102,2,47,False,9,car,0 days 00:00:05.663000,0 days 00:20:26.001000
2024-07-27 10:36:10.218,9712,111,2,58,False,9,car,0 days 00:00:05.903000,0 days 00:20:26.241000
2024-07-27 10:36:10.418,10159,119,2,62,False,9,car,0 days 00:00:06.103000,0 days 00:20:26.441000
2024-07-27 10:36:10.618,11139,125,2,64,False,9,car,0 days 00:00:06.303000,0 days 00:20:26.641000
2024-07-27 10:36:10.978,11840,136,2,70,False,9,car,0 days 00:00:06.663000,0 days 00:20:27.001000
2024-07-27 10:36:11.138,10723,143,2,75,False,9,car,0 days 00:00:06.823000,0 days 00:20:27.161000
2024-07-27 10:36:11.338,11262,151,3,77,False,9,car,0 days 00:00:07.023000,0 days 00:20:27.361000
2024-07-27 10:36:11.578,11821,159,3,81,False,9,car,0 days 00:00:07.263000,0 days 00:20:27.601000
2024-07-27 10:36:11.818,11057,170,3,83,False,9,car,0 days 00:00:07.503000,0 days 00:20:27.841000
2024-07-27 10:36:12.138,11285,182,4,92,False,9,car,0 days 00:00:07.823000,0 days 00:20:28.161000
2024-07-27 10:36:12.417,12007,193,4,100,False,9,car,0 days 00:00:08.102000,0 days 00:20:28.440000
2024-07-27 10:36:12.617,11167,199,4,100,False,9,car,0 days 00:00:08.302000,0 days 00:20:28.640000
2024-07-27 10:36:12.857,11029,199,5,100,False,9,car,0 days 00:00:08.542000,0 days 00:20:28.880000
2024-07-27 10:36:13.017,11255,211,5,100,False,9,car,0 days 00:00:08.702000,0 days 00:20:29.040000
2024-07-27 10:36:13.377,11637,218,5,96,False,9,car,0 days 00:00:09.062000,0 days 00:20:29.400000
2024-07-27 10:36:13.697,10364,223,5,91,False,9,car,0 days 00:00:09.382000,0 days 00:20:29.720000
2024-07-27 10:36:13.857,10572,227,6,84,False,9,car,0 days 00:00:09.542000,0 days 00:20:29.880000
2024-07-27 10:36:14.097,10830,233,6,79,False,9,car,0 days 00:00:09.782000,0 days 00:20:30.120000
2024-07-27 10:36:14.257,10954,235,6,78,False,9,car,0 days 00:00:09.942000,0 days 00:20:30.280000
2024-07-27 10:36:14.537,11160,239,6,77,False,9,car,0 days 00:00:10.222000,0 days 00:20:30.560000
2024-07-27 10:36:14.897,11397,243,6,83,False,9,car,0 days 00:00:10.582000,0 days 00:20:30.920000
2024-07-27 10:36:15.097,11527,246,6,84,False,9,car,0 days 00:00:10.782000,0 days 00:20:31.120000
2024-07-27 10:36:15.378,11709,251,6,90,False,9,car,0 days 00:00:11.063000,0 days 00:20:31.401000
