F1 for AiM
Racer,Max Verstappen
Vehicle,Red Bull Racing
Track,Circuit de Spa-Francorchamps
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-27 10:30:02.856,3000,25,1,5,False,8,car,0 days 00:00:00.342000,0 days 00:14:18.879000
2024-07-27 10:30:03.336,3959,33,1,9,False,8,car,0 days 00:00:00.822000,0 days 00:14:19.359000
2024-07-27 10:30:03.616,4519,40,1,11,False,8,car,0 days 00:00:01.102000,0 days 00:14:19.639000
2024-07-27 10:30:03.936,4852,45,1,13,False,8,car,0 days 00:00:01.422000,0 days 00:14:19.959000
2024-07-27 10:30:04.136,5134,49,1,15,False,8,car,0 days 00:00:01.622000,0 days 00:14:20.159000
2024-07-27 10:30:04.496,5685,52,1,15,False,8,car,0 days 00:00:01.982000,0 days 00:14:20.519000
2024-07-27 10:30:04.696,5685,55,1,15,False,8,car,0 days 00:00:02.182000,0 days 00:14:20.719000
2024-07-27 10:30:04.976,6424,58,1,0,False,8,car,0 days 00:00:02.462000,0 days 00:14:20.999000
2024-07-27 10:30:05.216,5986,58,1,0,False,8,car,0 days 00:00:02.702000,0 days 00:14:21.239000
2024-07-27 10:30:05.416,5538,55,1,0,False,8,car,0 days 00:00:02.902000,0 days 00:14:21.439000
2024-07-27 10:30:05.816,5484,49,1,2,False,8,car,0 days 00:00:03.302000,0 days 00:14:21.839000
2024-07-27 10:30:06.056,5521,49,1,4,False,8,car,0 days 00:00:03.542000,0 days 00:14:22.079000
2024-07-27 10:30:07.217,6428,57,1,9,False,8,car,0 days 00:00:04.703000,0 days 00:14:23.240000
2024-07-27 10:30:07.457,6616,59,1,9,False,8,car,0 days 00:00:04.943000,0 days 00:14:23.480000
2024-07-27 10:30:07.697,7038,60,1,12,False,8,car,0 days 00:00:05.183000,0 days 00:14:23.720000
2024-07-27 10:30:08.057,7446,66,1,17,False,8,car,0 days 00:00:05.543000,0 days 00:14:24.080000
2024-07-27 10:30:08.257,7830,69,1,27,False,8,car,0 days 00:00:05.743000,0 days 00:14:24.280000
2024-07-27 10:30:08.537,8394,74,1,35,False,8,car,0 days 00:00:06.023000,0 days 00:14:24.560000
2024-07-27 10:30:08.817,9404,82,1,46,False,8,car,0 days 00:00:06.303000,0 days 00:14:24.840000
2024-07-27 10:30:09.097,10529,88,1,51,False,8,car,0 days 00:00:06.583000,0 days 00:14:25.120000
2024-07-27 10:30:09.297,11229,94,1,58,False,8,car,0 days 00:00:06.783000,0 days 00:14:25.320000
2024-07-27 10:30:09.456,11945,101,1,58,False,8,car,0 days 00:00:06.942000,0 days 00:14:25.479000
2024-07-27 10:30:09.856,10264,111,1,55,False,8,car,0 days 00:00:07.342000,0 days 00:14:25.879000
2024-07-27 10:30:10.256,11258,123,2,72,False,8,car,0 days 00:00:07.742000,0 days 00:14:26.279000
2024-07-27 10:30:10.536,11395,133,2,71,False,8,car,0 days 00:00:08.022000,0 days 00:14:26.559000
2024-07-27 10:30:10.896,10483,143,3,75,False,8,car,0 days 00:00:08.382000,0 days 00:14:26.919000
2024-07-27 10:30:11.096,10873,147,3,84,False,8,car,0 days 00:00:08.582000,0 days 00:14:27.119000
2024-07-27 10:30:11.256,11380,154,3,85,False,8,car,0 days 00:00:08.742000,0 days 00:14:27.279000
2024-07-27 10:30:11.416,11624,161,3,82,False,8,car,0 days 00:00:08.902000,0 days 00:14:27.439000
2024-07-27 10:30:11.776,10059,168,4,78,False,8,car,0 days 00:00:09.262000,0 days 00:14:27.799000
2024-07-27 10:30:12.056,10744,177,4,92,False,8,car,0 days 00:00:09.542000,0 days 00:14:28.079000
2024-07-27 10:30:12.376,11497,188,4,93,False,8,car,0 days 00:00:09.862000,0 days 00:14:28.399000
2024-07-27 10:30:12.656,10674,197,4,82,False,8,car,0 days 00:00:10.142000,0 days 00:14:28.679000
2024-07-27 10:30:12.936,10359,202,5,97,False,8,car,0 days 00:00:10.422000,0 days 00:14:28.959000
2024-07-27 10:30:13.256,10907,211,5,100,False,8,car,0 days 00:00:10.742000,0 days 00:14:29.279000
2024-07-27 10:30:13.456,11146,214,5,100,False,8,car,0 days 00:00:10.942000,0 days 00:14:29.479000
2024-07-27 10:30:13.817,11592,228,5,100,False,8,car,0 days 00:00:11.303000,0 days 00:14:29.840000
2024-07-27 10:30:14.177,10669,234,5,100,False,8,car,0 days 00:00:11.663000,0 days 00:14:30.200000
2024-07-27 10:30:14.657,10787,242,6,100,False,8,car,0 days 00:00:12.143000,0 days 00:14:30.680000
