F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Circuit de Spa-Francorchamps
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-27 14:01:24.595,4225,34,1,0,False,9,car,0 days 00:00:00.218000,0 days 00:15:54.145000
2024-07-27 14:01:24.875,4299,35,1,0,False,9,car,0 days 00:00:00.498000,0 days 00:15:54.425000
2024-07-27 14:01:25.075,4286,35,1,0,False,9,car,0 days 00:00:00.698000,0 days 00:15:54.625000
2024-07-27 14:01:25.355,4279,35,1,0,False,9,car,0 days 00:00:00.978000,0 days 00:15:54.905000
2024-07-27 14:01:25.515,4279,35,1,0,False,9,car,0 days 00:00:01.138000,0 days 00:15:55.065000
2024-07-27 14:01:25.715,4214,35,1,0,False,9,car,0 days 00:00:01.338000,0 days 00:15:55.265000
2024-07-27 14:01:26.035,4147,34,1,0,False,9,car,0 days 00:00:01.658000,0 days 00:15:55.585000
2024-07-27 14:01:26.355,4097,34,1,0,False,9,car,0 days 00:00:01.978000,0 days 00:15:55.905000
2024-07-27 14:01:26.515,4064,33,1,0,False,9,car,0 days 00:00:02.138000,0 days 00:15:56.065000
2024-07-27 14:01:26.835,3983,33,1,0,False,9,car,0 days 00:00:02.458000,0 days 00:15:56.385000
2024-07-27 14:01:26.994,3959,33,1,0,False,9,car,0 days 00:00:02.617000,0 days 00:15:56.544000
2024-07-27 14:01:27.434,3852,32,1,0,False,9,car,0 days 00:00:03.057000,0 days 00:15:56.984000
2024-07-27 14:01:27.594,3904,32,1,0,False,9,car,0 days 00:00:03.217000,0 days 00:15:57.144000
2024-07-27 14:01:27.794,3893,32,1,0,False,9,car,0 days 00:00:03.417000,0 days 00:15:57.344000
2024-07-27 14:01:27.994,3967,31,1,0,False,9,car,0 days 00:00:03.617000,0 days 00:15:57.544000
2024-07-27 14:01:28.154,3874,31,1,0,False,9,car,0 days 00:00:03.777000,0 days 00:15:57.704000
2024-07-27 14:01:28.474,3906,31,1,0,False,9,car,0 days 00:00:04.097000,0 days 00:15:58.024000
2024-07-27 14:01:28.794,3962,32,1,0,False,9,car,0 days 00:00:04.417000,0 days 00:15:58.344000
2024-07-27 14:01:28.994,3969,32,1,0,False,9,car,0 days 00:00:04.617000,0 days 00:15:58.544000
2024-07-27 14:01:29.234,3896,32,1,0,False,9,car,0 days 00:00:04.857000,0 days 00:15:58.784000
2024-07-27 14:01:29.434,3963,33,1,0,False,9,car,0 days 00:00:05.057000,0 days 00:15:58.984000
2024-07-27 14:01:29.794,3969,33,1,0,False,9,car,0 days 00:00:05.417000,0 days 00:15:59.344000
2024-07-27 14:01:29.954,4047,33,1,0,False,9,car,0 days 00:00:05.577000,0 days 00:15:59.504000
2024-07-27 14:01:30.275,4136,34,1,0,False,9,car,0 days 00:00:05.898000,0 days 00:15:59.825000
2024-07-27 14:01:30.435,4131,34,1,0,False,9,car,0 days 00:00:06.058000,0 days 00:15:59.985000
2024-07-27 14:01:30.595,4160,35,1,1,False,9,car,0 days 00:00:06.218000,0 days 00:16:00.145000
2024-07-27 14:01:30.755,4339,35,1,2,False,9,car,0 days 00:00:06.378000,0 days 00:16:00.305000
2024-07-27 14:01:31.035,4463,38,1,3,False,9,car,0 days 00:00:06.658000,0 days 00:16:00.585000
2024-07-27 14:01:31.435,4920,40,1,5,False,9,car,0 days 00:00:07.058000,0 days 00:16:00.985000
2024-07-27 14:01:31.635,5038,42,1,6,False,9,car,0 days 00:00:07.258000,0 days 00:16:01.185000
2024-07-27 14:01:31.955,5330,43,1,5,False,9,car,0 days 00:00:07.578000,0 days 00:16:01.505000
2024-07-27 14:01:32.115,5330,45,1,6,False,9,car,0 days 00:00:07.738000,0 days 00:16:01.665000
2024-07-27 14:01:32.355,6024,46,1,16,False,9,car,0 days 00:00:07.978000,0 days 00:16:01.905000
2024-07-27 14:01:32.595,6358,52,1,22,False,9,car,0 days 00:00:08.218000,0 days 00:16:02.145000
2024-07-27 14:01:32.955,7402,57,1,31,False,9,car,0 days 00:00:08.578000,0 days 00:16:02.505000
2024-07-27 14:01:33.275,8115,64,1,44,False,9,car,0 days 00:00:08.898000,0 days 00:16:02.825000
2024-07-27 14:01:33.595,9307,75,1,50,False,9,car,0 days 00:00:09.218000,0 days 00:16:03.145000
2024-07-27 14:01:33.834,9989,80,1,53,False,9,car,0 days 00:00:09.457000,0 days 00:16:03.384000
2024-07-27 14:01:33.994,8869,83,1,54,False,9,car,0 days 00:00:09.617000,0 days 00:16:03.544000
2024-07-27 14:01:34.474,9227,93,2,61,False,9,car,0 days 00:00:10.097000,0 days 00:16:04.024000
2024-07-27 14:01:34.794,9472,100,2,59,False,9,car,0 days 00:00:10.417000,0 days 00:16:04.344000
2024-07-27 14:01:35.154,10485,112,2,69,False,9,car,0 days 00:00:10.777000,0 days 00:16:04.704000
2024-07-27 14:01:35.434,9284,120,2,73,False,9,car,0 days 00:00:11.057000,0 days 00:16:04.984000
2024-07-27 14:01:35.874,9854,132,3,77,False,9,car,0 days 00:00:11.497000,0 days 00:16:05.424000
2024-07-27 14:01:36.034,10089,139,3,77,False,9,car,0 days 00:00:11.657000,0 days 00:16:05.584000
2024-07-27 14:01:36.194,10584,146,3,81,False,9,car,0 days 00:00:11.817000,0 days 00:16:05.744000
2024-07-27 14:01:36.955,9914,166,4,83,False,9,car,0 days 00:00:12.578000,0 days 00:16:06.505000
2024-07-27 14:01:37.195,10581,178,4,94,False,9,car,0 days 00:00:12.818000,0 days 00:16:06.745000
2024-07-27 14:01:37.355,11174,182,4,100,False,9,car,0 days 00:00:12.978000,0 days 00:16:06.905000
2024-07-27 14:01:37.635,11722,194,4,98,False,9,car,0 days 00:00:13.258000,0 days 00:16:07.185000
2024-07-27 14:01:37.875,11900,200,4,100,False,9,car,0 days 00:00:13.498000,0 days 00:16:07.425000
2024-07-27 14:01:38.115,10619,205,4,100,False,9,car,0 days 00:00:13.738000,0 days 00:16:07.665000
2024-07-27 14:01:38.315,10963,212,5,100,False,9,car,0 days 00:00:13.938000,0 days 00:16:07.865000
2024-07-27 14:01:38.555,11234,218,5,100,False,9,car,0 days 00:00:14.178000,0 days 00:16:08.105000
2024-07-27 14:01:38.715,11487,224,5,100,False,9,car,0 days 00:00:14.338000,0 days 00:16:08.265000
2024-07-27 14:01:38.995,11414,229,5,100,False,9,car,0 days 00:00:14.618000,0 days 00:16:08.545000
2024-07-27 14:01:39.235,10354,231,5,99,False,9,car,0 days 00:00:14.858000,0 days 00:16:08.785000
2024-07-27 14:01:39.515,10597,239,6,100,False,9,car,0 days 00:00:15.138000,0 days 00:16:09.065000
2024-07-27 14:01:39.675,10783,241,6,100,False,9,car,0 days 00:00:15.298000,0 days 00:16:09.225000
2024-07-27 14:01:39.875,10967,246,6,100,False,9,car,0 days 00:00:15.498000,0 days 00:16:09.425000
2024-07-27 14:01:40.155,11231,248,6,100,False,9,car,0 days 00:00:15.778000,0 days 00:16:09.705000
2024-07-27 14:01:40.354,11408,256,6,100,False,9,car,0 days 00:00:15.977000,0 days 00:16:09.904000
2024-07-27 14:01:40.554,11408,260,6,100,False,9,car,0 days 00:00:16.177000,0 days 00:16:10.104000
2024-07-27 14:01:40.714,11630,263,6,100,False,9,car,0 days 00:00:16.337000,0 days 00:16:10.264000
2024-07-27 14:01:40.914,11777,266,6,100,False,9,car,0 days 00:00:16.537000,0 days 00:16:10.464000
2024-07-27 14:01:41.194,10699,268,6,100,False,9,car,0 days 00:00:16.817000,0 days 00:16:10.744000
2024-07-27 14:01:41.594,10680,273,7,100,False,9,car,0 days 00:00:17.217000,0 days 00:16:11.144000
2024-07-27 14:01:41.914,10746,276,7,100,False,9,car,0 days 00:00:17.537000,0 days 00:16:11.464000
2024-07-27 14:01:42.234,10918,280,7,100,False,9,car,0 days 00:00:17.857000,0 days 00:16:11.784000
2024-07-27 14:01:42.394,10982,282,7,100,False,9,car,0 days 00:00:18.017000,0 days 00:16:11.944000
2024-07-27 14:01:42.674,11030,285,7,76,False,9,car,0 days 00:00:18.297000,0 days 00:16:12.224000
2024-07-27 14:01:42.994,10945,283,7,61,False,9,car,0 days 00:00:18.617000,0 days 00:16:12.544000
2024-07-27 14:01:43.154,10847,282,7,62,False,9,car,0 days 00:00:18.777000,0 days 00:16:12.704000
2024-07-27 14:01:43.435,10795,279,7,62,False,9,car,0 days 00:00:19.058000,0 days 00:16:12.985000
