F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Circuit de Spa-Francorchamps
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-27 14:00:12.435,3558,29,1,0,False,9,car,0 days 00:00:00.318000,0 days 00:14:41.985000
2024-07-27 14:00:12.795,3724,31,1,0,False,9,car,0 days 00:00:00.678000,0 days 00:14:42.345000
2024-07-27 14:00:12.994,3833,32,1,0,False,9,car,0 days 00:00:00.877000,0 days 00:14:42.544000
2024-07-27 14:00:13.274,3848,33,1,0,False,9,car,0 days 00:00:01.157000,0 days 00:14:42.824000
2024-07-27 14:00:13.434,3843,34,1,0,False,9,car,0 days 00:00:01.317000,0 days 00:14:42.984000
2024-07-27 14:00:13.754,4049,35,1,0,False,9,car,0 days 00:00:01.637000,0 days 00:14:43.304000
2024-07-27 14:00:13.914,3984,35,1,0,False,9,car,0 days 00:00:01.797000,0 days 00:14:43.464000
2024-07-27 14:00:14.994,3948,35,1,0,False,9,car,0 days 00:00:02.877000,0 days 00:14:44.544000
2024-07-27 14:00:15.194,3970,35,1,0,False,9,car,0 days 00:00:03.077000,0 days 00:14:44.744000
2024-07-27 14:00:15.434,3870,35,1,0,False,9,car,0 days 00:00:03.317000,0 days 00:14:44.984000
2024-07-27 14:00:15.634,3865,34,1,0,False,9,car,0 days 00:00:03.517000,0 days 00:14:45.184000
2024-07-27 14:00:15.794,3811,34,1,0,False,9,car,0 days 00:00:03.677000,0 days 00:14:45.344000
2024-07-27 14:00:16.074,3694,34,1,1,False,9,car,0 days 00:00:03.957000,0 days 00:14:45.624000
2024-07-27 14:00:16.234,3663,33,1,1,False,9,car,0 days 00:00:04.117000,0 days 00:14:45.784000
2024-07-27 14:00:16.554,3678,33,1,1,False,9,car,0 days 00:00:04.437000,0 days 00:14:46.104000
2024-07-27 14:00:16.954,3580,32,1,1,False,9,car,0 days 00:00:04.837000,0 days 00:14:46.504000
2024-07-27 14:00:17.234,3751,32,1,3,False,9,car,0 days 00:00:05.117000,0 days 00:14:46.784000
2024-07-27 14:00:17.594,3676,33,1,6,False,9,car,0 days 00:00:05.477000,0 days 00:14:47.144000
2024-07-27 14:00:17.794,3779,33,1,8,False,9,car,0 days 00:00:05.677000,0 days 00:14:47.344000
2024-07-27 14:00:18.195,4111,37,1,7,False,9,car,0 days 00:00:06.078000,0 days 00:14:47.745000
2024-07-27 14:00:18.395,4237,38,1,5,False,9,car,0 days 00:00:06.278000,0 days 00:14:47.945000
2024-07-27 14:00:18.755,4347,38,1,4,False,9,car,0 days 00:00:06.638000,0 days 00:14:48.305000
2024-07-27 14:00:18.915,4319,39,1,9,False,9,car,0 days 00:00:06.798000,0 days 00:14:48.465000
2024-07-27 14:00:19.235,4546,42,1,14,False,9,car,0 days 00:00:07.118000,0 days 00:14:48.785000
2024-07-27 14:00:19.475,5859,45,1,18,False,9,car,0 days 00:00:07.358000,0 days 00:14:49.025000
2024-07-27 14:00:19.754,6518,52,1,20,False,9,car,0 days 00:00:07.637000,0 days 00:14:49.304000
2024-07-27 14:00:19.994,6942,57,1,29,False,9,car,0 days 00:00:07.877000,0 days 00:14:49.544000
2024-07-27 14:00:20.274,8004,65,1,35,False,9,car,0 days 00:00:08.157000,0 days 00:14:49.824000
2024-07-27 14:00:20.594,9658,73,1,41,False,9,car,0 days 00:00:08.477000,0 days 00:14:50.144000
2024-07-27 14:00:20.874,10812,81,1,42,False,9,car,0 days 00:00:08.757000,0 days 00:14:50.424000
2024-07-27 14:00:21.114,11040,87,1,46,False,9,car,0 days 00:00:08.997000,0 days 00:14:50.664000
2024-07-27 14:00:21.274,10926,93,1,48,False,9,car,0 days 00:00:09.157000,0 days 00:14:50.824000
2024-07-27 14:00:21.594,9844,102,1,58,False,9,car,0 days 00:00:09.477000,0 days 00:14:51.144000
2024-07-27 14:00:21.914,12044,111,2,55,False,9,car,0 days 00:00:09.797000,0 days 00:14:51.464000
2024-07-27 14:00:22.074,11912,111,2,55,False,9,car,0 days 00:00:09.957000,0 days 00:14:51.624000
2024-07-27 14:00:22.434,11562,132,2,72,False,9,car,0 days 00:00:10.317000,0 days 00:14:51.984000
2024-07-27 14:00:22.674,10722,139,2,75,False,9,car,0 days 00:00:10.557000,0 days 00:14:52.224000
2024-07-27 14:00:23.074,11417,156,3,85,False,9,car,0 days 00:00:10.957000,0 days 00:14:52.624000
2024-07-27 14:00:23.354,10639,168,3,89,False,9,car,0 days 00:00:11.237000,0 days 00:14:52.904000
2024-07-27 14:00:23.514,11153,173,4,100,False,9,car,0 days 00:00:11.397000,0 days 00:14:53.064000
2024-07-27 14:00:23.794,10367,181,4,100,False,9,car,0 days 00:00:11.677000,0 days 00:14:53.344000
2024-07-27 14:00:24.114,10560,197,5,100,False,9,car,0 days 00:00:11.997000,0 days 00:14:53.664000
2024-07-27 14:00:24.394,10891,207,5,100,False,9,car,0 days 00:00:12.277000,0 days 00:14:53.944000
2024-07-27 14:00:24.795,10081,220,5,100,False,9,car,0 days 00:00:12.678000,0 days 00:14:54.345000
2024-07-27 14:00:25.195,10318,229,6,100,False,9,car,0 days 00:00:13.078000,0 days 00:14:54.745000
2024-07-27 14:00:25.595,10923,240,6,100,False,9,car,0 days 00:00:13.478000,0 days 00:14:55.145000
