F1 for AiM
Racer,Fernando Alonso
Vehicle,Aston Martin
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-05 15:00:29.928,4045,10,0,0,False,8,car,0 days 00:00:00.275000,0 days 00:14:02.721000
2024-07-05 15:00:30.328,3937,9,0,0,False,8,car,0 days 00:00:00.675000,0 days 00:14:03.121000
2024-07-05 15:00:30.568,3937,9,0,0,False,8,car,0 days 00:00:00.915000,0 days 00:14:03.361000
2024-07-05 15:00:30.928,3829,9,0,0,False,8,car,0 days 00:00:01.275000,0 days 00:14:03.721000
2024-07-05 15:00:31.088,3839,9,0,0,False,8,car,0 days 00:00:01.435000,0 days 00:14:03.881000
2024-07-05 15:00:31.368,3836,9,0,0,False,8,car,0 days 00:00:01.715000,0 days 00:14:04.161000
2024-07-05 15:00:31.528,3836,8,0,0,False,8,car,0 days 00:00:01.875000,0 days 00:14:04.321000
2024-07-05 15:00:31.688,3789,8,0,0,False,8,car,0 days 00:00:02.035000,0 days 00:14:04.481000
2024-07-05 15:00:32.048,3910,8,0,0,False,8,car,0 days 00:00:02.395000,0 days 00:14:04.841000
2024-07-05 15:00:32.248,3903,8,0,0,False,8,car,0 days 00:00:02.595000,0 days 00:14:05.041000
2024-07-05 15:00:32.608,4239,8,0,0,False,8,car,0 days 00:00:02.955000,0 days 00:14:05.401000
2024-07-05 15:00:32.928,4151,8,1,0,False,8,car,0 days 00:00:03.275000,0 days 00:14:05.721000
2024-07-05 15:00:33.208,4019,8,1,0,False,8,car,0 days 00:00:03.555000,0 days 00:14:06.001000
2024-07-05 15:00:33.369,3639,8,1,0,False,8,car,0 days 00:00:03.716000,0 days 00:14:06.162000
2024-07-05 15:00:33.529,3649,8,1,0,False,8,car,0 days 00:00:03.876000,0 days 00:14:06.322000
2024-07-05 15:00:33.849,4043,10,1,0,False,8,car,0 days 00:00:04.196000,0 days 00:14:06.642000
2024-07-05 15:00:34.249,4569,12,1,0,False,8,car,0 days 00:00:04.596000,0 days 00:14:07.042000
2024-07-05 15:00:34.529,4258,12,1,0,False,8,car,0 days 00:00:04.876000,0 days 00:14:07.322000
2024-07-05 15:00:34.929,3774,13,1,0,False,8,car,0 days 00:00:05.276000,0 days 00:14:07.722000
2024-07-05 15:00:35.208,3644,14,1,0,False,8,car,0 days 00:00:05.555000,0 days 00:14:08.001000
2024-07-05 15:00:35.448,3822,15,1,0,False,8,car,0 days 00:00:05.795000,0 days 00:14:08.241000
2024-07-05 15:00:35.768,3888,17,1,0,False,8,car,0 days 00:00:06.115000,0 days 00:14:08.561000
2024-07-05 15:00:36.128,3981,19,1,0,False,8,car,0 days 00:00:06.475000,0 days 00:14:08.921000
2024-07-05 15:00:36.368,4081,20,1,0,False,8,car,0 days 00:00:06.715000,0 days 00:14:09.161000
2024-07-05 15:00:36.528,4019,21,1,0,False,8,car,0 days 00:00:06.875000,0 days 00:14:09.321000
2024-07-05 15:00:36.808,3777,22,1,0,False,8,car,0 days 00:00:07.155000,0 days 00:14:09.601000
2024-07-05 15:00:37.008,3734,24,1,0,False,8,car,0 days 00:00:07.355000,0 days 00:14:09.801000
2024-07-05 15:00:37.248,3616,26,1,0,False,8,car,0 days 00:00:07.595000,0 days 00:14:10.041000
2024-07-05 15:00:37.488,3877,29,1,0,False,8,car,0 days 00:00:07.835000,0 days 00:14:10.281000
2024-07-05 15:00:37.728,3829,31,1,0,False,8,car,0 days 00:00:08.075000,0 days 00:14:10.521000
2024-07-05 15:00:37.928,3770,33,1,0,False,8,car,0 days 00:00:08.275000,0 days 00:14:10.721000
2024-07-05 15:00:38.208,4054,35,1,0,False,8,car,0 days 00:00:08.555000,0 days 00:14:11.001000
2024-07-05 15:00:38.568,4273,38,1,0,False,8,car,0 days 00:00:08.915000,0 days 00:14:11.361000
2024-07-05 15:00:38.968,4378,39,1,0,False,8,car,0 days 00:00:09.315000,0 days 00:14:11.761000
2024-07-05 15:00:39.128,4444,40,1,0,False,8,car,0 days 00:00:09.475000,0 days 00:14:11.921000
2024-07-05 15:00:39.368,4435,40,1,0,False,8,car,0 days 00:00:09.715000,0 days 00:14:12.161000
2024-07-05 15:00:39.608,4348,39,1,0,False,8,car,0 days 00:00:09.955000,0 days 00:14:12.401000
2024-07-05 15:00:39.929,4267,38,1,0,False,8,car,0 days 00:00:10.276000,0 days 00:14:12.722000
2024-07-05 15:00:40.089,4435,38,1,4,False,8,car,0 days 00:00:10.436000,0 days 00:14:12.882000
2024-07-05 15:00:40.449,4621,40,1,5,False,8,car,0 days 00:00:10.796000,0 days 00:14:13.242000
2024-07-05 15:00:40.609,4777,42,1,5,False,8,car,0 days 00:00:10.956000,0 days 00:14:13.402000
2024-07-05 15:00:40.809,4991,43,1,5,False,8,car,0 days 00:00:11.156000,0 days 00:14:13.602000
2024-07-05 15:00:41.089,5128,45,1,5,False,8,car,0 days 00:00:11.436000,0 days 00:14:13.882000
2024-07-05 15:00:41.249,5128,46,1,5,False,8,car,0 days 00:00:11.596000,0 days 00:14:14.042000
2024-07-05 15:00:41.489,5588,50,1,12,False,8,car,0 days 00:00:11.836000,0 days 00:14:14.282000
2024-07-05 15:00:41.689,5938,52,1,17,False,8,car,0 days 00:00:12.036000,0 days 00:14:14.482000
2024-07-05 15:00:41.928,6517,55,1,20,False,8,car,0 days 00:00:12.275000,0 days 00:14:14.721000
2024-07-05 15:00:42.168,6779,57,1,20,False,8,car,0 days 00:00:12.515000,0 days 00:14:14.961000
2024-07-05 15:00:42.608,7432,62,1,25,False,8,car,0 days 00:00:12.955000,0 days 00:14:15.401000
2024-07-05 15:00:42.848,7628,66,1,25,False,8,car,0 days 00:00:13.195000,0 days 00:14:15.641000
2024-07-05 15:00:43.128,7765,69,1,17,False,8,car,0 days 00:00:13.475000,0 days 00:14:15.921000
2024-07-05 15:00:43.368,7960,70,1,16,False,8,car,0 days 00:00:13.715000,0 days 00:14:16.161000
2024-07-05 15:00:43.608,6420,72,1,20,False,8,car,0 days 00:00:13.955000,0 days 00:14:16.401000
2024-07-05 15:00:43.848,6636,75,2,25,False,8,car,0 days 00:00:14.195000,0 days 00:14:16.641000
2024-07-05 15:00:44.168,7258,80,2,34,False,8,car,0 days 00:00:14.515000,0 days 00:14:16.961000
2024-07-05 15:00:44.488,7795,90,2,38,False,8,car,0 days 00:00:14.835000,0 days 00:14:17.281000
2024-07-05 15:00:44.688,8277,94,2,41,False,8,car,0 days 00:00:15.035000,0 days 00:14:17.481000
2024-07-05 15:00:44.848,8500,97,2,42,False,8,car,0 days 00:00:15.195000,0 days 00:14:17.641000
2024-07-05 15:00:45.008,9031,102,2,45,False,8,car,0 days 00:00:15.355000,0 days 00:14:17.801000
2024-07-05 15:00:45.288,9814,107,2,54,False,8,car,0 days 00:00:15.635000,0 days 00:14:18.081000
