F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-05 15:00:13.328,7043,78,2,17,False,8,car,0 days 00:00:00.147000,0 days 00:13:46.121000
2024-07-05 15:00:13.488,6965,79,2,17,False,8,car,0 days 00:00:00.307000,0 days 00:13:46.281000
2024-07-05 15:00:13.649,7076,79,2,16,False,8,car,0 days 00:00:00.468000,0 days 00:13:46.442000
2024-07-05 15:00:13.889,7036,80,2,18,False,8,car,0 days 00:00:00.708000,0 days 00:13:46.682000
2024-07-05 15:00:14.089,7007,80,2,19,False,8,car,0 days 00:00:00.908000,0 days 00:13:46.882000
2024-07-05 15:00:14.289,6941,79,2,21,False,8,car,0 days 00:00:01.108000,0 days 00:13:47.082000
2024-07-05 15:00:14.569,6966,80,2,17,False,8,car,0 days 00:00:01.388000,0 days 00:13:47.362000
2024-07-05 15:00:14.888,6907,80,2,7,False,8,car,0 days 00:00:01.707000,0 days 00:13:47.681000
2024-07-05 15:00:15.168,6564,78,2,0,False,8,car,0 days 00:00:01.987000,0 days 00:13:47.961000
2024-07-05 15:00:15.328,6728,78,2,0,False,8,car,0 days 00:00:02.147000,0 days 00:13:48.121000
2024-07-05 15:00:15.608,6321,75,2,0,False,8,car,0 days 00:00:02.427000,0 days 00:13:48.401000
2024-07-05 15:00:15.968,6278,71,2,1,False,8,car,0 days 00:00:02.787000,0 days 00:13:48.761000
2024-07-05 15:00:16.168,6138,70,2,2,False,8,car,0 days 00:00:02.987000,0 days 00:13:48.961000
2024-07-05 15:00:16.328,5892,70,2,9,False,8,car,0 days 00:00:03.147000,0 days 00:13:49.121000
2024-07-05 15:00:16.568,5988,69,2,10,False,8,car,0 days 00:00:03.387000,0 days 00:13:49.361000
2024-07-05 15:00:16.808,6156,69,2,10,False,8,car,0 days 00:00:03.627000,0 days 00:13:49.601000
2024-07-05 15:00:17.288,6122,69,2,7,False,8,car,0 days 00:00:04.107000,0 days 00:13:50.081000
2024-07-05 15:00:17.448,6160,69,2,10,False,8,car,0 days 00:00:04.267000,0 days 00:13:50.241000
2024-07-05 15:00:17.688,6319,71,2,12,False,8,car,0 days 00:00:04.507000,0 days 00:13:50.481000
2024-07-05 15:00:18.008,6414,71,2,11,False,8,car,0 days 00:00:04.827000,0 days 00:13:50.801000
2024-07-05 15:00:18.248,6384,73,2,0,False,8,car,0 days 00:00:05.067000,0 days 00:13:51.041000
2024-07-05 15:00:18.728,5968,70,2,0,False,8,car,0 days 00:00:05.547000,0 days 00:13:51.521000
2024-07-05 15:00:19.128,5840,67,2,0,False,8,car,0 days 00:00:05.947000,0 days 00:13:51.921000
2024-07-05 15:00:19.368,5567,65,2,0,False,8,car,0 days 00:00:06.187000,0 days 00:13:52.161000
2024-07-05 15:00:19.528,5598,64,2,0,False,8,car,0 days 00:00:06.347000,0 days 00:13:52.321000
2024-07-05 15:00:19.728,5443,63,2,3,False,8,car,0 days 00:00:06.547000,0 days 00:13:52.521000
