F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-06 10:33:21.514,8386,68,1,16,False,9,car,0 days 00:00:00.047000,0 days 00:18:17.852000
2024-07-06 10:33:21.714,8584,69,1,20,False,9,car,0 days 00:00:00.247000,0 days 00:18:18.052000
2024-07-06 10:33:22.074,8868,71,1,23,False,9,car,0 days 00:00:00.607000,0 days 00:18:18.412000
2024-07-06 10:33:22.234,8880,71,1,23,False,9,car,0 days 00:00:00.767000,0 days 00:18:18.572000
2024-07-06 10:33:22.554,9358,74,1,31,False,9,car,0 days 00:00:01.087000,0 days 00:18:18.892000
2024-07-06 10:33:22.954,9716,77,1,32,False,9,car,0 days 00:00:01.487000,0 days 00:18:19.292000
2024-07-06 10:33:23.114,9797,78,1,32,False,9,car,0 days 00:00:01.647000,0 days 00:18:19.452000
2024-07-06 10:33:23.274,9915,80,1,36,False,9,car,0 days 00:00:01.807000,0 days 00:18:19.612000
2024-07-06 10:33:23.555,10243,82,1,45,False,9,car,0 days 00:00:02.088000,0 days 00:18:19.893000
2024-07-06 10:33:23.955,11258,87,1,51,False,9,car,0 days 00:00:02.488000,0 days 00:18:20.293000
2024-07-06 10:33:24.355,9901,91,1,51,False,9,car,0 days 00:00:02.888000,0 days 00:18:20.693000
2024-07-06 10:33:24.515,9270,94,2,51,False,9,car,0 days 00:00:03.048000,0 days 00:18:20.853000
2024-07-06 10:33:24.675,9270,96,2,51,False,9,car,0 days 00:00:03.208000,0 days 00:18:21.013000
2024-07-06 10:33:25.035,10128,102,2,48,False,9,car,0 days 00:00:03.568000,0 days 00:18:21.373000
2024-07-06 10:33:25.355,9832,105,2,50,False,9,car,0 days 00:00:03.888000,0 days 00:18:21.693000
2024-07-06 10:33:25.555,10081,108,2,53,False,9,car,0 days 00:00:04.088000,0 days 00:18:21.893000
2024-07-06 10:33:25.754,10445,112,2,57,False,9,car,0 days 00:00:04.287000,0 days 00:18:22.092000
2024-07-06 10:33:25.914,10781,114,2,59,False,9,car,0 days 00:00:04.447000,0 days 00:18:22.252000
2024-07-06 10:33:26.274,11413,125,2,63,False,9,car,0 days 00:00:04.807000,0 days 00:18:22.612000
2024-07-06 10:33:26.474,10153,126,2,67,False,9,car,0 days 00:00:05.007000,0 days 00:18:22.812000
2024-07-06 10:33:26.674,9357,131,3,65,False,9,car,0 days 00:00:05.207000,0 days 00:18:23.012000
2024-07-06 10:33:26.874,9827,136,3,67,False,9,car,0 days 00:00:05.407000,0 days 00:18:23.212000
2024-07-06 10:33:27.034,10211,138,3,64,False,9,car,0 days 00:00:05.567000,0 days 00:18:23.372000
2024-07-06 10:33:27.194,10446,143,3,64,False,9,car,0 days 00:00:05.727000,0 days 00:18:23.532000
2024-07-06 10:33:27.514,10743,149,3,68,False,9,car,0 days 00:00:06.047000,0 days 00:18:23.852000
2024-07-06 10:33:27.954,11553,157,3,71,False,9,car,0 days 00:00:06.487000,0 days 00:18:24.292000
2024-07-06 10:33:28.154,11525,160,3,57,False,9,car,0 days 00:00:06.687000,0 days 00:18:24.492000
2024-07-06 10:33:28.354,10597,163,3,39,False,9,car,0 days 00:00:06.887000,0 days 00:18:24.692000
2024-07-06 10:33:28.634,9649,163,4,20,False,9,car,0 days 00:00:07.167000,0 days 00:18:24.972000
2024-07-06 10:33:28.954,9607,161,4,20,False,9,car,0 days 00:00:07.487000,0 days 00:18:25.292000
2024-07-06 10:33:29.154,9517,160,4,26,False,9,car,0 days 00:00:07.687000,0 days 00:18:25.492000
2024-07-06 10:33:29.554,9462,158,4,43,False,9,car,0 days 00:00:08.087000,0 days 00:18:25.892000
2024-07-06 10:33:29.915,9628,160,4,49,False,9,car,0 days 00:00:08.448000,0 days 00:18:26.253000
2024-07-06 10:33:30.235,9750,161,4,51,False,9,car,0 days 00:00:08.768000,0 days 00:18:26.573000
2024-07-06 10:33:30.435,9810,163,4,54,False,9,car,0 days 00:00:08.968000,0 days 00:18:26.773000
2024-07-06 10:33:30.795,9965,166,4,52,False,9,car,0 days 00:00:09.328000,0 days 00:18:27.133000
2024-07-06 10:33:31.235,9976,168,4,36,False,9,car,0 days 00:00:09.768000,0 days 00:18:27.573000
2024-07-06 10:33:31.475,9941,167,4,0,False,9,car,0 days 00:00:10.008000,0 days 00:18:27.813000
2024-07-06 10:33:31.835,9934,161,4,0,True,9,car,0 days 00:00:10.368000,0 days 00:18:28.173000
2024-07-06 10:33:32.235,10575,149,3,0,False,9,car,0 days 00:00:10.768000,0 days 00:18:28.573000
2024-07-06 10:33:32.674,9863,140,3,0,True,9,car,0 days 00:00:11.207000,0 days 00:18:29.012000
2024-07-06 10:33:32.914,9358,135,3,0,True,9,car,0 days 00:00:11.447000,0 days 00:18:29.252000
2024-07-06 10:33:33.114,9000,130,3,0,True,9,car,0 days 00:00:11.647000,0 days 00:18:29.452000
2024-07-06 10:33:33.514,10485,120,3,0,True,9,car,0 days 00:00:12.047000,0 days 00:18:29.852000
2024-07-06 10:33:33.754,10159,116,2,0,True,9,car,0 days 00:00:12.287000,0 days 00:18:30.092000
2024-07-06 10:33:34.154,9570,110,2,0,True,9,car,0 days 00:00:12.687000,0 days 00:18:30.492000
2024-07-06 10:33:34.474,9123,105,2,0,True,9,car,0 days 00:00:13.007000,0 days 00:18:30.812000
2024-07-06 10:33:34.674,8851,102,2,0,True,9,car,0 days 00:00:13.207000,0 days 00:18:31.012000
2024-07-06 10:33:34.954,8477,97,2,1,True,9,car,0 days 00:00:13.487000,0 days 00:18:31.292000
2024-07-06 10:33:35.194,8100,94,2,1,True,9,car,0 days 00:00:13.727000,0 days 00:18:31.532000
2024-07-06 10:33:35.514,7756,90,2,0,True,9,car,0 days 00:00:14.047000,0 days 00:18:31.852000
2024-07-06 10:33:35.914,7302,85,2,0,False,9,car,0 days 00:00:14.447000,0 days 00:18:32.252000
2024-07-06 10:33:36.154,7162,83,2,0,False,9,car,0 days 00:00:14.687000,0 days 00:18:32.492000
2024-07-06 10:33:36.394,7086,80,2,0,False,9,car,0 days 00:00:14.927000,0 days 00:18:32.732000
2024-07-06 10:33:36.595,6795,77,2,0,False,9,car,0 days 00:00:15.128000,0 days 00:18:32.933000
2024-07-06 10:33:36.755,6716,76,2,1,False,9,car,0 days 00:00:15.288000,0 days 00:18:33.093000
2024-07-06 10:33:36.995,6594,74,2,1,False,9,car,0 days 00:00:15.528000,0 days 00:18:33.333000
2024-07-06 10:33:37.195,6428,73,2,4,False,9,car,0 days 00:00:15.728000,0 days 00:18:33.533000
2024-07-06 10:33:37.475,6359,71,2,5,False,9,car,0 days 00:00:16.008000,0 days 00:18:33.813000
2024-07-06 10:33:37.755,6688,71,2,14,False,9,car,0 days 00:00:16.288000,0 days 00:18:34.093000
2024-07-06 10:33:37.955,6696,70,2,20,False,9,car,0 days 00:00:16.488000,0 days 00:18:34.293000
2024-07-06 10:33:38.275,6849,74,2,22,False,9,car,0 days 00:00:16.808000,0 days 00:18:34.613000
2024-07-06 10:33:38.675,7159,78,2,30,False,9,car,0 days 00:00:17.208000,0 days 00:18:35.013000
2024-07-06 10:33:38.915,7473,80,2,37,False,9,car,0 days 00:00:17.448000,0 days 00:18:35.253000
2024-07-06 10:33:39.274,8025,85,2,44,False,9,car,0 days 00:00:17.807000,0 days 00:18:35.612000
2024-07-06 10:33:39.474,8356,91,2,51,False,9,car,0 days 00:00:18.007000,0 days 00:18:35.812000
2024-07-06 10:33:39.634,8885,94,2,53,False,9,car,0 days 00:00:18.167000,0 days 00:18:35.972000
2024-07-06 10:33:39.874,9263,101,2,54,False,9,car,0 days 00:00:18.407000,0 days 00:18:36.212000
2024-07-06 10:33:40.154,9349,104,2,0,True,9,car,0 days 00:00:18.687000,0 days 00:18:36.492000
2024-07-06 10:33:40.514,8446,97,2,0,True,9,car,0 days 00:00:19.047000,0 days 00:18:36.852000
2024-07-06 10:33:40.714,7967,92,2,0,True,9,car,0 days 00:00:19.247000,0 days 00:18:37.052000
2024-07-06 10:33:40.954,7696,88,2,0,True,9,car,0 days 00:00:19.487000,0 days 00:18:37.292000
2024-07-06 10:33:41.154,7574,86,2,0,False,9,car,0 days 00:00:19.687000,0 days 00:18:37.492000
2024-07-06 10:33:41.434,7202,83,2,1,False,9,car,0 days 00:00:19.967000,0 days 00:18:37.772000
2024-07-06 10:33:41.714,6950,79,2,1,False,9,car,0 days 00:00:20.247000,0 days 00:18:38.052000
2024-07-06 10:33:42.114,6696,76,2,3,False,9,car,0 days 00:00:20.647000,0 days 00:18:38.452000
2024-07-06 10:33:42.434,6533,74,2,2,False,9,car,0 days 00:00:20.967000,0 days 00:18:38.772000
2024-07-06 10:33:42.714,6212,71,2,2,False,9,car,0 days 00:00:21.247000,0 days 00:18:39.052000
2024-07-06 10:33:43.075,6092,69,2,2,False,9,car,0 days 00:00:21.608000,0 days 00:18:39.413000
2024-07-06 10:33:43.235,6025,69,2,3,False,9,car,0 days 00:00:21.768000,0 days 00:18:39.573000
2024-07-06 10:33:43.595,5952,66,2,4,False,9,car,0 days 00:00:22.128000,0 days 00:18:39.933000
2024-07-06 10:33:43.915,6072,66,2,9,False,9,car,0 days 00:00:22.448000,0 days 00:18:40.253000
2024-07-06 10:33:44.275,6220,67,2,22,False,9,car,0 days 00:00:22.808000,0 days 00:18:40.613000
2024-07-06 10:33:44.555,6872,70,2,35,False,9,car,0 days 00:00:23.088000,0 days 00:18:40.893000
2024-07-06 10:33:44.715,7640,74,2,37,False,9,car,0 days 00:00:23.248000,0 days 00:18:41.053000
2024-07-06 10:33:44.995,7469,77,2,26,False,9,car,0 days 00:00:23.528000,0 days 00:18:41.333000
2024-07-06 10:33:45.275,7630,82,2,44,False,9,car,0 days 00:00:23.808000,0 days 00:18:41.613000
2024-07-06 10:33:45.555,7958,87,2,46,False,9,car,0 days 00:00:24.088000,0 days 00:18:41.893000
2024-07-06 10:33:45.755,8378,91,2,53,False,9,car,0 days 00:00:24.288000,0 days 00:18:42.093000
2024-07-06 10:33:45.994,10058,96,2,52,False,9,car,0 days 00:00:24.527000,0 days 00:18:42.332000
2024-07-06 10:33:46.234,10491,97,2,53,False,9,car,0 days 00:00:24.767000,0 days 00:18:42.572000
2024-07-06 10:33:46.594,10068,108,2,55,False,9,car,0 days 00:00:25.127000,0 days 00:18:42.932000
2024-07-06 10:33:46.834,10653,113,2,60,False,9,car,0 days 00:00:25.367000,0 days 00:18:43.172000
2024-07-06 10:33:47.194,9158,124,2,62,False,9,car,0 days 00:00:25.727000,0 days 00:18:43.532000
2024-07-06 10:33:47.554,9746,131,3,72,False,9,car,0 days 00:00:26.087000,0 days 00:18:43.892000
2024-07-06 10:33:47.714,10115,137,3,74,False,9,car,0 days 00:00:26.247000,0 days 00:18:44.052000
2024-07-06 10:33:47.954,10468,142,3,76,False,9,car,0 days 00:00:26.487000,0 days 00:18:44.292000
2024-07-06 10:33:48.234,10344,145,3,74,False,9,car,0 days 00:00:26.767000,0 days 00:18:44.572000
2024-07-06 10:33:48.634,9427,154,4,61,False,9,car,0 days 00:00:27.167000,0 days 00:18:44.972000
2024-07-06 10:33:48.994,9538,159,4,62,False,9,car,0 days 00:00:27.527000,0 days 00:18:45.332000
2024-07-06 10:33:49.274,9913,163,4,60,False,9,car,0 days 00:00:27.807000,0 days 00:18:45.612000
2024-07-06 10:33:49.434,9998,164,4,59,False,9,car,0 days 00:00:27.967000,0 days 00:18:45.772000
2024-07-06 10:33:49.755,10076,168,4,53,False,9,car,0 days 00:00:28.288000,0 days 00:18:46.093000
2024-07-06 10:33:50.075,10103,168,4,44,False,9,car,0 days 00:00:28.608000,0 days 00:18:46.413000
2024-07-06 10:33:50.275,10123,168,4,50,False,9,car,0 days 00:00:28.808000,0 days 00:18:46.613000
2024-07-06 10:33:50.515,10276,169,4,59,False,9,car,0 days 00:00:29.048000,0 days 00:18:46.853000
2024-07-06 10:33:50.875,10453,173,4,63,False,9,car,0 days 00:00:29.408000,0 days 00:18:47.213000
2024-07-06 10:33:51.035,10614,175,4,64,False,9,car,0 days 00:00:29.568000,0 days 00:18:47.373000
2024-07-06 10:33:51.275,10828,179,4,67,False,9,car,0 days 00:00:29.808000,0 days 00:18:47.613000
2024-07-06 10:33:51.555,10993,182,4,74,False,9,car,0 days 00:00:30.088000,0 days 00:18:47.893000
2024-07-06 10:33:51.915,11462,189,4,82,False,9,car,0 days 00:00:30.448000,0 days 00:18:48.253000
2024-07-06 10:33:52.155,10342,190,4,91,False,9,car,0 days 00:00:30.688000,0 days 00:18:48.493000
2024-07-06 10:33:52.355,10094,193,5,100,False,9,car,0 days 00:00:30.888000,0 days 00:18:48.693000
2024-07-06 10:33:52.674,10468,204,5,100,False,9,car,0 days 00:00:31.207000,0 days 00:18:49.012000
2024-07-06 10:33:52.834,10723,206,5,100,False,9,car,0 days 00:00:31.367000,0 days 00:18:49.172000
2024-07-06 10:33:53.034,10997,210,5,100,False,9,car,0 days 00:00:31.567000,0 days 00:18:49.372000
2024-07-06 10:33:53.354,11205,217,5,100,False,9,car,0 days 00:00:31.887000,0 days 00:18:49.692000
2024-07-06 10:33:53.554,11492,222,5,100,False,9,car,0 days 00:00:32.087000,0 days 00:18:49.892000
2024-07-06 10:33:53.794,10913,225,5,100,False,9,car,0 days 00:00:32.327000,0 days 00:18:50.132000
2024-07-06 10:33:54.074,10119,228,6,100,False,9,car,0 days 00:00:32.607000,0 days 00:18:50.412000
2024-07-06 10:33:54.314,10334,232,6,100,False,9,car,0 days 00:00:32.847000,0 days 00:18:50.652000
2024-07-06 10:33:54.474,10453,236,6,100,False,9,car,0 days 00:00:33.007000,0 days 00:18:50.812000
2024-07-06 10:33:54.674,10620,240,6,100,False,9,car,0 days 00:00:33.207000,0 days 00:18:51.012000
2024-07-06 10:33:54.954,10819,243,6,100,False,9,car,0 days 00:00:33.487000,0 days 00:18:51.292000
2024-07-06 10:33:55.114,10987,246,6,100,False,9,car,0 days 00:00:33.647000,0 days 00:18:51.452000
2024-07-06 10:33:55.314,11098,249,6,100,False,9,car,0 days 00:00:33.847000,0 days 00:18:51.652000
2024-07-06 10:33:56.195,11452,259,6,100,False,9,car,0 days 00:00:34.728000,0 days 00:18:52.533000
2024-07-06 10:33:56.395,11479,260,6,100,False,9,car,0 days 00:00:34.928000,0 days 00:18:52.733000
2024-07-06 10:33:56.555,11540,262,6,100,False,9,car,0 days 00:00:35.088000,0 days 00:18:52.893000
2024-07-06 10:33:56.915,10058,261,6,100,False,9,car,0 days 00:00:35.448000,0 days 00:18:53.253000
2024-07-06 10:33:57.195,10235,264,7,100,False,9,car,0 days 00:00:35.728000,0 days 00:18:53.533000
2024-07-06 10:33:57.595,10347,267,7,100,False,9,car,0 days 00:00:36.128000,0 days 00:18:53.933000
2024-07-06 10:33:57.835,9337,265,7,81,False,9,car,0 days 00:00:36.368000,0 days 00:18:54.173000
2024-07-06 10:33:58.195,9443,256,8,0,True,9,car,0 days 00:00:36.728000,0 days 00:18:54.533000
2024-07-06 10:33:58.435,9355,236,8,0,True,9,car,0 days 00:00:36.968000,0 days 00:18:54.773000
2024-07-06 10:33:58.795,10378,209,8,0,True,9,car,0 days 00:00:37.328000,0 days 00:18:55.133000
2024-07-06 10:33:59.035,10378,196,5,0,True,9,car,0 days 00:00:37.568000,0 days 00:18:55.373000
2024-07-06 10:33:59.195,10740,185,5,0,True,9,car,0 days 00:00:37.728000,0 days 00:18:55.533000
2024-07-06 10:33:59.634,10561,165,4,0,True,9,car,0 days 00:00:38.167000,0 days 00:18:55.972000
2024-07-06 10:33:59.794,11207,165,4,0,True,9,car,0 days 00:00:38.327000,0 days 00:18:56.132000
2024-07-06 10:34:00.114,10489,147,3,0,True,9,car,0 days 00:00:38.647000,0 days 00:18:56.452000
2024-07-06 10:34:00.394,9881,139,3,0,True,9,car,0 days 00:00:38.927000,0 days 00:18:56.732000
2024-07-06 10:34:00.554,9881,137,3,0,True,9,car,0 days 00:00:39.087000,0 days 00:18:56.892000
2024-07-06 10:34:00.874,9346,130,3,0,False,9,car,0 days 00:00:39.407000,0 days 00:18:57.212000
2024-07-06 10:34:01.194,9031,127,3,0,False,9,car,0 days 00:00:39.727000,0 days 00:18:57.532000
2024-07-06 10:34:01.354,8615,124,3,0,False,9,car,0 days 00:00:39.887000,0 days 00:18:57.692000
2024-07-06 10:34:01.594,8615,121,3,0,False,9,car,0 days 00:00:40.127000,0 days 00:18:57.932000
2024-07-06 10:34:01.794,8317,119,3,3,False,9,car,0 days 00:00:40.327000,0 days 00:18:58.132000
2024-07-06 10:34:01.994,8133,117,3,4,False,9,car,0 days 00:00:40.527000,0 days 00:18:58.332000
2024-07-06 10:34:02.314,8059,115,3,7,False,9,car,0 days 00:00:40.847000,0 days 00:18:58.652000
2024-07-06 10:34:02.514,7891,112,3,13,False,9,car,0 days 00:00:41.047000,0 days 00:18:58.852000
2024-07-06 10:34:02.795,7903,110,3,14,False,9,car,0 days 00:00:41.328000,0 days 00:18:59.133000
2024-07-06 10:34:02.995,7912,109,3,20,False,9,car,0 days 00:00:41.528000,0 days 00:18:59.333000
2024-07-06 10:34:03.235,7714,109,3,8,False,9,car,0 days 00:00:41.768000,0 days 00:18:59.573000
2024-07-06 10:34:03.435,7474,109,3,5,False,9,car,0 days 00:00:41.968000,0 days 00:18:59.773000
2024-07-06 10:34:03.715,7536,105,3,7,False,9,car,0 days 00:00:42.248000,0 days 00:19:00.053000
2024-07-06 10:34:03.955,7650,104,3,9,False,9,car,0 days 00:00:42.488000,0 days 00:19:00.293000
2024-07-06 10:34:04.115,7372,103,3,10,False,9,car,0 days 00:00:42.648000,0 days 00:19:00.453000
2024-07-06 10:34:04.315,7302,102,3,13,False,9,car,0 days 00:00:42.848000,0 days 00:19:00.653000
2024-07-06 10:34:04.515,7312,102,3,16,False,9,car,0 days 00:00:43.048000,0 days 00:19:00.853000
2024-07-06 10:34:04.715,7434,102,3,20,False,9,car,0 days 00:00:43.248000,0 days 00:19:01.053000
