F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-06 10:33:05.035,9119,81,1,21,False,9,car,0 days 00:00:00.756000,0 days 00:18:01.373000
2024-07-06 10:33:05.355,9557,85,1,28,False,9,car,0 days 00:00:01.076000,0 days 00:18:01.693000
2024-07-06 10:33:05.554,9557,87,1,28,False,9,car,0 days 00:00:01.275000,0 days 00:18:01.892000
2024-07-06 10:33:05.914,10106,90,1,34,False,9,car,0 days 00:00:01.635000,0 days 00:18:02.252000
2024-07-06 10:33:06.194,8706,95,2,35,False,9,car,0 days 00:00:01.915000,0 days 00:18:02.532000
2024-07-06 10:33:06.434,8190,97,2,35,False,9,car,0 days 00:00:02.155000,0 days 00:18:02.772000
2024-07-06 10:33:06.714,8750,100,2,40,False,9,car,0 days 00:00:02.435000,0 days 00:18:03.052000
2024-07-06 10:33:06.954,8855,104,2,42,False,9,car,0 days 00:00:02.675000,0 days 00:18:03.292000
2024-07-06 10:33:07.194,8435,106,2,46,False,9,car,0 days 00:00:02.915000,0 days 00:18:03.532000
2024-07-06 10:33:07.434,8209,112,2,47,False,9,car,0 days 00:00:03.155000,0 days 00:18:03.772000
2024-07-06 10:33:07.834,9030,120,2,56,False,9,car,0 days 00:00:03.555000,0 days 00:18:04.172000
2024-07-06 10:33:08.074,9419,125,3,61,False,9,car,0 days 00:00:03.795000,0 days 00:18:04.412000
2024-07-06 10:33:08.234,9419,130,3,61,False,9,car,0 days 00:00:03.955000,0 days 00:18:04.572000
2024-07-06 10:33:08.674,9736,143,3,64,False,9,car,0 days 00:00:04.395000,0 days 00:18:05.012000
2024-07-06 10:33:08.834,9244,143,3,64,False,9,car,0 days 00:00:04.555000,0 days 00:18:05.172000
2024-07-06 10:33:08.994,9420,150,4,68,False,9,car,0 days 00:00:04.715000,0 days 00:18:05.332000
2024-07-06 10:33:09.314,9745,155,4,71,False,9,car,0 days 00:00:05.035000,0 days 00:18:05.652000
2024-07-06 10:33:09.634,10205,167,4,75,False,9,car,0 days 00:00:05.355000,0 days 00:18:05.972000
2024-07-06 10:33:09.794,10762,172,4,77,False,9,car,0 days 00:00:05.515000,0 days 00:18:06.132000
2024-07-06 10:33:09.954,11025,175,4,77,False,9,car,0 days 00:00:05.675000,0 days 00:18:06.292000
2024-07-06 10:33:10.355,9968,185,4,72,False,9,car,0 days 00:00:06.076000,0 days 00:18:06.693000
2024-07-06 10:33:10.635,10205,191,5,69,False,9,car,0 days 00:00:06.356000,0 days 00:18:06.973000
2024-07-06 10:33:10.835,10205,192,5,67,False,9,car,0 days 00:00:06.556000,0 days 00:18:07.173000
2024-07-06 10:33:11.115,10415,196,5,67,False,9,car,0 days 00:00:06.836000,0 days 00:18:07.453000
2024-07-06 10:33:11.555,10946,201,5,75,False,9,car,0 days 00:00:07.276000,0 days 00:18:07.893000
2024-07-06 10:33:11.875,11383,211,5,99,False,9,car,0 days 00:00:07.596000,0 days 00:18:08.213000
2024-07-06 10:33:12.194,10240,218,6,99,False,9,car,0 days 00:00:07.915000,0 days 00:18:08.532000
2024-07-06 10:33:12.394,10389,222,6,99,False,9,car,0 days 00:00:08.115000,0 days 00:18:08.732000
2024-07-06 10:33:12.634,10244,222,6,19,False,9,car,0 days 00:00:08.355000,0 days 00:18:08.972000
2024-07-06 10:33:12.794,10256,221,6,0,False,9,car,0 days 00:00:08.515000,0 days 00:18:09.132000
2024-07-06 10:33:12.994,9909,213,6,0,True,9,car,0 days 00:00:08.715000,0 days 00:18:09.332000
2024-07-06 10:33:13.314,9104,197,6,0,True,9,car,0 days 00:00:09.035000,0 days 00:18:09.652000
2024-07-06 10:33:13.554,8417,187,6,0,True,9,car,0 days 00:00:09.275000,0 days 00:18:09.892000
2024-07-06 10:33:14.034,9062,173,6,0,True,9,car,0 days 00:00:09.755000,0 days 00:18:10.372000
2024-07-06 10:33:14.474,8916,154,4,0,True,9,car,0 days 00:00:10.195000,0 days 00:18:10.812000
2024-07-06 10:33:14.634,8988,154,4,0,True,9,car,0 days 00:00:10.355000,0 days 00:18:10.972000
2024-07-06 10:33:14.834,9555,138,4,0,True,9,car,0 days 00:00:10.555000,0 days 00:18:11.172000
2024-07-06 10:33:14.994,9555,135,3,0,True,9,car,0 days 00:00:10.715000,0 days 00:18:11.332000
2024-07-06 10:33:15.314,8561,124,3,0,True,9,car,0 days 00:00:11.035000,0 days 00:18:11.652000
2024-07-06 10:33:15.554,8162,119,3,0,True,9,car,0 days 00:00:11.275000,0 days 00:18:11.892000
2024-07-06 10:33:15.834,7707,113,3,0,True,9,car,0 days 00:00:11.555000,0 days 00:18:12.172000
2024-07-06 10:33:15.994,7554,108,3,0,True,9,car,0 days 00:00:11.715000,0 days 00:18:12.332000
2024-07-06 10:33:16.314,7075,103,3,0,False,9,car,0 days 00:00:12.035000,0 days 00:18:12.652000
2024-07-06 10:33:16.514,6891,101,3,0,False,9,car,0 days 00:00:12.235000,0 days 00:18:12.852000
2024-07-06 10:33:16.674,6827,100,3,0,False,9,car,0 days 00:00:12.395000,0 days 00:18:13.012000
2024-07-06 10:33:16.875,6590,96,3,0,False,9,car,0 days 00:00:12.596000,0 days 00:18:13.213000
2024-07-06 10:33:17.195,6246,90,3,0,True,9,car,0 days 00:00:12.916000,0 days 00:18:13.533000
2024-07-06 10:33:17.395,5902,86,3,0,True,9,car,0 days 00:00:13.116000,0 days 00:18:13.733000
2024-07-06 10:33:17.555,5755,86,3,0,True,9,car,0 days 00:00:13.276000,0 days 00:18:13.893000
2024-07-06 10:33:18.035,5402,78,3,0,False,9,car,0 days 00:00:13.756000,0 days 00:18:14.373000
2024-07-06 10:33:18.435,5489,75,3,3,False,9,car,0 days 00:00:14.156000,0 days 00:18:14.773000
2024-07-06 10:33:18.795,5482,74,3,21,False,9,car,0 days 00:00:14.516000,0 days 00:18:15.133000
