F1 for AiM
Racer,Valtteri Bottas
Vehicle,Kick Sauber
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-06 14:00:06.231,4839,39,1,8,False,9,car,0 days 00:00:00.170000,0 days 00:12:53.222000
2024-07-06 14:00:06.471,5140,43,1,11,False,9,car,0 days 00:00:00.410000,0 days 00:12:53.462000
2024-07-06 14:00:06.751,4205,46,1,13,False,9,car,0 days 00:00:00.690000,0 days 00:12:53.742000
2024-07-06 14:00:07.111,4977,53,2,18,False,9,car,0 days 00:00:01.050000,0 days 00:12:54.102000
2024-07-06 14:00:07.911,6480,67,2,25,False,9,car,0 days 00:00:01.850000,0 days 00:12:54.902000
2024-07-06 14:00:08.191,6323,73,2,28,False,9,car,0 days 00:00:02.130000,0 days 00:12:55.182000
2024-07-06 14:00:08.391,6657,76,2,31,False,9,car,0 days 00:00:02.330000,0 days 00:12:55.382000
2024-07-06 14:00:08.831,6189,82,3,36,False,9,car,0 days 00:00:02.770000,0 days 00:12:55.822000
2024-07-06 14:00:09.151,6690,88,3,41,False,9,car,0 days 00:00:03.090000,0 days 00:12:56.142000
2024-07-06 14:00:09.311,6996,94,3,41,False,9,car,0 days 00:00:03.250000,0 days 00:12:56.302000
2024-07-06 14:00:09.591,7512,98,3,44,False,9,car,0 days 00:00:03.530000,0 days 00:12:56.582000
2024-07-06 14:00:09.751,7698,100,3,44,False,9,car,0 days 00:00:03.690000,0 days 00:12:56.742000
2024-07-06 14:00:09.991,8066,100,3,49,False,9,car,0 days 00:00:03.930000,0 days 00:12:56.982000
2024-07-06 14:00:10.391,7786,114,4,52,False,9,car,0 days 00:00:04.330000,0 days 00:12:57.382000
2024-07-06 14:00:10.551,7575,116,4,53,False,9,car,0 days 00:00:04.490000,0 days 00:12:57.542000
2024-07-06 14:00:10.870,7817,126,4,60,False,9,car,0 days 00:00:04.809000,0 days 00:12:57.861000
2024-07-06 14:00:11.070,8294,133,4,65,False,9,car,0 days 00:00:05.009000,0 days 00:12:58.061000
2024-07-06 14:00:11.510,9204,147,4,76,False,9,car,0 days 00:00:05.449000,0 days 00:12:58.501000
2024-07-06 14:00:11.710,9778,153,4,80,False,9,car,0 days 00:00:05.649000,0 days 00:12:58.701000
2024-07-06 14:00:11.951,10219,161,4,81,False,9,car,0 days 00:00:05.890000,0 days 00:12:58.942000
2024-07-06 14:00:12.191,10913,171,4,89,False,9,car,0 days 00:00:06.130000,0 days 00:12:59.182000
2024-07-06 14:00:12.391,11266,179,4,100,False,9,car,0 days 00:00:06.330000,0 days 00:12:59.382000
2024-07-06 14:00:12.591,10703,187,4,100,False,9,car,0 days 00:00:06.530000,0 days 00:12:59.582000
2024-07-06 14:00:12.951,10277,197,5,87,False,9,car,0 days 00:00:06.890000,0 days 00:12:59.942000
2024-07-06 14:00:13.151,10547,201,5,71,False,9,car,0 days 00:00:07.090000,0 days 00:13:00.142000
2024-07-06 14:00:13.311,10734,204,5,62,False,9,car,0 days 00:00:07.250000,0 days 00:13:00.302000
2024-07-06 14:00:13.591,10799,207,5,62,False,9,car,0 days 00:00:07.530000,0 days 00:13:00.582000
2024-07-06 14:00:13.791,10877,208,5,64,False,9,car,0 days 00:00:07.730000,0 days 00:13:00.782000
2024-07-06 14:00:14.151,9715,211,6,72,False,9,car,0 days 00:00:08.090000,0 days 00:13:01.142000
2024-07-06 14:00:14.431,9893,215,6,79,False,9,car,0 days 00:00:08.370000,0 days 00:13:01.422000
2024-07-06 14:00:14.591,9953,218,6,86,False,9,car,0 days 00:00:08.530000,0 days 00:13:01.582000
