F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-06 14:00:59.271,3544,26,1,0,False,9,car,0 days 00:00:00.082000,0 days 00:13:46.262000
2024-07-06 14:00:59.431,3484,27,1,0,False,9,car,0 days 00:00:00.242000,0 days 00:13:46.422000
2024-07-06 14:00:59.671,3691,29,1,0,False,9,car,0 days 00:00:00.482000,0 days 00:13:46.662000
2024-07-06 14:00:59.871,3914,31,1,0,False,9,car,0 days 00:00:00.682000,0 days 00:13:46.862000
2024-07-06 14:01:00.231,4094,33,1,0,False,9,car,0 days 00:00:01.042000,0 days 00:13:47.222000
2024-07-06 14:01:00.471,4412,35,1,2,False,9,car,0 days 00:00:01.282000,0 days 00:13:47.462000
2024-07-06 14:01:00.871,4544,37,1,3,False,9,car,0 days 00:00:01.682000,0 days 00:13:47.862000
2024-07-06 14:01:01.031,4618,37,1,3,False,9,car,0 days 00:00:01.842000,0 days 00:13:48.022000
2024-07-06 14:01:01.271,4798,39,1,4,False,9,car,0 days 00:00:02.082000,0 days 00:13:48.262000
2024-07-06 14:01:01.471,4815,40,1,4,False,9,car,0 days 00:00:02.282000,0 days 00:13:48.462000
2024-07-06 14:01:01.671,4988,40,1,3,False,9,car,0 days 00:00:02.482000,0 days 00:13:48.662000
2024-07-06 14:01:01.871,4958,40,1,3,False,9,car,0 days 00:00:02.682000,0 days 00:13:48.862000
2024-07-06 14:01:02.911,5079,41,1,5,False,9,car,0 days 00:00:03.722000,0 days 00:13:49.902000
2024-07-06 14:01:03.231,5160,42,1,7,False,9,car,0 days 00:00:04.042000,0 days 00:13:50.222000
2024-07-06 14:01:03.471,5609,44,1,10,False,9,car,0 days 00:00:04.282000,0 days 00:13:50.462000
2024-07-06 14:01:03.871,5962,47,1,11,False,9,car,0 days 00:00:04.682000,0 days 00:13:50.862000
2024-07-06 14:01:04.111,6274,47,1,13,False,9,car,0 days 00:00:04.922000,0 days 00:13:51.102000
2024-07-06 14:01:04.351,6200,51,1,14,False,9,car,0 days 00:00:05.162000,0 days 00:13:51.342000
2024-07-06 14:01:04.671,6821,54,1,20,False,9,car,0 days 00:00:05.482000,0 days 00:13:51.662000
