F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Silverstone Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-06 14:00:10.551,4127,35,1,3,False,9,car,0 days 00:00:00.029000,0 days 00:12:57.542000
2024-07-06 14:00:10.870,4500,38,1,5,False,9,car,0 days 00:00:00.348000,0 days 00:12:57.861000
2024-07-06 14:00:11.070,4638,39,1,5,False,9,car,0 days 00:00:00.548000,0 days 00:12:58.061000
2024-07-06 14:00:11.510,5313,43,1,7,False,9,car,0 days 00:00:00.988000,0 days 00:12:58.501000
2024-07-06 14:00:11.710,5474,46,1,9,False,9,car,0 days 00:00:01.188000,0 days 00:12:58.701000
2024-07-06 14:00:11.951,5854,50,1,9,False,9,car,0 days 00:00:01.429000,0 days 00:12:58.942000
2024-07-06 14:00:12.191,6306,52,1,12,False,9,car,0 days 00:00:01.669000,0 days 00:12:59.182000
2024-07-06 14:00:12.391,6467,56,1,12,False,9,car,0 days 00:00:01.869000,0 days 00:12:59.382000
2024-07-06 14:00:12.591,6711,57,1,12,False,9,car,0 days 00:00:02.069000,0 days 00:12:59.582000
2024-07-06 14:00:12.951,7361,63,1,16,False,9,car,0 days 00:00:02.429000,0 days 00:12:59.942000
2024-07-06 14:00:13.151,7593,65,1,17,False,9,car,0 days 00:00:02.629000,0 days 00:13:00.142000
2024-07-06 14:00:13.311,7662,65,1,17,False,9,car,0 days 00:00:02.789000,0 days 00:13:00.302000
2024-07-06 14:00:13.591,6222,68,1,19,False,9,car,0 days 00:00:03.069000,0 days 00:13:00.582000
2024-07-06 14:00:13.791,6353,70,2,26,False,9,car,0 days 00:00:03.269000,0 days 00:13:00.782000
2024-07-06 14:00:14.151,6850,79,2,26,False,9,car,0 days 00:00:03.629000,0 days 00:13:01.142000
2024-07-06 14:00:14.431,7389,81,2,34,False,9,car,0 days 00:00:03.909000,0 days 00:13:01.422000
2024-07-06 14:00:14.591,7457,84,2,35,False,9,car,0 days 00:00:04.069000,0 days 00:13:01.582000
2024-07-06 14:00:14.791,7877,90,2,36,False,9,car,0 days 00:00:04.269000,0 days 00:13:01.782000
2024-07-06 14:00:14.951,7983,93,2,37,False,9,car,0 days 00:00:04.429000,0 days 00:13:01.942000
2024-07-06 14:00:15.111,8714,93,2,38,False,9,car,0 days 00:00:04.589000,0 days 00:13:02.102000
2024-07-06 14:00:15.271,7985,97,2,37,False,9,car,0 days 00:00:04.749000,0 days 00:13:02.262000
2024-07-06 14:00:15.591,7734,102,3,39,False,9,car,0 days 00:00:05.069000,0 days 00:13:02.582000
2024-07-06 14:00:16.031,8275,111,3,45,False,9,car,0 days 00:00:05.509000,0 days 00:13:03.022000
2024-07-06 14:00:16.351,8877,117,3,51,False,9,car,0 days 00:00:05.829000,0 days 00:13:03.342000
2024-07-06 14:00:16.591,9186,124,3,52,False,9,car,0 days 00:00:06.069000,0 days 00:13:03.582000
2024-07-06 14:00:16.871,8282,128,3,51,False,9,car,0 days 00:00:06.349000,0 days 00:13:03.862000
2024-07-06 14:00:17.311,8621,136,4,56,False,9,car,0 days 00:00:06.789000,0 days 00:13:04.302000
2024-07-06 14:00:17.470,8769,141,4,57,False,9,car,0 days 00:00:06.948000,0 days 00:13:04.461000
2024-07-06 14:00:17.830,9266,149,4,58,False,9,car,0 days 00:00:07.308000,0 days 00:13:04.821000
2024-07-06 14:00:18.310,8287,156,5,56,False,9,car,0 days 00:00:07.788000,0 days 00:13:05.301000
2024-07-06 14:00:18.511,8418,160,5,54,False,9,car,0 days 00:00:07.989000,0 days 00:13:05.502000
