F1 for AiM
Racer,Oscar Piastri
Vehicle,McLaren
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-07 17:57:40.298,7335,82,2,28,False,9,car,0 days 00:00:00.277000,0 days 00:40:14.552000
2024-06-07 17:57:40.538,7391,85,2,28,False,9,car,0 days 00:00:00.517000,0 days 00:40:14.792000
2024-06-07 17:57:40.939,7683,88,2,29,False,9,car,0 days 00:00:00.918000,0 days 00:40:15.193000
2024-06-07 17:57:41.339,8035,90,2,29,False,9,car,0 days 00:00:01.318000,0 days 00:40:15.593000
2024-06-07 17:57:41.619,8200,93,2,30,False,9,car,0 days 00:00:01.598000,0 days 00:40:15.873000
2024-06-07 17:57:41.819,8453,96,2,32,False,9,car,0 days 00:00:01.798000,0 days 00:40:16.073000
2024-06-07 17:57:42.099,8898,100,2,35,False,9,car,0 days 00:00:02.078000,0 days 00:40:16.353000
2024-06-07 17:57:42.379,9110,103,2,48,False,9,car,0 days 00:00:02.358000,0 days 00:40:16.633000
2024-06-07 17:57:42.619,9914,110,2,55,False,9,car,0 days 00:00:02.598000,0 days 00:40:16.873000
2024-06-07 17:57:42.979,10583,117,2,54,False,9,car,0 days 00:00:02.958000,0 days 00:40:17.233000
2024-06-07 17:57:43.219,11007,125,2,57,False,9,car,0 days 00:00:03.198000,0 days 00:40:17.473000
2024-06-07 17:57:43.419,9887,130,2,58,False,9,car,0 days 00:00:03.398000,0 days 00:40:17.673000
2024-06-07 17:57:43.579,9489,132,3,59,False,9,car,0 days 00:00:03.558000,0 days 00:40:17.833000
2024-06-07 17:57:43.819,10053,139,3,70,False,9,car,0 days 00:00:03.798000,0 days 00:40:18.073000
2024-06-07 17:57:44.018,10366,144,3,72,False,9,car,0 days 00:00:03.997000,0 days 00:40:18.272000
2024-06-07 17:57:44.218,11075,151,3,87,False,9,car,0 days 00:00:04.197000,0 days 00:40:18.472000
2024-06-07 17:57:44.578,10938,156,3,0,False,9,car,0 days 00:00:04.557000,0 days 00:40:18.832000
2024-06-07 17:57:44.778,10534,154,3,0,True,9,car,0 days 00:00:04.757000,0 days 00:40:19.032000
2024-06-07 17:57:45.058,10211,147,3,0,True,9,car,0 days 00:00:05.037000,0 days 00:40:19.312000
2024-06-07 17:57:45.258,9785,142,3,0,True,9,car,0 days 00:00:05.237000,0 days 00:40:19.512000
