F1 for AiM
Racer,George Russell
Vehicle,Mercedes
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-07 18:00:18.099,7000,81,2,25,False,9,car,0 days 00:00:00.210000,0 days 00:42:52.353000
2024-06-07 18:00:18.259,7000,81,2,25,False,9,car,0 days 00:00:00.370000,0 days 00:42:52.513000
2024-06-07 18:00:18.620,7000,81,2,25,False,9,car,0 days 00:00:00.731000,0 days 00:42:52.874000
2024-06-07 18:00:18.979,7000,81,2,25,False,9,car,0 days 00:00:01.090000,0 days 00:42:53.233000
2024-06-07 18:00:19.139,7980,103,2,61,False,9,car,0 days 00:00:01.250000,0 days 00:42:53.393000
2024-06-07 18:00:19.339,9380,108,2,73,False,9,car,0 days 00:00:01.450000,0 days 00:42:53.593000
2024-06-07 18:00:19.579,11060,116,2,75,False,9,car,0 days 00:00:01.690000,0 days 00:42:53.833000
2024-06-07 18:00:19.779,12009,122,2,62,False,9,car,0 days 00:00:01.890000,0 days 00:42:54.033000
2024-06-07 18:00:19.979,10609,127,2,61,False,9,car,0 days 00:00:02.090000,0 days 00:42:54.233000
2024-06-07 18:00:20.219,10026,130,2,61,False,9,car,0 days 00:00:02.330000,0 days 00:42:54.473000
2024-06-07 18:00:20.379,10047,137,3,67,False,9,car,0 days 00:00:02.490000,0 days 00:42:54.633000
2024-06-07 18:00:20.539,10299,140,3,69,False,9,car,0 days 00:00:02.650000,0 days 00:42:54.793000
2024-06-07 18:00:20.859,10983,148,3,71,False,9,car,0 days 00:00:02.970000,0 days 00:42:55.113000
2024-06-07 18:00:21.019,10886,153,3,65,False,9,car,0 days 00:00:03.130000,0 days 00:42:55.273000
2024-06-07 18:00:21.259,9791,156,3,60,False,9,car,0 days 00:00:03.370000,0 days 00:42:55.513000
2024-06-07 18:00:21.499,9803,160,4,59,False,9,car,0 days 00:00:03.610000,0 days 00:42:55.753000
2024-06-07 18:00:21.739,9333,159,4,0,True,9,car,0 days 00:00:03.850000,0 days 00:42:55.993000
2024-06-07 18:00:22.099,8684,146,4,0,True,9,car,0 days 00:00:04.210000,0 days 00:42:56.353000
2024-06-07 18:00:22.259,8339,143,4,0,True,9,car,0 days 00:00:04.370000,0 days 00:42:56.513000
2024-06-07 18:00:22.579,7807,130,4,0,True,9,car,0 days 00:00:04.690000,0 days 00:42:56.833000
2024-06-07 18:00:22.819,7568,125,4,0,True,9,car,0 days 00:00:04.930000,0 days 00:42:57.073000
2024-06-07 18:00:23.059,8238,121,4,0,True,9,car,0 days 00:00:05.170000,0 days 00:42:57.313000
2024-06-07 18:00:23.259,8096,117,3,0,True,9,car,0 days 00:00:05.370000,0 days 00:42:57.513000
2024-06-07 18:00:23.459,8004,114,3,0,True,9,car,0 days 00:00:05.570000,0 days 00:42:57.713000
2024-06-07 18:00:23.619,7825,111,3,0,True,9,car,0 days 00:00:05.730000,0 days 00:42:57.873000
2024-06-07 18:00:23.939,7575,107,3,0,True,9,car,0 days 00:00:06.050000,0 days 00:42:58.193000
2024-06-07 18:00:24.379,8143,100,3,0,True,9,car,0 days 00:00:06.490000,0 days 00:42:58.633000
2024-06-07 18:00:24.779,7916,94,2,0,False,9,car,0 days 00:00:06.890000,0 days 00:42:59.033000
2024-06-07 18:00:25.139,7822,92,2,0,False,9,car,0 days 00:00:07.250000,0 days 00:42:59.393000
2024-06-07 18:00:25.460,7497,90,2,0,True,9,car,0 days 00:00:07.571000,0 days 00:42:59.714000
2024-06-07 18:00:25.619,7130,88,2,0,True,9,car,0 days 00:00:07.730000,0 days 00:42:59.873000
2024-06-07 18:00:25.859,6709,83,2,0,True,9,car,0 days 00:00:07.970000,0 days 00:43:00.113000
2024-06-07 18:00:26.019,6542,80,2,0,True,9,car,0 days 00:00:08.130000,0 days 00:43:00.273000
2024-06-07 18:00:26.379,6563,77,2,3,False,9,car,0 days 00:00:08.490000,0 days 00:43:00.633000
