F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-07 18:02:01.459,6829,80,2,49,False,9,car,0 days 00:00:00.028000,0 days 00:44:35.713000
2024-06-07 18:02:01.739,6835,79,2,50,False,9,car,0 days 00:00:00.308000,0 days 00:44:35.993000
2024-06-07 18:02:02.059,8095,84,2,55,False,9,car,0 days 00:00:00.628000,0 days 00:44:36.313000
2024-06-07 18:02:02.259,9420,88,2,42,False,9,car,0 days 00:00:00.828000,0 days 00:44:36.513000
2024-06-07 18:02:02.619,8754,96,2,56,False,9,car,0 days 00:00:01.188000,0 days 00:44:36.873000
2024-06-07 18:02:02.939,9240,104,2,59,False,9,car,0 days 00:00:01.508000,0 days 00:44:37.193000
2024-06-07 18:02:03.219,9829,112,2,62,False,9,car,0 days 00:00:01.788000,0 days 00:44:37.473000
2024-06-07 18:02:03.459,10279,116,2,54,False,9,car,0 days 00:00:02.028000,0 days 00:44:37.713000
2024-06-07 18:02:03.739,9816,115,2,16,True,9,car,0 days 00:00:02.308000,0 days 00:44:37.993000
2024-06-07 18:02:03.940,9542,114,2,30,False,9,car,0 days 00:00:02.509000,0 days 00:44:38.194000
2024-06-07 18:02:04.180,9952,117,2,51,False,9,car,0 days 00:00:02.749000,0 days 00:44:38.434000
2024-06-07 18:02:04.420,10230,119,2,48,False,9,car,0 days 00:00:02.989000,0 days 00:44:38.674000
2024-06-07 18:02:04.660,10553,120,2,42,False,9,car,0 days 00:00:03.229000,0 days 00:44:38.914000
2024-06-07 18:02:04.900,10042,118,2,17,True,9,car,0 days 00:00:03.469000,0 days 00:44:39.154000
2024-06-07 18:02:05.060,9870,117,2,3,True,9,car,0 days 00:00:03.629000,0 days 00:44:39.314000
2024-06-07 18:02:05.300,9328,109,2,1,True,9,car,0 days 00:00:03.869000,0 days 00:44:39.554000
2024-06-07 18:02:05.620,8545,103,2,1,True,9,car,0 days 00:00:04.189000,0 days 00:44:39.874000
2024-06-07 18:02:05.820,7933,97,2,1,True,9,car,0 days 00:00:04.389000,0 days 00:44:40.074000
2024-06-07 18:02:05.980,7599,88,2,0,True,9,car,0 days 00:00:04.549000,0 days 00:44:40.234000
2024-06-07 18:02:06.180,8037,82,2,0,True,9,car,0 days 00:00:04.749000,0 days 00:44:40.434000
2024-06-07 18:02:06.419,8571,80,1,0,True,9,car,0 days 00:00:04.988000,0 days 00:44:40.673000
2024-06-07 18:02:06.659,7864,74,1,0,True,9,car,0 days 00:00:05.228000,0 days 00:44:40.913000
2024-06-07 18:02:07.099,6878,60,1,0,True,9,car,0 days 00:00:05.668000,0 days 00:44:41.353000
2024-06-07 18:02:07.339,6533,57,1,0,True,9,car,0 days 00:00:05.908000,0 days 00:44:41.593000
2024-06-07 18:02:07.659,6335,55,1,0,False,9,car,0 days 00:00:06.228000,0 days 00:44:41.913000
2024-06-07 18:02:07.939,6044,53,1,0,False,9,car,0 days 00:00:06.508000,0 days 00:44:42.193000
2024-06-07 18:02:08.139,6073,52,1,0,False,9,car,0 days 00:00:06.708000,0 days 00:44:42.393000
2024-06-07 18:02:08.299,5729,51,1,0,False,9,car,0 days 00:00:06.868000,0 days 00:44:42.553000
2024-06-07 18:02:08.579,5754,50,1,0,False,9,car,0 days 00:00:07.148000,0 days 00:44:42.833000
2024-06-07 18:02:08.779,5632,49,1,0,False,9,car,0 days 00:00:07.348000,0 days 00:44:43.033000
2024-06-07 18:02:08.939,5532,48,1,0,False,9,car,0 days 00:00:07.508000,0 days 00:44:43.193000
2024-06-07 18:02:09.139,5308,48,1,0,False,9,car,0 days 00:00:07.708000,0 days 00:44:43.393000
2024-06-07 18:02:09.339,5308,46,1,0,False,9,car,0 days 00:00:07.908000,0 days 00:44:43.593000
2024-06-07 18:02:09.539,5135,46,1,0,False,9,car,0 days 00:00:08.108000,0 days 00:44:43.793000
2024-06-07 18:02:09.739,4953,44,1,0,False,9,car,0 days 00:00:08.308000,0 days 00:44:43.993000
2024-06-07 18:02:09.979,4795,43,1,0,False,9,car,0 days 00:00:08.548000,0 days 00:44:44.233000
2024-06-07 18:02:10.219,3761,43,1,0,False,9,car,0 days 00:00:08.788000,0 days 00:44:44.473000
2024-06-07 18:02:10.460,3602,42,1,0,False,9,car,0 days 00:00:09.029000,0 days 00:44:44.714000
2024-06-07 18:02:10.660,3746,42,1,0,False,9,car,0 days 00:00:09.229000,0 days 00:44:44.914000
2024-06-07 18:02:10.940,3787,41,1,0,False,9,car,0 days 00:00:09.509000,0 days 00:44:45.194000
2024-06-07 18:02:11.220,3836,41,1,0,False,9,car,0 days 00:00:09.789000,0 days 00:44:45.474000
2024-06-07 18:02:11.420,3880,40,1,0,False,9,car,0 days 00:00:09.989000,0 days 00:44:45.674000
2024-06-07 18:02:11.620,3837,40,1,0,False,9,car,0 days 00:00:10.189000,0 days 00:44:45.874000
2024-06-07 18:02:11.780,3837,39,1,0,False,9,car,0 days 00:00:10.349000,0 days 00:44:46.034000
2024-06-07 18:02:11.980,3547,39,1,0,False,9,car,0 days 00:00:10.549000,0 days 00:44:46.234000
2024-06-07 18:02:12.300,3526,38,1,1,False,9,car,0 days 00:00:10.869000,0 days 00:44:46.554000
2024-06-07 18:02:12.500,3738,38,1,8,False,9,car,0 days 00:00:11.069000,0 days 00:44:46.754000
2024-06-07 18:02:12.740,4546,38,1,15,False,9,car,0 days 00:00:11.309000,0 days 00:44:46.994000
2024-06-07 18:02:12.940,4638,40,1,17,False,9,car,0 days 00:00:11.509000,0 days 00:44:47.194000
2024-06-07 18:02:13.179,4954,42,1,19,False,9,car,0 days 00:00:11.748000,0 days 00:44:47.433000
2024-06-07 18:02:13.499,5178,45,1,19,False,9,car,0 days 00:00:12.068000,0 days 00:44:47.753000
2024-06-07 18:02:13.699,5394,46,1,19,False,9,car,0 days 00:00:12.268000,0 days 00:44:47.953000
2024-06-07 18:02:13.859,5394,48,1,19,False,9,car,0 days 00:00:12.428000,0 days 00:44:48.113000
2024-06-07 18:02:14.259,5758,51,1,16,False,9,car,0 days 00:00:12.828000,0 days 00:44:48.513000
2024-06-07 18:02:14.659,5862,52,1,10,False,9,car,0 days 00:00:13.228000,0 days 00:44:48.913000
2024-06-07 18:02:14.939,5823,51,1,10,False,9,car,0 days 00:00:13.508000,0 days 00:44:49.193000
2024-06-07 18:02:15.259,5856,50,1,10,False,9,car,0 days 00:00:13.828000,0 days 00:44:49.513000
2024-06-07 18:02:15.459,5546,50,1,10,False,9,car,0 days 00:00:14.028000,0 days 00:44:49.713000
2024-06-07 18:02:15.819,5855,50,1,12,False,9,car,0 days 00:00:14.388000,0 days 00:44:50.073000
2024-06-07 18:02:16.019,5825,50,1,12,False,9,car,0 days 00:00:14.588000,0 days 00:44:50.273000
2024-06-07 18:02:16.339,5761,51,1,14,False,9,car,0 days 00:00:14.908000,0 days 00:44:50.593000
2024-06-07 18:02:16.699,5796,51,1,12,False,9,car,0 days 00:00:15.268000,0 days 00:44:50.953000
2024-06-07 18:02:16.859,5796,51,1,12,False,9,car,0 days 00:00:15.428000,0 days 00:44:51.113000
2024-06-07 18:02:17.180,5484,49,1,0,False,9,car,0 days 00:00:15.749000,0 days 00:44:51.434000
2024-06-07 18:02:17.380,5433,48,1,0,False,9,car,0 days 00:00:15.949000,0 days 00:44:51.634000
2024-06-07 18:02:17.540,5326,48,1,0,True,9,car,0 days 00:00:16.109000,0 days 00:44:51.794000
2024-06-07 18:02:17.820,5183,45,1,0,True,9,car,0 days 00:00:16.389000,0 days 00:44:52.074000
