F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-07 18:14:48.742,9147,81,1,18,False,9,car,0 days 00:00:00.123000,0 days 00:57:22.996000
2024-06-07 18:14:49.022,9375,83,1,26,False,9,car,0 days 00:00:00.403000,0 days 00:57:23.276000
2024-06-07 18:14:49.182,9433,84,1,32,False,9,car,0 days 00:00:00.563000,0 days 00:57:23.436000
2024-06-07 18:14:49.342,9773,86,1,35,False,9,car,0 days 00:00:00.723000,0 days 00:57:23.596000
2024-06-07 18:14:49.542,9893,88,1,38,False,9,car,0 days 00:00:00.923000,0 days 00:57:23.796000
2024-06-07 18:14:49.742,9135,90,1,38,False,9,car,0 days 00:00:01.123000,0 days 00:57:23.996000
2024-06-07 18:14:49.942,8213,94,2,39,False,9,car,0 days 00:00:01.323000,0 days 00:57:24.196000
2024-06-07 18:14:50.222,8355,96,2,42,False,9,car,0 days 00:00:01.603000,0 days 00:57:24.476000
2024-06-07 18:14:50.462,8718,102,2,42,False,9,car,0 days 00:00:01.843000,0 days 00:57:24.716000
2024-06-07 18:14:50.662,8732,105,2,41,False,9,car,0 days 00:00:02.043000,0 days 00:57:24.916000
2024-06-07 18:14:50.982,7995,110,3,42,False,9,car,0 days 00:00:02.363000,0 days 00:57:25.236000
2024-06-07 18:14:51.302,8355,116,3,43,False,9,car,0 days 00:00:02.683000,0 days 00:57:25.556000
2024-06-07 18:14:51.462,8494,116,3,43,False,9,car,0 days 00:00:02.843000,0 days 00:57:25.716000
2024-06-07 18:14:51.822,8238,120,3,43,False,9,car,0 days 00:00:03.203000,0 days 00:57:26.076000
2024-06-07 18:14:52.062,7664,124,4,43,False,9,car,0 days 00:00:03.443000,0 days 00:57:26.316000
2024-06-07 18:14:52.342,7940,128,4,43,False,9,car,0 days 00:00:03.723000,0 days 00:57:26.596000
2024-06-07 18:14:52.542,8031,130,4,43,False,9,car,0 days 00:00:03.923000,0 days 00:57:26.796000
2024-06-07 18:14:52.821,8159,133,4,42,False,9,car,0 days 00:00:04.202000,0 days 00:57:27.075000
2024-06-07 18:14:53.021,7991,133,4,10,False,9,car,0 days 00:00:04.402000,0 days 00:57:27.275000
2024-06-07 18:14:53.341,7840,130,4,0,False,9,car,0 days 00:00:04.722000,0 days 00:57:27.595000
2024-06-07 18:14:53.502,8400,128,4,0,True,9,car,0 days 00:00:04.883000,0 days 00:57:27.756000
2024-06-07 18:14:53.662,8915,127,4,0,True,9,car,0 days 00:00:05.043000,0 days 00:57:27.916000
2024-06-07 18:14:53.822,8838,125,3,0,True,9,car,0 days 00:00:05.203000,0 days 00:57:28.076000
2024-06-07 18:14:54.022,8674,122,3,0,True,9,car,0 days 00:00:05.403000,0 days 00:57:28.276000
2024-06-07 18:14:54.302,9844,119,3,0,True,9,car,0 days 00:00:05.683000,0 days 00:57:28.556000
2024-06-07 18:14:54.662,9261,117,2,0,True,9,car,0 days 00:00:06.043000,0 days 00:57:28.916000
