F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-07 18:07:34.381,3914,40,1,0,False,9,car,0 days 00:00:00.013000,0 days 00:50:08.635000
2024-06-07 18:07:34.581,3841,39,1,0,False,9,car,0 days 00:00:00.213000,0 days 00:50:08.835000
2024-06-07 18:07:34.741,4114,38,1,0,False,9,car,0 days 00:00:00.373000,0 days 00:50:08.995000
2024-06-07 18:07:35.061,3660,38,1,0,False,9,car,0 days 00:00:00.693000,0 days 00:50:09.315000
2024-06-07 18:07:35.381,3640,37,1,0,False,9,car,0 days 00:00:01.013000,0 days 00:50:09.635000
2024-06-07 18:07:35.821,3818,36,1,0,False,9,car,0 days 00:00:01.453000,0 days 00:50:10.075000
2024-06-07 18:07:35.980,3904,35,1,1,False,9,car,0 days 00:00:01.612000,0 days 00:50:10.234000
2024-06-07 18:07:36.380,4356,38,1,18,False,9,car,0 days 00:00:02.012000,0 days 00:50:10.634000
2024-06-07 18:07:36.660,5324,47,1,28,False,9,car,0 days 00:00:02.292000,0 days 00:50:10.914000
2024-06-07 18:07:37.060,7380,54,1,36,False,9,car,0 days 00:00:02.692000,0 days 00:50:11.314000
2024-06-07 18:07:37.420,8623,61,1,37,False,9,car,0 days 00:00:03.052000,0 days 00:50:11.674000
2024-06-07 18:07:37.580,8178,66,1,38,False,9,car,0 days 00:00:03.212000,0 days 00:50:11.834000
2024-06-07 18:07:37.740,7727,68,1,39,False,9,car,0 days 00:00:03.372000,0 days 00:50:11.994000
2024-06-07 18:07:38.060,8288,77,1,45,False,9,car,0 days 00:00:03.692000,0 days 00:50:12.314000
2024-06-07 18:07:38.460,8668,79,1,52,False,9,car,0 days 00:00:04.092000,0 days 00:50:12.714000
2024-06-07 18:07:38.700,7128,80,2,50,False,9,car,0 days 00:00:04.332000,0 days 00:50:12.954000
2024-06-07 18:07:38.900,6805,79,2,50,False,9,car,0 days 00:00:04.532000,0 days 00:50:13.154000
2024-06-07 18:07:39.060,6810,79,2,51,False,9,car,0 days 00:00:04.692000,0 days 00:50:13.314000
2024-06-07 18:07:39.260,7361,81,2,51,False,9,car,0 days 00:00:04.892000,0 days 00:50:13.514000
2024-06-07 18:07:39.541,7826,86,2,50,False,9,car,0 days 00:00:05.173000,0 days 00:50:13.795000
2024-06-07 18:07:39.701,8040,91,2,50,False,9,car,0 days 00:00:05.333000,0 days 00:50:13.955000
2024-06-07 18:07:39.941,8746,96,2,51,False,9,car,0 days 00:00:05.573000,0 days 00:50:14.195000
2024-06-07 18:07:40.141,9108,100,2,53,False,9,car,0 days 00:00:05.773000,0 days 00:50:14.395000
2024-06-07 18:07:40.341,9427,105,2,56,False,9,car,0 days 00:00:05.973000,0 days 00:50:14.595000
2024-06-07 18:07:40.501,10013,110,2,58,False,9,car,0 days 00:00:06.133000,0 days 00:50:14.755000
2024-06-07 18:07:40.781,10453,120,2,60,False,9,car,0 days 00:00:06.413000,0 days 00:50:15.035000
2024-06-07 18:07:41.021,9014,121,2,57,False,9,car,0 days 00:00:06.653000,0 days 00:50:15.275000
2024-06-07 18:07:41.381,9337,127,3,57,False,9,car,0 days 00:00:07.013000,0 days 00:50:15.635000
2024-06-07 18:07:41.741,9327,133,3,0,True,9,car,0 days 00:00:07.373000,0 days 00:50:15.995000
2024-06-07 18:07:41.901,9031,130,3,0,True,9,car,0 days 00:00:07.533000,0 days 00:50:16.155000
2024-06-07 18:07:42.061,8767,126,3,0,True,9,car,0 days 00:00:07.693000,0 days 00:50:16.315000
2024-06-07 18:07:42.301,8371,113,3,0,True,9,car,0 days 00:00:07.933000,0 days 00:50:16.555000
2024-06-07 18:07:42.620,7181,107,3,0,True,9,car,0 days 00:00:08.252000,0 days 00:50:16.874000
2024-06-07 18:07:42.820,7500,96,3,0,True,9,car,0 days 00:00:08.452000,0 days 00:50:17.074000
2024-06-07 18:07:43.020,7014,87,2,0,True,9,car,0 days 00:00:08.652000,0 days 00:50:17.274000
2024-06-07 18:07:43.260,7469,79,2,1,False,9,car,0 days 00:00:08.892000,0 days 00:50:17.514000
2024-06-07 18:07:43.620,7479,83,2,35,False,9,car,0 days 00:00:09.252000,0 days 00:50:17.874000
