F1 for AiM
Racer,Sergio Perez
Vehicle,Red Bull Racing
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-07 21:00:05.426,8135,67,1,40,False,8,car,0 days 00:00:00.125000,0 days 00:15:04.103000
2024-06-07 21:00:05.786,10373,76,1,45,False,8,car,0 days 00:00:00.485000,0 days 00:15:04.463000
2024-06-07 21:00:05.986,10170,81,1,37,False,8,car,0 days 00:00:00.685000,0 days 00:15:04.663000
2024-06-07 21:00:06.186,9974,86,1,55,False,8,car,0 days 00:00:00.885000,0 days 00:15:04.863000
2024-06-07 21:00:06.505,11811,96,1,81,False,8,car,0 days 00:00:01.204000,0 days 00:15:05.182000
2024-06-07 21:00:06.665,11402,102,1,51,False,8,car,0 days 00:00:01.364000,0 days 00:15:05.342000
2024-06-07 21:00:06.905,11470,105,1,59,False,8,car,0 days 00:00:01.604000,0 days 00:15:05.582000
2024-06-07 21:00:07.145,10749,107,1,79,False,8,car,0 days 00:00:01.844000,0 days 00:15:05.822000
2024-06-07 21:00:07.465,11770,126,2,72,False,8,car,0 days 00:00:02.164000,0 days 00:15:06.142000
2024-06-07 21:00:07.746,10677,131,2,80,False,8,car,0 days 00:00:02.445000,0 days 00:15:06.423000
2024-06-07 21:00:07.906,9700,134,2,76,False,8,car,0 days 00:00:02.605000,0 days 00:15:06.583000
2024-06-07 21:00:08.066,10331,141,3,72,False,8,car,0 days 00:00:02.765000,0 days 00:15:06.743000
2024-06-07 21:00:08.266,10824,147,3,82,False,8,car,0 days 00:00:02.965000,0 days 00:15:06.943000
2024-06-07 21:00:08.466,11400,155,3,100,False,8,car,0 days 00:00:03.165000,0 days 00:15:07.143000
2024-06-07 21:00:08.746,11837,163,3,100,False,8,car,0 days 00:00:03.445000,0 days 00:15:07.423000
2024-06-07 21:00:09.026,10717,171,3,100,False,8,car,0 days 00:00:03.725000,0 days 00:15:07.703000
2024-06-07 21:00:09.186,10375,178,4,16,True,8,car,0 days 00:00:03.885000,0 days 00:15:07.863000
2024-06-07 21:00:09.386,10082,175,4,0,True,8,car,0 days 00:00:04.085000,0 days 00:15:08.063000
2024-06-07 21:00:09.826,9339,160,4,0,True,8,car,0 days 00:00:04.525000,0 days 00:15:08.503000
2024-06-07 21:00:10.186,8640,144,4,0,True,8,car,0 days 00:00:04.885000,0 days 00:15:08.863000
2024-06-07 21:00:10.346,8045,144,4,0,True,8,car,0 days 00:00:05.045000,0 days 00:15:09.023000
2024-06-07 21:00:10.626,8221,130,4,0,True,8,car,0 days 00:00:05.325000,0 days 00:15:09.303000
2024-06-07 21:00:10.866,9221,123,3,0,True,8,car,0 days 00:00:05.565000,0 days 00:15:09.543000
2024-06-07 21:00:11.186,8339,118,3,0,True,8,car,0 days 00:00:05.885000,0 days 00:15:09.863000
2024-06-07 21:00:11.466,7951,113,3,0,True,8,car,0 days 00:00:06.165000,0 days 00:15:10.143000
2024-06-07 21:00:11.666,7704,111,3,0,True,8,car,0 days 00:00:06.365000,0 days 00:15:10.343000
2024-06-07 21:00:11.866,7269,103,3,0,True,8,car,0 days 00:00:06.565000,0 days 00:15:10.543000
2024-06-07 21:00:12.186,6779,97,3,0,True,8,car,0 days 00:00:06.885000,0 days 00:15:10.863000
2024-06-07 21:00:12.386,7033,95,3,0,True,8,car,0 days 00:00:07.085000,0 days 00:15:11.063000
2024-06-07 21:00:12.546,7873,92,3,0,True,8,car,0 days 00:00:07.245000,0 days 00:15:11.223000
2024-06-07 21:00:12.906,7457,84,2,0,False,8,car,0 days 00:00:07.605000,0 days 00:15:11.583000
2024-06-07 21:00:13.305,7213,80,2,4,False,8,car,0 days 00:00:08.004000,0 days 00:15:11.982000
2024-06-07 21:00:13.545,6647,80,2,2,True,8,car,0 days 00:00:08.244000,0 days 00:15:12.222000
2024-06-07 21:00:13.745,6832,78,2,2,False,8,car,0 days 00:00:08.444000,0 days 00:15:12.422000
2024-06-07 21:00:14.065,6700,78,2,5,False,8,car,0 days 00:00:08.764000,0 days 00:15:12.742000
2024-06-07 21:00:14.306,6587,76,2,0,True,8,car,0 days 00:00:09.005000,0 days 00:15:12.983000
2024-06-07 21:00:14.546,6332,75,2,0,False,8,car,0 days 00:00:09.245000,0 days 00:15:13.223000
2024-06-07 21:00:14.746,6156,71,2,0,False,8,car,0 days 00:00:09.445000,0 days 00:15:13.423000
2024-06-07 21:00:14.946,6126,70,2,2,False,8,car,0 days 00:00:09.645000,0 days 00:15:13.623000
2024-06-07 21:00:15.146,5848,68,2,0,False,8,car,0 days 00:00:09.845000,0 days 00:15:13.823000
2024-06-07 21:00:15.386,5581,65,2,2,False,8,car,0 days 00:00:10.085000,0 days 00:15:14.063000
2024-06-07 21:00:15.546,5616,65,2,3,False,8,car,0 days 00:00:10.245000,0 days 00:15:14.223000
2024-06-07 21:00:15.906,5875,64,2,7,False,8,car,0 days 00:00:10.605000,0 days 00:15:14.583000
2024-06-07 21:00:16.066,6060,66,2,7,False,8,car,0 days 00:00:10.765000,0 days 00:15:14.743000
