F1 for AiM
Racer,Lewis Hamilton
Vehicle,Mercedes
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-08 16:30:22.032,6893,59,1,25,False,8,car,0 days 00:00:00.154000,0 days 00:15:21.324000
2024-06-08 16:30:22.312,7247,59,1,29,False,8,car,0 days 00:00:00.434000,0 days 00:15:21.604000
2024-06-08 16:30:22.632,7247,59,1,29,False,8,car,0 days 00:00:00.754000,0 days 00:15:21.924000
2024-06-08 16:30:22.912,7247,59,1,29,False,8,car,0 days 00:00:01.034000,0 days 00:15:22.204000
2024-06-08 16:30:23.232,8367,91,1,53,False,8,car,0 days 00:00:01.354000,0 days 00:15:22.524000
2024-06-08 16:30:23.512,10327,99,1,60,False,8,car,0 days 00:00:01.634000,0 days 00:15:22.804000
2024-06-08 16:30:23.872,10993,109,2,62,False,8,car,0 days 00:00:01.994000,0 days 00:15:23.164000
2024-06-08 16:30:24.072,11143,116,2,61,False,8,car,0 days 00:00:02.194000,0 days 00:15:23.364000
2024-06-08 16:30:24.391,11267,119,2,68,False,8,car,0 days 00:00:02.513000,0 days 00:15:23.683000
2024-06-08 16:30:24.631,11553,136,2,76,False,8,car,0 days 00:00:02.753000,0 days 00:15:23.923000
2024-06-08 16:30:24.871,10595,138,3,79,False,8,car,0 days 00:00:02.993000,0 days 00:15:24.163000
2024-06-08 16:30:25.191,10736,149,3,28,True,8,car,0 days 00:00:03.313000,0 days 00:15:24.483000
2024-06-08 16:30:25.471,10173,143,3,0,True,8,car,0 days 00:00:03.593000,0 days 00:15:24.763000
2024-06-08 16:30:25.711,9859,139,3,0,True,8,car,0 days 00:00:03.833000,0 days 00:15:25.003000
2024-06-08 16:30:26.031,9375,130,3,0,True,8,car,0 days 00:00:04.153000,0 days 00:15:25.323000
2024-06-08 16:30:26.311,9175,126,3,7,False,8,car,0 days 00:00:04.433000,0 days 00:15:25.603000
2024-06-08 16:30:26.551,9134,126,3,23,False,8,car,0 days 00:00:04.673000,0 days 00:15:25.843000
2024-06-08 16:30:26.871,9129,126,3,34,False,8,car,0 days 00:00:04.993000,0 days 00:15:26.163000
2024-06-08 16:30:27.151,8650,127,3,7,True,8,car,0 days 00:00:05.273000,0 days 00:15:26.443000
2024-06-08 16:30:27.352,8775,123,3,0,True,8,car,0 days 00:00:05.474000,0 days 00:15:26.644000
2024-06-08 16:30:27.632,8414,117,3,0,True,8,car,0 days 00:00:05.754000,0 days 00:15:26.924000
2024-06-08 16:30:27.952,8083,114,3,0,False,8,car,0 days 00:00:06.074000,0 days 00:15:27.244000
2024-06-08 16:30:28.192,7891,111,3,0,False,8,car,0 days 00:00:06.314000,0 days 00:15:27.484000
2024-06-08 16:30:28.472,7747,109,3,1,False,8,car,0 days 00:00:06.594000,0 days 00:15:27.764000
2024-06-08 16:30:28.752,7541,107,3,0,True,8,car,0 days 00:00:06.874000,0 days 00:15:28.044000
2024-06-08 16:30:28.952,7290,103,3,0,True,8,car,0 days 00:00:07.074000,0 days 00:15:28.244000
2024-06-08 16:30:29.352,7082,98,3,0,False,8,car,0 days 00:00:07.474000,0 days 00:15:28.644000
2024-06-08 16:30:29.592,6766,96,3,0,True,8,car,0 days 00:00:07.714000,0 days 00:15:28.884000
2024-06-08 16:30:29.792,6630,91,3,0,True,8,car,0 days 00:00:07.914000,0 days 00:15:29.084000
2024-06-08 16:30:30.152,6401,89,3,0,True,8,car,0 days 00:00:08.274000,0 days 00:15:29.444000
2024-06-08 16:30:30.312,6519,86,3,0,True,8,car,0 days 00:00:08.434000,0 days 00:15:29.604000
2024-06-08 16:30:30.512,7037,83,3,0,True,8,car,0 days 00:00:08.634000,0 days 00:15:29.804000
2024-06-08 16:30:30.792,6641,80,2,0,False,8,car,0 days 00:00:08.914000,0 days 00:15:30.084000
2024-06-08 16:30:31.151,6473,77,2,7,False,8,car,0 days 00:00:09.273000,0 days 00:15:30.443000
2024-06-08 16:30:31.471,6143,76,2,5,True,8,car,0 days 00:00:09.593000,0 days 00:15:30.763000
2024-06-08 16:30:31.791,6223,74,2,2,True,8,car,0 days 00:00:09.913000,0 days 00:15:31.083000
2024-06-08 16:30:32.831,6310,69,2,16,False,8,car,0 days 00:00:10.953000,0 days 00:15:32.123000
2024-06-08 16:30:33.031,6298,71,2,21,False,8,car,0 days 00:00:11.153000,0 days 00:15:32.323000
2024-06-08 16:30:33.271,6319,72,2,20,False,8,car,0 days 00:00:11.393000,0 days 00:15:32.563000
2024-06-08 16:30:33.471,6646,74,2,25,False,8,car,0 days 00:00:11.593000,0 days 00:15:32.763000
2024-06-08 16:30:33.631,6699,77,2,29,False,8,car,0 days 00:00:11.753000,0 days 00:15:32.923000
2024-06-08 16:30:33.832,7171,78,2,35,False,8,car,0 days 00:00:11.954000,0 days 00:15:33.124000
2024-06-08 16:30:33.992,7560,82,2,35,False,8,car,0 days 00:00:12.114000,0 days 00:15:33.284000
2024-06-08 16:30:34.232,7807,87,2,41,False,8,car,0 days 00:00:12.354000,0 days 00:15:33.524000
2024-06-08 16:30:34.472,8279,90,2,48,False,8,car,0 days 00:00:12.594000,0 days 00:15:33.764000
2024-06-08 16:30:34.632,8933,95,2,52,False,8,car,0 days 00:00:12.754000,0 days 00:15:33.924000
2024-06-08 16:30:34.912,9475,105,2,56,False,8,car,0 days 00:00:13.034000,0 days 00:15:34.204000
2024-06-08 16:30:35.272,10332,110,2,60,False,8,car,0 days 00:00:13.394000,0 days 00:15:34.564000
2024-06-08 16:30:35.472,10585,119,2,59,False,8,car,0 days 00:00:13.594000,0 days 00:15:34.764000
2024-06-08 16:30:35.872,11385,132,2,73,False,8,car,0 days 00:00:13.994000,0 days 00:15:35.164000
2024-06-08 16:30:36.152,10517,142,3,75,False,8,car,0 days 00:00:14.274000,0 days 00:15:35.444000
2024-06-08 16:30:36.392,11240,149,3,80,False,8,car,0 days 00:00:14.514000,0 days 00:15:35.684000
2024-06-08 16:30:36.592,11602,156,3,88,False,8,car,0 days 00:00:14.714000,0 days 00:15:35.884000
