F1 for AiM
Racer,Max Verstappen
Vehicle,Red Bull Racing
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-08 16:30:02.512,4437,38,1,16,False,8,car,0 days 00:00:00.064000,0 days 00:15:01.804000
2024-06-08 16:30:02.872,5183,45,1,18,False,8,car,0 days 00:00:00.424000,0 days 00:15:02.164000
2024-06-08 16:30:03.032,5892,49,1,22,False,8,car,0 days 00:00:00.584000,0 days 00:15:02.324000
2024-06-08 16:30:03.192,6277,52,1,23,False,8,car,0 days 00:00:00.744000,0 days 00:15:02.484000
2024-06-08 16:30:03.432,7101,59,1,29,False,8,car,0 days 00:00:00.984000,0 days 00:15:02.724000
2024-06-08 16:30:03.832,7762,70,1,42,False,8,car,0 days 00:00:01.384000,0 days 00:15:03.124000
2024-06-08 16:30:04.112,8662,77,1,53,False,8,car,0 days 00:00:01.664000,0 days 00:15:03.404000
2024-06-08 16:30:04.351,7974,79,1,50,False,8,car,0 days 00:00:01.903000,0 days 00:15:03.643000
2024-06-08 16:30:04.671,6821,79,2,46,False,8,car,0 days 00:00:02.223000,0 days 00:15:03.963000
2024-06-08 16:30:04.831,6899,79,2,38,False,8,car,0 days 00:00:02.383000,0 days 00:15:04.123000
2024-06-08 16:30:05.031,7452,80,2,30,False,8,car,0 days 00:00:02.583000,0 days 00:15:04.323000
2024-06-08 16:30:05.191,7624,82,2,30,False,8,car,0 days 00:00:02.743000,0 days 00:15:04.483000
2024-06-08 16:30:05.511,8346,90,2,51,False,8,car,0 days 00:00:03.063000,0 days 00:15:04.803000
2024-06-08 16:30:05.871,9307,103,2,62,False,8,car,0 days 00:00:03.423000,0 days 00:15:05.163000
2024-06-08 16:30:06.031,9963,110,2,67,False,8,car,0 days 00:00:03.583000,0 days 00:15:05.323000
2024-06-08 16:30:06.311,10578,121,2,69,False,8,car,0 days 00:00:03.863000,0 days 00:15:05.603000
2024-06-08 16:30:06.671,9997,128,2,80,False,8,car,0 days 00:00:04.223000,0 days 00:15:05.963000
2024-06-08 16:30:06.911,10169,139,3,85,False,8,car,0 days 00:00:04.463000,0 days 00:15:06.203000
2024-06-08 16:30:07.311,11222,154,3,91,False,8,car,0 days 00:00:04.863000,0 days 00:15:06.603000
2024-06-08 16:30:07.552,11614,161,3,88,False,8,car,0 days 00:00:05.104000,0 days 00:15:06.844000
2024-06-08 16:30:07.752,11890,165,3,85,False,8,car,0 days 00:00:05.304000,0 days 00:15:07.044000
2024-06-08 16:30:07.992,10429,170,4,91,False,8,car,0 days 00:00:05.544000,0 days 00:15:07.284000
2024-06-08 16:30:08.232,10751,179,4,94,False,8,car,0 days 00:00:05.784000,0 days 00:15:07.524000
2024-06-08 16:30:08.592,10215,179,4,0,True,8,car,0 days 00:00:06.144000,0 days 00:15:07.884000
2024-06-08 16:30:08.752,9863,169,4,0,True,8,car,0 days 00:00:06.304000,0 days 00:15:08.044000
2024-06-08 16:30:08.952,9758,160,4,0,True,8,car,0 days 00:00:06.504000,0 days 00:15:08.244000
2024-06-08 16:30:09.152,9058,156,4,0,True,8,car,0 days 00:00:06.704000,0 days 00:15:08.444000
2024-06-08 16:30:09.352,8265,156,4,0,True,8,car,0 days 00:00:06.904000,0 days 00:15:08.644000
2024-06-08 16:30:09.552,8038,156,4,0,True,8,car,0 days 00:00:07.104000,0 days 00:15:08.844000
2024-06-08 16:30:09.712,9087,126,3,0,True,8,car,0 days 00:00:07.264000,0 days 00:15:09.004000
2024-06-08 16:30:09.912,9507,118,3,0,True,8,car,0 days 00:00:07.464000,0 days 00:15:09.204000
2024-06-08 16:30:10.072,9995,115,2,0,True,8,car,0 days 00:00:07.624000,0 days 00:15:09.364000
2024-06-08 16:30:10.272,9244,108,2,0,True,8,car,0 days 00:00:07.824000,0 days 00:15:09.564000
