F1 for AiM
Racer,Nico Hulkenberg
Vehicle,Haas F1 Team
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-08 20:02:30.567,3809,32,1,0,False,8,car,0 days 00:00:00.003000,0 days 00:16:21.654000
2024-06-08 20:02:30.767,3770,32,1,0,False,8,car,0 days 00:00:00.203000,0 days 00:16:21.854000
2024-06-08 20:02:31.086,3715,32,1,0,False,8,car,0 days 00:00:00.522000,0 days 00:16:22.173000
2024-06-08 20:02:31.326,3681,32,1,0,False,8,car,0 days 00:00:00.762000,0 days 00:16:22.413000
2024-06-08 20:02:31.726,3703,32,1,0,False,8,car,0 days 00:00:01.162000,0 days 00:16:22.813000
2024-06-08 20:02:32.046,3687,32,1,2,False,8,car,0 days 00:00:01.482000,0 days 00:16:23.133000
2024-06-08 20:02:32.206,3687,32,1,2,False,8,car,0 days 00:00:01.642000,0 days 00:16:23.293000
2024-06-08 20:02:32.526,3618,32,1,0,False,8,car,0 days 00:00:01.962000,0 days 00:16:23.613000
2024-06-08 20:02:32.926,3621,32,1,5,False,8,car,0 days 00:00:02.362000,0 days 00:16:24.013000
2024-06-08 20:02:33.086,3599,32,1,5,False,8,car,0 days 00:00:02.522000,0 days 00:16:24.173000
2024-06-08 20:02:33.446,3807,32,1,7,False,8,car,0 days 00:00:02.882000,0 days 00:16:24.533000
2024-06-08 20:02:33.646,3744,33,1,7,False,8,car,0 days 00:00:03.082000,0 days 00:16:24.733000
2024-06-08 20:02:33.926,3892,34,1,7,False,8,car,0 days 00:00:03.362000,0 days 00:16:25.013000
2024-06-08 20:02:34.126,4174,35,1,9,False,8,car,0 days 00:00:03.562000,0 days 00:16:25.213000
2024-06-08 20:02:34.406,4457,36,1,10,False,8,car,0 days 00:00:03.842000,0 days 00:16:25.493000
2024-06-08 20:02:34.606,4404,38,1,10,False,8,car,0 days 00:00:04.042000,0 days 00:16:25.693000
2024-06-08 20:02:34.766,4478,39,1,8,False,8,car,0 days 00:00:04.202000,0 days 00:16:25.853000
2024-06-08 20:02:35.046,4727,40,1,8,False,8,car,0 days 00:00:04.482000,0 days 00:16:26.133000
2024-06-08 20:02:35.406,4272,40,1,0,False,8,car,0 days 00:00:04.842000,0 days 00:16:26.493000
2024-06-08 20:02:35.646,4273,39,1,2,False,8,car,0 days 00:00:05.082000,0 days 00:16:26.733000
2024-06-08 20:02:36.086,4090,37,1,8,False,8,car,0 days 00:00:05.522000,0 days 00:16:27.173000
2024-06-08 20:02:36.446,4552,37,1,11,False,8,car,0 days 00:00:05.882000,0 days 00:16:27.533000
2024-06-08 20:02:36.646,4775,40,1,12,False,8,car,0 days 00:00:06.082000,0 days 00:16:27.733000
2024-06-08 20:02:37.087,5335,46,1,16,False,8,car,0 days 00:00:06.523000,0 days 00:16:28.174000
2024-06-08 20:02:37.327,5135,48,1,15,False,8,car,0 days 00:00:06.763000,0 days 00:16:28.414000
2024-06-08 20:02:37.527,5987,51,1,17,False,8,car,0 days 00:00:06.963000,0 days 00:16:28.614000
2024-06-08 20:02:37.806,6770,53,1,21,False,8,car,0 days 00:00:07.242000,0 days 00:16:28.893000
2024-06-08 20:02:37.966,7008,61,1,21,False,8,car,0 days 00:00:07.402000,0 days 00:16:29.053000
2024-06-08 20:02:38.206,7455,64,1,19,False,8,car,0 days 00:00:07.642000,0 days 00:16:29.293000
2024-06-08 20:02:38.446,7718,67,1,19,False,8,car,0 days 00:00:07.882000,0 days 00:16:29.533000
