F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Circuit Gilles Villeneuve
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-08 20:00:04.285,4078,33,1,8,False,8,car,0 days 00:00:00.218000,0 days 00:13:55.372000
2024-06-08 20:00:04.445,4415,36,1,7,False,8,car,0 days 00:00:00.378000,0 days 00:13:55.532000
2024-06-08 20:00:04.765,4861,40,1,5,False,8,car,0 days 00:00:00.698000,0 days 00:13:55.852000
2024-06-08 20:00:05.045,4872,44,1,3,False,8,car,0 days 00:00:00.978000,0 days 00:13:56.132000
2024-06-08 20:00:05.365,5245,46,1,4,False,8,car,0 days 00:00:01.298000,0 days 00:13:56.452000
2024-06-08 20:00:05.725,5760,48,1,10,False,8,car,0 days 00:00:01.658000,0 days 00:13:56.812000
2024-06-08 20:00:06.086,6262,54,1,11,False,8,car,0 days 00:00:02.019000,0 days 00:13:57.173000
2024-06-08 20:00:06.286,6549,56,1,15,False,8,car,0 days 00:00:02.219000,0 days 00:13:57.373000
2024-06-08 20:00:06.486,6869,59,1,18,False,8,car,0 days 00:00:02.419000,0 days 00:13:57.573000
2024-06-08 20:00:06.846,7323,62,1,23,False,8,car,0 days 00:00:02.779000,0 days 00:13:57.933000
2024-06-08 20:00:07.286,8216,70,1,34,False,8,car,0 days 00:00:03.219000,0 days 00:13:58.373000
2024-06-08 20:00:07.446,8361,71,1,37,False,8,car,0 days 00:00:03.379000,0 days 00:13:58.533000
2024-06-08 20:00:07.686,9138,76,1,39,False,8,car,0 days 00:00:03.619000,0 days 00:13:58.773000
2024-06-08 20:00:07.966,9486,82,1,37,False,8,car,0 days 00:00:03.899000,0 days 00:13:59.053000
2024-06-08 20:00:08.286,7664,85,2,39,False,8,car,0 days 00:00:04.219000,0 days 00:13:59.373000
2024-06-08 20:00:08.446,7664,89,2,39,False,8,car,0 days 00:00:04.379000,0 days 00:13:59.533000
2024-06-08 20:00:08.766,8690,98,2,48,False,8,car,0 days 00:00:04.699000,0 days 00:13:59.853000
2024-06-08 20:00:09.006,8942,103,2,49,False,8,car,0 days 00:00:04.939000,0 days 00:14:00.093000
2024-06-08 20:00:09.246,9156,108,2,50,False,8,car,0 days 00:00:05.179000,0 days 00:14:00.333000
2024-06-08 20:00:09.486,8565,114,2,50,False,8,car,0 days 00:00:05.419000,0 days 00:14:00.573000
2024-06-08 20:00:09.765,8983,120,3,53,False,8,car,0 days 00:00:05.698000,0 days 00:14:00.852000
2024-06-08 20:00:10.005,9310,125,3,56,False,8,car,0 days 00:00:05.938000,0 days 00:14:01.092000
2024-06-08 20:00:10.205,9661,130,3,59,False,8,car,0 days 00:00:06.138000,0 days 00:14:01.292000
2024-06-08 20:00:10.565,8921,137,3,57,False,8,car,0 days 00:00:06.498000,0 days 00:14:01.652000
2024-06-08 20:00:10.885,8690,139,4,0,True,8,car,0 days 00:00:06.818000,0 days 00:14:01.972000
2024-06-08 20:00:11.165,8445,136,4,0,True,8,car,0 days 00:00:07.098000,0 days 00:14:02.252000
2024-06-08 20:00:11.485,7816,129,4,0,True,8,car,0 days 00:00:07.418000,0 days 00:14:02.572000
2024-06-08 20:00:11.725,7743,126,4,0,True,8,car,0 days 00:00:07.658000,0 days 00:14:02.812000
2024-06-08 20:00:11.885,8303,121,4,0,True,8,car,0 days 00:00:07.818000,0 days 00:14:02.972000
2024-06-08 20:00:12.045,8628,120,4,0,True,8,car,0 days 00:00:07.978000,0 days 00:14:03.132000
2024-06-08 20:00:12.285,8280,120,3,0,True,8,car,0 days 00:00:08.218000,0 days 00:14:03.372000
2024-06-08 20:00:12.566,7966,109,3,0,True,8,car,0 days 00:00:08.499000,0 days 00:14:03.653000
2024-06-08 20:00:12.886,7595,104,3,0,True,8,car,0 days 00:00:08.819000,0 days 00:14:03.973000
2024-06-08 20:00:13.086,7677,100,3,0,True,8,car,0 days 00:00:09.019000,0 days 00:14:04.173000
2024-06-08 20:00:13.326,8297,97,2,0,True,8,car,0 days 00:00:09.259000,0 days 00:14:04.413000
2024-06-08 20:00:13.486,8104,92,2,0,True,8,car,0 days 00:00:09.419000,0 days 00:14:04.573000
2024-06-08 20:00:13.806,7545,87,2,0,True,8,car,0 days 00:00:09.739000,0 days 00:14:04.893000
2024-06-08 20:00:14.086,7081,83,2,0,True,8,car,0 days 00:00:10.019000,0 days 00:14:05.173000
2024-06-08 20:00:14.366,6766,79,2,0,True,8,car,0 days 00:00:10.299000,0 days 00:14:05.453000
2024-06-08 20:00:14.526,6772,77,2,0,True,8,car,0 days 00:00:10.459000,0 days 00:14:05.613000
2024-06-08 20:00:14.766,6382,74,2,0,True,8,car,0 days 00:00:10.699000,0 days 00:14:05.853000
2024-06-08 20:00:15.006,6147,73,2,0,True,8,car,0 days 00:00:10.939000,0 days 00:14:06.093000
2024-06-08 20:00:15.366,6119,70,2,3,False,8,car,0 days 00:00:11.299000,0 days 00:14:06.453000
2024-06-08 20:00:15.606,6207,69,2,3,False,8,car,0 days 00:00:11.539000,0 days 00:14:06.693000
2024-06-08 20:00:15.806,5904,70,2,3,False,8,car,0 days 00:00:11.739000,0 days 00:14:06.893000
2024-06-08 20:00:16.006,5959,69,2,7,False,8,car,0 days 00:00:11.939000,0 days 00:14:07.093000
2024-06-08 20:00:16.445,6091,72,2,4,False,8,car,0 days 00:00:12.378000,0 days 00:14:07.532000
2024-06-08 20:00:16.805,6182,70,2,0,False,8,car,0 days 00:00:12.738000,0 days 00:14:07.892000
2024-06-08 20:00:17.325,5776,67,2,2,False,8,car,0 days 00:00:13.258000,0 days 00:14:08.412000
2024-06-08 20:00:17.565,5971,66,2,9,False,8,car,0 days 00:00:13.498000,0 days 00:14:08.652000
2024-06-08 20:00:17.885,5757,67,2,7,False,8,car,0 days 00:00:13.818000,0 days 00:14:08.972000
2024-06-08 20:00:18.245,6474,69,2,23,False,8,car,0 days 00:00:14.178000,0 days 00:14:09.332000
2024-06-08 20:00:18.405,6418,71,2,21,False,8,car,0 days 00:00:14.338000,0 days 00:14:09.492000
2024-06-08 20:00:18.645,6592,73,2,22,False,8,car,0 days 00:00:14.578000,0 days 00:14:09.732000
2024-06-08 20:00:18.845,7096,77,2,30,False,8,car,0 days 00:00:14.778000,0 days 00:14:09.932000
2024-06-08 20:00:19.046,7264,81,2,36,False,8,car,0 days 00:00:14.979000,0 days 00:14:10.133000
2024-06-08 20:00:19.246,7742,85,2,40,False,8,car,0 days 00:00:15.179000,0 days 00:14:10.333000
2024-06-08 20:00:19.406,8082,89,2,40,False,8,car,0 days 00:00:15.339000,0 days 00:14:10.493000
2024-06-08 20:00:19.766,8582,97,2,44,False,8,car,0 days 00:00:15.699000,0 days 00:14:10.853000
2024-06-08 20:00:19.926,8968,97,2,47,False,8,car,0 days 00:00:15.859000,0 days 00:14:11.013000
2024-06-08 20:00:20.086,9033,97,2,46,False,8,car,0 days 00:00:16.019000,0 days 00:14:11.173000
2024-06-08 20:00:20.406,8171,109,2,45,False,8,car,0 days 00:00:16.339000,0 days 00:14:11.493000
2024-06-08 20:00:20.606,8260,112,3,45,False,8,car,0 days 00:00:16.539000,0 days 00:14:11.693000
2024-06-08 20:00:20.806,8804,117,3,57,False,8,car,0 days 00:00:16.739000,0 days 00:14:11.893000
2024-06-08 20:00:20.966,9097,122,3,59,False,8,car,0 days 00:00:16.899000,0 days 00:14:12.053000
2024-06-08 20:00:21.126,9437,124,3,64,False,8,car,0 days 00:00:17.059000,0 days 00:14:12.213000
2024-06-08 20:00:21.366,10188,133,3,64,False,8,car,0 days 00:00:17.299000,0 days 00:14:12.453000
2024-06-08 20:00:21.526,9488,136,3,59,False,8,car,0 days 00:00:17.459000,0 days 00:14:12.613000
2024-06-08 20:00:21.806,9017,142,4,64,False,8,car,0 days 00:00:17.739000,0 days 00:14:12.893000
2024-06-08 20:00:22.046,9363,145,4,67,False,8,car,0 days 00:00:17.979000,0 days 00:14:13.133000
2024-06-08 20:00:22.446,10086,155,4,73,False,8,car,0 days 00:00:18.379000,0 days 00:14:13.533000
2024-06-08 20:00:22.606,10349,163,4,76,False,8,car,0 days 00:00:18.539000,0 days 00:14:13.693000
2024-06-08 20:00:23.046,9715,173,5,71,False,8,car,0 days 00:00:18.979000,0 days 00:14:14.133000
2024-06-08 20:00:23.245,9633,177,5,80,False,8,car,0 days 00:00:19.178000,0 days 00:14:14.332000
