F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 03:34:33.238,7057,81,2,18,False,8,car,0 days 00:00:00.197000,0 days 00:19:31.779000
2024-04-19 03:34:33.478,7400,84,2,19,False,8,car,0 days 00:00:00.437000,0 days 00:19:32.019000
2024-04-19 03:34:33.758,7509,87,2,21,False,8,car,0 days 00:00:00.717000,0 days 00:19:32.299000
2024-04-19 03:34:33.958,7743,90,2,25,False,8,car,0 days 00:00:00.917000,0 days 00:19:32.499000
2024-04-19 03:34:34.198,8136,93,2,29,False,8,car,0 days 00:00:01.157000,0 days 00:19:32.739000
2024-04-19 03:34:34.358,8277,96,2,30,False,8,car,0 days 00:00:01.317000,0 days 00:19:32.899000
2024-04-19 03:34:34.678,8919,101,2,34,False,8,car,0 days 00:00:01.637000,0 days 00:19:33.219000
2024-04-19 03:34:34.918,9341,104,2,36,False,8,car,0 days 00:00:01.877000,0 days 00:19:33.459000
2024-04-19 03:34:35.078,9479,107,2,36,False,8,car,0 days 00:00:02.037000,0 days 00:19:33.619000
2024-04-19 03:34:35.558,10109,115,2,39,False,8,car,0 days 00:00:02.517000,0 days 00:19:34.099000
2024-04-19 03:34:35.838,10635,122,2,43,False,8,car,0 days 00:00:02.797000,0 days 00:19:34.379000
2024-04-19 03:34:36.038,10807,125,2,45,False,8,car,0 days 00:00:02.997000,0 days 00:19:34.579000
2024-04-19 03:34:36.237,9814,129,2,46,False,8,car,0 days 00:00:03.196000,0 days 00:19:34.778000
2024-04-19 03:34:36.557,10018,136,3,51,False,8,car,0 days 00:00:03.516000,0 days 00:19:35.098000
2024-04-19 03:34:36.797,10373,141,3,54,False,8,car,0 days 00:00:03.756000,0 days 00:19:35.338000
2024-04-19 03:34:36.957,10783,143,3,57,False,8,car,0 days 00:00:03.916000,0 days 00:19:35.498000
2024-04-19 03:34:37.117,11104,148,3,58,False,8,car,0 days 00:00:04.076000,0 days 00:19:35.658000
2024-04-19 03:34:37.357,9731,155,3,59,False,8,car,0 days 00:00:04.316000,0 days 00:19:35.898000
2024-04-19 03:34:37.597,10225,160,3,49,False,8,car,0 days 00:00:04.556000,0 days 00:19:36.138000
2024-04-19 03:34:37.837,9722,163,4,10,True,8,car,0 days 00:00:04.796000,0 days 00:19:36.378000
2024-04-19 03:34:38.157,9774,159,4,5,False,8,car,0 days 00:00:05.116000,0 days 00:19:36.698000
2024-04-19 03:34:38.437,9750,156,4,21,False,8,car,0 days 00:00:05.396000,0 days 00:19:36.978000
2024-04-19 03:34:38.717,9658,156,4,24,False,8,car,0 days 00:00:05.676000,0 days 00:19:37.258000
2024-04-19 03:34:38.998,9397,154,4,15,False,8,car,0 days 00:00:05.957000,0 days 00:19:37.539000
2024-04-19 03:34:39.278,9260,151,4,15,False,8,car,0 days 00:00:06.237000,0 days 00:19:37.819000
2024-04-19 03:34:39.478,9027,149,4,12,False,8,car,0 days 00:00:06.437000,0 days 00:19:38.019000
2024-04-19 03:34:39.758,9091,145,4,0,False,8,car,0 days 00:00:06.717000,0 days 00:19:38.299000
2024-04-19 03:34:40.038,8632,140,4,0,True,8,car,0 days 00:00:06.997000,0 days 00:19:38.579000
2024-04-19 03:34:40.198,8479,139,4,0,True,8,car,0 days 00:00:07.157000,0 days 00:19:38.739000
2024-04-19 03:34:40.398,9295,136,4,0,False,8,car,0 days 00:00:07.357000,0 days 00:19:38.939000
2024-04-19 03:34:40.558,9628,133,4,0,False,8,car,0 days 00:00:07.517000,0 days 00:19:39.099000
2024-04-19 03:34:40.918,9375,131,3,0,False,8,car,0 days 00:00:07.877000,0 days 00:19:39.459000
2024-04-19 03:34:41.198,9165,128,3,1,False,8,car,0 days 00:00:08.157000,0 days 00:19:39.739000
2024-04-19 03:34:41.358,9118,126,3,2,False,8,car,0 days 00:00:08.317000,0 days 00:19:39.899000
2024-04-19 03:34:41.518,8931,126,3,2,False,8,car,0 days 00:00:08.477000,0 days 00:19:40.059000
2024-04-19 03:34:41.798,8737,123,3,0,False,8,car,0 days 00:00:08.757000,0 days 00:19:40.339000
2024-04-19 03:34:41.958,8825,122,3,0,False,8,car,0 days 00:00:08.917000,0 days 00:19:40.499000
2024-04-19 03:34:42.278,8513,119,3,0,False,8,car,0 days 00:00:09.237000,0 days 00:19:40.819000
2024-04-19 03:34:42.598,8255,116,3,0,True,8,car,0 days 00:00:09.557000,0 days 00:19:41.139000
2024-04-19 03:34:42.838,8105,113,3,0,True,8,car,0 days 00:00:09.797000,0 days 00:19:41.379000
2024-04-19 03:34:43.077,7878,111,3,0,True,8,car,0 days 00:00:10.036000,0 days 00:19:41.618000
2024-04-19 03:34:43.357,7684,106,3,0,True,8,car,0 days 00:00:10.316000,0 days 00:19:41.898000
2024-04-19 03:34:43.677,7244,103,3,0,True,8,car,0 days 00:00:10.636000,0 days 00:19:42.218000
2024-04-19 03:34:44.117,6978,98,3,0,True,8,car,0 days 00:00:11.076000,0 days 00:19:42.658000
2024-04-19 03:34:44.517,6618,95,3,0,True,8,car,0 days 00:00:11.476000,0 days 00:19:43.058000
2024-04-19 03:34:44.717,6452,91,3,0,False,8,car,0 days 00:00:11.676000,0 days 00:19:43.258000
2024-04-19 03:34:44.997,6363,89,3,0,False,8,car,0 days 00:00:11.956000,0 days 00:19:43.538000
2024-04-19 03:34:45.317,6165,87,3,0,False,8,car,0 days 00:00:12.276000,0 days 00:19:43.858000
2024-04-19 03:34:45.638,6123,84,3,0,False,8,car,0 days 00:00:12.597000,0 days 00:19:44.179000
2024-04-19 03:34:45.958,5902,82,3,0,False,8,car,0 days 00:00:12.917000,0 days 00:19:44.499000
2024-04-19 03:34:46.118,5769,81,3,0,False,8,car,0 days 00:00:13.077000,0 days 00:19:44.659000
2024-04-19 03:34:46.398,5601,80,3,0,False,8,car,0 days 00:00:13.357000,0 days 00:19:44.939000
2024-04-19 03:34:46.638,5631,78,3,1,False,8,car,0 days 00:00:13.597000,0 days 00:19:45.179000
2024-04-19 03:34:46.878,5579,77,3,1,False,8,car,0 days 00:00:13.837000,0 days 00:19:45.419000
2024-04-19 03:34:47.118,5579,77,3,1,False,8,car,0 days 00:00:14.077000,0 days 00:19:45.659000
2024-04-19 03:34:47.358,5580,77,3,4,False,8,car,0 days 00:00:14.317000,0 days 00:19:45.899000
2024-04-19 03:34:47.558,5619,77,3,5,False,8,car,0 days 00:00:14.517000,0 days 00:19:46.099000
2024-04-19 03:34:47.918,5752,78,3,8,False,8,car,0 days 00:00:14.877000,0 days 00:19:46.459000
2024-04-19 03:34:48.158,5841,79,3,8,False,8,car,0 days 00:00:15.117000,0 days 00:19:46.699000
2024-04-19 03:34:48.518,5931,80,3,10,False,8,car,0 days 00:00:15.477000,0 days 00:19:47.059000
2024-04-19 03:34:48.798,5685,82,3,0,False,8,car,0 days 00:00:15.757000,0 days 00:19:47.339000
2024-04-19 03:34:49.038,5601,80,3,0,True,8,car,0 days 00:00:15.997000,0 days 00:19:47.579000
2024-04-19 03:34:49.238,5485,79,3,0,True,8,car,0 days 00:00:16.197000,0 days 00:19:47.779000
2024-04-19 03:34:49.597,5174,73,3,0,True,8,car,0 days 00:00:16.556000,0 days 00:19:48.138000
2024-04-19 03:34:49.757,5035,71,3,0,True,8,car,0 days 00:00:16.716000,0 days 00:19:48.298000
2024-04-19 03:34:50.037,4859,69,3,0,False,8,car,0 days 00:00:16.996000,0 days 00:19:48.578000
