F1 for AiM
Racer,Logan Sargeant
Vehicle,Williams
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-20 07:00:59.505,3843,19,1,0,False,8,car,0 days 00:00:00.275000,0 days 00:11:55.501000
2024-04-20 07:00:59.745,3869,20,1,0,False,8,car,0 days 00:00:00.515000,0 days 00:11:55.741000
2024-04-20 07:00:59.945,3915,21,1,0,False,8,car,0 days 00:00:00.715000,0 days 00:11:55.941000
2024-04-20 07:01:00.345,4503,22,1,0,False,8,car,0 days 00:00:01.115000,0 days 00:11:56.341000
2024-04-20 07:01:00.505,4353,22,1,0,True,8,car,0 days 00:00:01.275000,0 days 00:11:56.501000
2024-04-20 07:01:00.745,4270,22,1,0,True,8,car,0 days 00:00:01.515000,0 days 00:11:56.741000
2024-04-20 07:01:00.945,4288,20,1,0,True,8,car,0 days 00:00:01.715000,0 days 00:11:56.941000
2024-04-20 07:01:01.105,4270,19,1,0,True,8,car,0 days 00:00:01.875000,0 days 00:11:57.101000
2024-04-20 07:01:01.385,4215,18,1,0,True,8,car,0 days 00:00:02.155000,0 days 00:11:57.381000
2024-04-20 07:01:01.705,4111,17,1,0,False,8,car,0 days 00:00:02.475000,0 days 00:11:57.701000
2024-04-20 07:01:01.865,4113,17,1,0,False,8,car,0 days 00:00:02.635000,0 days 00:11:57.861000
2024-04-20 07:01:02.065,4109,17,1,0,False,8,car,0 days 00:00:02.835000,0 days 00:11:58.061000
2024-04-20 07:01:02.345,4111,17,1,0,False,8,car,0 days 00:00:03.115000,0 days 00:11:58.341000
2024-04-20 07:01:02.664,4130,17,1,0,False,8,car,0 days 00:00:03.434000,0 days 00:11:58.660000
2024-04-20 07:01:02.864,4099,17,1,0,False,8,car,0 days 00:00:03.634000,0 days 00:11:58.860000
2024-04-20 07:01:03.184,4029,16,1,0,False,8,car,0 days 00:00:03.954000,0 days 00:11:59.180000
2024-04-20 07:01:03.384,3878,16,1,0,False,8,car,0 days 00:00:04.154000,0 days 00:11:59.380000
2024-04-20 07:01:03.704,3646,17,1,0,False,8,car,0 days 00:00:04.474000,0 days 00:11:59.700000
2024-04-20 07:01:03.864,3650,17,1,0,False,8,car,0 days 00:00:04.634000,0 days 00:11:59.860000
2024-04-20 07:01:04.064,3705,19,1,0,False,8,car,0 days 00:00:04.834000,0 days 00:12:00.060000
2024-04-20 07:01:04.305,3789,20,1,0,False,8,car,0 days 00:00:05.075000,0 days 00:12:00.301000
2024-04-20 07:01:04.465,3789,22,1,0,False,8,car,0 days 00:00:05.235000,0 days 00:12:00.461000
2024-04-20 07:01:04.785,3730,25,1,0,False,8,car,0 days 00:00:05.555000,0 days 00:12:00.781000
2024-04-20 07:01:05.065,3833,28,1,0,False,8,car,0 days 00:00:05.835000,0 days 00:12:01.061000
2024-04-20 07:01:05.345,3559,31,1,0,False,8,car,0 days 00:00:06.115000,0 days 00:12:01.341000
2024-04-20 07:01:05.505,3853,32,1,0,False,8,car,0 days 00:00:06.275000,0 days 00:12:01.501000
2024-04-20 07:01:05.745,4122,36,1,0,False,8,car,0 days 00:00:06.515000,0 days 00:12:01.741000
2024-04-20 07:01:06.065,4382,38,1,0,False,8,car,0 days 00:00:06.835000,0 days 00:12:02.061000
2024-04-20 07:01:06.265,4553,40,1,0,False,8,car,0 days 00:00:07.035000,0 days 00:12:02.261000
2024-04-20 07:01:06.545,4549,41,1,0,False,8,car,0 days 00:00:07.315000,0 days 00:12:02.541000
2024-04-20 07:01:06.985,4442,41,1,0,False,8,car,0 days 00:00:07.755000,0 days 00:12:02.981000
2024-04-20 07:01:07.305,4416,40,1,0,False,8,car,0 days 00:00:08.075000,0 days 00:12:03.301000
2024-04-20 07:01:07.505,4304,39,1,0,False,8,car,0 days 00:00:08.275000,0 days 00:12:03.501000
2024-04-20 07:01:07.705,4352,39,1,1,False,8,car,0 days 00:00:08.475000,0 days 00:12:03.701000
2024-04-20 07:01:08.025,4253,38,1,3,False,8,car,0 days 00:00:08.795000,0 days 00:12:04.021000
2024-04-20 07:01:08.385,4337,38,1,5,False,8,car,0 days 00:00:09.155000,0 days 00:12:04.381000
2024-04-20 07:01:08.625,4514,39,1,7,False,8,car,0 days 00:00:09.395000,0 days 00:12:04.621000
2024-04-20 07:01:08.785,4428,40,1,8,False,8,car,0 days 00:00:09.555000,0 days 00:12:04.781000
2024-04-20 07:01:08.945,4788,40,1,9,False,8,car,0 days 00:00:09.715000,0 days 00:12:04.941000
2024-04-20 07:01:09.464,5168,46,1,13,False,8,car,0 days 00:00:10.234000,0 days 00:12:05.460000
2024-04-20 07:01:09.624,5541,47,1,14,False,8,car,0 days 00:00:10.394000,0 days 00:12:05.620000
2024-04-20 07:01:09.824,5812,50,1,17,False,8,car,0 days 00:00:10.594000,0 days 00:12:05.820000
2024-04-20 07:01:10.064,6059,54,1,22,False,8,car,0 days 00:00:10.834000,0 days 00:12:06.060000
2024-04-20 07:01:10.224,6547,55,1,24,False,8,car,0 days 00:00:10.994000,0 days 00:12:06.220000
2024-04-20 07:01:10.544,7375,63,1,28,False,8,car,0 days 00:00:11.314000,0 days 00:12:06.540000
2024-04-20 07:01:10.905,8110,71,1,32,False,8,car,0 days 00:00:11.675000,0 days 00:12:06.901000
2024-04-20 07:01:11.065,6990,74,1,35,False,8,car,0 days 00:00:11.835000,0 days 00:12:07.061000
2024-04-20 07:01:11.505,6800,79,2,41,False,8,car,0 days 00:00:12.275000,0 days 00:12:07.501000
2024-04-20 07:01:11.665,6867,79,2,42,False,8,car,0 days 00:00:12.435000,0 days 00:12:07.661000
2024-04-20 07:01:11.985,6820,80,2,43,False,8,car,0 days 00:00:12.755000,0 days 00:12:07.981000
2024-04-20 07:01:12.345,6798,83,2,24,False,8,car,0 days 00:00:13.115000,0 days 00:12:08.341000
2024-04-20 07:01:12.705,7543,86,2,29,False,8,car,0 days 00:00:13.475000,0 days 00:12:08.701000
2024-04-20 07:01:12.905,7963,91,2,32,False,8,car,0 days 00:00:13.675000,0 days 00:12:08.901000
2024-04-20 07:01:13.345,8693,101,2,35,False,8,car,0 days 00:00:14.115000,0 days 00:12:09.341000
2024-04-20 07:01:13.545,9165,105,2,36,False,8,car,0 days 00:00:14.315000,0 days 00:12:09.541000
2024-04-20 07:01:13.905,9621,110,2,34,False,8,car,0 days 00:00:14.675000,0 days 00:12:09.901000
2024-04-20 07:01:14.185,8989,113,2,31,False,8,car,0 days 00:00:14.955000,0 days 00:12:10.181000
2024-04-20 07:01:14.345,8357,116,2,31,False,8,car,0 days 00:00:15.115000,0 days 00:12:10.341000
2024-04-20 07:01:14.785,8593,119,3,31,False,8,car,0 days 00:00:15.555000,0 days 00:12:10.781000
2024-04-20 07:01:15.025,8800,120,3,31,False,8,car,0 days 00:00:15.795000,0 days 00:12:11.021000
2024-04-20 07:01:15.265,8910,121,3,32,False,8,car,0 days 00:00:16.035000,0 days 00:12:11.261000
2024-04-20 07:01:15.505,8937,123,3,32,False,8,car,0 days 00:00:16.275000,0 days 00:12:11.501000
2024-04-20 07:01:15.865,9219,124,3,32,False,8,car,0 days 00:00:16.635000,0 days 00:12:11.861000
2024-04-20 07:01:16.144,9305,128,3,32,False,8,car,0 days 00:00:16.914000,0 days 00:12:12.140000
2024-04-20 07:01:16.424,9484,129,3,31,False,8,car,0 days 00:00:17.194000,0 days 00:12:12.420000
2024-04-20 07:01:16.664,9484,131,3,30,False,8,car,0 days 00:00:17.434000,0 days 00:12:12.660000
2024-04-20 07:01:17.064,9422,129,3,4,False,8,car,0 days 00:00:17.834000,0 days 00:12:13.060000
2024-04-20 07:01:17.304,9152,128,3,0,False,8,car,0 days 00:00:18.074000,0 days 00:12:13.300000
2024-04-20 07:01:17.505,9037,126,3,5,False,8,car,0 days 00:00:18.275000,0 days 00:12:13.501000
2024-04-20 07:01:17.905,9003,124,3,18,False,8,car,0 days 00:00:18.675000,0 days 00:12:13.901000
2024-04-20 07:01:18.065,9002,124,3,20,False,8,car,0 days 00:00:18.835000,0 days 00:12:14.061000
2024-04-20 07:01:18.305,8999,124,3,18,False,8,car,0 days 00:00:19.075000,0 days 00:12:14.301000
2024-04-20 07:01:18.545,8515,122,3,0,False,8,car,0 days 00:00:19.315000,0 days 00:12:14.541000
2024-04-20 07:01:18.865,8471,118,3,0,True,8,car,0 days 00:00:19.635000,0 days 00:12:14.861000
2024-04-20 07:01:19.065,8392,115,3,0,True,8,car,0 days 00:00:19.835000,0 days 00:12:15.061000
2024-04-20 07:01:19.265,8036,115,3,0,True,8,car,0 days 00:00:20.035000,0 days 00:12:15.261000
2024-04-20 07:01:19.425,7964,111,3,0,True,8,car,0 days 00:00:20.195000,0 days 00:12:15.421000
2024-04-20 07:01:19.705,8886,108,3,0,True,8,car,0 days 00:00:20.475000,0 days 00:12:15.701000
2024-04-20 07:01:19.945,8775,104,2,0,True,8,car,0 days 00:00:20.715000,0 days 00:12:15.941000
2024-04-20 07:01:20.225,8403,101,2,0,True,8,car,0 days 00:00:20.995000,0 days 00:12:16.221000
2024-04-20 07:01:20.425,8156,98,2,0,True,8,car,0 days 00:00:21.195000,0 days 00:12:16.421000
2024-04-20 07:01:20.825,7784,93,2,0,False,8,car,0 days 00:00:21.595000,0 days 00:12:16.821000
2024-04-20 07:01:20.985,7740,91,2,0,False,8,car,0 days 00:00:21.755000,0 days 00:12:16.981000
2024-04-20 07:01:21.225,7659,90,2,0,False,8,car,0 days 00:00:21.995000,0 days 00:12:17.221000
2024-04-20 07:01:21.385,7538,89,2,0,False,8,car,0 days 00:00:22.155000,0 days 00:12:17.381000
2024-04-20 07:01:21.585,7409,87,2,3,False,8,car,0 days 00:00:22.355000,0 days 00:12:17.581000
2024-04-20 07:01:21.745,7366,87,2,5,False,8,car,0 days 00:00:22.515000,0 days 00:12:17.741000
2024-04-20 07:01:21.985,7422,87,2,8,False,8,car,0 days 00:00:22.755000,0 days 00:12:17.981000
2024-04-20 07:01:22.185,7442,86,2,9,False,8,car,0 days 00:00:22.955000,0 days 00:12:18.181000
2024-04-20 07:01:22.625,7334,86,2,9,False,8,car,0 days 00:00:23.395000,0 days 00:12:18.621000
2024-04-20 07:01:22.785,7334,86,2,9,False,8,car,0 days 00:00:23.555000,0 days 00:12:18.781000
2024-04-20 07:01:23.024,7318,86,2,7,False,8,car,0 days 00:00:23.794000,0 days 00:12:19.020000
2024-04-20 07:01:23.384,7257,85,2,4,False,8,car,0 days 00:00:24.154000,0 days 00:12:19.380000
2024-04-20 07:01:23.624,7150,84,2,7,False,8,car,0 days 00:00:24.394000,0 days 00:12:19.620000
2024-04-20 07:01:23.904,7269,84,2,10,False,8,car,0 days 00:00:24.674000,0 days 00:12:19.900000
2024-04-20 07:01:24.105,7301,84,2,14,False,8,car,0 days 00:00:24.875000,0 days 00:12:20.101000
2024-04-20 07:01:24.305,7352,85,2,16,False,8,car,0 days 00:00:25.075000,0 days 00:12:20.301000
2024-04-20 07:01:24.665,7658,87,2,17,False,8,car,0 days 00:00:25.435000,0 days 00:12:20.661000
2024-04-20 07:01:24.945,7815,90,2,0,False,8,car,0 days 00:00:25.715000,0 days 00:12:20.941000
2024-04-20 07:01:25.105,7658,90,2,0,False,8,car,0 days 00:00:25.875000,0 days 00:12:21.101000
2024-04-20 07:01:25.505,7323,89,2,0,False,8,car,0 days 00:00:26.275000,0 days 00:12:21.501000
2024-04-20 07:01:25.705,7347,88,2,0,False,8,car,0 days 00:00:26.475000,0 days 00:12:21.701000
2024-04-20 07:01:25.985,7359,87,2,0,False,8,car,0 days 00:00:26.755000,0 days 00:12:21.981000
2024-04-20 07:01:26.145,7231,85,2,0,False,8,car,0 days 00:00:26.915000,0 days 00:12:22.141000
2024-04-20 07:01:26.345,7120,85,2,0,False,8,car,0 days 00:00:27.115000,0 days 00:12:22.341000
