F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 07:30:37.192,4574,40,1,2,False,8,car,0 days 00:00:00.131000,0 days 00:14:11.875000
2024-04-19 07:30:37.592,4708,42,1,3,False,8,car,0 days 00:00:00.531000,0 days 00:14:12.275000
2024-04-19 07:30:37.832,4883,43,1,3,False,8,car,0 days 00:00:00.771000,0 days 00:14:12.515000
2024-04-19 07:30:38.112,5031,45,1,4,False,8,car,0 days 00:00:01.051000,0 days 00:14:12.795000
2024-04-19 07:30:38.272,5163,46,1,4,False,8,car,0 days 00:00:01.211000,0 days 00:14:12.955000
2024-04-19 07:30:38.552,5353,47,1,5,False,8,car,0 days 00:00:01.491000,0 days 00:14:13.235000
2024-04-19 07:30:38.953,5661,50,1,6,False,8,car,0 days 00:00:01.892000,0 days 00:14:13.636000
2024-04-19 07:30:39.233,5725,51,1,3,False,8,car,0 days 00:00:02.172000,0 days 00:14:13.916000
2024-04-19 07:30:39.433,5570,51,1,0,False,8,car,0 days 00:00:02.372000,0 days 00:14:14.116000
2024-04-19 07:30:39.633,5531,50,1,0,False,8,car,0 days 00:00:02.572000,0 days 00:14:14.316000
2024-04-19 07:30:40.033,5535,48,1,0,False,8,car,0 days 00:00:02.972000,0 days 00:14:14.716000
2024-04-19 07:30:40.472,5535,49,1,5,False,8,car,0 days 00:00:03.411000,0 days 00:14:15.155000
2024-04-19 07:30:40.792,5733,50,1,7,False,8,car,0 days 00:00:03.731000,0 days 00:14:15.475000
2024-04-19 07:30:40.992,5681,51,1,7,False,8,car,0 days 00:00:03.931000,0 days 00:14:15.675000
2024-04-19 07:30:41.472,5554,51,1,0,False,8,car,0 days 00:00:04.411000,0 days 00:14:16.155000
2024-04-19 07:30:41.832,5457,49,1,0,False,8,car,0 days 00:00:04.771000,0 days 00:14:16.515000
2024-04-19 07:30:42.072,5450,48,1,1,False,8,car,0 days 00:00:05.011000,0 days 00:14:16.755000
2024-04-19 07:30:42.312,5514,48,1,3,False,8,car,0 days 00:00:05.251000,0 days 00:14:16.995000
2024-04-19 07:30:42.712,5598,49,1,4,False,8,car,0 days 00:00:05.651000,0 days 00:14:17.395000
2024-04-19 07:30:42.952,5740,51,1,5,False,8,car,0 days 00:00:05.891000,0 days 00:14:17.635000
2024-04-19 07:30:43.192,5873,52,1,7,False,8,car,0 days 00:00:06.131000,0 days 00:14:17.875000
2024-04-19 07:30:43.552,6248,54,1,10,False,8,car,0 days 00:00:06.491000,0 days 00:14:18.235000
2024-04-19 07:30:43.992,6920,60,1,14,False,8,car,0 days 00:00:06.931000,0 days 00:14:18.675000
2024-04-19 07:30:44.232,7282,64,1,16,False,8,car,0 days 00:00:07.171000,0 days 00:14:18.915000
2024-04-19 07:30:44.632,7757,69,1,18,False,8,car,0 days 00:00:07.571000,0 days 00:14:19.315000
2024-04-19 07:30:45.032,8313,75,1,22,False,8,car,0 days 00:00:07.971000,0 days 00:14:19.715000
2024-04-19 07:30:45.273,8769,78,1,24,False,8,car,0 days 00:00:08.212000,0 days 00:14:19.956000
2024-04-19 07:30:45.473,9182,80,1,25,False,8,car,0 days 00:00:08.412000,0 days 00:14:20.156000
2024-04-19 07:30:45.913,8622,86,1,25,False,8,car,0 days 00:00:08.852000,0 days 00:14:20.596000
2024-04-19 07:30:46.073,7780,90,2,25,False,8,car,0 days 00:00:09.012000,0 days 00:14:20.756000
2024-04-19 07:30:46.233,8025,90,2,25,False,8,car,0 days 00:00:09.172000,0 days 00:14:20.916000
2024-04-19 07:30:46.553,8452,97,2,25,False,8,car,0 days 00:00:09.492000,0 days 00:14:21.236000
2024-04-19 07:30:46.713,8452,99,2,25,False,8,car,0 days 00:00:09.652000,0 days 00:14:21.396000
2024-04-19 07:30:46.953,8603,101,2,25,False,8,car,0 days 00:00:09.892000,0 days 00:14:21.636000
2024-04-19 07:30:47.232,8983,103,2,25,False,8,car,0 days 00:00:10.171000,0 days 00:14:21.915000
2024-04-19 07:30:47.392,8983,104,2,24,False,8,car,0 days 00:00:10.331000,0 days 00:14:22.075000
2024-04-19 07:30:47.752,7765,106,2,23,False,8,car,0 days 00:00:10.691000,0 days 00:14:22.435000
2024-04-19 07:30:48.032,7927,108,3,17,False,8,car,0 days 00:00:10.971000,0 days 00:14:22.715000
