F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 07:32:21.432,4439,21,1,7,False,8,car,0 days 00:00:00.200000,0 days 00:15:56.115000
2024-04-19 07:32:21.632,4203,25,1,10,False,8,car,0 days 00:00:00.400000,0 days 00:15:56.315000
2024-04-19 07:32:21.792,4927,28,1,10,False,8,car,0 days 00:00:00.560000,0 days 00:15:56.475000
2024-04-19 07:32:21.952,4927,32,1,10,False,8,car,0 days 00:00:00.720000,0 days 00:15:56.635000
2024-04-19 07:32:22.152,4432,35,1,5,False,8,car,0 days 00:00:00.920000,0 days 00:15:56.835000
2024-04-19 07:32:22.352,4678,38,1,5,False,8,car,0 days 00:00:01.120000,0 days 00:15:57.035000
2024-04-19 07:32:22.672,5420,42,1,15,False,8,car,0 days 00:00:01.440000,0 days 00:15:57.355000
2024-04-19 07:32:22.872,5820,45,1,20,False,8,car,0 days 00:00:01.640000,0 days 00:15:57.555000
2024-04-19 07:32:23.112,6593,49,1,27,False,8,car,0 days 00:00:01.880000,0 days 00:15:57.795000
2024-04-19 07:32:23.272,6770,53,1,28,False,8,car,0 days 00:00:02.040000,0 days 00:15:57.955000
2024-04-19 07:32:23.432,7247,55,1,31,False,8,car,0 days 00:00:02.200000,0 days 00:15:58.115000
2024-04-19 07:32:23.592,7628,59,1,32,False,8,car,0 days 00:00:02.360000,0 days 00:15:58.275000
2024-04-19 07:32:23.913,8332,65,1,34,False,8,car,0 days 00:00:02.681000,0 days 00:15:58.596000
2024-04-19 07:32:24.073,8450,68,1,35,False,8,car,0 days 00:00:02.841000,0 days 00:15:58.756000
2024-04-19 07:32:24.513,9793,75,1,44,False,8,car,0 days 00:00:03.281000,0 days 00:15:59.196000
2024-04-19 07:32:24.793,10472,81,1,45,False,8,car,0 days 00:00:03.561000,0 days 00:15:59.476000
2024-04-19 07:32:25.073,8914,84,1,45,False,8,car,0 days 00:00:03.841000,0 days 00:15:59.756000
2024-04-19 07:32:25.273,8045,87,2,29,False,8,car,0 days 00:00:04.041000,0 days 00:15:59.956000
2024-04-19 07:32:25.433,8169,88,2,41,False,8,car,0 days 00:00:04.201000,0 days 00:16:00.116000
2024-04-19 07:32:25.713,8619,93,2,42,False,8,car,0 days 00:00:04.481000,0 days 00:16:00.396000
2024-04-19 07:32:25.993,9509,97,2,46,False,8,car,0 days 00:00:04.761000,0 days 00:16:00.676000
2024-04-19 07:32:26.233,9236,100,2,45,False,8,car,0 days 00:00:05.001000,0 days 00:16:00.916000
2024-04-19 07:32:26.513,9873,105,2,51,False,8,car,0 days 00:00:05.281000,0 days 00:16:01.196000
2024-04-19 07:32:26.793,10569,107,2,50,False,8,car,0 days 00:00:05.561000,0 days 00:16:01.476000
2024-04-19 07:32:26.993,10494,115,2,52,False,8,car,0 days 00:00:05.761000,0 days 00:16:01.676000
2024-04-19 07:32:27.233,11022,118,2,52,False,8,car,0 days 00:00:06.001000,0 days 00:16:01.916000
2024-04-19 07:32:27.393,10967,121,2,55,False,8,car,0 days 00:00:06.161000,0 days 00:16:02.076000
2024-04-19 07:32:27.553,9847,122,2,57,False,8,car,0 days 00:00:06.321000,0 days 00:16:02.236000
2024-04-19 07:32:27.793,9200,126,3,53,False,8,car,0 days 00:00:06.561000,0 days 00:16:02.476000
2024-04-19 07:32:28.232,9683,131,3,48,False,8,car,0 days 00:00:07,0 days 00:16:02.915000
2024-04-19 07:32:28.512,10004,136,3,45,False,8,car,0 days 00:00:07.280000,0 days 00:16:03.195000
2024-04-19 07:32:28.872,9965,138,3,32,False,8,car,0 days 00:00:07.640000,0 days 00:16:03.555000
2024-04-19 07:32:29.152,9958,138,3,37,False,8,car,0 days 00:00:07.920000,0 days 00:16:03.835000
2024-04-19 07:32:29.392,9982,138,3,36,False,8,car,0 days 00:00:08.160000,0 days 00:16:04.075000
2024-04-19 07:32:29.592,9972,138,3,39,False,8,car,0 days 00:00:08.360000,0 days 00:16:04.275000
2024-04-19 07:32:29.912,9948,138,3,31,False,8,car,0 days 00:00:08.680000,0 days 00:16:04.595000
2024-04-19 07:32:30.232,9977,138,3,26,False,8,car,0 days 00:00:09,0 days 00:16:04.915000
2024-04-19 07:32:30.433,9809,137,3,23,False,8,car,0 days 00:00:09.201000,0 days 00:16:05.116000
2024-04-19 07:32:30.873,9666,134,3,16,False,8,car,0 days 00:00:09.641000,0 days 00:16:05.556000
2024-04-19 07:32:31.033,9439,133,3,14,False,8,car,0 days 00:00:09.801000,0 days 00:16:05.716000
2024-04-19 07:32:31.273,9367,131,3,15,False,8,car,0 days 00:00:10.041000,0 days 00:16:05.956000
2024-04-19 07:32:31.593,9100,129,3,10,False,8,car,0 days 00:00:10.361000,0 days 00:16:06.276000
2024-04-19 07:32:31.793,8969,127,3,7,False,8,car,0 days 00:00:10.561000,0 days 00:16:06.476000
2024-04-19 07:32:32.113,8694,124,3,1,False,8,car,0 days 00:00:10.881000,0 days 00:16:06.796000
2024-04-19 07:32:32.313,8663,121,3,10,False,8,car,0 days 00:00:11.081000,0 days 00:16:06.996000
2024-04-19 07:32:32.513,8736,120,3,18,False,8,car,0 days 00:00:11.281000,0 days 00:16:07.196000
2024-04-19 07:32:32.673,8645,119,3,18,False,8,car,0 days 00:00:11.441000,0 days 00:16:07.356000
2024-04-19 07:32:32.833,8587,119,3,21,False,8,car,0 days 00:00:11.601000,0 days 00:16:07.516000
2024-04-19 07:32:33.033,8638,119,3,24,False,8,car,0 days 00:00:11.801000,0 days 00:16:07.716000
2024-04-19 07:32:33.313,8706,120,3,23,False,8,car,0 days 00:00:12.081000,0 days 00:16:07.996000
2024-04-19 07:32:33.473,8563,120,3,9,False,8,car,0 days 00:00:12.241000,0 days 00:16:08.156000
2024-04-19 07:32:33.673,8475,118,3,3,False,8,car,0 days 00:00:12.441000,0 days 00:16:08.356000
