F1 for AiM
Racer,Oscar Piastri
Vehicle,McLaren
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 07:31:44.673,3957,12,1,0,False,8,car,0 days 00:00:00.011000,0 days 00:15:19.356000
2024-04-19 07:31:45.033,4074,12,1,0,False,8,car,0 days 00:00:00.371000,0 days 00:15:19.716000
2024-04-19 07:31:45.313,4000,13,1,0,False,8,car,0 days 00:00:00.651000,0 days 00:15:19.996000
2024-04-19 07:31:45.553,4096,13,1,0,False,8,car,0 days 00:00:00.891000,0 days 00:15:20.236000
2024-04-19 07:31:45.833,4072,13,1,0,False,8,car,0 days 00:00:01.171000,0 days 00:15:20.516000
2024-04-19 07:31:45.993,3799,14,1,0,False,8,car,0 days 00:00:01.331000,0 days 00:15:20.676000
2024-04-19 07:31:46.473,2792,21,1,0,False,8,car,0 days 00:00:01.811000,0 days 00:15:21.156000
2024-04-19 07:31:46.673,3575,25,1,0,False,8,car,0 days 00:00:02.011000,0 days 00:15:21.356000
2024-04-19 07:31:46.833,4695,25,1,0,False,8,car,0 days 00:00:02.171000,0 days 00:15:21.516000
2024-04-19 07:31:47.033,4569,25,1,0,False,8,car,0 days 00:00:02.371000,0 days 00:15:21.716000
2024-04-19 07:31:47.233,3875,26,1,0,False,8,car,0 days 00:00:02.571000,0 days 00:15:21.916000
2024-04-19 07:31:47.433,3700,28,1,0,False,8,car,0 days 00:00:02.771000,0 days 00:15:22.116000
2024-04-19 07:31:47.592,3807,32,1,0,False,8,car,0 days 00:00:02.930000,0 days 00:15:22.275000
2024-04-19 07:31:47.912,4076,35,1,0,False,8,car,0 days 00:00:03.250000,0 days 00:15:22.595000
2024-04-19 07:31:48.072,4467,36,1,0,False,8,car,0 days 00:00:03.410000,0 days 00:15:22.755000
2024-04-19 07:31:48.232,4530,38,1,0,False,8,car,0 days 00:00:03.570000,0 days 00:15:22.915000
2024-04-19 07:31:48.472,4642,39,1,0,False,8,car,0 days 00:00:03.810000,0 days 00:15:23.155000
2024-04-19 07:31:48.712,4535,39,1,0,False,8,car,0 days 00:00:04.050000,0 days 00:15:23.395000
2024-04-19 07:31:49.112,4461,39,1,0,False,8,car,0 days 00:00:04.450000,0 days 00:15:23.795000
2024-04-19 07:31:49.432,4328,38,1,0,False,8,car,0 days 00:00:04.770000,0 days 00:15:24.115000
2024-04-19 07:31:49.752,4187,36,1,1,False,8,car,0 days 00:00:05.090000,0 days 00:15:24.435000
2024-04-19 07:31:50.072,4000,36,1,6,False,8,car,0 days 00:00:05.410000,0 days 00:15:24.755000
2024-04-19 07:31:50.232,4316,36,1,8,False,8,car,0 days 00:00:05.570000,0 days 00:15:24.915000
2024-04-19 07:31:50.472,4579,38,1,9,False,8,car,0 days 00:00:05.810000,0 days 00:15:25.155000
2024-04-19 07:31:50.792,4879,42,1,9,False,8,car,0 days 00:00:06.130000,0 days 00:15:25.475000
2024-04-19 07:31:51.193,5194,44,1,9,False,8,car,0 days 00:00:06.531000,0 days 00:15:25.876000
2024-04-19 07:31:51.353,5289,45,1,10,False,8,car,0 days 00:00:06.691000,0 days 00:15:26.036000
2024-04-19 07:31:51.513,5406,46,1,11,False,8,car,0 days 00:00:06.851000,0 days 00:15:26.196000
2024-04-19 07:31:51.833,5863,49,1,20,False,8,car,0 days 00:00:07.171000,0 days 00:15:26.516000
2024-04-19 07:31:52.073,6393,52,1,26,False,8,car,0 days 00:00:07.411000,0 days 00:15:26.756000
2024-04-19 07:31:52.353,7153,58,1,30,False,8,car,0 days 00:00:07.691000,0 days 00:15:27.036000
2024-04-19 07:31:52.673,7827,64,1,25,False,8,car,0 days 00:00:08.011000,0 days 00:15:27.356000
2024-04-19 07:31:52.873,8947,68,1,24,False,8,car,0 days 00:00:08.211000,0 days 00:15:27.556000
2024-04-19 07:31:53.033,9151,73,1,25,False,8,car,0 days 00:00:08.371000,0 days 00:15:27.716000
