F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 07:31:26.073,4440,39,1,16,False,8,car,0 days 00:00:00.153000,0 days 00:15:00.756000
2024-04-19 07:31:26.233,4245,39,1,11,False,8,car,0 days 00:00:00.313000,0 days 00:15:00.916000
2024-04-19 07:31:26.473,4724,40,1,0,False,8,car,0 days 00:00:00.553000,0 days 00:15:01.156000
2024-04-19 07:31:26.673,4444,40,1,0,False,8,car,0 days 00:00:00.753000,0 days 00:15:01.356000
2024-04-19 07:31:26.953,4294,39,1,0,False,8,car,0 days 00:00:01.033000,0 days 00:15:01.636000
2024-04-19 07:31:27.113,4360,38,1,0,False,8,car,0 days 00:00:01.193000,0 days 00:15:01.796000
2024-04-19 07:31:27.353,4174,37,1,5,False,8,car,0 days 00:00:01.433000,0 days 00:15:02.036000
2024-04-19 07:31:27.552,4526,36,1,11,False,8,car,0 days 00:00:01.632000,0 days 00:15:02.235000
2024-04-19 07:31:27.872,4554,37,1,2,False,8,car,0 days 00:00:01.952000,0 days 00:15:02.555000
2024-04-19 07:31:28.072,4370,36,1,0,False,8,car,0 days 00:00:02.152000,0 days 00:15:02.755000
2024-04-19 07:31:28.352,4075,36,1,9,False,8,car,0 days 00:00:02.432000,0 days 00:15:03.035000
2024-04-19 07:31:28.632,4137,36,1,12,False,8,car,0 days 00:00:02.712000,0 days 00:15:03.315000
2024-04-19 07:31:29.032,4582,39,1,15,False,8,car,0 days 00:00:03.112000,0 days 00:15:03.715000
2024-04-19 07:31:29.272,5098,41,1,25,False,8,car,0 days 00:00:03.352000,0 days 00:15:03.955000
2024-04-19 07:31:29.592,5872,48,1,29,False,8,car,0 days 00:00:03.672000,0 days 00:15:04.275000
2024-04-19 07:31:30.072,6999,59,1,36,False,8,car,0 days 00:00:04.152000,0 days 00:15:04.755000
2024-04-19 07:31:30.432,7547,65,1,41,False,8,car,0 days 00:00:04.512000,0 days 00:15:05.115000
2024-04-19 07:31:30.752,7855,71,1,1,False,8,car,0 days 00:00:04.832000,0 days 00:15:05.435000
2024-04-19 07:31:31.032,8649,70,1,46,False,8,car,0 days 00:00:05.112000,0 days 00:15:05.715000
2024-04-19 07:31:31.233,8953,74,1,53,False,8,car,0 days 00:00:05.313000,0 days 00:15:05.916000
2024-04-19 07:31:31.433,9282,80,1,47,False,8,car,0 days 00:00:05.513000,0 days 00:15:06.116000
2024-04-19 07:31:31.793,10543,87,1,52,False,8,car,0 days 00:00:05.873000,0 days 00:15:06.476000
2024-04-19 07:31:32.073,8726,94,1,53,False,8,car,0 days 00:00:06.153000,0 days 00:15:06.756000
2024-04-19 07:31:32.313,9014,100,2,57,False,8,car,0 days 00:00:06.393000,0 days 00:15:06.996000
2024-04-19 07:31:32.553,9532,108,2,59,False,8,car,0 days 00:00:06.633000,0 days 00:15:07.236000
2024-04-19 07:31:32.913,10475,116,2,62,False,8,car,0 days 00:00:06.993000,0 days 00:15:07.596000
2024-04-19 07:31:33.353,10860,127,2,64,False,8,car,0 days 00:00:07.433000,0 days 00:15:08.036000
2024-04-19 07:31:33.553,10300,135,2,65,False,8,car,0 days 00:00:07.633000,0 days 00:15:08.236000
2024-04-19 07:31:33.753,10608,141,3,64,False,8,car,0 days 00:00:07.833000,0 days 00:15:08.436000
2024-04-19 07:31:34.073,10999,148,3,63,False,8,car,0 days 00:00:08.153000,0 days 00:15:08.756000
2024-04-19 07:31:34.272,9739,152,3,58,False,8,car,0 days 00:00:08.352000,0 days 00:15:08.955000
2024-04-19 07:31:34.512,9356,153,4,12,False,8,car,0 days 00:00:08.592000,0 days 00:15:09.195000
2024-04-19 07:31:34.712,9258,153,4,0,False,8,car,0 days 00:00:08.792000,0 days 00:15:09.395000
2024-04-19 07:31:34.872,9321,149,4,0,False,8,car,0 days 00:00:08.952000,0 days 00:15:09.555000
2024-04-19 07:31:35.152,8994,145,4,0,False,8,car,0 days 00:00:09.232000,0 days 00:15:09.835000
2024-04-19 07:31:35.352,8758,143,4,20,False,8,car,0 days 00:00:09.432000,0 days 00:15:10.035000
2024-04-19 07:31:35.592,8744,141,4,22,False,8,car,0 days 00:00:09.672000,0 days 00:15:10.275000
2024-04-19 07:31:35.752,8692,139,4,24,False,8,car,0 days 00:00:09.832000,0 days 00:15:10.435000
2024-04-19 07:31:35.952,8667,139,4,28,False,8,car,0 days 00:00:10.032000,0 days 00:15:10.635000
2024-04-19 07:31:36.392,8546,137,4,32,False,8,car,0 days 00:00:10.472000,0 days 00:15:11.075000
2024-04-19 07:31:36.712,8497,136,4,37,False,8,car,0 days 00:00:10.792000,0 days 00:15:11.395000
2024-04-19 07:31:36.952,8523,136,4,37,False,8,car,0 days 00:00:11.032000,0 days 00:15:11.635000
2024-04-19 07:31:37.152,8197,135,4,35,True,8,car,0 days 00:00:11.232000,0 days 00:15:11.835000
2024-04-19 07:31:37.392,7970,132,4,0,True,8,car,0 days 00:00:11.472000,0 days 00:15:12.075000
2024-04-19 07:31:37.752,7580,123,4,0,True,8,car,0 days 00:00:11.832000,0 days 00:15:12.435000
2024-04-19 07:31:38.033,8706,121,4,0,True,8,car,0 days 00:00:12.113000,0 days 00:15:12.716000
2024-04-19 07:31:38.353,8364,114,3,0,True,8,car,0 days 00:00:12.433000,0 days 00:15:13.036000
2024-04-19 07:31:38.593,7957,111,3,0,True,8,car,0 days 00:00:12.673000,0 days 00:15:13.276000
2024-04-19 07:31:38.753,7547,107,3,0,True,8,car,0 days 00:00:12.833000,0 days 00:15:13.436000
2024-04-19 07:31:38.993,7421,102,3,0,True,8,car,0 days 00:00:13.073000,0 days 00:15:13.676000
2024-04-19 07:31:39.193,7409,101,3,0,False,8,car,0 days 00:00:13.273000,0 days 00:15:13.876000
2024-04-19 07:31:39.393,7258,99,3,0,False,8,car,0 days 00:00:13.473000,0 days 00:15:14.076000
2024-04-19 07:31:39.593,7071,98,3,0,False,8,car,0 days 00:00:13.673000,0 days 00:15:14.276000
2024-04-19 07:31:39.913,7085,96,3,0,False,8,car,0 days 00:00:13.993000,0 days 00:15:14.596000
2024-04-19 07:31:40.073,6865,94,3,0,False,8,car,0 days 00:00:14.153000,0 days 00:15:14.756000
2024-04-19 07:31:40.393,7557,92,3,0,True,8,car,0 days 00:00:14.473000,0 days 00:15:15.076000
2024-04-19 07:31:40.593,7750,90,3,0,True,8,car,0 days 00:00:14.673000,0 days 00:15:15.276000
2024-04-19 07:31:40.753,7634,88,2,0,True,8,car,0 days 00:00:14.833000,0 days 00:15:15.436000
2024-04-19 07:31:40.952,7486,87,2,0,False,8,car,0 days 00:00:15.032000,0 days 00:15:15.635000
2024-04-19 07:31:41.312,7276,84,2,0,False,8,car,0 days 00:00:15.392000,0 days 00:15:15.995000
2024-04-19 07:31:41.552,6962,82,2,0,False,8,car,0 days 00:00:15.632000,0 days 00:15:16.235000
2024-04-19 07:31:41.752,7086,81,2,0,False,8,car,0 days 00:00:15.832000,0 days 00:15:16.435000
2024-04-19 07:31:41.952,6862,80,2,6,False,8,car,0 days 00:00:16.032000,0 days 00:15:16.635000
2024-04-19 07:31:42.112,6773,80,2,0,False,8,car,0 days 00:00:16.192000,0 days 00:15:16.795000
2024-04-19 07:31:42.312,6655,78,2,1,False,8,car,0 days 00:00:16.392000,0 days 00:15:16.995000
2024-04-19 07:31:42.512,6521,77,2,19,False,8,car,0 days 00:00:16.592000,0 days 00:15:17.195000
2024-04-19 07:31:42.792,6860,79,2,24,False,8,car,0 days 00:00:16.872000,0 days 00:15:17.475000
2024-04-19 07:31:43.112,6738,80,2,12,False,8,car,0 days 00:00:17.192000,0 days 00:15:17.795000
2024-04-19 07:31:43.312,6717,79,2,0,False,8,car,0 days 00:00:17.392000,0 days 00:15:17.995000
2024-04-19 07:31:43.552,6724,78,2,0,False,8,car,0 days 00:00:17.632000,0 days 00:15:18.235000
2024-04-19 07:31:43.792,6622,77,2,0,False,8,car,0 days 00:00:17.872000,0 days 00:15:18.475000
2024-04-19 07:31:44.192,6577,74,2,8,False,8,car,0 days 00:00:18.272000,0 days 00:15:18.875000
2024-04-19 07:31:44.433,6560,74,2,22,False,8,car,0 days 00:00:18.513000,0 days 00:15:19.116000
2024-04-19 07:31:44.673,6661,76,2,27,False,8,car,0 days 00:00:18.753000,0 days 00:15:19.356000
2024-04-19 07:31:45.033,7099,79,2,32,False,8,car,0 days 00:00:19.113000,0 days 00:15:19.716000
2024-04-19 07:31:45.313,7302,81,2,32,False,8,car,0 days 00:00:19.393000,0 days 00:15:19.996000
2024-04-19 07:31:45.553,7430,86,2,34,False,8,car,0 days 00:00:19.633000,0 days 00:15:20.236000
2024-04-19 07:31:45.833,7578,88,2,31,False,8,car,0 days 00:00:19.913000,0 days 00:15:20.516000
2024-04-19 07:31:45.993,7637,89,2,0,False,8,car,0 days 00:00:20.073000,0 days 00:15:20.676000
2024-04-19 07:31:46.473,7505,86,2,0,True,8,car,0 days 00:00:20.553000,0 days 00:15:21.156000
2024-04-19 07:31:46.673,7216,85,2,0,True,8,car,0 days 00:00:20.753000,0 days 00:15:21.356000
2024-04-19 07:31:46.833,7218,85,2,0,True,8,car,0 days 00:00:20.913000,0 days 00:15:21.516000
2024-04-19 07:31:47.033,7123,84,2,0,True,8,car,0 days 00:00:21.113000,0 days 00:15:21.716000
2024-04-19 07:31:47.233,6924,82,2,0,False,8,car,0 days 00:00:21.313000,0 days 00:15:21.916000
2024-04-19 07:31:47.433,6883,81,2,0,False,8,car,0 days 00:00:21.513000,0 days 00:15:22.116000
2024-04-19 07:31:47.592,6865,79,2,0,False,8,car,0 days 00:00:21.672000,0 days 00:15:22.275000
2024-04-19 07:31:47.912,6599,77,2,0,False,8,car,0 days 00:00:21.992000,0 days 00:15:22.595000
2024-04-19 07:31:48.072,6490,76,2,0,False,8,car,0 days 00:00:22.152000,0 days 00:15:22.755000
2024-04-19 07:31:48.232,6329,75,2,0,False,8,car,0 days 00:00:22.312000,0 days 00:15:22.915000
2024-04-19 07:31:48.472,6264,74,2,19,False,8,car,0 days 00:00:22.552000,0 days 00:15:23.155000
2024-04-19 07:31:48.712,6575,75,2,28,False,8,car,0 days 00:00:22.792000,0 days 00:15:23.395000
2024-04-19 07:31:49.112,7096,78,2,30,False,8,car,0 days 00:00:23.192000,0 days 00:15:23.795000
2024-04-19 07:31:49.432,7399,81,2,32,False,8,car,0 days 00:00:23.512000,0 days 00:15:24.115000
2024-04-19 07:31:49.752,7661,85,2,38,False,8,car,0 days 00:00:23.832000,0 days 00:15:24.435000
2024-04-19 07:31:50.072,8144,90,2,42,False,8,car,0 days 00:00:24.152000,0 days 00:15:24.755000
2024-04-19 07:31:50.232,8423,92,2,46,False,8,car,0 days 00:00:24.312000,0 days 00:15:24.915000
2024-04-19 07:31:50.472,8717,97,2,46,False,8,car,0 days 00:00:24.552000,0 days 00:15:25.155000
2024-04-19 07:31:50.792,9154,103,2,50,False,8,car,0 days 00:00:24.872000,0 days 00:15:25.475000
2024-04-19 07:31:51.193,8436,111,3,51,False,8,car,0 days 00:00:25.273000,0 days 00:15:25.876000
2024-04-19 07:31:51.353,8807,116,3,57,False,8,car,0 days 00:00:25.433000,0 days 00:15:26.036000
2024-04-19 07:31:51.513,9161,119,3,61,False,8,car,0 days 00:00:25.593000,0 days 00:15:26.196000
2024-04-19 07:31:51.833,9894,127,3,67,False,8,car,0 days 00:00:25.913000,0 days 00:15:26.516000
2024-04-19 07:31:52.073,10423,137,3,71,False,8,car,0 days 00:00:26.153000,0 days 00:15:26.756000
2024-04-19 07:31:52.353,11069,146,3,72,False,8,car,0 days 00:00:26.433000,0 days 00:15:27.036000
2024-04-19 07:31:52.673,9936,152,3,74,False,8,car,0 days 00:00:26.753000,0 days 00:15:27.356000
2024-04-19 07:31:52.873,10219,152,4,76,False,8,car,0 days 00:00:26.953000,0 days 00:15:27.556000
2024-04-19 07:31:53.033,10717,164,4,84,False,8,car,0 days 00:00:27.113000,0 days 00:15:27.716000
2024-04-19 07:31:53.193,10803,170,4,85,False,8,car,0 days 00:00:27.273000,0 days 00:15:27.876000
2024-04-19 07:31:53.353,11354,178,4,94,False,8,car,0 days 00:00:27.433000,0 days 00:15:28.036000
2024-04-19 07:31:53.673,11980,185,4,100,False,8,car,0 days 00:00:27.753000,0 days 00:15:28.356000
2024-04-19 07:31:53.833,11892,193,4,100,False,8,car,0 days 00:00:27.913000,0 days 00:15:28.516000
2024-04-19 07:31:53.993,10772,199,4,100,False,8,car,0 days 00:00:28.073000,0 days 00:15:28.676000
2024-04-19 07:31:54.273,11219,202,5,100,False,8,car,0 days 00:00:28.353000,0 days 00:15:28.956000
2024-04-19 07:31:54.632,11419,215,5,100,False,8,car,0 days 00:00:28.712000,0 days 00:15:29.315000
2024-04-19 07:31:54.912,11841,221,5,100,False,8,car,0 days 00:00:28.992000,0 days 00:15:29.595000
2024-04-19 07:31:55.112,12010,223,5,100,False,8,car,0 days 00:00:29.192000,0 days 00:15:29.795000
2024-04-19 07:31:55.432,11030,231,6,100,False,8,car,0 days 00:00:29.512000,0 days 00:15:30.115000
2024-04-19 07:31:55.672,10866,235,6,100,False,8,car,0 days 00:00:29.752000,0 days 00:15:30.355000
2024-04-19 07:31:55.912,10872,235,6,100,False,8,car,0 days 00:00:29.992000,0 days 00:15:30.595000
2024-04-19 07:31:56.072,10872,239,6,100,False,8,car,0 days 00:00:30.152000,0 days 00:15:30.755000
2024-04-19 07:31:56.232,11054,241,6,100,False,8,car,0 days 00:00:30.312000,0 days 00:15:30.915000
2024-04-19 07:31:56.512,11246,245,6,100,False,8,car,0 days 00:00:30.592000,0 days 00:15:31.195000
2024-04-19 07:31:56.752,11331,248,6,100,False,8,car,0 days 00:00:30.832000,0 days 00:15:31.435000
2024-04-19 07:31:57.152,11514,250,6,100,False,8,car,0 days 00:00:31.232000,0 days 00:15:31.835000
2024-04-19 07:31:57.312,11615,252,6,100,False,8,car,0 days 00:00:31.392000,0 days 00:15:31.995000
2024-04-19 07:31:57.553,11697,256,6,100,False,8,car,0 days 00:00:31.633000,0 days 00:15:32.236000
2024-04-19 07:31:57.713,11760,256,6,100,False,8,car,0 days 00:00:31.793000,0 days 00:15:32.396000
2024-04-19 07:31:57.993,11819,258,6,100,False,8,car,0 days 00:00:32.073000,0 days 00:15:32.676000
2024-04-19 07:31:58.393,11941,261,6,100,False,8,car,0 days 00:00:32.473000,0 days 00:15:33.076000
2024-04-19 07:31:58.593,11985,262,6,100,False,8,car,0 days 00:00:32.673000,0 days 00:15:33.276000
2024-04-19 07:31:58.833,11768,263,6,56,True,8,car,0 days 00:00:32.913000,0 days 00:15:33.516000
2024-04-19 07:31:59.193,10583,235,6,9,True,8,car,0 days 00:00:33.273000,0 days 00:15:33.876000
2024-04-19 07:31:59.393,9616,224,6,0,True,8,car,0 days 00:00:33.473000,0 days 00:15:34.076000
2024-04-19 07:31:59.553,8793,196,6,0,True,8,car,0 days 00:00:33.633000,0 days 00:15:34.236000
2024-04-19 07:31:59.833,9232,181,6,0,True,8,car,0 days 00:00:33.913000,0 days 00:15:34.516000
2024-04-19 07:31:59.993,9748,175,6,0,True,8,car,0 days 00:00:34.073000,0 days 00:15:34.676000
2024-04-19 07:32:00.153,9521,153,6,0,True,8,car,0 days 00:00:34.233000,0 days 00:15:34.836000
2024-04-19 07:32:00.433,9687,142,4,0,True,8,car,0 days 00:00:34.513000,0 days 00:15:35.116000
2024-04-19 07:32:00.753,8787,122,3,0,True,8,car,0 days 00:00:34.833000,0 days 00:15:35.436000
2024-04-19 07:32:00.993,9588,111,3,0,True,8,car,0 days 00:00:35.073000,0 days 00:15:35.676000
2024-04-19 07:32:01.272,8566,104,2,0,True,8,car,0 days 00:00:35.352000,0 days 00:15:35.955000
2024-04-19 07:32:01.592,7789,91,2,0,True,8,car,0 days 00:00:35.672000,0 days 00:15:36.275000
2024-04-19 07:32:01.832,7300,86,2,0,True,8,car,0 days 00:00:35.912000,0 days 00:15:36.515000
2024-04-19 07:32:01.992,7165,82,2,0,True,8,car,0 days 00:00:36.072000,0 days 00:15:36.675000
2024-04-19 07:32:02.232,6561,78,2,0,True,8,car,0 days 00:00:36.312000,0 days 00:15:36.915000
2024-04-19 07:32:02.392,6508,76,2,0,True,8,car,0 days 00:00:36.472000,0 days 00:15:37.075000
2024-04-19 07:32:02.552,6212,72,2,0,True,8,car,0 days 00:00:36.632000,0 days 00:15:37.235000
2024-04-19 07:32:02.832,5778,69,2,0,False,8,car,0 days 00:00:36.912000,0 days 00:15:37.515000
2024-04-19 07:32:03.072,5724,67,2,0,False,8,car,0 days 00:00:37.152000,0 days 00:15:37.755000
2024-04-19 07:32:03.472,5432,64,2,0,False,8,car,0 days 00:00:37.552000,0 days 00:15:38.155000
2024-04-19 07:32:03.792,5176,62,2,2,False,8,car,0 days 00:00:37.872000,0 days 00:15:38.475000
2024-04-19 07:32:03.952,5517,60,2,8,False,8,car,0 days 00:00:38.032000,0 days 00:15:38.635000
2024-04-19 07:32:04.313,5514,62,2,20,False,8,car,0 days 00:00:38.393000,0 days 00:15:38.996000
2024-04-19 07:32:04.513,5591,63,2,23,False,8,car,0 days 00:00:38.593000,0 days 00:15:39.196000
2024-04-19 07:32:04.793,5710,65,2,24,False,8,car,0 days 00:00:38.873000,0 days 00:15:39.476000
2024-04-19 07:32:04.953,5925,67,2,25,False,8,car,0 days 00:00:39.033000,0 days 00:15:39.636000
2024-04-19 07:32:05.273,6340,71,2,34,False,8,car,0 days 00:00:39.353000,0 days 00:15:39.956000
2024-04-19 07:32:05.513,6758,73,2,37,False,8,car,0 days 00:00:39.593000,0 days 00:15:40.196000
2024-04-19 07:32:05.793,7055,80,2,39,False,8,car,0 days 00:00:39.873000,0 days 00:15:40.476000
2024-04-19 07:32:06.113,7556,86,2,46,False,8,car,0 days 00:00:40.193000,0 days 00:15:40.796000
2024-04-19 07:32:06.553,8748,98,2,55,False,8,car,0 days 00:00:40.633000,0 days 00:15:41.236000
