F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 07:32:48.352,4160,11,1,0,False,8,car,0 days 00:00:00.199000,0 days 00:16:23.035000
2024-04-19 07:32:48.752,4109,11,1,0,False,8,car,0 days 00:00:00.599000,0 days 00:16:23.435000
2024-04-19 07:32:48.912,4036,10,1,0,False,8,car,0 days 00:00:00.759000,0 days 00:16:23.595000
2024-04-19 07:32:49.232,3987,10,1,0,False,8,car,0 days 00:00:01.079000,0 days 00:16:23.915000
2024-04-19 07:32:49.472,4096,10,1,0,False,8,car,0 days 00:00:01.319000,0 days 00:16:24.155000
2024-04-19 07:32:49.792,4026,9,1,0,False,8,car,0 days 00:00:01.639000,0 days 00:16:24.475000
2024-04-19 07:32:49.992,3734,9,1,0,False,8,car,0 days 00:00:01.839000,0 days 00:16:24.675000
2024-04-19 07:32:50.153,3905,9,1,0,False,8,car,0 days 00:00:02,0 days 00:16:24.836000
2024-04-19 07:32:50.433,3758,9,1,0,False,8,car,0 days 00:00:02.280000,0 days 00:16:25.116000
2024-04-19 07:32:50.833,3571,10,1,0,False,8,car,0 days 00:00:02.680000,0 days 00:16:25.516000
2024-04-19 07:32:51.073,3649,12,1,0,False,8,car,0 days 00:00:02.920000,0 days 00:16:25.756000
2024-04-19 07:32:51.273,3816,13,1,0,False,8,car,0 days 00:00:03.120000,0 days 00:16:25.956000
2024-04-19 07:32:51.433,3816,14,1,0,False,8,car,0 days 00:00:03.280000,0 days 00:16:26.116000
2024-04-19 07:32:51.593,4495,14,1,0,False,8,car,0 days 00:00:03.440000,0 days 00:16:26.276000
2024-04-19 07:32:51.873,4547,15,1,0,True,8,car,0 days 00:00:03.720000,0 days 00:16:26.556000
2024-04-19 07:32:52.153,4325,15,1,0,False,8,car,0 days 00:00:04,0 days 00:16:26.836000
2024-04-19 07:32:52.433,4198,15,1,0,False,8,car,0 days 00:00:04.280000,0 days 00:16:27.116000
2024-04-19 07:32:52.753,4133,15,1,0,False,8,car,0 days 00:00:04.600000,0 days 00:16:27.436000
2024-04-19 07:32:53.153,3680,16,1,0,False,8,car,0 days 00:00:05,0 days 00:16:27.836000
2024-04-19 07:32:53.353,3765,18,1,0,False,8,car,0 days 00:00:05.200000,0 days 00:16:28.036000
2024-04-19 07:32:53.593,4521,19,1,0,False,8,car,0 days 00:00:05.440000,0 days 00:16:28.276000
2024-04-19 07:32:53.913,4298,19,1,0,False,8,car,0 days 00:00:05.760000,0 days 00:16:28.596000
2024-04-19 07:32:54.153,3559,21,1,0,False,8,car,0 days 00:00:06,0 days 00:16:28.836000
2024-04-19 07:32:54.353,3715,22,1,0,False,8,car,0 days 00:00:06.200000,0 days 00:16:29.036000
2024-04-19 07:32:54.513,3683,23,1,0,False,8,car,0 days 00:00:06.360000,0 days 00:16:29.196000
2024-04-19 07:32:54.752,3837,27,1,0,False,8,car,0 days 00:00:06.599000,0 days 00:16:29.435000
