F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 07:32:32.113,3546,17,1,0,False,8,car,0 days 00:00:00.066000,0 days 00:16:06.796000
2024-04-19 07:32:32.313,3565,17,1,0,False,8,car,0 days 00:00:00.266000,0 days 00:16:06.996000
2024-04-19 07:32:32.513,3461,17,1,0,False,8,car,0 days 00:00:00.466000,0 days 00:16:07.196000
2024-04-19 07:32:32.673,3548,17,1,0,False,8,car,0 days 00:00:00.626000,0 days 00:16:07.356000
2024-04-19 07:32:32.833,3499,16,1,0,False,8,car,0 days 00:00:00.786000,0 days 00:16:07.516000
2024-04-19 07:32:33.033,2762,16,1,0,False,8,car,0 days 00:00:00.986000,0 days 00:16:07.716000
2024-04-19 07:32:33.313,2762,19,1,0,False,8,car,0 days 00:00:01.266000,0 days 00:16:07.996000
2024-04-19 07:32:33.473,2768,21,1,0,False,8,car,0 days 00:00:01.426000,0 days 00:16:08.156000
2024-04-19 07:32:33.673,2732,24,1,2,False,8,car,0 days 00:00:01.626000,0 days 00:16:08.356000
2024-04-19 07:32:33.953,3407,27,1,10,False,8,car,0 days 00:00:01.906000,0 days 00:16:08.636000
2024-04-19 07:32:34.153,4403,29,1,16,False,8,car,0 days 00:00:02.106000,0 days 00:16:08.836000
2024-04-19 07:32:34.313,4104,35,1,18,False,8,car,0 days 00:00:02.266000,0 days 00:16:08.996000
2024-04-19 07:32:34.592,4805,41,1,19,False,8,car,0 days 00:00:02.545000,0 days 00:16:09.275000
2024-04-19 07:32:34.952,5506,43,1,20,False,8,car,0 days 00:00:02.905000,0 days 00:16:09.635000
2024-04-19 07:32:35.232,6060,53,1,20,False,8,car,0 days 00:00:03.185000,0 days 00:16:09.915000
2024-04-19 07:32:35.592,6689,58,1,21,False,8,car,0 days 00:00:03.545000,0 days 00:16:10.275000
2024-04-19 07:32:36.032,5926,65,1,25,False,8,car,0 days 00:00:03.985000,0 days 00:16:10.715000
2024-04-19 07:32:36.192,6094,69,2,26,False,8,car,0 days 00:00:04.145000,0 days 00:16:10.875000
2024-04-19 07:32:36.352,6285,70,2,29,False,8,car,0 days 00:00:04.305000,0 days 00:16:11.035000
2024-04-19 07:32:36.592,7006,74,2,32,False,8,car,0 days 00:00:04.545000,0 days 00:16:11.275000
2024-04-19 07:32:36.752,6862,78,2,32,False,8,car,0 days 00:00:04.705000,0 days 00:16:11.435000
2024-04-19 07:32:36.993,6946,80,2,40,False,8,car,0 days 00:00:04.946000,0 days 00:16:11.676000
2024-04-19 07:32:37.153,7306,79,2,41,False,8,car,0 days 00:00:05.106000,0 days 00:16:11.836000
2024-04-19 07:32:37.433,7446,83,2,38,False,8,car,0 days 00:00:05.386000,0 days 00:16:12.116000
2024-04-19 07:32:37.633,7951,86,2,30,False,8,car,0 days 00:00:05.586000,0 days 00:16:12.316000
2024-04-19 07:32:37.873,7962,90,2,32,False,8,car,0 days 00:00:05.826000,0 days 00:16:12.556000
2024-04-19 07:32:38.193,8368,94,2,35,False,8,car,0 days 00:00:06.146000,0 days 00:16:12.876000
