F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Shanghai International Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-19 07:30:48.032,3417,16,1,0,False,8,car,0 days 00:00:00.140000,0 days 00:14:22.715000
2024-04-19 07:30:48.232,3323,16,1,0,False,8,car,0 days 00:00:00.340000,0 days 00:14:22.915000
2024-04-19 07:30:48.472,3344,17,1,0,True,8,car,0 days 00:00:00.580000,0 days 00:14:23.155000
2024-04-19 07:30:48.712,3769,17,1,0,True,8,car,0 days 00:00:00.820000,0 days 00:14:23.395000
2024-04-19 07:30:49.072,3823,18,1,0,True,8,car,0 days 00:00:01.180000,0 days 00:14:23.755000
2024-04-19 07:30:49.352,4603,17,0,0,True,8,car,0 days 00:00:01.460000,0 days 00:14:24.035000
2024-04-19 07:30:49.512,4503,17,0,0,False,8,car,0 days 00:00:01.620000,0 days 00:14:24.195000
2024-04-19 07:30:49.832,4400,17,0,0,False,8,car,0 days 00:00:01.940000,0 days 00:14:24.515000
2024-04-19 07:30:50.192,4424,16,0,0,False,8,car,0 days 00:00:02.300000,0 days 00:14:24.875000
2024-04-19 07:30:50.472,4383,16,0,0,False,8,car,0 days 00:00:02.580000,0 days 00:14:25.155000
2024-04-19 07:30:50.792,4348,16,0,0,False,8,car,0 days 00:00:02.900000,0 days 00:14:25.475000
2024-04-19 07:30:50.952,4306,16,0,0,False,8,car,0 days 00:00:03.060000,0 days 00:14:25.635000
2024-04-19 07:30:51.112,4359,16,0,0,False,8,car,0 days 00:00:03.220000,0 days 00:14:25.795000
2024-04-19 07:30:51.312,4407,16,0,0,False,8,car,0 days 00:00:03.420000,0 days 00:14:25.995000
2024-04-19 07:30:51.512,4297,16,0,0,False,8,car,0 days 00:00:03.620000,0 days 00:14:26.195000
2024-04-19 07:30:51.873,4256,15,0,0,False,8,car,0 days 00:00:03.981000,0 days 00:14:26.556000
2024-04-19 07:30:52.073,4201,15,0,0,False,8,car,0 days 00:00:04.181000,0 days 00:14:26.756000
2024-04-19 07:30:52.233,4250,15,0,0,False,8,car,0 days 00:00:04.341000,0 days 00:14:26.916000
2024-04-19 07:30:52.393,4230,15,0,0,False,8,car,0 days 00:00:04.501000,0 days 00:14:27.076000
2024-04-19 07:30:52.673,4173,15,0,0,False,8,car,0 days 00:00:04.781000,0 days 00:14:27.356000
2024-04-19 07:30:52.953,4170,15,0,0,False,8,car,0 days 00:00:05.061000,0 days 00:14:27.636000
2024-04-19 07:30:53.193,4182,15,0,0,False,8,car,0 days 00:00:05.301000,0 days 00:14:27.876000
2024-04-19 07:30:53.433,4182,15,0,0,False,8,car,0 days 00:00:05.541000,0 days 00:14:28.116000
2024-04-19 07:30:53.633,4126,15,0,0,False,8,car,0 days 00:00:05.741000,0 days 00:14:28.316000
2024-04-19 07:30:53.793,4134,15,0,0,False,8,car,0 days 00:00:05.901000,0 days 00:14:28.476000
2024-04-19 07:30:53.952,4138,15,0,0,False,8,car,0 days 00:00:06.060000,0 days 00:14:28.635000
2024-04-19 07:30:54.272,4044,15,0,0,False,8,car,0 days 00:00:06.380000,0 days 00:14:28.955000
2024-04-19 07:30:54.512,4059,15,0,0,False,8,car,0 days 00:00:06.620000,0 days 00:14:29.195000
2024-04-19 07:30:54.832,4125,14,0,0,False,8,car,0 days 00:00:06.940000,0 days 00:14:29.515000
2024-04-19 07:30:55.032,4105,15,0,0,False,8,car,0 days 00:00:07.140000,0 days 00:14:29.715000
2024-04-19 07:30:55.192,4121,14,0,0,False,8,car,0 days 00:00:07.300000,0 days 00:14:29.875000
2024-04-19 07:30:55.552,4078,14,0,0,False,8,car,0 days 00:00:07.660000,0 days 00:14:30.235000
2024-04-19 07:30:55.832,3484,14,1,0,False,8,car,0 days 00:00:07.940000,0 days 00:14:30.515000
2024-04-19 07:30:56.112,3794,14,1,0,False,8,car,0 days 00:00:08.220000,0 days 00:14:30.795000
2024-04-19 07:30:56.272,3755,14,1,0,False,8,car,0 days 00:00:08.380000,0 days 00:14:30.955000
2024-04-19 07:30:56.472,4014,14,1,1,False,8,car,0 days 00:00:08.580000,0 days 00:14:31.155000
2024-04-19 07:30:56.712,3677,14,1,2,False,8,car,0 days 00:00:08.820000,0 days 00:14:31.395000
2024-04-19 07:30:57.152,4415,16,1,4,False,8,car,0 days 00:00:09.260000,0 days 00:14:31.835000
2024-04-19 07:30:57.312,3975,18,1,5,False,8,car,0 days 00:00:09.420000,0 days 00:14:31.995000
2024-04-19 07:30:57.792,3570,27,1,5,False,8,car,0 days 00:00:09.900000,0 days 00:14:32.475000
2024-04-19 07:30:58.152,4135,33,1,7,False,8,car,0 days 00:00:10.260000,0 days 00:14:32.835000
2024-04-19 07:30:58.313,4439,36,1,10,False,8,car,0 days 00:00:10.421000,0 days 00:14:32.996000
2024-04-19 07:30:58.473,4897,40,1,12,False,8,car,0 days 00:00:10.581000,0 days 00:14:33.156000
2024-04-19 07:30:58.753,5390,46,1,15,False,8,car,0 days 00:00:10.861000,0 days 00:14:33.436000
2024-04-19 07:30:58.953,5976,50,1,17,False,8,car,0 days 00:00:11.061000,0 days 00:14:33.636000
2024-04-19 07:30:59.193,6563,54,1,21,False,8,car,0 days 00:00:11.301000,0 days 00:14:33.876000
2024-04-19 07:30:59.433,7015,60,1,21,False,8,car,0 days 00:00:11.541000,0 days 00:14:34.116000
2024-04-19 07:30:59.673,7560,63,1,22,False,8,car,0 days 00:00:11.781000,0 days 00:14:34.356000
2024-04-19 07:31:00.073,6448,69,2,28,False,8,car,0 days 00:00:12.181000,0 days 00:14:34.756000
2024-04-19 07:31:00.273,6441,73,2,26,False,8,car,0 days 00:00:12.381000,0 days 00:14:34.956000
2024-04-19 07:31:00.632,7037,80,2,30,False,8,car,0 days 00:00:12.740000,0 days 00:14:35.315000
2024-04-19 07:31:00.872,7622,84,2,35,False,8,car,0 days 00:00:12.980000,0 days 00:14:35.555000
2024-04-19 07:31:01.032,7751,88,2,39,False,8,car,0 days 00:00:13.140000,0 days 00:14:35.715000
2024-04-19 07:31:01.432,8512,96,2,42,False,8,car,0 days 00:00:13.540000,0 days 00:14:36.115000
2024-04-19 07:31:01.592,8810,98,2,42,False,8,car,0 days 00:00:13.700000,0 days 00:14:36.275000
2024-04-19 07:31:01.832,8213,104,2,40,False,8,car,0 days 00:00:13.940000,0 days 00:14:36.515000
2024-04-19 07:31:02.072,8064,108,3,41,False,8,car,0 days 00:00:14.180000,0 days 00:14:36.755000
2024-04-19 07:31:02.312,8478,112,3,48,False,8,car,0 days 00:00:14.420000,0 days 00:14:36.995000
2024-04-19 07:31:02.712,9057,119,3,47,False,8,car,0 days 00:00:14.820000,0 days 00:14:37.395000
2024-04-19 07:31:02.912,9251,123,3,44,False,8,car,0 days 00:00:15.020000,0 days 00:14:37.595000
2024-04-19 07:31:03.072,8411,127,3,34,False,8,car,0 days 00:00:15.180000,0 days 00:14:37.755000
2024-04-19 07:31:03.272,8141,128,4,38,False,8,car,0 days 00:00:15.380000,0 days 00:14:37.955000
2024-04-19 07:31:03.432,8286,131,4,38,False,8,car,0 days 00:00:15.540000,0 days 00:14:38.115000
2024-04-19 07:31:03.712,8419,132,4,37,False,8,car,0 days 00:00:15.820000,0 days 00:14:38.395000
2024-04-19 07:31:03.952,8280,135,4,0,True,8,car,0 days 00:00:16.060000,0 days 00:14:38.635000
2024-04-19 07:31:04.152,8109,131,4,0,True,8,car,0 days 00:00:16.260000,0 days 00:14:38.835000
2024-04-19 07:31:04.392,8254,128,4,0,True,8,car,0 days 00:00:16.500000,0 days 00:14:39.075000
2024-04-19 07:31:04.672,9051,125,4,0,True,8,car,0 days 00:00:16.780000,0 days 00:14:39.355000
2024-04-19 07:31:04.832,9051,122,3,0,True,8,car,0 days 00:00:16.940000,0 days 00:14:39.515000
2024-04-19 07:31:05.193,8930,120,3,13,False,8,car,0 days 00:00:17.301000,0 days 00:14:39.876000
2024-04-19 07:31:05.353,8943,119,3,26,False,8,car,0 days 00:00:17.461000,0 days 00:14:40.036000
2024-04-19 07:31:05.553,9012,120,3,32,False,8,car,0 days 00:00:17.661000,0 days 00:14:40.236000
2024-04-19 07:31:05.833,9123,122,3,36,False,8,car,0 days 00:00:17.941000,0 days 00:14:40.516000
2024-04-19 07:31:06.073,9199,124,3,36,False,8,car,0 days 00:00:18.181000,0 days 00:14:40.756000
2024-04-19 07:31:06.353,9288,125,3,35,False,8,car,0 days 00:00:18.461000,0 days 00:14:41.036000
2024-04-19 07:31:06.513,9288,126,3,35,False,8,car,0 days 00:00:18.621000,0 days 00:14:41.196000
