F1 for AiM
Racer,Daniel Ricciardo
Vehicle,RB
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-23 11:00:11.828,7182,63,1,30,False,8,car,0 days 00:00:00.144000,0 days 00:44:29.429000
2024-08-23 11:00:12.108,8288,69,1,41,False,8,car,0 days 00:00:00.424000,0 days 00:44:29.709000
2024-08-23 11:00:12.348,9335,72,1,41,False,8,car,0 days 00:00:00.664000,0 days 00:44:29.949000
2024-08-23 11:00:12.668,9797,78,1,45,False,8,car,0 days 00:00:00.984000,0 days 00:44:30.269000
2024-08-23 11:00:12.868,9797,83,1,45,False,8,car,0 days 00:00:01.184000,0 days 00:44:30.469000
2024-08-23 11:00:13.107,9171,84,1,0,False,8,car,0 days 00:00:01.423000,0 days 00:44:30.708000
2024-08-23 11:00:13.467,8332,84,1,0,True,8,car,0 days 00:00:01.783000,0 days 00:44:31.068000
2024-08-23 11:00:13.667,8170,76,1,0,True,8,car,0 days 00:00:01.983000,0 days 00:44:31.268000
2024-08-23 11:00:13.947,7084,68,1,0,True,8,car,0 days 00:00:02.263000,0 days 00:44:31.548000
2024-08-23 11:00:14.107,6875,65,1,0,True,8,car,0 days 00:00:02.423000,0 days 00:44:31.708000
2024-08-23 11:00:14.267,6923,65,1,0,False,8,car,0 days 00:00:02.583000,0 days 00:44:31.868000
2024-08-23 11:00:14.547,6791,64,1,2,False,8,car,0 days 00:00:02.863000,0 days 00:44:32.148000
2024-08-23 11:00:14.747,6683,62,1,5,False,8,car,0 days 00:00:03.063000,0 days 00:44:32.348000
2024-08-23 11:00:14.947,6522,62,1,7,False,8,car,0 days 00:00:03.263000,0 days 00:44:32.548000
2024-08-23 11:00:15.107,6657,60,1,0,True,8,car,0 days 00:00:03.423000,0 days 00:44:32.708000
2024-08-23 11:00:15.307,6356,59,1,0,False,8,car,0 days 00:00:03.623000,0 days 00:44:32.908000
2024-08-23 11:00:15.587,6327,59,1,10,False,8,car,0 days 00:00:03.903000,0 days 00:44:33.188000
2024-08-23 11:00:15.747,6622,60,1,10,False,8,car,0 days 00:00:04.063000,0 days 00:44:33.348000
2024-08-23 11:00:15.907,6533,60,1,9,False,8,car,0 days 00:00:04.223000,0 days 00:44:33.508000
2024-08-23 11:00:16.187,6747,61,1,8,False,8,car,0 days 00:00:04.503000,0 days 00:44:33.788000
