F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-23 11:02:03.508,5434,59,2,23,False,8,car,0 days 00:00:00.039000,0 days 00:46:21.109000
2024-08-23 11:02:03.748,5624,62,2,19,False,8,car,0 days 00:00:00.279000,0 days 00:46:21.349000
2024-08-23 11:02:04.028,5769,66,2,27,False,8,car,0 days 00:00:00.559000,0 days 00:46:21.629000
2024-08-23 11:02:04.228,6146,69,2,35,False,8,car,0 days 00:00:00.759000,0 days 00:46:21.829000
2024-08-23 11:02:04.388,6591,71,2,38,False,8,car,0 days 00:00:00.919000,0 days 00:46:21.989000
2024-08-23 11:02:04.548,6665,76,2,39,False,8,car,0 days 00:00:01.079000,0 days 00:46:22.149000
2024-08-23 11:02:04.748,6979,80,2,41,False,8,car,0 days 00:00:01.279000,0 days 00:46:22.349000
2024-08-23 11:02:05.028,6673,82,2,0,True,8,car,0 days 00:00:01.559000,0 days 00:46:22.629000
2024-08-23 11:02:05.308,6843,81,2,0,True,8,car,0 days 00:00:01.839000,0 days 00:46:22.909000
2024-08-23 11:02:05.588,6475,79,2,0,True,8,car,0 days 00:00:02.119000,0 days 00:46:23.189000
2024-08-23 11:02:05.908,6164,74,2,0,True,8,car,0 days 00:00:02.439000,0 days 00:46:23.509000
2024-08-23 11:02:06.308,5869,70,2,0,False,8,car,0 days 00:00:02.839000,0 days 00:46:23.909000
2024-08-23 11:02:06.508,5726,69,2,3,False,8,car,0 days 00:00:03.039000,0 days 00:46:24.109000
2024-08-23 11:02:06.868,5659,67,2,5,False,8,car,0 days 00:00:03.399000,0 days 00:46:24.469000
2024-08-23 11:02:07.108,5588,66,2,3,False,8,car,0 days 00:00:03.639000,0 days 00:46:24.709000
2024-08-23 11:02:07.347,5488,66,2,3,False,8,car,0 days 00:00:03.878000,0 days 00:46:24.948000
2024-08-23 11:02:07.627,5666,64,2,2,False,8,car,0 days 00:00:04.158000,0 days 00:46:25.228000
2024-08-23 11:02:07.827,5684,63,2,4,False,8,car,0 days 00:00:04.358000,0 days 00:46:25.428000
2024-08-23 11:02:08.027,5411,63,2,7,False,8,car,0 days 00:00:04.558000,0 days 00:46:25.628000
2024-08-23 11:02:08.227,5540,63,2,7,False,8,car,0 days 00:00:04.758000,0 days 00:46:25.828000
2024-08-23 11:02:08.507,5459,63,2,7,False,8,car,0 days 00:00:05.038000,0 days 00:46:26.108000
2024-08-23 11:02:08.787,5463,64,2,8,False,8,car,0 days 00:00:05.318000,0 days 00:46:26.388000
2024-08-23 11:02:09.227,5577,65,2,7,False,8,car,0 days 00:00:05.758000,0 days 00:46:26.828000
2024-08-23 11:02:09.548,5525,65,2,7,False,8,car,0 days 00:00:06.079000,0 days 00:46:27.149000
2024-08-23 11:02:09.868,5658,65,2,7,False,8,car,0 days 00:00:06.399000,0 days 00:46:27.469000
2024-08-23 11:02:10.228,5554,65,2,7,False,8,car,0 days 00:00:06.759000,0 days 00:46:27.829000
2024-08-23 11:02:10.468,5586,65,2,7,False,8,car,0 days 00:00:06.999000,0 days 00:46:28.069000
2024-08-23 11:02:10.668,5547,65,2,8,False,8,car,0 days 00:00:07.199000,0 days 00:46:28.269000
2024-08-23 11:02:10.828,5669,65,2,8,False,8,car,0 days 00:00:07.359000,0 days 00:46:28.429000
2024-08-23 11:02:10.988,5669,65,2,9,False,8,car,0 days 00:00:07.519000,0 days 00:46:28.589000
2024-08-23 11:02:11.188,5538,66,2,8,False,8,car,0 days 00:00:07.719000,0 days 00:46:28.789000
2024-08-23 11:02:11.548,5984,67,2,19,False,8,car,0 days 00:00:08.079000,0 days 00:46:29.149000
2024-08-23 11:02:11.748,6112,69,2,23,False,8,car,0 days 00:00:08.279000,0 days 00:46:29.349000
2024-08-23 11:02:12.108,6346,72,2,27,False,8,car,0 days 00:00:08.639000,0 days 00:46:29.709000
2024-08-23 11:02:12.588,7025,80,2,38,False,8,car,0 days 00:00:09.119000,0 days 00:46:30.189000
2024-08-23 11:02:12.748,7287,83,2,42,False,8,car,0 days 00:00:09.279000,0 days 00:46:30.349000
2024-08-23 11:02:13.028,7823,89,2,49,False,8,car,0 days 00:00:09.559000,0 days 00:46:30.629000
2024-08-23 11:02:13.228,8199,91,2,53,False,8,car,0 days 00:00:09.759000,0 days 00:46:30.829000
2024-08-23 11:02:13.428,8614,97,2,57,False,8,car,0 days 00:00:09.959000,0 days 00:46:31.029000
2024-08-23 11:02:13.708,9184,102,2,63,False,8,car,0 days 00:00:10.239000,0 days 00:46:31.309000
2024-08-23 11:02:13.908,10064,109,2,68,False,8,car,0 days 00:00:10.439000,0 days 00:46:31.509000
2024-08-23 11:02:14.107,10334,115,2,69,False,8,car,0 days 00:00:10.638000,0 days 00:46:31.708000
2024-08-23 11:02:14.347,11028,125,2,68,False,8,car,0 days 00:00:10.878000,0 days 00:46:31.948000
2024-08-23 11:02:14.627,9768,131,2,71,False,8,car,0 days 00:00:11.158000,0 days 00:46:32.228000
2024-08-23 11:02:14.787,9858,134,3,77,False,8,car,0 days 00:00:11.318000,0 days 00:46:32.388000
2024-08-23 11:02:15.027,10404,143,3,81,False,8,car,0 days 00:00:11.558000,0 days 00:46:32.628000
2024-08-23 11:02:15.267,11029,147,3,86,False,8,car,0 days 00:00:11.798000,0 days 00:46:32.868000
2024-08-23 11:02:15.587,11081,161,3,87,False,8,car,0 days 00:00:12.118000,0 days 00:46:33.188000
2024-08-23 11:02:15.868,10030,165,3,77,False,8,car,0 days 00:00:12.399000,0 days 00:46:33.469000
2024-08-23 11:02:16.108,10071,167,4,56,False,8,car,0 days 00:00:12.639000,0 days 00:46:33.709000
2024-08-23 11:02:16.428,9790,163,4,0,True,8,car,0 days 00:00:12.959000,0 days 00:46:34.029000
2024-08-23 11:02:16.628,9382,158,4,0,True,8,car,0 days 00:00:13.159000,0 days 00:46:34.229000
2024-08-23 11:02:16.828,9161,154,4,0,True,8,car,0 days 00:00:13.359000,0 days 00:46:34.429000
2024-08-23 11:02:17.068,9762,151,4,0,True,8,car,0 days 00:00:13.599000,0 days 00:46:34.669000
2024-08-23 11:02:17.348,9790,141,3,0,True,8,car,0 days 00:00:13.879000,0 days 00:46:34.949000
2024-08-23 11:02:17.628,8966,129,3,0,True,8,car,0 days 00:00:14.159000,0 days 00:46:35.229000
2024-08-23 11:02:17.828,8533,123,3,0,True,8,car,0 days 00:00:14.359000,0 days 00:46:35.429000
2024-08-23 11:02:18.068,8142,118,3,0,True,8,car,0 days 00:00:14.599000,0 days 00:46:35.669000
2024-08-23 11:02:18.348,7972,114,3,2,False,8,car,0 days 00:00:14.879000,0 days 00:46:35.949000
2024-08-23 11:02:18.748,7758,111,3,16,False,8,car,0 days 00:00:15.279000,0 days 00:46:36.349000
2024-08-23 11:02:19.028,7826,110,3,18,False,8,car,0 days 00:00:15.559000,0 days 00:46:36.629000
2024-08-23 11:02:19.308,7749,110,3,23,False,8,car,0 days 00:00:15.839000,0 days 00:46:36.909000
2024-08-23 11:02:19.628,7785,109,3,25,False,8,car,0 days 00:00:16.159000,0 days 00:46:37.229000
2024-08-23 11:02:20.068,7857,110,3,37,False,8,car,0 days 00:00:16.599000,0 days 00:46:37.669000
2024-08-23 11:02:20.308,8159,111,3,44,False,8,car,0 days 00:00:16.839000,0 days 00:46:37.909000
2024-08-23 11:02:20.508,8246,113,3,46,False,8,car,0 days 00:00:17.039000,0 days 00:46:38.109000
2024-08-23 11:02:20.907,8572,118,3,49,False,8,car,0 days 00:00:17.438000,0 days 00:46:38.508000
2024-08-23 11:02:21.107,8668,120,3,50,False,8,car,0 days 00:00:17.638000,0 days 00:46:38.708000
