F1 for AiM
Racer,Max Verstappen
Vehicle,Red Bull Racing
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-23 10:58:31.707,6780,62,1,20,False,8,car,0 days 00:00:00.082000,0 days 00:42:49.308000
2024-08-23 10:58:31.947,7516,64,1,25,False,8,car,0 days 00:00:00.322000,0 days 00:42:49.548000
2024-08-23 10:58:32.227,7773,72,1,30,False,8,car,0 days 00:00:00.602000,0 days 00:42:49.828000
2024-08-23 10:58:32.427,9069,77,1,53,False,8,car,0 days 00:00:00.802000,0 days 00:42:50.028000
2024-08-23 10:58:32.627,10469,80,1,50,False,8,car,0 days 00:00:01.002000,0 days 00:42:50.228000
2024-08-23 10:58:32.947,9080,82,1,0,False,8,car,0 days 00:00:01.322000,0 days 00:42:50.548000
2024-08-23 10:58:33.187,8333,80,1,0,True,8,car,0 days 00:00:01.562000,0 days 00:42:50.788000
2024-08-23 10:58:33.547,7909,75,1,0,True,8,car,0 days 00:00:01.922000,0 days 00:42:51.148000
2024-08-23 10:58:33.867,7491,71,1,0,True,8,car,0 days 00:00:02.242000,0 days 00:42:51.468000
2024-08-23 10:58:34.067,7217,69,1,0,True,8,car,0 days 00:00:02.442000,0 days 00:42:51.668000
2024-08-23 10:58:34.307,7103,65,1,0,False,8,car,0 days 00:00:02.682000,0 days 00:42:51.908000
2024-08-23 10:58:34.547,7056,65,1,3,False,8,car,0 days 00:00:02.922000,0 days 00:42:52.148000
2024-08-23 10:58:34.747,6964,65,1,5,False,8,car,0 days 00:00:03.122000,0 days 00:42:52.348000
2024-08-23 10:58:34.987,7144,66,1,5,False,8,car,0 days 00:00:03.362000,0 days 00:42:52.588000
2024-08-23 10:58:35.187,7278,67,1,7,False,8,car,0 days 00:00:03.562000,0 days 00:42:52.788000
2024-08-23 10:58:35.387,7429,68,1,7,False,8,car,0 days 00:00:03.762000,0 days 00:42:52.988000
2024-08-23 10:58:35.667,7098,68,1,0,False,8,car,0 days 00:00:04.042000,0 days 00:42:53.268000
2024-08-23 10:58:35.947,6723,64,1,0,False,8,car,0 days 00:00:04.322000,0 days 00:42:53.548000
2024-08-23 10:58:36.107,6723,62,1,0,False,8,car,0 days 00:00:04.482000,0 days 00:42:53.708000
2024-08-23 10:58:36.267,7007,63,1,10,False,8,car,0 days 00:00:04.642000,0 days 00:42:53.868000
2024-08-23 10:58:36.547,7163,65,1,11,False,8,car,0 days 00:00:04.922000,0 days 00:42:54.148000
2024-08-23 10:58:37.027,7437,67,1,7,False,8,car,0 days 00:00:05.402000,0 days 00:42:54.628000
2024-08-23 10:58:37.187,7575,67,1,7,False,8,car,0 days 00:00:05.562000,0 days 00:42:54.788000
2024-08-23 10:58:37.467,7717,69,1,7,False,8,car,0 days 00:00:05.842000,0 days 00:42:55.068000
2024-08-23 10:58:37.667,7771,70,1,5,False,8,car,0 days 00:00:06.042000,0 days 00:42:55.268000
2024-08-23 10:58:37.907,7724,71,1,10,False,8,car,0 days 00:00:06.282000,0 days 00:42:55.508000
2024-08-23 10:58:38.267,7683,69,1,5,False,8,car,0 days 00:00:06.642000,0 days 00:42:55.868000
2024-08-23 10:58:38.667,7889,70,1,9,False,8,car,0 days 00:00:07.042000,0 days 00:42:56.268000
2024-08-23 10:58:38.867,7987,71,1,13,False,8,car,0 days 00:00:07.242000,0 days 00:42:56.468000
2024-08-23 10:58:39.067,7934,71,1,7,False,8,car,0 days 00:00:07.442000,0 days 00:42:56.668000
2024-08-23 10:58:39.347,8177,74,1,11,False,8,car,0 days 00:00:07.722000,0 days 00:42:56.948000
2024-08-23 10:58:39.707,8654,78,1,21,False,8,car,0 days 00:00:08.082000,0 days 00:42:57.308000
2024-08-23 10:58:40.067,9489,82,1,37,False,8,car,0 days 00:00:08.442000,0 days 00:42:57.668000
2024-08-23 10:58:40.347,10127,89,1,48,False,8,car,0 days 00:00:08.722000,0 days 00:42:57.948000
2024-08-23 10:58:40.747,11650,102,1,64,False,8,car,0 days 00:00:09.122000,0 days 00:42:58.348000
2024-08-23 10:58:40.987,10663,109,1,49,False,8,car,0 days 00:00:09.362000,0 days 00:42:58.588000
2024-08-23 10:58:41.267,10576,116,2,65,False,8,car,0 days 00:00:09.642000,0 days 00:42:58.868000
2024-08-23 10:58:41.467,11117,122,2,69,False,8,car,0 days 00:00:09.842000,0 days 00:42:59.068000
2024-08-23 10:58:41.747,10417,130,2,75,False,8,car,0 days 00:00:10.122000,0 days 00:42:59.348000
2024-08-23 10:58:41.947,9937,135,3,82,False,8,car,0 days 00:00:10.322000,0 days 00:42:59.548000
2024-08-23 10:58:42.147,10265,143,3,86,False,8,car,0 days 00:00:10.522000,0 days 00:42:59.748000
2024-08-23 10:58:42.427,11017,154,3,82,False,8,car,0 days 00:00:10.802000,0 days 00:43:00.028000
2024-08-23 10:58:42.827,10862,164,3,81,False,8,car,0 days 00:00:11.202000,0 days 00:43:00.428000
2024-08-23 10:58:43.067,10021,167,4,83,False,8,car,0 days 00:00:11.442000,0 days 00:43:00.668000
