F1 for AiM
Racer,Sergio Perez
Vehicle,Red Bull Racing
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-23 14:00:30.102,4526,41,1,7,False,8,car,0 days 00:00:00.111000,0 days 00:14:02.182000
2024-08-23 14:00:30.262,4817,42,1,10,False,8,car,0 days 00:00:00.271000,0 days 00:14:02.342000
2024-08-23 14:00:30.502,4814,46,1,14,False,8,car,0 days 00:00:00.511000,0 days 00:14:02.582000
2024-08-23 14:00:30.942,5496,52,1,16,False,8,car,0 days 00:00:00.951000,0 days 00:14:03.022000
2024-08-23 14:00:31.182,6180,54,1,18,False,8,car,0 days 00:00:01.191000,0 days 00:14:03.262000
2024-08-23 14:00:31.582,6932,60,1,30,False,8,car,0 days 00:00:01.591000,0 days 00:14:03.662000
2024-08-23 14:00:31.742,7638,66,1,37,False,8,car,0 days 00:00:01.751000,0 days 00:14:03.822000
2024-08-23 14:00:32.142,8449,77,1,29,False,8,car,0 days 00:00:02.151000,0 days 00:14:04.222000
2024-08-23 14:00:32.302,8858,81,1,27,False,8,car,0 days 00:00:02.311000,0 days 00:14:04.382000
2024-08-23 14:00:32.462,7878,82,1,23,False,8,car,0 days 00:00:02.471000,0 days 00:14:04.542000
2024-08-23 14:00:32.662,7236,85,2,23,False,8,car,0 days 00:00:02.671000,0 days 00:14:04.742000
2024-08-23 14:00:33.022,7094,81,2,0,True,8,car,0 days 00:00:03.031000,0 days 00:14:05.102000
2024-08-23 14:00:33.382,6613,76,2,0,True,8,car,0 days 00:00:03.391000,0 days 00:14:05.462000
2024-08-23 14:00:33.742,6292,71,2,0,True,8,car,0 days 00:00:03.751000,0 days 00:14:05.822000
2024-08-23 14:00:33.982,6094,70,2,0,False,8,car,0 days 00:00:03.991000,0 days 00:14:06.062000
2024-08-23 14:00:34.142,5802,67,2,0,False,8,car,0 days 00:00:04.151000,0 days 00:14:06.222000
2024-08-23 14:00:34.382,5894,65,2,1,False,8,car,0 days 00:00:04.391000,0 days 00:14:06.462000
2024-08-23 14:00:34.582,5694,65,2,3,False,8,car,0 days 00:00:04.591000,0 days 00:14:06.662000
2024-08-23 14:00:34.822,5691,65,2,7,False,8,car,0 days 00:00:04.831000,0 days 00:14:06.902000
2024-08-23 14:00:35.023,5830,66,2,9,False,8,car,0 days 00:00:05.032000,0 days 00:14:07.103000
2024-08-23 14:00:35.183,5912,66,2,6,False,8,car,0 days 00:00:05.192000,0 days 00:14:07.263000
2024-08-23 14:00:35.383,5912,67,2,6,False,8,car,0 days 00:00:05.392000,0 days 00:14:07.463000
2024-08-23 14:00:35.583,5884,67,2,5,False,8,car,0 days 00:00:05.592000,0 days 00:14:07.663000
2024-08-23 14:00:35.862,5828,66,2,5,False,8,car,0 days 00:00:05.871000,0 days 00:14:07.942000
2024-08-23 14:00:36.062,5817,66,2,6,False,8,car,0 days 00:00:06.071000,0 days 00:14:08.142000
2024-08-23 14:00:36.462,5942,65,2,3,False,8,car,0 days 00:00:06.471000,0 days 00:14:08.542000
2024-08-23 14:00:36.902,5733,65,2,6,False,8,car,0 days 00:00:06.911000,0 days 00:14:08.982000
