F1 for AiM
Racer,George Russell
Vehicle,Mercedes
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-23 14:00:14.262,4013,19,1,0,False,8,car,0 days 00:00:00.191000,0 days 00:13:46.342000
2024-08-23 14:00:14.502,4012,18,1,0,False,8,car,0 days 00:00:00.431000,0 days 00:13:46.582000
2024-08-23 14:00:14.702,3973,18,1,0,False,8,car,0 days 00:00:00.631000,0 days 00:13:46.782000
2024-08-23 14:00:15.062,3546,20,1,0,False,8,car,0 days 00:00:00.991000,0 days 00:13:47.142000
2024-08-23 14:00:15.383,3570,23,1,0,False,8,car,0 days 00:00:01.312000,0 days 00:13:47.463000
2024-08-23 14:00:15.582,3683,26,1,0,False,8,car,0 days 00:00:01.511000,0 days 00:13:47.662000
2024-08-23 14:00:15.902,3724,31,1,0,False,8,car,0 days 00:00:01.831000,0 days 00:13:47.982000
2024-08-23 14:00:16.062,3916,34,1,0,False,8,car,0 days 00:00:01.991000,0 days 00:13:48.142000
2024-08-23 14:00:16.342,4162,37,1,0,False,8,car,0 days 00:00:02.271000,0 days 00:13:48.422000
2024-08-23 14:00:16.662,4517,40,1,0,False,8,car,0 days 00:00:02.591000,0 days 00:13:48.742000
2024-08-23 14:00:16.862,4609,41,1,3,False,8,car,0 days 00:00:02.791000,0 days 00:13:48.942000
2024-08-23 14:00:17.102,4734,42,1,8,False,8,car,0 days 00:00:03.031000,0 days 00:13:49.182000
2024-08-23 14:00:17.342,4874,45,1,15,False,8,car,0 days 00:00:03.271000,0 days 00:13:49.422000
2024-08-23 14:00:17.582,5782,48,1,22,False,8,car,0 days 00:00:03.511000,0 days 00:13:49.662000
2024-08-23 14:00:17.742,6120,52,1,16,False,8,car,0 days 00:00:03.671000,0 days 00:13:49.822000
2024-08-23 14:00:17.942,6400,56,1,11,False,8,car,0 days 00:00:03.871000,0 days 00:13:50.022000
2024-08-23 14:00:18.102,6497,57,1,8,False,8,car,0 days 00:00:04.031000,0 days 00:13:50.182000
2024-08-23 14:00:18.302,6576,58,1,9,False,8,car,0 days 00:00:04.231000,0 days 00:13:50.382000
